date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Albania,monthly,1,,,,,,,2023.75,2373.0,2042.0,2060.0,1956.0,3099.25,,,,,,,,,,,,,,2023.75,2373.0,2124.6875,
2020-01-12,Albania,monthly,2,,,,,,,2037.5,2562.0,2071.0,2144.25,2013.75,3058.5,,,,,,,,,,,,,,2037.5,2562.0,2203.6875,
2020-01-19,Albania,monthly,3,,,,,,,2051.25,2751.0,2100.0,2228.5,2071.5,3017.75,,,,,,,,,,,,,,2051.25,2751.0,2282.6875,
2020-01-26,Albania,monthly,4,,,,,,,2065.0,2940.0,2129.0,2312.75,2129.25,2977.0,,,,,,,,,,,,,,2065.0,2940.0,2361.6875,
2020-02-02,Albania,monthly,5,,,,,,2490.0,2033.0,3129.0,2158.0,2397.0,2187.0,3167.25,,,,,,,,,,,,,,2033.0,3129.0,2441.4,
2020-02-09,Albania,monthly,6,,,,,,2402.25,2001.0,2808.0,2121.75,2291.25,2144.75,3357.5,,,,,,,,,,,,,,2001.0,2808.0,2324.85,
2020-02-16,Albania,monthly,7,,,,,,2314.5,1969.0,2487.0,2085.5,2185.5,2102.5,3547.75,,,,,,,,,,,,,,1969.0,2487.0,2208.3,
2020-02-23,Albania,monthly,8,,,,,,2226.75,1937.0,2166.0,2049.25,2079.75,2060.25,3738.0,,,,,,,,,,,,,,1937.0,2226.75,2091.75,
2020-03-01,Albania,monthly,9,,,,,,2139.0,1905.0,1845.0,2013.0,1974.0,2018.0,3578.8,,0.0,0.0,0.0,,8.33,,,,,,,2872934.0,1845.0,2139.0,1975.2,2018.0
2020-03-08,Albania,monthly,10,,,,,,2121.4,1906.25,1838.0,2043.75,1978.0,2013.0,3419.6,,3.0,0.0,27.0,,8.33,,,,,,,2872934.0,1838.0,2121.4,1977.48,2010.0
2020-03-15,Albania,monthly,11,,,,,,2103.8,1907.5,1831.0,2074.5,1982.0,2008.0,3260.4,,6.0,11.429,259.0,8.653170955882352,60.05142857142857,,,,,,,2872934.0,1831.0,2103.8,1979.7599999999998,2002.0
