location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Andorra,2021-01-31,1,monthly,,,,,,22.0,27.0,49.0,38.0,29.0,34.0,,17.0,60.73280645161291,648.4285714285714,53.318064516129034,773.1428571428571,,77354.0,9.36615212957238,0.9994865904062584,,22.0,49.0,33.0,
Andorra,2021-02-28,2,monthly,,,,,,25.0,21.0,29.0,28.0,29.0,37.0,,9.0,36.60207142857143,481.2142857142857,55.56,1757.0119047619048,,77354.0,7.606189698678937,2.271391143007349,,21.0,29.0,26.4,
Andorra,2021-03-31,3,monthly,,,,,,29.0,31.0,39.0,36.0,19.0,40.0,,5.0,33.907806451612906,378.0967741935484,54.84258064516129,5988.057603686636,2127.660714285714,77354.0,8.968023206211075,7.741109191104062,2.7505503455357374,19.0,39.0,30.8,
Andorra,2021-04-30,4,monthly,,,,,,26.0,19.0,22.0,21.0,26.0,60.0,,10.0,42.600033333333336,442.8666666666667,54.076,17683.022222222222,4555.245238095237,77354.0,9.619155502032214,22.859867908863436,5.888829586182017,19.0,26.0,22.8,
Andorra,2021-05-31,5,monthly,,,,,,26.0,22.0,17.0,16.0,19.0,36.0,,2.0,18.235,331.2258064516129,50.68774193548387,26789.958525345624,5573.057603686636,77354.0,5.505307752239968,34.632932395668774,7.204614633615115,16.0,26.0,20.0,
Andorra,2021-06-30,6,monthly,,,,,,16.0,25.0,26.0,31.0,23.0,26.0,,0.0,6.6334,179.33333333333334,43.798,35344.928571428565,18277.869047619046,77354.0,3.698921933085501,45.69243810459519,23.628860883236865,16.0,31.0,24.2,
Andorra,2021-07-31,7,monthly,,,,,,27.0,32.0,17.0,23.0,30.0,29.0,,1.0,23.235096774193547,210.83870967741936,46.3,46063.26267281106,30830.85253456221,77354.0,11.020318237454099,59.54864993770337,39.85683033141429,17.0,32.0,25.8,
Andorra,2021-08-31,8,monthly,,,,,,18.0,34.0,18.0,30.0,18.0,19.0,,2.0,13.419387096774193,202.38709677419354,51.49193548387097,51110.724137931036,39626.0,77354.0,6.630554670066943,66.07379597426252,51.22682731339039,18.0,34.0,23.6,
Andorra,2021-09-30,9,monthly,,,,,,25.0,16.0,23.0,30.0,24.0,27.0,,0.0,4.41975,157.33333333333334,51.85,,,77354.0,2.80916313559322,,,16.0,30.0,23.6,
Andorra,2021-10-31,10,monthly,,,,,,25.0,24.0,24.0,33.0,23.0,51.0,,,,,,,,,,,,23.0,33.0,25.8,
Andorra,2021-11-30,11,monthly,,,,,,16.0,24.0,29.0,24.0,30.0,19.0,,,,,,,,,,,,16.0,30.0,24.6,
Andorra,2021-12-31,12,monthly,,,,,,27.0,35.0,30.0,25.0,31.0,41.0,,,,,,,,,,,,25.0,35.0,29.6,
