date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Antigua and Barbuda,monthly,1,,,,,,,33.25,44.4,46.6,43.0,54.0,,,1.25,6.715,,,,,,,,,,98728.0,33.25,46.6,41.812,
2021-01-17,Antigua and Barbuda,monthly,2,,,,,,,32.5,43.8,44.2,48.0,53.0,,,1.5,16.286,,,,,,,,,,98728.0,32.5,48.0,42.125,
2021-01-24,Antigua and Barbuda,monthly,3,,,,,,,31.75,43.2,41.8,53.0,52.0,,,1.75,11.0,,,,,,,,,,98728.0,31.75,53.0,42.438,
2021-01-31,Antigua and Barbuda,monthly,4,,,,,,,31.0,42.6,39.4,58.0,51.0,,,2.0,21.857,,,,,,,,,,98728.0,31.0,58.0,42.75,
2021-02-07,Antigua and Barbuda,monthly,5,,,,,,36.0,34.6,42.0,37.0,63.0,50.0,,,3.25,51.714,,,,,,,,,,98728.0,34.6,63.0,42.52,
2021-02-14,Antigua and Barbuda,monthly,6,,,,,,40.25,38.2,43.75,37.75,62.5,49.25,,,4.5,110.286,,,,,,,,,,98728.0,37.75,62.5,44.49,
2021-02-21,Antigua and Barbuda,monthly,7,,,,,,44.5,41.8,45.5,38.5,62.0,48.5,,,5.75,152.43,,,,2237.407,,,2.266,,,98728.0,38.5,62.0,46.46,
2021-02-28,Antigua and Barbuda,monthly,8,,,,,,48.75,45.4,47.25,39.25,61.5,47.75,,,7.0,150.143,,,,8054.667,,,8.158,,,98728.0,39.25,61.5,48.43,
2021-03-07,Antigua and Barbuda,monthly,9,,,,,,53.0,49.0,49.0,40.0,61.0,47.0,,,8.4,120.0,162.0,60.406,,14319.407,,,14.504,,,98728.0,40.0,61.0,50.4,
2021-03-14,Antigua and Barbuda,monthly,10,,,,,,54.4,51.0,49.75,45.0,57.0,49.6,,,9.8,107.144,189.0,56.69,,20584.148,,,20.849,,,98728.0,45.0,57.0,51.43,
2021-03-21,Antigua and Barbuda,monthly,11,,,,,,55.8,53.0,50.5,50.0,53.0,52.2,,,11.2,98.286,189.0,52.003,,25190.0,,,25.515,,,98728.0,50.0,55.8,52.46,
2021-03-28,Antigua and Barbuda,monthly,12,,,,,,57.2,55.0,51.25,55.0,49.0,54.8,,,12.6,96.426,189.0,51.019,,26376.143,,,26.716,,,98728.0,49.0,57.2,53.49,
2021-04-04,Antigua and Barbuda,monthly,13,,,,,,58.6,57.0,52.0,60.0,45.0,57.4,,,14.0,48.572,189.0,25.699,,26897.844,,,27.244,,,98728.0,45.0,60.0,54.52,
2021-04-11,Antigua and Barbuda,monthly,14,,,,,,60.0,57.75,49.25,60.0,44.0,60.0,,,11.5,33.286,189.0,17.612,,27286.545,,,27.638,,,98728.0,44.0,60.0,54.2,
2021-04-18,Antigua and Barbuda,monthly,15,,,,,,50.0,58.5,46.5,60.0,43.0,57.25,,,9.0,24.857,189.0,13.152,,28077.325,,,28.439,,,98728.0,43.0,60.0,51.6,
2021-04-25,Antigua and Barbuda,monthly,16,,,,,,40.0,59.25,43.75,60.0,42.0,54.5,,,6.5,12.857,189.0,6.803,,29638.914,,,30.021,,,98728.0,40.0,60.0,49.0,
2021-05-02,Antigua and Barbuda,monthly,17,,,,,,30.0,60.0,41.0,60.0,41.0,51.75,,,4.0,10.857,217.0,5.21,,30375.133,,,30.766,,,98728.0,30.0,60.0,46.4,
2021-05-09,Antigua and Barbuda,monthly,18,,,,,,20.0,54.8,43.6,60.0,40.0,49.0,,,5.2,0.428,278.0,0.164,,30977.202,,,31.376,,,98728.0,20.0,60.0,43.68,
2021-05-16,Antigua and Barbuda,monthly,19,,,,,,26.5,49.6,46.2,59.5,39.5,49.75,,,6.4,7.715,280.0,2.755,,31469.25,,,31.875,,,98728.0,26.5,59.5,44.26,
2021-05-23,Antigua and Barbuda,monthly,20,,,,,,33.0,44.4,48.8,59.0,39.0,50.5,,,7.6,14.429,280.0,5.153,,32282.571,5689.643,,32.698,5.763,,98728.0,33.0,59.0,44.84,
2021-05-30,Antigua and Barbuda,monthly,21,,,,,,39.5,39.2,51.4,58.5,38.5,51.25,,,8.8,4.429,280.0,1.582,,33002.429,12482.214,,33.428,12.643,,98728.0,38.5,58.5,45.42,
2021-06-06,Antigua and Barbuda,monthly,22,,,,,,46.0,34.0,54.0,58.0,38.0,52.0,,,10.0,3.427,280.0,1.224,,33712.857,18751.0,,34.147,18.993,,98728.0,34.0,58.0,46.0,
2021-06-13,Antigua and Barbuda,monthly,23,,,,,,45.6,36.25,50.0,54.0,44.25,50.0,,,7.5,1.144,280.0,0.409,,34705.095,23515.905,,35.152,23.819,,98728.0,36.25,54.0,46.02,
2021-06-20,Antigua and Barbuda,monthly,24,,,,,,45.2,38.5,46.0,50.0,50.5,48.0,,,5.0,0.0,280.0,0.0,,35511.619,25888.095,,35.969,26.222,,98728.0,38.5,50.5,46.04,
2021-06-27,Antigua and Barbuda,monthly,25,,,,,,44.8,40.75,42.0,46.0,56.75,46.0,,,2.5,0.0,280.0,0.0,,36063.111,27273.0,,36.528,27.624,,98728.0,40.75,56.75,46.06,
2021-07-04,Antigua and Barbuda,monthly,26,,,,,,44.4,43.0,38.0,42.0,63.0,44.0,,,0.0,0.572,280.0,0.204,,36549.675,27791.071,,37.021,28.149,,98728.0,38.0,63.0,46.08,
2021-07-11,Antigua and Barbuda,monthly,27,,,,,,44.0,38.0,39.0,44.2,61.2,42.0,,,0.25,1.859,280.0,0.664,,36844.25,28278.571,,37.319,28.643,,98728.0,38.0,61.2,45.28,
