date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Argentina,monthly,1,,,,,,,25651.25,25203.2,24578.0,23650.0,23836.0,,,,,,,0.0,,,,,,,45605823.0,23650.0,25651.25,24770.612,
2020-01-12,Argentina,monthly,2,,,,,,,26286.5,25583.4,24941.0,24305.25,24269.75,,,,,160.0,,0.0,,,,,,,45605823.0,24305.25,26286.5,25279.038,
2020-01-19,Argentina,monthly,3,,,,,,,26921.75,25963.6,25304.0,24960.5,24703.5,,,,,149.0,,0.0,,,,,,,45605823.0,24960.5,26921.75,25787.462,
2020-01-26,Argentina,monthly,4,,,,,,,27557.0,26343.8,25667.0,25615.75,25137.25,,,,,72.0,,6.349,,,,,,,45605823.0,25615.75,27557.0,26295.888,
2020-02-02,Argentina,monthly,5,,,,,,25583.0,27128.8,26724.0,26030.0,26271.0,25571.0,,,,,50.0,,11.11,,,,,,,45605823.0,25583.0,27128.8,26347.36,
2020-02-09,Argentina,monthly,6,,,,,,24869.25,26700.6,25986.5,25402.0,25625.25,25231.25,,,,,40.0,,11.11,,,,,,,45605823.0,24869.25,26700.6,25716.72,
2020-02-16,Argentina,monthly,7,,,,,,24155.5,26272.4,25249.0,24774.0,24979.5,24891.5,,,,,16.0,,11.11,,,,,,,45605823.0,24155.5,26272.4,25086.08,
2020-02-23,Argentina,monthly,8,,,,,,23441.75,25844.2,24511.5,24146.0,24333.75,24551.75,,,,,7.0,,11.11,,,,,,,45605823.0,23441.75,25844.2,24455.44,
2020-03-01,Argentina,monthly,9,,,,,,22728.0,25416.0,23774.0,23518.0,23688.0,24212.0,,,,,30.0,,11.11,,,,,,,45605823.0,22728.0,25416.0,23824.8,
2020-03-08,Argentina,monthly,10,,,,,,23211.4,25814.0,24368.25,24059.25,24271.0,24497.4,,,,1.714,45.0,15.582,11.11,,,,,,,45605823.0,23211.4,25814.0,24344.78,
2020-03-15,Argentina,monthly,11,,,,,,23694.8,26212.0,24962.5,24600.5,24854.0,24782.8,,,,21.713,204.0,11.511,21.031,,,,,,,45605823.0,23694.8,26212.0,24864.76,
2020-03-22,Argentina,monthly,12,,,,,,24178.2,26610.0,25556.75,25141.75,25437.0,25068.2,,,,96.428,867.0,10.53,66.669,,,,,,,45605823.0,24178.2,26610.0,25384.74,
2020-03-29,Argentina,monthly,13,,,,,,24661.6,27008.0,26151.0,25683.0,26020.0,25353.6,,,,392.714,2551.0,15.464,100.0,,,,,,,45605823.0,24661.6,27008.0,25904.72,
2020-04-05,Argentina,monthly,14,,,,,,25145.0,27051.25,26076.25,25604.4,25932.4,25639.0,,,27.0,661.0,5891.0,11.872,100.0,,,,,,,45605823.0,25145.0,27051.25,25961.86,25612.0
2020-04-12,Argentina,monthly,15,,,,,,25322.0,27094.5,26001.5,25525.8,25844.8,25469.0,,,68.0,650.857,10760.0,6.121,100.0,,,,,,,45605823.0,25322.0,27094.5,25957.72,25401.0
2020-04-19,Argentina,monthly,16,,,,,,25499.0,27137.75,25926.75,25447.2,25757.2,25299.0,,,109.0,711.571,13754.0,5.179,100.0,,,,,,,45605823.0,25447.2,27137.75,25953.58,25190.0
2020-04-26,Argentina,monthly,17,,,,,,25676.0,27181.0,25852.0,25368.6,25669.6,25129.0,,,150.0,866.429,16997.0,5.072,99.736,,,,,,,45605823.0,25368.6,27181.0,25949.44,24979.0
2020-05-03,Argentina,monthly,18,,,,,,25853.0,28385.0,26694.2,25290.0,25582.0,24959.0,,,191.0,1001.285,18485.0,5.418,88.89,,,,,,,45605823.0,25290.0,28385.0,26360.84,24768.0
2020-05-10,Argentina,monthly,19,,,,,,26284.75,29589.0,27536.4,25885.5,26282.25,25604.5,,,223.5,1009.714,22188.0,4.541,88.89,,,,,,,45605823.0,25885.5,29589.0,27115.58,25381.0
2020-05-17,Argentina,monthly,20,,,,,,26716.5,30793.0,28378.6,26481.0,26982.5,26250.0,,,256.0,1756.999,25877.0,6.774,91.269,,,,,,,45605823.0,26481.0,30793.0,27870.32,25994.0
2020-05-24,Argentina,monthly,21,,,,,,27148.25,31997.0,29220.8,27076.5,27682.75,26895.5,,,288.5,2895.142,32115.0,8.911,90.74,,,,,,,45605823.0,27076.5,31997.0,28625.06,26607.0
2020-05-31,Argentina,monthly,22,,,,,,27580.0,33201.0,30063.0,27672.0,28383.0,27541.0,,,321.0,4643.287,36127.0,12.853,90.74,,,,,,,45605823.0,27580.0,33201.0,29379.8,27220.0
2020-06-07,Argentina,monthly,23,,,,,,27962.0,33934.5,31908.0,28602.75,29141.75,27812.6,,,410.4,5439.286,40383.0,13.455,89.947,,,,,,,45605823.0,27962.0,33934.5,30309.8,27402.2
2020-06-14,Argentina,monthly,24,,,,,,28344.0,34668.0,33753.0,29533.5,29900.5,28084.2,,,499.8,7332.429,47345.0,15.435,88.89,,,,,,,45605823.0,28344.0,34668.0,31239.8,27584.4
2020-06-21,Argentina,monthly,25,,,,,,28726.0,35401.5,35598.0,30464.25,30659.25,28355.8,,,589.2,10169.715,56427.0,18.004,88.89,,,,,,,45605823.0,28726.0,35598.0,32169.8,27766.6
