location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Aruba,2020-01-31,1,monthly,,,,,,51.0,64.0,66.0,70.0,49.0,69.0,,,,,,,,,,,,49.0,70.0,60.0,
Aruba,2020-02-29,2,monthly,,,,,,55.0,64.0,62.0,63.0,55.0,56.0,,,,,,,,,,,,55.0,64.0,59.8,
Aruba,2020-03-31,3,monthly,,,,,,57.0,70.0,50.0,60.0,64.0,74.0,,,,,,,,,,,,50.0,70.0,60.2,
Aruba,2020-04-30,4,monthly,,,,,,63.0,71.0,58.0,66.0,50.0,60.0,,,,,,,,,,,,50.0,71.0,61.6,
Aruba,2020-05-31,5,monthly,,,,,,62.0,80.0,63.0,62.0,55.0,47.0,,,,,,,,,,,,55.0,80.0,64.4,
Aruba,2020-06-30,6,monthly,,,,,,47.0,62.0,61.0,49.0,52.0,60.0,,,,,,,,,,,,47.0,62.0,54.2,
Aruba,2020-07-31,7,monthly,,,,,,42.0,63.0,58.0,65.0,56.0,47.0,,,,,,,,,,,,42.0,65.0,56.8,
Aruba,2020-08-31,8,monthly,,,,,,55.0,62.0,63.0,55.0,53.0,63.0,,,,,,,,,,,,53.0,63.0,57.6,
Aruba,2020-09-30,9,monthly,,,,,,53.0,50.0,63.0,46.0,56.0,82.0,,,,,,,,,,,,46.0,63.0,53.6,
Aruba,2020-10-31,10,monthly,,,,,,48.0,64.0,56.0,57.0,63.0,71.0,,,,,,,,,,,,48.0,64.0,57.6,
Aruba,2020-11-30,11,monthly,,,,,,68.0,61.0,56.0,68.0,52.0,57.0,,,,,,,,,,,,52.0,68.0,61.0,
Aruba,2020-12-31,12,monthly,,,,,,78.0,70.0,51.0,56.0,60.0,57.0,,,,,,,,,,,,51.0,78.0,63.0,
