date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Aruba,monthly,1,,,,,,,74.5,69.2,54.8,56.0,60.0,59.75,,8.0,5293.857,,,41.67,84935.514,79114.943,,79.725,74.261,,106536.0,54.8,74.5,63.625,
2022-01-16,Aruba,monthly,2,,,,,,,71.0,68.4,58.6,54.25,62.25,62.5,,9.0,4515.286,,,38.49,85184.929,79332.643,,79.959,74.466,,106536.0,54.25,71.0,63.062,
2022-01-23,Aruba,monthly,3,,,,,,,67.5,67.6,62.4,52.5,64.5,65.25,,10.0,2255.142,,,37.96,85707.286,79550.857,,80.449,74.67,,106536.0,52.5,67.6,62.5,
2022-01-30,Aruba,monthly,4,,,,,,,64.0,66.8,66.2,50.75,66.75,68.0,,11.0,931.858,,,37.96,86517.571,79727.643,,81.21,74.836,,106536.0,50.75,66.8,61.938,
2022-02-06,Aruba,monthly,5,,,,,,51.0,64.0,66.0,70.0,49.0,69.0,72.75,,12.0,483.286,,,31.613,86752.143,79919.0,,81.43,75.016,,106536.0,49.0,70.0,60.0,
2022-02-13,Aruba,monthly,6,,,,,,52.0,64.0,65.0,68.25,50.5,65.75,77.5,,13.5,247.0,,,28.7,86998.143,80093.571,,81.661,75.18,,106536.0,50.5,68.25,59.95,
2022-02-20,Aruba,monthly,7,,,,,,53.0,64.0,64.0,66.5,52.0,62.5,82.25,,15.0,137.428,,,28.7,87196.571,80266.286,,81.847,75.342,,106536.0,52.0,66.5,59.9,
2022-02-27,Aruba,monthly,8,,,,,,54.0,64.0,63.0,64.75,53.5,59.25,87.0,,16.5,88.858,,,28.7,87349.679,80409.357,,81.991,75.476,,106536.0,53.5,64.75,59.85,
2022-03-06,Aruba,monthly,9,,,,,,55.0,64.0,62.0,63.0,55.0,56.0,85.6,,18.0,51.857,,,28.7,87456.821,80521.643,,82.091,75.582,,106536.0,55.0,64.0,59.8,
2022-03-13,Aruba,monthly,10,,,,,,55.4,65.5,59.0,62.25,57.25,59.6,84.2,,13.75,54.857,,,28.7,87587.643,80657.0,,82.214,75.709,,106536.0,55.4,65.5,59.88,
