date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Australia,weekly,1,,,,,,2867.2,2801.1,2794.3,2790.6,3029.1,2811.2,2927.7,,,,,,,,,,,,,,2790.6,3029.1,2856.46,
2020-01-12,Australia,weekly,2,,,,,,2702.9,2882.2,2817.8,2770.2,3062.1,2825.8,2841.5,,,,,,,,,,,,,,2702.9,3062.1,2847.04,
2020-01-19,Australia,weekly,3,,,,,,2701.8,2838.8,2727.2,2761.1,3069.1,2817.9,3022.9,,,,,,,,,,,,,,2701.8,3069.1,2819.6,
2020-01-26,Australia,weekly,4,,,,,,2687.0,2659.5,2789.8,2830.4,3019.7,2933.3,2856.0,,0.0,,,5.56,,,,25788217.0,,,,,2659.5,3019.7,2797.28,2933.3
2020-02-02,Australia,weekly,5,,,,,,2590.0,2853.7,2708.1,2897.5,2962.0,2824.7,3003.9,,0.0,1.381,,7.9399999999999995,,,,25788217.0,,,,,2590.0,2962.0,2802.2599999999998,2824.7
2020-02-09,Australia,weekly,6,,,,,,2806.8,2692.6,2824.5,2690.7,3025.6,2852.7,2873.9,,0.0,0.796,,19.44,,,,25788217.0,,,,,2690.7,3025.6,2808.0400000000004,2852.7
2020-02-16,Australia,weekly,7,,,,,,2723.5,2732.6,2784.2,2790.6,3053.8,2944.5,2852.7,,0.0,0.16342857142857142,,19.44,,,,25788217.0,,,,,2723.5,3053.8,2816.94,2944.5
2020-02-23,Australia,weekly,8,,,,,,2649.3,2731.4,2877.1,2827.0,3142.1,2946.7,2983.7,,0.0,0.0,,19.44,,,,25788217.0,,,,,2649.3,3142.1,2845.38,2946.7
2020-03-01,Australia,weekly,9,,,,,,2757.7,2701.7,2817.8,2867.9,3072.7,3019.5,2962.4,,1.0,0.44899999999999995,,19.44,,,,25788217.0,,,,,2701.7,3072.7,2843.56,3018.5
2020-03-08,Australia,weekly,10,,,,,,2796.5,2794.3,2980.1,2862.2,2995.0,2927.7,3046.4,,2.0,5.061428571428571,,19.44,,,,25788217.0,,,,,2794.3,2995.0,2885.62,2925.7
2020-03-15,Australia,weekly,11,,,,,,2676.7,2755.4,2726.0,2885.0,3070.3,2899.7,3009.5,,0.0,16.857,,19.44,,,,25788217.0,,,,,2676.7,3070.3,2822.6799999999994,2899.7
2020-03-22,Australia,weekly,12,,,,,,2796.5,2864.0,2857.0,2842.9,3010.3,3031.9,2991.5,,4.0,87.51028571428571,,40.47571428571428,,,,25788217.0,,,,,2796.5,3010.3,2874.1400000000003,3027.9
2020-03-29,Australia,weekly,13,,,,,,2774.8,2822.8,2769.7,2922.5,3084.5,3114.7,3012.8,,9.0,289.34700000000004,9744.0,68.6542857142857,,,,25788217.0,2.969488916256158,,,,2769.7,3084.5,2874.8599999999997,3105.7
2020-04-05,Australia,weekly,14,,,,,,2785.1,2941.6,2944.3,2754.3,3042.1,3220.0,2901.9,,19.0,322.40828571428574,11187.42857142857,72.35714285714286,,,,25788217.0,2.8818801716212077,,,,2754.3,3042.1,2893.48,3201.0
2020-04-12,Australia,weekly,15,,,,,,2872.9,2924.5,2888.3,2840.6,3168.0,3131.5,3194.3,,25.0,146.48971428571426,9808.142857142857,73.15,,,,25788217.0,1.4935520048938926,,,,2840.6,3168.0,2938.86,3106.5
2020-04-19,Australia,weekly,16,,,,,,2833.0,2878.8,2956.6,2987.2,3138.6,3015.1,3175.2,,7.0,55.61228571428571,8082.428571428572,70.5,,,,25788217.0,0.6880640542976828,,,,2833.0,3138.6,2958.8399999999997,3008.1
2020-04-26,Australia,weekly,17,,,,,,2952.8,2873.1,2933.1,2814.5,3084.5,3040.8,3178.6,,16.0,26.510142857142856,11728.714285714286,69.44,,,,25788217.0,0.22602769759199035,,,,2814.5,3084.5,2931.6,3024.8
2020-05-03,Australia,weekly,18,,,,,,3016.7,2851.4,2891.7,3011.1,3132.7,2989.3,3329.8,,12.0,14.592,14604.142857142857,69.44,,,,25788217.0,0.09991685333907209,,,,2851.4,3132.7,2980.72,2977.3
2020-05-10,Australia,weekly,19,,,,,,3113.7,2967.9,3055.0,3134.9,3314.0,3160.7,3292.8,,2.0,19.428571428571427,22804.428571428572,69.44,,,,25788217.0,0.08519648439212935,,,,2967.9,3314.0,3117.0999999999995,3158.7
2020-05-17,Australia,weekly,20,,,,,,3074.9,3009.0,3092.0,3144.0,3309.3,3035.2,3304.0,,2.0,15.448857142857142,31028.571428571428,67.45714285714286,,,,25788217.0,0.04978913443830571,,,,3009.0,3309.3,3125.84,3033.2
2020-05-24,Australia,weekly,21,,,,,,3044.1,3179.3,3095.3,3270.1,3423.5,3157.3,3449.6,,3.0,11.265285714285714,27709.14285714286,67.13,,,,25788217.0,0.0406554824606628,,,,3044.1,3423.5,3202.46,3154.3
2020-05-31,Australia,weekly,22,,,,,,3032.7,3230.7,3162.5,3232.6,3483.5,3145.0,3288.3,,1.0,10.510142857142856,31306.714285714286,64.48714285714286,,,,25788217.0,0.03357152961254317,,,,3032.7,3483.5,3228.4,3144.0
2020-06-07,Australia,weekly,23,,,,,,3126.2,3255.8,3216.2,3315.6,3485.9,3077.8,3500.0,,-1.0,11.326285714285714,26325.85714285714,62.04,,,,25788217.0,0.04302342618066974,,,,3126.2,3485.9,3279.94,3078.8
2020-06-14,Australia,weekly,24,,,,,,3155.9,3067.3,3212.8,3147.4,3577.7,3074.4,3403.7,,0.0,7.163285714285714,24633.714285714286,56.284285714285716,,,,25788217.0,0.029079194599735552,,,,3067.3,3577.7,3232.22,3074.4
2020-06-21,Australia,weekly,25,,,,,,3073.7,3241.0,3158.0,3300.8,3568.3,3012.8,3343.2,,0.0,16.306142857142856,30226.285714285714,50.46,,,,25788217.0,0.053946895795523295,,,,3073.7,3568.3,3268.3599999999997,3012.8
2020-06-28,Australia,weekly,26,,,,,,3168.4,3243.2,3261.0,3311.1,3542.4,3001.6,3373.5,,2.0,27.632571428571428,43948.57142857143,52.04571428571428,,,,25788217.0,0.06287478871408139,,,,3168.4,3542.4,3305.2200000000003,2999.6
2020-07-05,Australia,weekly,27,,,,,,3248.3,3332.3,3387.4,3373.5,3568.3,3102.4,3441.8,,2.0,79.38785714285714,46738.857142857145,64.21714285714286,,,,25788217.0,0.16985408286772705,,,,3248.3,3568.3,3381.96,3100.4
2020-07-12,Australia,weekly,28,,,,,,3363.5,3341.5,3468.0,3222.4,3487.1,3136.0,3489.9,,2.0,169.26514285714285,50082.57142857143,73.60857142857142,,,,25788217.0,0.3379721488513255,,,,3222.4,3487.1,3376.5,3134.0
2020-07-19,Australia,weekly,29,,,,,,3343.0,3294.6,3638.1,3328.1,3597.7,3104.7,3548.2,,15.0,259.0202857142857,53793.142857142855,69.64571428571429,,,,25788217.0,0.48151171684123306,,,,3294.6,3638.1,3440.3,3089.7
2020-07-26,Australia,weekly,30,,,,,,3384.1,3344.9,3634.7,3484.9,3655.4,3277.1,3612.0,,38.0,355.3878571428572,62346.142857142855,68.06,,,,25788217.0,0.5700238071778986,,,,3344.9,3655.4,3500.8,3239.1
2020-08-02,Australia,weekly,31,,,,,,3396.6,3330.1,3725.4,3315.6,3441.2,3309.6,3412.7,,60.0,450.4488571428571,63190.42857142857,68.58857142857143,,,,25788217.0,0.7128434912158939,,,,3315.6,3725.4,3441.78,3249.6
2020-08-09,Australia,weekly,32,,,,,,3434.3,3333.5,3696.3,3222.4,3597.7,3306.3,3374.6,,92.0,488.51014285714285,65642.0,75.46,,,,25788217.0,0.744203623986385,,,,3222.4,3696.3,3456.84,3214.3
2020-08-16,Australia,weekly,33,,,,,,3468.5,3469.4,3638.1,3377.0,3577.7,3435.1,3429.5,,108.0,353.14271428571425,68841.71428571429,75.46,,,,25788217.0,0.5129778041552878,,,,3377.0,3638.1,3506.1400000000003,3327.1
2020-08-23,Australia,weekly,34,,,,,,3547.2,3468.3,3670.5,3313.3,3630.7,3239.1,3357.8,,96.0,243.12242857142857,57478.57142857143,75.46,,,,25788217.0,0.4229792469243196,,,,3313.3,3670.5,3526.0,3143.1
2020-08-30,Australia,weekly,35,,,,,,3416.0,3504.8,3770.1,3466.7,3540.1,3224.5,3414.9,,135.0,148.10185714285714,64345.57142857143,75.46,,,,25788217.0,0.23016635621499093,,,,3416.0,3770.1,3539.5399999999995,3089.5
2020-09-06,Australia,weekly,36,,,,,,3491.3,3351.8,3556.4,3287.2,3627.2,3242.4,3283.9,,110.0,96.796,64190.28571428572,75.46,,,,25788217.0,0.15079540295371796,,,,3287.2,3627.2,3462.78,3132.4
2020-09-13,Australia,weekly,37,,,,,,3418.3,3302.6,3685.1,3111.1,3461.2,3164.0,3385.8,,54.0,64.143,62406.42857142857,75.46,,,,25788217.0,0.10278268035573258,,,,3111.1,3685.1,3395.66,3110.0
2020-09-20,Australia,weekly,38,,,,,,3346.4,3162.1,3550.8,3123.6,3461.2,3038.6,3234.6,,35.0,41.02057142857143,45994.71428571428,75.46,,,,25788217.0,0.08918540329168259,,,,3123.6,3550.8,3328.8199999999997,3003.6
2020-09-27,Australia,weekly,39,,,,,,3157.0,3256.9,3259.8,3153.1,3206.9,3129.3,3345.5,,24.0,22.612142857142857,37588.142857142855,75.46,,,,25788217.0,0.060157648498576674,,,,3153.1,3259.8,3206.7400000000002,3105.3
2020-10-04,Australia,weekly,40,,,,,,3131.9,3207.8,3272.1,3127.0,3377.6,3133.8,3209.9,,19.0,15.265142857142857,33401.71428571428,68.06,,,,25788217.0,0.045701674849879394,,,,3127.0,3377.6,3223.2799999999997,3114.8
2020-10-11,Australia,weekly,41,,,,,,3072.6,3170.1,3125.5,3119.0,3238.7,2990.4,3130.4,,4.0,17.061,32513.285714285714,68.06,,,,25788217.0,0.05247393373258404,,,,3072.6,3238.7,3145.1800000000003,2986.4
2020-10-18,Australia,weekly,42,,,,,,2991.6,3151.8,3022.6,3082.7,3230.4,2957.9,3140.5,,7.0,19.67342857142857,36668.142857142855,68.06,,,,25788217.0,0.053652645153247074,,,,2991.6,3230.4,3095.82,2950.9
2020-10-25,Australia,weekly,43,,,,,,2909.4,3167.8,2907.3,2971.3,3218.7,2910.9,2936.7,,0.0,15.775428571428572,38094.142857142855,68.06,,,,25788217.0,0.041411690586104354,,,,2907.3,3218.7,3034.9,2910.9
2020-11-01,Australia,weekly,44,,,,,,2872.9,3070.7,2959.9,3009.9,3165.7,2969.1,,,2.0,14.32642857142857,39491.142857142855,63.56,,,,25788217.0,0.03627757399489216,,,,2872.9,3165.7,3015.8199999999997,2967.1
2020-11-08,Australia,weekly,45,,,,,,2878.6,3157.6,2807.7,2990.6,3080.9,3000.5,,,0.0,9.46942857142857,39959.71428571428,62.76428571428572,,,,25788217.0,0.023697438134120796,,,,2807.7,3157.6,2983.08,3000.5
2020-11-15,Australia,weekly,46,,,,,,2740.6,2945.1,2864.8,2873.6,3125.7,3058.7,,,0.0,7.183714285714286,40189.142857142855,64.35,,,,25788217.0,0.017874763617750353,,,,2740.6,3125.7,2909.96,3058.7
2020-11-22,Australia,weekly,47,,,,,,2866.1,3026.2,2842.4,2988.4,3065.6,2941.1,,,0.0,15.101857142857144,42500.71428571428,64.35,,,,25788217.0,0.03553318431622998,,,,2842.4,3065.6,2957.7400000000002,2941.1
2020-11-29,Australia,weekly,48,,,,,,2860.4,2878.8,2834.6,2917.9,3063.3,2860.5,,,1.0,11.040857142857144,43968.42857142857,64.35,,,,25788217.0,0.025110875010965664,,,,2834.6,3063.3,2911.0,2859.5
2020-12-06,Australia,weekly,49,,,,,,2795.4,2720.0,2842.4,2923.6,3048.0,3021.8,,,0.0,10.244857142857143,33029.42857142857,62.76428571428572,,,,25788217.0,0.031017361141146855,,,,2720.0,3048.0,2865.88,3021.8
2020-12-13,Australia,weekly,50,,,,,,2878.6,2896.0,2908.4,2947.4,3065.6,2942.3,,,0.0,9.53057142857143,28582.14285714286,62.5,,,,25788217.0,0.03334449581406972,,,,2878.6,3065.6,2939.2,2942.3
2020-12-20,Australia,weekly,51,,,,,,2787.4,2902.8,2841.3,2879.3,2986.7,2952.3,,,0.0,13.918285714285714,27261.85714285714,64.88,,,,25788217.0,0.051054062976529216,,,,2787.4,2986.7,2879.5,2952.3
2020-12-27,Australia,weekly,52,,,,,,2675.5,2922.2,2658.9,2880.4,2914.9,2964.7,,,1.0,23.857285714285716,56404.857142857145,70.83,,,,25788217.0,0.0422965094191483,,,,2658.9,2922.2,2810.38,2963.7
2021-01-03,Australia,weekly,53,,,,,2867.2,2738.3,2794.3,2790.6,3029.1,2811.2,2875.1,,,0.0,21.918285714285712,55523.857142857145,70.83,,,,25788217.0,0.03947543784267766,,,,2738.3,3029.1,2838.4500000000003,2875.1
2021-01-10,Australia,weekly,1,,,,,2702.9,2801.1,2817.8,2770.2,3062.1,2825.8,2927.7,,,0.0,19.449,71023.57142857143,70.83,,,,25788217.0,0.027383866523186466,,,,2702.9,3062.1,2829.9833333333336,2927.7
