date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Australia,weekly,1,,,,,,2867.2,2801.1,2794.3,2790.6,3029.1,2811.2,2927.7,,121.0,381628.428,1665822.0,23.03,43.451,20500353.143,19851811.143,3159160.571,79.495,76.98,12.25,25788217.0,2790.6,3029.1,2856.46,
2022-01-16,Australia,weekly,2,,,,,,2702.9,2882.2,2817.8,2770.2,3062.1,2825.8,2841.5,,305.0,706087.856,1711845.0,41.26,44.244,20774968.857,19981958.143,4556724.429,80.56,77.485,17.67,25788217.0,2702.9,3062.1,2847.04,
2022-01-23,Australia,weekly,3,,,,,,2701.8,2838.8,2727.2,2761.1,3069.1,2817.9,3022.9,,456.0,582341.857,1465236.0,39.42,64.221,21202429.286,20078843.571,6007518.286,82.218,77.861,23.296,25788217.0,2701.8,3069.1,2819.6,
2022-01-30,Australia,weekly,4,,,,,,2687.0,2659.5,2789.8,2830.4,3019.7,2933.3,2856.0,,612.0,383777.857,1042336.0,37.085,64.68,21542122.286,20160749.143,7328820.143,83.535,78.178,28.419,25788217.0,2659.5,3019.7,2797.28,
2022-02-06,Australia,weekly,5,,,,,,2590.0,2853.7,2708.1,2897.5,2962.0,2824.7,3003.9,,488.0,218587.143,805003.0,26.84,55.56,21757516.857,20255043.143,8570101.0,84.37,78.544,33.233,25788217.0,2590.0,2962.0,2802.26,
2022-02-13,Australia,weekly,6,,,,,,2806.8,2692.6,2824.5,2690.7,3025.6,2852.7,2873.9,,356.0,179310.143,674141.0,26.582,53.906,21877299.143,20336700.0,9680427.143,84.834,78.86,37.538,25788217.0,2690.7,3025.6,2808.04,
2022-02-20,Australia,weekly,7,,,,,,2723.5,2732.6,2784.2,2790.6,3053.8,2944.5,2852.7,,325.0,143382.0,590262.0,24.268,43.98,21953925.857,20402075.429,10550830.0,85.132,79.114,40.913,25788217.0,2723.5,3053.8,2816.94,
2022-02-27,Australia,weekly,8,,,,,,2649.3,2731.4,2877.1,2827.0,3142.1,2946.7,2983.7,,96.0,36840.428,78902.0,23.27,43.98,21992267.0,20433044.0,10940087.0,85.28,79.234,42.423,25788217.0,2649.3,3142.1,2845.38,
2022-03-06,Australia,weekly,9,,,,,,2757.7,2701.7,2817.8,2867.9,3072.7,3019.5,2962.4,,,,,,,,,,,,,,2701.7,3072.7,2843.56,
2022-03-13,Australia,weekly,10,,,,,,2796.5,2794.3,2980.1,2862.2,2995.0,2927.7,3046.4,,,,,,,,,,,,,,2794.3,2995.0,2885.62,
2022-03-20,Australia,weekly,11,,,,,,2676.7,2755.4,2726.0,2885.0,3070.3,2899.7,3009.5,,,,,,,,,,,,,,2676.7,3070.3,2822.68,
2022-03-27,Australia,weekly,12,,,,,,2796.5,2864.0,2857.0,2842.9,3010.3,3031.9,2991.5,,,,,,,,,,,,,,2796.5,3010.3,2874.14,
2022-04-03,Australia,weekly,13,,,,,,2774.8,2822.8,2769.7,2922.5,3084.5,3114.7,3012.8,,,,,,,,,,,,,,2769.7,3084.5,2874.86,
2022-04-10,Australia,weekly,14,,,,,,2785.1,2941.6,2944.3,2754.3,3042.1,3220.0,2901.9,,,,,,,,,,,,,,2754.3,3042.1,2893.48,
2022-04-17,Australia,weekly,15,,,,,,2872.9,2924.5,2888.3,2840.6,3168.0,3131.5,3194.3,,,,,,,,,,,,,,2840.6,3168.0,2938.86,
2022-04-24,Australia,weekly,16,,,,,,2833.0,2878.8,2956.6,2987.2,3138.6,3015.1,3175.2,,,,,,,,,,,,,,2833.0,3138.6,2958.84,
2022-05-01,Australia,weekly,17,,,,,,2952.8,2873.1,2933.1,2814.5,3084.5,3040.8,3178.6,,,,,,,,,,,,,,2814.5,3084.5,2931.6,
2022-05-08,Australia,weekly,18,,,,,,3016.7,2851.4,2891.7,3011.1,3132.7,2989.3,3329.8,,,,,,,,,,,,,,2851.4,3132.7,2980.72,
2022-05-15,Australia,weekly,19,,,,,,3113.7,2967.9,3055.0,3134.9,3314.0,3160.7,3292.8,,,,,,,,,,,,,,2967.9,3314.0,3117.1,
2022-05-22,Australia,weekly,20,,,,,,3074.9,3009.0,3092.0,3144.0,3309.3,3035.2,3304.0,,,,,,,,,,,,,,3009.0,3309.3,3125.84,
2022-05-29,Australia,weekly,21,,,,,,3044.1,3179.3,3095.3,3270.1,3423.5,3157.3,3449.6,,,,,,,,,,,,,,3044.1,3423.5,3202.46,
2022-06-05,Australia,weekly,22,,,,,,3032.7,3230.7,3162.5,3232.6,3483.5,3145.0,3288.3,,,,,,,,,,,,,,3032.7,3483.5,3228.4,
2022-06-12,Australia,weekly,23,,,,,,3126.2,3255.8,3216.2,3315.6,3485.9,3077.8,3500.0,,,,,,,,,,,,,,3126.2,3485.9,3279.94,
2022-06-19,Australia,weekly,24,,,,,,3155.9,3067.3,3212.8,3147.4,3577.7,3074.4,3403.7,,,,,,,,,,,,,,3067.3,3577.7,3232.22,
2022-06-26,Australia,weekly,25,,,,,,3073.7,3241.0,3158.0,3300.8,3568.3,3012.8,3343.2,,,,,,,,,,,,,,3073.7,3568.3,3268.36,
2022-07-03,Australia,weekly,26,,,,,,3168.4,3243.2,3261.0,3311.1,3542.4,3001.6,3373.5,,,,,,,,,,,,,,3168.4,3542.4,3305.22,
2022-07-10,Australia,weekly,27,,,,,,3248.3,3332.3,3387.4,3373.5,3568.3,3102.4,3441.8,,,,,,,,,,,,,,3248.3,3568.3,3381.96,
2022-07-17,Australia,weekly,28,,,,,,3363.5,3341.5,3468.0,3222.4,3487.1,3136.0,3489.9,,,,,,,,,,,,,,3222.4,3487.1,3376.5,
2022-07-24,Australia,weekly,29,,,,,,3343.0,3294.6,3638.1,3328.1,3597.7,3104.7,3548.2,,,,,,,,,,,,,,3294.6,3638.1,3440.3,
2022-07-31,Australia,weekly,30,,,,,,3384.1,3344.9,3634.7,3484.9,3655.4,3277.1,3612.0,,,,,,,,,,,,,,3344.9,3655.4,3500.8,
2022-08-07,Australia,weekly,31,,,,,,3396.6,3330.1,3725.4,3315.6,3441.2,3309.6,3412.7,,,,,,,,,,,,,,3315.6,3725.4,3441.78,
2022-08-14,Australia,weekly,32,,,,,,3434.3,3333.5,3696.3,3222.4,3597.7,3306.3,3374.6,,,,,,,,,,,,,,3222.4,3696.3,3456.84,
2022-08-21,Australia,weekly,33,,,,,,3468.5,3469.4,3638.1,3377.0,3577.7,3435.1,3429.5,,,,,,,,,,,,,,3377.0,3638.1,3506.14,
2022-08-28,Australia,weekly,34,,,,,,3547.2,3468.3,3670.5,3313.3,3630.7,3239.1,3357.8,,,,,,,,,,,,,,3313.3,3670.5,3526.0,
2022-09-04,Australia,weekly,35,,,,,,3416.0,3504.8,3770.1,3466.7,3540.1,3224.5,3414.9,,,,,,,,,,,,,,3416.0,3770.1,3539.54,
2022-09-11,Australia,weekly,36,,,,,,3491.3,3351.8,3556.4,3287.2,3627.2,3242.4,3283.9,,,,,,,,,,,,,,3287.2,3627.2,3462.78,
