date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Azerbaijan,monthly,1,,,,,,,4763.25,5269.0,4889.6,4517.0,5210.0,12868.0,6895.4,1059.5,4576.0,,,85.05,,,,,,,10358078.0,4517.0,5269.0,4859.712,11808.5
2021-01-17,Azerbaijan,monthly,2,,,,,,,4826.5,5473.0,4988.2,4743.5,5201.75,11236.0,6673.8,870.0,3394.714,,,83.86,0.0,,,0.0,,,10358078.0,4743.5,5473.0,5007.8,10366.0
2021-01-24,Azerbaijan,monthly,3,,,,,,,4889.75,5677.0,5086.8,4970.0,5193.5,9604.0,6452.2,680.5,2083.43,,,82.274,13000.0,,,0.126,,,10358078.0,4889.75,5677.0,5155.888,8923.5
2021-01-31,Azerbaijan,monthly,4,,,,,,,4953.0,5881.0,5185.4,5196.5,5185.25,7972.0,6230.6,491.0,1491.001,,,79.63,35750.0,,,0.345,,,10358078.0,4953.0,5881.0,5303.975,7481.0
2021-02-07,Azerbaijan,monthly,5,,,,,,5000.0,4958.0,6085.0,5284.0,5423.0,5177.0,7320.5,6009.0,390.25,1033.284,,,71.163,59454.099,,,0.574,,,10358078.0,4958.0,6085.0,5350.0,6930.25
2021-02-14,Azerbaijan,monthly,6,,,,,,4850.0,4963.0,5810.0,5267.0,5271.25,5142.5,6669.0,6143.75,289.5,922.286,,,70.37,114643.478,,,1.107,,,10358078.0,4850.0,5810.0,5232.25,6379.5
2021-02-21,Azerbaijan,monthly,7,,,,,,4700.0,4968.0,5535.0,5250.0,5119.5,5108.0,6017.5,6278.5,188.75,988.0,,,70.37,184144.348,,,1.778,,,10358078.0,4700.0,5535.0,5114.5,5828.75
2021-02-28,Azerbaijan,monthly,8,,,,,,4550.0,4973.0,5260.0,5233.0,4967.75,5073.5,5366.0,6413.25,88.0,1177.143,,,67.987,253645.217,,,2.449,,,10358078.0,4550.0,5260.0,4996.75,5278.0
2021-03-07,Azerbaijan,monthly,9,,,,,,4400.0,4978.0,4985.0,5216.0,4816.0,5039.0,5428.0,6548.0,139.8,1852.714,,,67.59,345558.214,,,3.336,,,10358078.0,4400.0,5216.0,4879.0,5288.2
2021-03-14,Azerbaijan,monthly,10,,,,,,4360.0,4875.0,4936.25,5137.75,4752.75,5189.6,5490.0,6452.5,191.6,2789.428,,,67.59,431986.071,,,4.171,,,10358078.0,4360.0,5137.75,4812.35,5298.4
