date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Bahamas,monthly,1,,,,,,,180.25,179.4,223.6,203.0,258.0,236.25,,,,,,,,,,,,,,179.4,223.6,196.562,
2020-01-12,Bahamas,monthly,2,,,,,,,185.5,190.8,230.2,208.75,255.75,235.5,,,,,,,,,,,,,,185.5,230.2,203.812,
2020-01-19,Bahamas,monthly,3,,,,,,,190.75,202.2,236.8,214.5,253.5,234.75,,,,,,,,,,,,,,190.75,236.8,211.062,
2020-01-26,Bahamas,monthly,4,,,,,,,196.0,213.6,243.4,220.25,251.25,234.0,,,,,,,,,,,,,,196.0,243.4,218.312,
2020-02-02,Bahamas,monthly,5,,,,,,199.0,200.0,225.0,250.0,226.0,249.0,230.25,,,,,,,,,,,,,,199.0,250.0,220.0,
2020-02-09,Bahamas,monthly,6,,,,,,201.5,204.0,219.5,239.75,225.25,240.25,226.5,,,,,,,,,,,,,,201.5,239.75,218.0,
2020-02-16,Bahamas,monthly,7,,,,,,204.0,208.0,214.0,229.5,224.5,231.5,222.75,,,,,,,,,,,,,,204.0,229.5,216.0,
2020-02-23,Bahamas,monthly,8,,,,,,206.5,212.0,208.5,219.25,223.75,222.75,219.0,,,,,,,,,,,,,,206.5,223.75,214.0,
2020-03-01,Bahamas,monthly,9,,,,,,209.0,216.0,203.0,209.0,223.0,214.0,223.0,,,,,,,,,,,,,,203.0,223.0,212.0,
2020-03-08,Bahamas,monthly,10,,,,,,206.4,212.25,205.5,215.75,217.25,215.6,227.0,,,,,,,,,,,,,,205.5,217.25,211.43,
2020-03-15,Bahamas,monthly,11,,,,,,203.8,208.5,208.0,222.5,211.5,217.2,231.0,,,,,,,,,,,,,,203.8,222.5,210.86,
2020-03-22,Bahamas,monthly,12,,,,,,201.2,204.75,210.5,229.25,205.75,218.8,235.0,,,1.142,,,52.781,,,,,,,409989.0,201.2,229.25,210.29,
2020-03-29,Bahamas,monthly,13,,,,,,198.6,201.0,213.0,236.0,200.0,220.4,239.0,,,5.285,,,94.316,,,,,,,409989.0,198.6,236.0,209.72,
2020-04-05,Bahamas,monthly,14,,,,,,196.0,198.5,204.0,231.0,196.2,222.0,238.0,,,14.144,,,96.3,,,,,,,409989.0,196.0,231.0,205.14,
2020-04-12,Bahamas,monthly,15,,,,,,191.5,196.0,195.0,226.0,192.4,221.0,237.0,,,17.713,,,96.3,,,,,,,409989.0,191.5,226.0,200.18,
2020-04-19,Bahamas,monthly,16,,,,,,187.0,193.5,186.0,221.0,188.6,220.0,236.0,,,12.143,,,96.3,,,,,,,409989.0,186.0,221.0,195.22,
2020-04-26,Bahamas,monthly,17,,,,,,182.5,191.0,177.0,216.0,184.8,219.0,235.0,,,18.714,,,96.3,,,,,,,409989.0,177.0,216.0,190.26,
2020-05-03,Bahamas,monthly,18,,,,,,178.0,189.4,183.2,211.0,181.0,218.0,234.8,,11.0,10.715,,,96.3,,,,,,,409989.0,178.0,211.0,188.52,207.0
2020-05-10,Bahamas,monthly,19,,,,,,182.5,187.8,189.4,207.0,188.0,212.75,234.6,,8.25,9.143,,,96.3,,,,,,,409989.0,182.5,207.0,190.94,204.5
2020-05-17,Bahamas,monthly,20,,,,,,187.0,186.2,195.6,203.0,195.0,207.5,234.4,,5.5,4.57,,,96.3,,,,,,,409989.0,186.2,203.0,193.36,202.0
2020-05-24,Bahamas,monthly,21,,,,,,191.5,184.6,201.8,199.0,202.0,202.25,234.2,,2.75,2.715,,,96.3,,,,,,,409989.0,184.6,202.0,195.78,199.5
2020-05-31,Bahamas,monthly,22,,,,,,196.0,183.0,208.0,195.0,209.0,197.0,234.0,,0.0,3.428,,,94.18,,,,,,,409989.0,183.0,209.0,198.2,197.0
2020-06-07,Bahamas,monthly,23,,,,,,191.6,186.25,201.5,200.75,205.0,197.6,233.75,,0.0,1.287,,,81.48,,,,,,,409989.0,186.25,205.0,197.02,197.6
2020-06-14,Bahamas,monthly,24,,,,,,187.2,189.5,195.0,206.5,201.0,198.2,233.5,,0.0,0.715,,,79.63,,,,,,,409989.0,187.2,206.5,195.84,198.2
