date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Barbados,monthly,1,,,,,,,220.5,227.6,196.4,187.0,235.0,224.0,315.4,,,,,,,,,,,,,187.0,227.6,207.875,
2020-01-12,Barbados,monthly,2,,,,,,,219.0,248.2,202.8,206.0,240.0,207.0,310.8,,,,,,,,,,,,,202.8,248.2,219.0,
2020-01-19,Barbados,monthly,3,,,,,,,217.5,268.8,209.2,225.0,245.0,190.0,306.2,,,,,,,,,,,,,209.2,268.8,230.125,
2020-01-26,Barbados,monthly,4,,,,,,,216.0,289.4,215.6,244.0,250.0,173.0,301.6,,,,,,,,,,,,,215.6,289.4,241.25,
2020-02-02,Barbados,monthly,5,,,,,,336.0,214.4,310.0,222.0,263.0,255.0,185.25,297.0,,,,,,,,,,,,,214.4,336.0,269.08,
2020-02-09,Barbados,monthly,6,,,,,,298.75,212.8,284.0,224.5,258.25,247.25,197.5,294.0,,,,,,,,,,,,,212.8,298.75,255.66,
2020-02-16,Barbados,monthly,7,,,,,,261.5,211.2,258.0,227.0,253.5,239.5,209.75,291.0,,,,,,,,,,,,,211.2,261.5,242.24,
2020-02-23,Barbados,monthly,8,,,,,,224.25,209.6,232.0,229.5,248.75,231.75,222.0,288.0,,,,,,,,,,,,,209.6,248.75,228.82,
2020-03-01,Barbados,monthly,9,,,,,,187.0,208.0,206.0,232.0,244.0,224.0,242.0,285.0,,,,,,,,,,,,,187.0,244.0,215.4,
2020-03-08,Barbados,monthly,10,,,,,,194.4,197.0,213.5,228.5,234.5,228.0,262.0,319.25,,,,,,,,,,,,,194.4,234.5,213.58,
2020-03-15,Barbados,monthly,11,,,,,,201.8,186.0,221.0,225.0,225.0,232.0,282.0,353.5,,,,,,,,,,,,,186.0,225.0,211.76,
2020-03-22,Barbados,monthly,12,,,,,,209.2,175.0,228.5,221.5,215.5,236.0,302.0,387.75,,2.0,,,43.517,,,,,,,281646.0,175.0,228.5,209.94,
2020-03-29,Barbados,monthly,13,,,,,,216.6,164.0,236.0,218.0,206.0,240.0,322.0,422.0,,17.143,,,51.454,,,,,,,281646.0,164.0,236.0,208.12,
2020-04-05,Barbados,monthly,14,,,,,,224.0,183.5,226.25,203.0,215.2,244.0,288.75,389.75,,21.715,,,71.164,,,,,,,281646.0,183.5,226.25,210.39,
2020-04-12,Barbados,monthly,15,,,,,,218.5,203.0,216.5,188.0,224.4,228.75,255.5,357.5,,21.715,,,87.301,,,,,,,281646.0,188.0,224.4,210.08,
