location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Belarus,2020-01-31,1,monthly,,,,,,11366.0,11322.0,11978.0,10659.0,11904.0,10725.0,16127.0,,,,,,,,,,,10659.0,11978.0,11445.8,
Belarus,2020-02-29,2,monthly,,,,,,10005.0,9764.0,10188.0,9391.0,10115.0,9622.0,12554.0,0.0,,,0.0,,,9449321.0,,,,9391.0,10188.0,9892.6,9622.0
Belarus,2020-03-31,3,monthly,,,,,,11148.0,10260.0,10205.0,12080.0,10206.0,10690.0,11036.0,1.0,3.8417857142857144,952.3181818181819,4.836774193548387,,,9449321.0,0.4034140886558432,,,10205.0,12080.0,10779.8,10689.0
Belarus,2020-04-30,4,monthly,,,,,,10410.0,9817.0,9793.0,10825.0,10343.0,10886.0,,88.0,375.10949999999997,4207.566666666667,28.578666666666667,,,9449321.0,8.915117209471823,,,9793.0,10825.0,10237.6,10798.0
Belarus,2020-05-31,5,monthly,,,,,,10210.0,10453.0,10142.0,9940.0,10657.0,11966.0,,146.0,919.188935483871,11173.645161290322,31.48,,,9449321.0,8.226401699852476,,,9940.0,10657.0,10280.4,11820.0
Belarus,2020-06-30,6,monthly,,,,,,9399.0,9629.0,9304.0,9036.0,9263.0,13016.0,,157.0,707.2524333333333,15173.033333333333,31.48,,,9449321.0,4.661246158206116,,,9036.0,9629.0,9326.2,12859.0
Belarus,2020-07-31,7,monthly,,,,,,9342.0,9377.0,9272.0,9525.0,9989.0,10759.0,,167.0,203.79729032258066,10119.258064516129,31.48,,,9449321.0,2.013954867276385,,,9272.0,9989.0,9501.0,10592.0
Belarus,2020-08-31,8,monthly,,,,,,9678.0,9134.0,9134.0,9215.0,9065.0,10413.0,,122.0,126.83399999999999,7583.677419354839,31.48,,,9449321.0,1.6724603775511069,,,9065.0,9678.0,9245.2,10291.0
Belarus,2020-09-30,9,monthly,,,,,,8964.0,9073.0,9233.0,9249.0,9113.0,10659.0,,152.0,209.89523333333332,10437.533333333333,31.48,,,9449321.0,2.0109658731628803,,,8964.0,9249.0,9126.4,10507.0
Belarus,2020-10-31,10,monthly,,,,,,10202.0,10364.0,10629.0,10256.0,10519.0,12704.0,,147.0,579.9585483870968,19604.41935483871,32.01806451612904,,,9449321.0,2.958305155025941,,,10202.0,10629.0,10394.0,12557.0
Belarus,2020-11-30,11,monthly,,,,,,9286.0,9969.0,9509.0,9545.0,9374.0,15565.0,,178.0,1203.9619,25460.733333333334,37.04,,,9449321.0,4.728700796782497,,,9286.0,9969.0,9536.6,15387.0
Belarus,2020-12-31,12,monthly,,,,,,10015.0,10207.0,9916.0,10326.0,10365.0,17531.0,,266.0,1835.4192903225805,23554.967741935485,38.47225806451613,0.0,,9449321.0,7.792068791734912,0.0,,9916.0,10365.0,10165.8,17265.0
