date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Belarus,monthly,1,,,,,,,10341.75,10561.2,10064.6,10326.0,10365.0,17180.0,,273.0,12558.858,116742.0,10.757156064167065,42.589999999999996,4027.692307692308,,,0.04265327794717756,,,9442867.0,10.757142857142856,10064.6,10561.2,10323.3875,16907.0
2021-01-17,Belarus,monthly,2,,,,,,,10668.5,10915.4,10213.2,10720.5,10455.0,16829.0,,280.0,12831.286,109489.0,11.724828866338344,42.589999999999996,6847.076923076923,,,0.07251057251020186,,,9442867.0,11.724285714285715,10213.2,10915.4,10629.400000000001,16549.0
2021-01-24,Belarus,monthly,3,,,,,,,10995.25,11269.6,10361.8,11115.0,10545.0,16478.0,,287.0,12681.571,110737.0,11.454609015318495,42.589999999999996,9666.461538461537,,,0.10236786707322616,,,9442867.0,11.455714285714285,10361.8,11269.6,10935.412499999999,16191.0
2021-01-31,Belarus,monthly,4,,,,,,,11322.0,11623.8,10510.4,11509.5,10635.0,16127.0,,294.0,10753.714,105856.0,10.163877059357436,42.589999999999996,12485.846153846154,,,0.13222516163625045,,,9442867.0,10.164285714285715,10510.4,11623.8,11241.425,15833.0
2021-02-07,Belarus,monthly,5,,,,,,11366.0,11010.4,11978.0,10659.0,11904.0,10725.0,15233.75,,285.0,10500.572,102743.0,10.229288930553418,42.589999999999996,15305.230769230768,,,0.16208245619927478,,,9442867.0,10.23,10659.0,11978.0,11383.48,14948.75
2021-02-14,Belarus,monthly,6,,,,,,11025.75,10698.8,11530.5,10342.0,11456.75,10449.25,14340.5,,276.0,10105.713,106008.0,9.535482175196412,42.589999999999996,18124.615384615383,,,0.19193975076229905,,,9442867.0,9.535714285714286,10342.0,11530.5,11010.76,14064.5
2021-02-21,Belarus,monthly,7,,,,,,10685.5,10387.2,11083.0,10025.0,11009.5,10173.5,13447.25,,267.0,10184.999,111149.0,9.161944491986981,42.589999999999996,20598.76923076923,,,0.21814105007270812,,,9442867.0,9.161428571428571,10025.0,11083.0,10638.039999999999,13180.25
2021-02-28,Belarus,monthly,8,,,,,,10345.25,10075.6,10635.5,9708.0,10562.25,9897.75,12554.0,,258.0,9284.286,108540.0,8.55385555273843,42.589999999999996,20944.0,,,0.22179704532532332,,,9442867.0,8.554285714285713,9708.0,10635.5,10265.32,12296.0
2021-03-07,Belarus,monthly,9,,,,,,10005.0,9764.0,10188.0,9391.0,10115.0,9622.0,12250.4,,260.6,8609.0,107619.0,7.999890925818621,42.589999999999996,20944.0,,,0.22179704532532332,,,9442867.0,7.998571428571429,9391.0,10188.0,9892.6,11989.8
2021-03-14,Belarus,monthly,10,,,,,,10233.6,9888.0,10192.25,10063.25,10137.75,9835.6,11946.8,,263.2,7474.0,96452.0,7.73997764727567,42.589999999999996,21543.204081632655,11150.0,,0.2281426189909553,0.11807854542481643,,9442867.0,7.74,9888.0,10233.6,10102.97,11683.599999999999
2021-03-21,Belarus,monthly,11,,,,,,10462.2,10012.0,10196.5,10735.5,10160.5,10049.2,11643.2,,265.8,7435.857,107794.0,6.920255861876852,42.589999999999996,29332.85714285714,16900.0,,0.3106350766441711,0.1789710688501702,,9442867.0,6.921428571428572,10012.0,10735.5,10313.34,11377.400000000001
