date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Belize,monthly,1,,,,,,,151.5,149.0,187.2,165.0,205.0,,,88.25,391.999,,,72.22,,,,,,,400031.0,149.0,187.2,163.175,
2021-01-17,Belize,monthly,2,,,,,,,152.0,152.0,187.4,168.0,198.25,,,76.5,317.714,,,72.22,,,,,,,400031.0,152.0,187.4,164.85,
2021-01-24,Belize,monthly,3,,,,,,,152.5,155.0,187.6,171.0,191.5,,,64.75,212.286,,,72.22,,,,,,,400031.0,152.5,187.6,166.525,
2021-01-31,Belize,monthly,4,,,,,,,153.0,158.0,187.8,174.0,184.75,,,53.0,173.571,,,73.017,,,,,,,400031.0,153.0,187.8,168.2,
2021-02-07,Belize,monthly,5,,,,,,149.0,152.2,161.0,188.0,177.0,178.0,,,43.25,151.859,,,73.15,,,,,,,400031.0,149.0,188.0,165.44,
2021-02-14,Belize,monthly,6,,,,,,148.5,151.4,156.0,181.5,170.75,175.0,,,33.5,117.002,,,73.15,,,,,,,400031.0,148.5,181.5,161.63,
2021-02-21,Belize,monthly,7,,,,,,148.0,150.6,151.0,175.0,164.5,172.0,,,23.75,98.0,,,73.15,,,,,,,400031.0,148.0,175.0,157.82,
2021-02-28,Belize,monthly,8,,,,,,147.5,149.8,146.0,168.5,158.25,169.0,,,14.0,67.001,,,73.15,0.0,,,0.0,,,400031.0,146.0,168.5,154.01,
2021-03-07,Belize,monthly,9,,,,,,147.0,149.0,141.0,162.0,152.0,166.0,,,11.9,49.429,,,73.15,779.429,,,0.195,,,400031.0,141.0,162.0,150.2,
2021-03-14,Belize,monthly,10,,,,,,151.0,160.75,148.0,162.25,157.75,166.0,,,9.8,29.857,,,73.15,4958.5,,,1.24,,,400031.0,148.0,162.25,155.95,
2021-03-21,Belize,monthly,11,,,,,,155.0,172.5,155.0,162.5,163.5,166.0,,,7.7,37.572,,,73.15,13123.429,,,3.281,,,400031.0,155.0,172.5,161.7,
2021-03-28,Belize,monthly,12,,,,,,159.0,184.25,162.0,162.75,169.25,166.0,,,5.6,16.572,,,73.15,19027.014,,,4.756,,,400031.0,159.0,184.25,167.45,
2021-04-04,Belize,monthly,13,,,,,,163.0,196.0,169.0,163.0,175.0,166.0,,,3.5,32.428,,,73.15,22310.976,,,5.577,,,400031.0,163.0,196.0,173.2,
2021-04-11,Belize,monthly,14,,,,,,167.0,185.0,166.25,162.8,170.0,166.0,,,4.125,35.429,,,73.15,25659.01,,,6.414,,,400031.0,162.8,185.0,170.21,
2021-04-18,Belize,monthly,15,,,,,,168.0,174.0,163.5,162.6,165.0,160.75,,,4.75,46.142,,,43.52,32421.214,,,8.105,,,400031.0,162.6,174.0,166.62,
2021-04-25,Belize,monthly,16,,,,,,169.0,163.0,160.75,162.4,160.0,155.5,,,5.375,60.427,,,43.52,38010.571,,,9.502,,,400031.0,160.0,169.0,163.03,
2021-05-02,Belize,monthly,17,,,,,,170.0,152.0,158.0,162.2,155.0,150.25,,,6.0,62.857,,,43.52,42429.0,,,10.606,,,400031.0,152.0,170.0,159.44,
2021-05-09,Belize,monthly,18,,,,,,171.0,148.0,158.8,162.0,150.0,145.0,,,5.0,32.142,,,50.659,46695.536,,,11.673,,,400031.0,148.0,171.0,157.96,
2021-05-16,Belize,monthly,19,,,,,,169.75,144.0,159.6,161.0,150.75,148.0,,,4.0,27.571,,,62.04,51301.679,,,12.824,,,400031.0,144.0,169.75,157.02,
2021-05-23,Belize,monthly,20,,,,,,168.5,140.0,160.4,160.0,151.5,151.0,,,3.0,47.286,,,62.04,57824.607,10110.208,,14.455,2.527,,400031.0,140.0,168.5,156.08,
2021-05-30,Belize,monthly,21,,,,,,167.25,136.0,161.2,159.0,152.25,154.0,,,2.0,27.714,3818.0,0.532,62.04,62945.857,10962.571,,15.735,2.74,,400031.0,136.0,167.25,155.14,
2021-06-06,Belize,monthly,22,,,,,,166.0,132.0,162.0,158.0,153.0,157.0,,,1.0,56.715,3928.0,1.445,62.04,66884.577,12159.505,,16.72,3.04,,400031.0,132.0,166.0,154.2,
2021-06-13,Belize,monthly,23,,,,,,158.2,139.25,164.25,155.0,152.75,159.2,,,2.0,82.571,4540.0,1.822,62.04,71709.352,15658.638,,17.926,3.914,,400031.0,139.25,164.25,153.89,
2021-06-20,Belize,monthly,24,,,,,,150.4,146.5,166.5,152.0,152.5,161.4,,,3.0,71.145,4658.0,1.532,66.801,75951.393,21099.393,,18.986,5.274,,400031.0,146.5,166.5,153.58,
2021-06-27,Belize,monthly,25,,,,,,142.6,153.75,168.75,149.0,152.25,163.6,,,4.0,105.142,4739.0,2.21,67.596,81062.821,26650.143,,20.264,6.662,,400031.0,142.6,168.75,153.27,
2021-07-04,Belize,monthly,26,,,,,,134.8,161.0,171.0,146.0,152.0,165.8,,,5.0,185.716,5906.0,3.135,66.67,88567.464,31717.5,,22.14,7.929,,400031.0,134.8,171.0,152.96,
2021-07-11,Belize,monthly,27,,,,,,127.0,154.0,171.4,145.8,151.4,168.0,,,5.75,182.571,7308.0,2.521,64.684,100688.714,36917.286,,25.17,9.229,,400031.0,127.0,171.4,149.92,
2021-07-18,Belize,monthly,28,,,,,,134.25,147.0,171.8,145.6,150.8,165.0,,,6.5,168.571,7010.0,2.412,63.89,111083.571,41149.5,,27.769,10.287,,400031.0,134.25,171.8,149.89,
2021-07-25,Belize,monthly,29,,,,,,141.5,140.0,172.2,145.4,150.2,162.0,,,7.25,234.715,5417.0,4.419,63.89,119610.357,45530.714,,29.9,11.382,,400031.0,140.0,172.2,149.86,
2021-08-01,Belize,monthly,30,,,,,,148.75,133.0,172.6,145.2,149.6,159.0,,,8.0,220.143,6748.0,3.267,63.89,129405.071,50046.214,,32.349,12.511,,400031.0,133.0,172.6,149.83,
2021-08-08,Belize,monthly,31,,,,,,156.0,139.2,173.0,145.0,149.0,156.0,,,11.4,262.287,6611.0,3.989,66.273,137596.071,54057.929,,34.396,13.513,,400031.0,139.2,173.0,152.44,
2021-08-15,Belize,monthly,32,,,,,,149.6,145.4,169.0,145.5,152.75,156.0,,,14.8,364.858,7356.0,4.951,66.67,145697.286,59224.286,,36.421,14.805,,400031.0,145.4,169.0,152.45,
2021-08-22,Belize,monthly,33,,,,,,143.2,151.6,165.0,146.0,156.5,156.0,,,18.2,550.143,7643.0,7.215,66.67,152022.586,63856.357,,38.003,15.963,,400031.0,143.2,165.0,152.46,
2021-08-29,Belize,monthly,34,,,,,,136.8,157.8,161.0,146.5,160.25,156.0,,,21.6,583.144,10220.0,5.887,60.847,161551.2,67907.0,,40.385,16.975,,400031.0,136.8,161.0,152.47,
2021-09-05,Belize,monthly,35,,,,,,130.4,164.0,157.0,147.0,164.0,156.0,,,25.0,709.572,11547.0,6.183,56.48,170615.0,73412.214,,42.65,18.352,,400031.0,130.4,164.0,152.48,
2021-09-12,Belize,monthly,36,,,,,,124.0,163.25,153.25,148.25,165.6,156.0,,,31.75,716.0,10613.0,6.745,56.48,174692.286,79609.0,,43.67,19.901,,400031.0,124.0,165.6,150.87,
2021-09-19,Belize,monthly,37,,,,,,130.75,162.5,149.5,149.5,167.2,154.25,,,38.5,981.0,7784.0,12.728,56.48,179993.5,92946.357,,44.995,23.235,,400031.0,130.75,167.2,151.89,
2021-09-26,Belize,monthly,38,,,,,,137.5,161.75,145.75,150.75,168.8,152.5,,,45.25,1058.713,8216.0,12.933,68.386,187488.464,111709.643,,46.868,27.925,,400031.0,137.5,168.8,152.91,
2021-10-03,Belize,monthly,39,,,,,,144.25,161.0,142.0,152.0,170.4,150.75,,,52.0,1342.858,11229.0,11.946,70.37,195050.036,130559.857,,48.759,32.637,,400031.0,142.0,170.4,153.93,
2021-10-10,Belize,monthly,40,,,,,,151.0,157.2,144.4,155.8,172.0,149.0,,,58.25,1304.286,10747.0,12.118,70.37,201125.516,145046.069,,50.277,36.259,,400031.0,144.4,172.0,156.08,
2021-10-17,Belize,monthly,41,,,,,,150.0,153.4,146.8,159.6,171.25,159.0,,,64.5,1329.284,10456.0,12.586,70.37,208238.087,153864.189,,52.055,38.463,,400031.0,146.8,171.25,156.21,
2021-10-24,Belize,monthly,42,,,,,,149.0,149.6,149.2,163.4,170.5,169.0,,,70.75,1812.713,11291.0,16.098,70.37,215505.913,162030.73,,53.872,40.505,,400031.0,149.0,170.5,156.34,
2021-10-31,Belize,monthly,43,,,,,,148.0,145.8,151.6,167.2,169.75,179.0,,,77.0,1390.858,11238.0,12.394,70.37,222406.893,170197.27,,55.597,42.546,,400031.0,145.8,169.75,156.47,
2021-11-07,Belize,monthly,44,,,,,,147.0,142.0,154.0,171.0,169.0,189.0,,,79.0,1121.998,9389.0,11.942,70.37,224887.102,178363.811,,56.217,44.587,,400031.0,142.0,171.0,156.6,
2021-11-14,Belize,monthly,45,,,,,,148.8,141.5,154.25,167.25,170.75,201.8,,,81.0,1000.856,9610.0,10.414,70.37,225935.163,186220.706,,56.479,46.552,,400031.0,141.5,170.75,156.51,
2021-11-21,Belize,monthly,46,,,,,,150.6,141.0,154.5,163.5,172.5,214.6,,,83.0,775.143,9319.0,8.258,70.37,227045.084,190273.596,,56.757,47.565,,400031.0,141.0,172.5,156.42,
