date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Bermuda,monthly,1,,,,,,,32.25,40.0,47.2,54.0,42.0,,,,,,,,,,,,32.25,54.0,43.3625,
2020-01-12,Bermuda,monthly,2,,,,,,,36.5,41.0,49.4,53.5,41.25,,,,,,,,,,,,36.5,53.5,45.1,
2020-01-19,Bermuda,monthly,3,,,,,,,40.75,42.0,51.6,53.0,40.5,,,,,,,,,,,,40.75,53.0,46.8375,
2020-01-26,Bermuda,monthly,4,,,,,,,45.0,43.0,53.8,52.5,39.75,,,,,,,,,,,,43.0,53.8,48.575,
2020-02-02,Bermuda,monthly,5,,,,,,53.0,44.8,44.0,56.0,52.0,39.0,,,,,,,,,,,,44.0,56.0,49.96,
2020-02-09,Bermuda,monthly,6,,,,,,50.75,44.6,42.0,53.5,49.75,41.75,,,,,,,,,,,,42.0,53.5,48.12,
2020-02-16,Bermuda,monthly,7,,,,,,48.5,44.4,40.0,51.0,47.5,44.5,,,,,,,,,,,,40.0,51.0,46.28,
2020-02-23,Bermuda,monthly,8,,,,,,46.25,44.2,38.0,48.5,45.25,47.25,,,,,,,,,,,,38.0,48.5,44.44,
2020-03-01,Bermuda,monthly,9,,,,,,44.0,44.0,36.0,46.0,43.0,50.0,,,,,,,,,,,,36.0,46.0,42.6,
2020-03-08,Bermuda,monthly,10,,,,,,43.4,42.25,39.0,44.25,45.25,51.6,,,,,,,,,,,,39.0,45.25,42.83,
2020-03-15,Bermuda,monthly,11,,,,,,42.8,40.5,42.0,42.5,47.5,53.2,,,,,,,,,,,,40.5,47.5,43.06,
2020-03-22,Bermuda,monthly,12,,,,,,42.2,38.75,45.0,40.75,49.75,54.8,,,,,40.97,,,62092.0,,,,38.75,49.75,43.29,
2020-03-29,Bermuda,monthly,13,,,,,,41.6,37.0,48.0,39.0,52.0,56.4,,,1.7143333333333333,,47.08857142857143,,,62092.0,,,,37.0,52.0,43.519999999999996,
2020-04-05,Bermuda,monthly,14,,,,,,41.0,36.75,45.5,38.8,51.6,58.0,,0.0,2.918142857142857,,64.55,,,62092.0,,,,36.75,51.6,42.730000000000004,58.0
2020-04-12,Bermuda,monthly,15,,,,,,41.75,36.5,43.0,38.6,51.2,59.5,,1.5,1.7345714285714284,,96.3,,,62092.0,,,,36.5,51.2,42.21,58.0
