location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Bermuda,2021-01-31,1,monthly,,,,,,53.0,45.0,44.0,56.0,52.0,39.0,,0.0,,,54.67454545454545,2554.724025974026,,62092.0,,4.114417358071935,,44.0,56.0,50.0,
Bermuda,2021-02-28,2,monthly,,,,,,44.0,44.0,36.0,46.0,43.0,50.0,,0.0,,,49.207499999999996,9997.225765306122,3803.771739130435,62092.0,,16.100666374583074,6.1260254769220435,36.0,46.0,42.6,
Bermuda,2021-03-31,3,monthly,,,,,,41.0,37.0,48.0,39.0,52.0,58.0,,0.0,,,54.511935483870964,19118.717741935485,11991.008064516129,62092.0,,30.790951719924443,19.31167954731065,37.0,52.0,43.4,
Bermuda,2021-04-30,4,monthly,,,,,,44.0,36.0,38.0,38.0,50.0,64.0,,0.0,,,73.45466666666667,28199.972222222223,21058.32222222222,62092.0,,45.41643403694876,33.91471078757686,36.0,50.0,41.2,
Bermuda,2021-05-31,5,monthly,,,,,,37.0,42.0,40.0,43.0,48.0,48.0,,0.0,,,57.792903225806455,35180.220430107525,30071.02688172043,62092.0,,56.65821753222239,48.42979269748185,37.0,48.0,42.0,
Bermuda,2021-06-30,6,monthly,,,,,,52.0,47.0,42.0,38.0,44.0,39.0,,0.0,,,46.602666666666664,40571.575,35970.975,62092.0,,65.34106648199446,57.93173838819815,38.0,52.0,44.6,
Bermuda,2021-07-31,7,monthly,,,,,,39.0,47.0,38.0,46.0,37.0,40.0,,0.0,,,37.96,41560.38824884793,40088.92281105991,62092.0,,66.93356350068919,64.5637486488757,37.0,47.0,41.4,
Bermuda,2021-08-31,8,monthly,,,,,,34.0,41.0,36.0,47.0,47.0,42.0,,0.0,,,46.622580645161285,42313.746543778805,41451.63133640553,62092.0,,68.14685715354443,66.75840903241243,34.0,47.0,41.0,
Bermuda,2021-09-30,9,monthly,,,,,,36.0,40.0,34.0,32.0,39.0,63.0,,0.0,,,48.82533333333333,43555.852380952376,42622.05238095238,62092.0,,70.1472852878831,68.64338784537843,32.0,40.0,36.2,
Bermuda,2021-10-31,10,monthly,,,,,,39.0,41.0,41.0,48.0,35.0,33.0,,0.0,,,49.372258064516124,45303.8064516129,43824.3870967742,62092.0,,72.96238879664514,70.57976405458706,35.0,48.0,40.8,
Bermuda,2021-11-30,11,monthly,,,,,,31.0,33.0,39.0,46.0,46.0,45.0,,0.0,,,47.22,48090.0,46865.0,62092.0,,77.44959092958835,75.47671197577787,31.0,46.0,39.0,
Bermuda,2021-12-31,12,monthly,,,,,,28.0,39.0,45.0,54.0,42.0,45.0,,,,,,,,,,,,28.0,54.0,41.6,
