date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Bolivia,monthly,1,,,,,,,4240.25,4198.4,4131.8,4406.0,4614.0,5848.5,,,,,,,,,,,4131.8,4406.0,4244.1125,
2020-01-12,Bolivia,monthly,2,,,,,,,4326.5,4191.8,4162.6,4435.0,4639.75,6941.0,,,,,,,,,,,4162.6,4435.0,4278.975,
2020-01-19,Bolivia,monthly,3,,,,,,,4412.75,4185.2,4193.4,4464.0,4665.5,8033.5,,,,,,,,,,,4185.2,4464.0,4313.8375,
2020-01-26,Bolivia,monthly,4,,,,,,,4499.0,4178.6,4224.2,4493.0,4691.25,9126.0,,,,,,,,,,,4178.6,4499.0,4348.7,
2020-02-02,Bolivia,monthly,5,,,,,,4096.0,4420.2,4172.0,4255.0,4522.0,4717.0,8527.75,,,,,,,,,,,4096.0,4522.0,4293.04,
2020-02-09,Bolivia,monthly,6,,,,,,3968.0,4341.4,4068.25,4206.25,4378.25,4628.75,7929.5,,,,,,,,,,,3968.0,4378.25,4192.43,
2020-02-16,Bolivia,monthly,7,,,,,,3840.0,4262.6,3964.5,4157.5,4234.5,4540.5,7331.25,,,,,,,,,,,3840.0,4262.6,4091.8199999999997,
2020-02-23,Bolivia,monthly,8,,,,,,3712.0,4183.8,3860.75,4108.75,4090.75,4452.25,6733.0,,,,,,,,,,,3712.0,4183.8,3991.21,
2020-03-01,Bolivia,monthly,9,,,,,,3584.0,4105.0,3757.0,4060.0,3947.0,4364.0,6579.4,,,,,,,,,,,3584.0,4105.0,3890.6,
2020-03-08,Bolivia,monthly,10,,,,,,3684.4,4124.25,3896.25,4092.25,4051.5,4414.2,6425.8,,,,,,,,,,,3684.4,4124.25,3969.7300000000005,
2020-03-15,Bolivia,monthly,11,,,,,,3784.8,4143.5,4035.5,4124.5,4156.0,4464.4,6272.2,,,,33.888,,,11832936.0,,,,3784.8,4156.0,4048.8599999999997,
2020-03-22,Bolivia,monthly,12,,,,,,3885.2,4162.75,4174.75,4156.75,4260.5,4514.6,6118.6,,1.5714285714285714,24.0,75.13285714285713,,,11832936.0,6.547619047619048,,,3885.2,4260.5,4127.99,
2020-03-29,Bolivia,monthly,13,,,,,,3985.6,4182.0,4314.0,4189.0,4365.0,4564.8,5965.0,,4.959142857142857,49.0,93.52,,,11832936.0,10.12069970845481,,,3985.6,4365.0,4207.12,
2020-04-05,Bolivia,monthly,14,,,,,,4086.0,4143.25,4283.0,4150.6,4306.8,4615.0,5804.5,6.0,10.67357142857143,80.14285714285714,95.90285714285713,,,11832936.0,13.31818181818182,,,4086.0,4306.8,4193.929999999999,4609.0
2020-04-12,Bolivia,monthly,15,,,,,,4041.0,4104.5,4252.0,4112.2,4248.6,4217.0,5644.0,18.5,16.81657142857143,144.71428571428572,96.3,,,11832936.0,11.620533070088843,,,4041.0,4252.0,4151.660000000001,4198.5
2020-04-19,Bolivia,monthly,16,,,,,,3996.0,4065.75,4221.0,4073.8,4190.4,3819.0,5483.5,31.0,26.653142857142857,199.14285714285714,96.3,,,11832936.0,13.38393113342898,,,3996.0,4221.0,4109.389999999999,3788.0
2020-04-26,Bolivia,monthly,17,,,,,,3951.0,4027.0,4190.0,4035.4,4132.2,3421.0,5323.0,43.5,42.796142857142854,230.71428571428572,96.3,,,11832936.0,18.54941176470588,,,3951.0,4190.0,4067.12,3377.5
2020-05-03,Bolivia,monthly,18,,,,,,3906.0,4109.8,4216.0,3997.0,4074.0,3023.0,5925.8,56.0,72.245,254.57142857142858,96.3,,,11832936.0,28.379068462401797,,,3906.0,4216.0,4060.56,2967.0
2020-05-10,Bolivia,monthly,19,,,,,,3975.25,4192.6,4242.0,4086.25,4120.25,3355.5,6528.6,104.75,123.91842857142856,473.7142857142857,96.3,,,11832936.0,26.158896260554883,,,3975.25,4242.0,4123.2699999999995,3250.75
2020-05-17,Bolivia,monthly,20,,,,,,4044.5,4275.4,4268.0,4175.5,4166.5,3688.0,7131.4,153.5,185.65328571428572,718.4285714285714,96.3,,,11832936.0,25.84157884271227,,,4044.5,4275.4,4185.9800000000005,3534.5
2020-05-24,Bolivia,monthly,21,,,,,,4113.75,4358.2,4294.0,4264.75,4212.75,4020.5,7734.2,202.25,261.24485714285714,762.0,96.3,,,11832936.0,34.28410198725159,,,4113.75,4358.2,4248.6900000000005,3818.25
2020-05-31,Bolivia,monthly,22,,,,,,4183.0,4441.0,4320.0,4354.0,4259.0,4353.0,8337.0,251.0,441.8165714285714,829.4285714285714,93.52,,,11832936.0,53.267585256631065,,,4183.0,4441.0,4311.4,4102.0
2020-06-07,Bolivia,monthly,23,,,,,,4189.8,4486.5,4320.25,4393.25,4317.0,5127.0,8738.25,362.8,548.5305714285714,1072.7142857142858,88.89,,,11832936.0,51.13482487681449,,,4189.8,4486.5,4341.36,4764.2
2020-06-14,Bolivia,monthly,24,,,,,,4196.6,4532.0,4320.5,4432.5,4375.0,5901.0,9139.5,474.6,574.1837142857142,1276.142857142857,88.89,,,11832936.0,44.99368633157953,,,4196.6,4532.0,4371.32,5426.4
2020-06-21,Bolivia,monthly,25,,,,,,4203.4,4577.5,4320.75,4471.75,4433.0,6675.0,9540.75,586.4,780.5511428571428,1519.4285714285713,89.41857142857143,,,11832936.0,51.37136141406544,,,4203.4,4577.5,4401.280000000001,6088.6
2020-06-28,Bolivia,monthly,26,,,,,,4210.2,4623.0,4321.0,4511.0,4491.0,7449.0,9942.0,698.2,979.1634285714287,1896.0,89.81285714285715,,,11832936.0,51.643640747438226,,,4210.2,4623.0,4431.24,6750.8
2020-07-05,Bolivia,monthly,27,,,,,,4217.0,4548.0,4313.0,4537.4,4521.4,8223.0,9436.5,810.0,1016.1225714285714,1891.857142857143,89.81000000000002,,,11832936.0,53.7103224344937,,,4217.0,4548.0,4427.360000000001,7413.0
2020-07-12,Bolivia,monthly,28,,,,,,4260.5,4473.0,4305.0,4563.8,4551.8,10136.25,8931.0,1071.0,1241.1837142857144,2217.0,89.81000000000002,,,11832936.0,55.9848314968748,,,4260.5,4563.8,4430.82,9065.25
2020-07-19,Bolivia,monthly,29,,,,,,4304.0,4398.0,4297.0,4590.2,4582.2,12049.5,8425.5,1332.0,1432.857,2366.0,89.81000000000002,,,11832936.0,60.56031276415892,,,4297.0,4590.2,4434.280000000001,10717.5
2020-07-26,Bolivia,monthly,30,,,,,,4347.5,4323.0,4289.0,4616.6,4612.6,13962.75,7920.0,1593.0,1563.0205714285714,2498.0,89.81000000000002,,,11832936.0,62.57087956079149,,,4289.0,4616.6,4437.74,12369.75
2020-08-02,Bolivia,monthly,31,,,,,,4391.0,4298.8,4281.0,4643.0,4643.0,15876.0,7611.6,1854.0,1451.2244285714285,2638.8571428571427,89.81000000000002,,,11832936.0,54.99442940666955,,,4281.0,4643.0,4451.36,14022.0
2020-08-09,Bolivia,monthly,32,,,,,,4348.4,4274.6,4250.75,4627.75,4609.75,14828.2,7303.2,1893.2,1545.0,2944.4285714285716,89.81000000000002,,,11832936.0,52.471980981029546,,,4250.75,4627.75,4422.25,12935.0
2020-08-16,Bolivia,monthly,33,,,,,,4305.8,4250.4,4220.5,4612.5,4576.5,13780.4,6994.8,1932.4,1432.999857142857,2950.4285714285716,89.81000000000002,,,11832936.0,48.569210284220205,,,4220.5,4612.5,4393.14,11848.0
2020-08-23,Bolivia,monthly,34,,,,,,4263.2,4226.2,4190.25,4597.25,4543.25,12732.6,6686.4,1971.6,1355.8162857142856,3055.285714285714,89.81000000000002,,,11832936.0,44.37608827792584,,,4190.25,4597.25,4364.030000000001,10761.0
2020-08-30,Bolivia,monthly,35,,,,,,4220.6,4202.0,4160.0,4582.0,4510.0,11684.8,6378.0,2010.8,1055.7755714285715,2688.5714285714284,89.81000000000002,,,11832936.0,39.269017003188104,,,4160.0,4582.0,4334.92,9674.0
2020-09-06,Bolivia,monthly,36,,,,,,4178.0,4142.75,4151.0,4484.75,4459.6,10637.0,6132.25,2050.0,797.2042857142858,2612.5714285714284,82.67,,,11832936.0,30.514162292213477,,,4142.75,4484.75,4283.219999999999,8587.0
2020-09-13,Bolivia,monthly,37,,,,,,4138.25,4083.5,4142.0,4387.5,4409.2,9280.0,5886.5,2272.0,780.4694285714286,2472.714285714286,81.48,,,11832936.0,31.563267664220923,,,4083.5,4409.2,4232.09,7008.0
2020-09-20,Bolivia,monthly,38,,,,,,4098.5,4024.25,4133.0,4290.25,4358.8,7923.0,5640.75,2494.0,734.4081428571428,2101.714285714286,81.48,,,11832936.0,34.94329119086459,,,4024.25,4358.8,4180.96,5429.0
2020-09-27,Bolivia,monthly,39,,,,,,4058.75,3965.0,4124.0,4193.0,4308.4,6566.0,5395.0,2716.0,456.5102857142857,1543.5714285714287,81.48,,,11832936.0,29.574937528921797,,,3965.0,4308.4,4129.83,3850.0
2020-10-04,Bolivia,monthly,40,,,,,,4019.0,3997.2,4134.4,4192.2,4258.0,5209.0,,2938.0,444.592,1355.2857142857142,81.48,,,11832936.0,32.80430062190366,,,3997.2,4258.0,4120.16,2271.0
