date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Bolivia,monthly,1,,,,,,,4240.25,4198.4,4131.8,4406.0,4614.0,5848.5,,661.4,53340.0,118190.0,44.7697475761375,26.85,5993739.0,4731779.0,610312.2857142857,50.65301629282876,39.9882074913614,5.157741795563551,11832936.0,4131.8,4406.0,4244.1125,
2022-01-16,Bolivia,monthly,2,,,,,,,4326.5,4191.8,4162.6,4435.0,4639.75,6941.0,,813.8,69433.286,148965.0,46.856806653611216,26.85,6336149.571428572,4874335.428571428,710080.5714285715,53.546723918971345,41.192950156845505,6.000882379728678,11832936.0,4162.6,4435.0,4278.975,
2022-01-23,Bolivia,monthly,3,,,,,,,4412.75,4185.2,4193.4,4464.0,4665.5,8033.5,,966.2,70746.713,151838.0,46.752773149593715,26.85,6566215.142857143,5020672.285714285,794157.1428571428,55.49100529959042,42.42964117877664,6.711412474952479,11832936.0,4185.2,4464.0,4313.8375,
2022-01-30,Bolivia,monthly,4,,,,,,,4499.0,4178.6,4224.2,4493.0,4691.25,9126.0,,1118.6,52269.572,125531.0,41.33877124490477,22.88571428571429,6673261.0,5162622.0,851273.4285714285,56.39564855248097,43.62925650911997,7.194101519449007,11832936.0,4178.6,4499.0,4348.7,
2022-02-06,Bolivia,monthly,5,,,,,,4096.0,4420.2,4172.0,4255.0,4522.0,4717.0,8527.75,,1271.0,27084.43,72368.0,28.621727133437624,21.3,6753090.285714285,5306309.571428572,899028.1428571428,57.070284887151296,44.84355844930262,7.597676036252904,11832936.0,4096.0,4522.0,4293.04,
2022-02-13,Bolivia,monthly,6,,,,,,3968.0,4341.4,4068.25,4206.25,4378.25,4628.75,7929.5,,1008.25,2743.0,0.0,,21.3,6781575.0,5364939.0,921223.0,57.31100886542444,45.33903504590915,7.785244507364868,11832936.0,3968.0,4378.25,4192.43,
2022-02-20,Bolivia,monthly,7,,,,,,3840.0,4262.6,3964.5,4157.5,4234.5,4540.5,7331.25,,,,,,,,,,,,,,3840.0,4262.6,4091.8199999999997,
2022-02-27,Bolivia,monthly,8,,,,,,3712.0,4183.8,3860.75,4108.75,4090.75,4452.25,6733.0,,,,,,,,,,,,,,3712.0,4183.8,3991.21,
2022-03-06,Bolivia,monthly,9,,,,,,3584.0,4105.0,3757.0,4060.0,3947.0,4364.0,6579.4,,,,,,,,,,,,,,3584.0,4105.0,3890.6,
2022-03-13,Bolivia,monthly,10,,,,,,3684.4,4124.25,3896.25,4092.25,4051.5,4414.2,6425.8,,,,,,,,,,,,,,3684.4,4124.25,3969.7300000000005,
2022-03-20,Bolivia,monthly,11,,,,,,3784.8,4143.5,4035.5,4124.5,4156.0,4464.4,6272.2,,,,,,,,,,,,,,3784.8,4156.0,4048.8599999999997,
2022-03-27,Bolivia,monthly,12,,,,,,3885.2,4162.75,4174.75,4156.75,4260.5,4514.6,6118.6,,,,,,,,,,,,,,3885.2,4260.5,4127.99,
2022-04-03,Bolivia,monthly,13,,,,,,3985.6,4182.0,4314.0,4189.0,4365.0,4564.8,5965.0,,,,,,,,,,,,,,3985.6,4365.0,4207.12,
2022-04-10,Bolivia,monthly,14,,,,,,4086.0,4143.25,4283.0,4150.6,4306.8,4615.0,5804.5,,,,,,,,,,,,,,4086.0,4306.8,4193.929999999999,
2022-04-17,Bolivia,monthly,15,,,,,,4041.0,4104.5,4252.0,4112.2,4248.6,4217.0,5644.0,,,,,,,,,,,,,,4041.0,4252.0,4151.660000000001,
2022-04-24,Bolivia,monthly,16,,,,,,3996.0,4065.75,4221.0,4073.8,4190.4,3819.0,5483.5,,,,,,,,,,,,,,3996.0,4221.0,4109.389999999999,
2022-05-01,Bolivia,monthly,17,,,,,,3951.0,4027.0,4190.0,4035.4,4132.2,3421.0,5323.0,,,,,,,,,,,,,,3951.0,4190.0,4067.12,
2022-05-08,Bolivia,monthly,18,,,,,,3906.0,4109.8,4216.0,3997.0,4074.0,3023.0,5925.8,,,,,,,,,,,,,,3906.0,4216.0,4060.56,
2022-05-15,Bolivia,monthly,19,,,,,,3975.25,4192.6,4242.0,4086.25,4120.25,3355.5,6528.6,,,,,,,,,,,,,,3975.25,4242.0,4123.2699999999995,
2022-05-22,Bolivia,monthly,20,,,,,,4044.5,4275.4,4268.0,4175.5,4166.5,3688.0,7131.4,,,,,,,,,,,,,,4044.5,4275.4,4185.9800000000005,
2022-05-29,Bolivia,monthly,21,,,,,,4113.75,4358.2,4294.0,4264.75,4212.75,4020.5,7734.2,,,,,,,,,,,,,,4113.75,4358.2,4248.6900000000005,
2022-06-05,Bolivia,monthly,22,,,,,,4183.0,4441.0,4320.0,4354.0,4259.0,4353.0,8337.0,,,,,,,,,,,,,,4183.0,4441.0,4311.4,
2022-06-12,Bolivia,monthly,23,,,,,,4189.8,4486.5,4320.25,4393.25,4317.0,5127.0,8738.25,,,,,,,,,,,,,,4189.8,4486.5,4341.36,
2022-06-19,Bolivia,monthly,24,,,,,,4196.6,4532.0,4320.5,4432.5,4375.0,5901.0,9139.5,,,,,,,,,,,,,,4196.6,4532.0,4371.32,
2022-06-26,Bolivia,monthly,25,,,,,,4203.4,4577.5,4320.75,4471.75,4433.0,6675.0,9540.75,,,,,,,,,,,,,,4203.4,4577.5,4401.280000000001,
2022-07-03,Bolivia,monthly,26,,,,,,4210.2,4623.0,4321.0,4511.0,4491.0,7449.0,9942.0,,,,,,,,,,,,,,4210.2,4623.0,4431.24,
2022-07-10,Bolivia,monthly,27,,,,,,4217.0,4548.0,4313.0,4537.4,4521.4,8223.0,9436.5,,,,,,,,,,,,,,4217.0,4548.0,4427.360000000001,
2022-07-17,Bolivia,monthly,28,,,,,,4260.5,4473.0,4305.0,4563.8,4551.8,10136.25,8931.0,,,,,,,,,,,,,,4260.5,4563.8,4430.82,
