location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Bosnia and Herzegovina,2020-01-31,1,monthly,,,,,,4082.0,3539.0,3443.0,2774.0,3444.0,2800.0,3452.0,,,,,,,,,,,2774.0,4082.0,3456.4,
Bosnia and Herzegovina,2020-02-29,2,monthly,,,,,,3464.0,3139.0,3372.0,3377.0,3512.0,3203.0,3454.0,,,,,,,,,,,3139.0,3512.0,3372.8,
Bosnia and Herzegovina,2020-03-31,3,monthly,,,,,,3657.0,3360.0,3223.0,3640.0,3239.0,2970.0,4787.0,13.0,12.727272727272727,,53.189629629629636,,,3263459.0,,,,3223.0,3657.0,3423.8,2957.0
Bosnia and Herzegovina,2020-04-30,4,monthly,,,,,,3257.0,2995.0,2783.0,3186.0,3122.0,3207.0,6051.0,56.0,43.01903333333333,938.2608695652174,91.32433333333333,,,3263459.0,4.584975749150448,,,2783.0,3257.0,3068.6,3151.0
Bosnia and Herzegovina,2020-05-31,5,monthly,,,,,,3059.0,2941.0,3078.0,2964.0,3240.0,2938.0,4223.0,84.0,28.576,1151.9032258064517,79.36096774193548,,,3263459.0,2.480763953065053,,,2941.0,3240.0,3056.4,2854.0
Bosnia and Herzegovina,2020-06-30,6,monthly,,,,,,2831.0,2866.0,2899.0,2698.0,2817.0,2953.0,3276.0,33.0,51.65233333333333,903.5333333333333,52.962,,,3263459.0,5.7167047886076885,,,2698.0,2899.0,2822.2,2920.0
Bosnia and Herzegovina,2020-07-31,7,monthly,,,,,,3150.0,2732.0,2766.0,2716.0,2969.0,3066.0,3067.0,153.0,217.46545161290322,1446.0,56.599999999999994,,,3263459.0,15.039104537545175,,,2716.0,3150.0,2866.6,2913.0
Bosnia and Herzegovina,2020-08-31,8,monthly,,,,,,2823.0,2851.0,2975.0,3003.0,2905.0,3329.0,3019.0,270.0,272.49309677419353,1535.1935483870968,57.04838709677419,,,3263459.0,17.74975520581622,,,2823.0,3003.0,2911.4,3059.0
Bosnia and Herzegovina,2020-09-30,9,monthly,,,,,,2767.0,2725.0,2637.0,2824.0,2683.0,3459.0,3779.0,247.0,256.7476666666667,1793.6333333333334,41.852,,,3263459.0,14.314389786095264,,,2637.0,2824.0,2727.2,3212.0
Bosnia and Herzegovina,2020-10-31,10,monthly,,,,,,3015.0,3095.0,2958.0,3124.0,3170.0,3506.0,,378.0,585.0230322580645,2195.7096774193546,41.27709677419355,,,3263459.0,26.643915553792592,,,2958.0,3170.0,3072.4,3128.0
Bosnia and Herzegovina,2020-11-30,11,monthly,,,,,,3001.0,2994.0,3115.0,2895.0,2963.0,5410.0,,1447.0,1340.4380999999998,3569.1666666666665,47.53,,,3263459.0,37.55605229978987,,,2895.0,3115.0,2993.6,3963.0
Bosnia and Herzegovina,2020-12-31,12,monthly,,,,,,3044.0,3334.0,3087.0,3104.0,3066.0,5962.0,,1369.0,799.5945161290323,3087.451612903226,46.056774193548385,,,3263459.0,25.898203968195926,,,3044.0,3334.0,3127.0,4593.0
