date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Bosnia and Herzegovina,monthly,1,,,,,,,3167.75,3355.8,3024.4,3104.0,3066.0,5334.5,,1234.25,2783.856,18173.0,15.416,42.59,,,,,,,3263459.0,3024.4,3355.8,3162.988,4100.25
2021-01-17,Bosnia and Herzegovina,monthly,2,,,,,,,3291.5,3377.6,2961.8,3189.0,2999.5,4707.0,,1032.5,2541.714,23285.0,10.854,42.59,,,,,,,3263459.0,2961.8,3377.6,3204.975,3674.5
2021-01-24,Bosnia and Herzegovina,monthly,3,,,,,,,3415.25,3399.4,2899.2,3274.0,2933.0,4079.5,,830.75,2300.571,18004.0,12.94,42.59,,,,,,,3263459.0,2899.2,3415.25,3246.962,3248.75
2021-01-31,Bosnia and Herzegovina,monthly,4,,,,,,,3539.0,3421.2,2836.6,3359.0,2866.5,3452.0,,629.0,2082.142,16018.0,13.004,42.59,,,,,,,3263459.0,2836.6,3539.0,3288.95,2823.0
2021-02-07,Bosnia and Herzegovina,monthly,5,,,,,,4082.0,3459.0,3443.0,2774.0,3444.0,2800.0,3452.5,,569.75,1913.427,16428.0,11.65,42.59,,,,,,,3263459.0,2774.0,4082.0,3440.4,2882.75
2021-02-14,Bosnia and Herzegovina,monthly,6,,,,,,3927.5,3379.0,3425.25,2924.75,3461.0,2900.75,3453.0,,510.5,1993.0,17155.0,11.625,42.59,619.645,,,0.019,,,3263459.0,2924.75,3927.5,3423.5,2942.5
2021-02-21,Bosnia and Herzegovina,monthly,7,,,,,,3773.0,3299.0,3407.5,3075.5,3478.0,3001.5,3453.5,,451.25,2072.858,16262.0,12.75,42.59,2891.677,,,0.089,,,3263459.0,3075.5,3773.0,3406.6,3002.25
2021-02-28,Bosnia and Herzegovina,monthly,8,,,,,,3618.5,3219.0,3389.75,3226.25,3495.0,3102.25,3454.0,,392.0,3136.856,15148.0,21.812,42.59,5783.355,,,0.177,,,3263459.0,3219.0,3618.5,3389.7,3062.0
2021-03-07,Bosnia and Herzegovina,monthly,9,,,,,,3464.0,3139.0,3372.0,3377.0,3512.0,3203.0,3720.6,,619.2,4063.285,19818.0,27.373,42.59,8675.032,,,0.266,,,3263459.0,3139.0,3512.0,3372.8,3101.4
2021-03-14,Bosnia and Herzegovina,monthly,10,,,,,,3502.6,3194.25,3334.75,3442.75,3443.75,3156.4,3987.2,,846.4,6210.713,28222.0,22.536,42.59,11566.71,,,0.354,,,3263459.0,3194.25,3502.6,3383.62,3140.8
2021-03-21,Bosnia and Herzegovina,monthly,11,,,,,,3541.2,3249.5,3297.5,3508.5,3375.5,3109.8,4253.8,,1073.6,8625.428,29337.0,29.366,42.59,14458.387,,,0.443,,,3263459.0,3249.5,3541.2,3394.44,3180.2
2021-03-28,Bosnia and Herzegovina,monthly,12,,,,,,3579.8,3304.75,3260.25,3574.25,3307.25,3063.2,4520.4,,1300.8,10299.571,31590.0,32.596,42.59,17350.065,,,0.532,,,3263459.0,3260.25,3579.8,3405.26,3219.6
2021-04-04,Bosnia and Herzegovina,monthly,13,,,,,,3618.4,3360.0,3223.0,3640.0,3239.0,3016.6,4787.0,,1528.0,11342.144,32447.0,34.955,42.59,20241.742,,,0.62,,,3263459.0,3223.0,3640.0,3416.08,3259.0
2021-04-11,Bosnia and Herzegovina,monthly,14,,,,,,3657.0,3268.75,3113.0,3549.2,3215.6,2970.0,5103.0,,1634.0,9279.143,33188.0,27.995,43.781,23133.419,,,0.709,,,3263459.0,3113.0,3657.0,3360.71,3469.0
2021-04-18,Bosnia and Herzegovina,monthly,15,,,,,,3557.0,3177.5,3003.0,3458.4,3192.2,3029.25,5419.0,,1740.0,7240.856,29512.0,24.672,45.37,31631.53,10400.0,,0.969,0.319,,3263459.0,3003.0,3557.0,3277.62,3679.0
2021-04-25,Bosnia and Herzegovina,monthly,16,,,,,,3457.0,3086.25,2893.0,3367.6,3168.8,3088.5,5735.0,,1846.0,6321.429,24867.0,25.397,45.37,60021.082,11827.592,,1.839,0.362,,3263459.0,2893.0,3457.0,3194.53,3889.0
2021-05-02,Bosnia and Herzegovina,monthly,17,,,,,,3357.0,2995.0,2783.0,3276.8,3145.4,3147.75,6051.0,,1952.0,4087.856,19978.0,20.405,45.37,80384.172,20796.154,,2.463,0.637,,3263459.0,2783.0,3357.0,3111.44,4099.0
2021-05-09,Bosnia and Herzegovina,monthly,18,,,,,,3257.0,2984.2,2842.0,3186.0,3122.0,3207.0,5685.4,,1702.0,2415.428,16256.0,14.88,45.37,93675.889,27583.111,,2.87,0.845,,3263459.0,2842.0,3257.0,3078.24,3983.4
2021-05-16,Bosnia and Herzegovina,monthly,19,,,,,,3207.5,2973.4,2901.0,3130.5,3151.5,3139.75,5319.8,,1452.0,1817.0,16707.0,10.806,44.179,105742.333,31826.667,,3.24,0.975,,3263459.0,2901.0,3207.5,3072.78,3867.8
2021-05-23,Bosnia and Herzegovina,monthly,20,,,,,,3158.0,2962.6,2960.0,3075.0,3181.0,3072.5,4954.2,,1202.0,1074.714,17658.0,6.111,42.59,133340.048,37430.143,,4.086,1.147,,3263459.0,2960.0,3181.0,3067.32,3752.2
2021-05-30,Bosnia and Herzegovina,monthly,21,,,,,,3108.5,2951.8,3019.0,3019.5,3210.5,3005.25,4588.6,,952.0,765.858,16049.0,4.766,39.419,198730.914,47341.432,,6.09,1.451,,3263459.0,2951.8,3210.5,3061.86,3636.6
2021-06-06,Bosnia and Herzegovina,monthly,22,,,,,,3059.0,2941.0,3078.0,2964.0,3240.0,2938.0,4223.0,,702.0,514.287,14554.0,3.525,37.04,228918.438,56367.312,,7.015,1.727,,3263459.0,2941.0,3240.0,3056.4,3521.0
2021-06-13,Bosnia and Herzegovina,monthly,23,,,,,,3013.4,2922.25,3033.25,2897.5,3134.25,2941.0,3986.25,,629.5,327.713,13974.0,2.341,37.04,256543.707,68626.365,,7.861,2.103,,3263459.0,2897.5,3134.25,3000.13,3356.75
2021-06-20,Bosnia and Herzegovina,monthly,24,,,,,,2967.8,2903.5,2988.5,2831.0,3028.5,2944.0,3749.5,,557.0,227.571,12147.0,1.872,37.04,275817.5,101065.0,,8.452,3.097,,3263459.0,2831.0,3028.5,2943.86,3192.5
2021-06-27,Bosnia and Herzegovina,monthly,25,,,,,,2922.2,2884.75,2943.75,2764.5,2922.75,2947.0,3512.75,,484.5,156.999,11114.0,1.405,35.983,295281.59,140771.853,,9.048,4.314,,3263459.0,2764.5,2943.75,2887.59,3028.25
2021-07-04,Bosnia and Herzegovina,monthly,26,,,,,,2876.6,2866.0,2899.0,2698.0,2817.0,2950.0,3276.0,,412.0,108.998,10215.0,1.066,35.19,304665.4,160461.8,,9.336,4.917,,3263459.0,2698.0,2899.0,2831.32,2864.0
