date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Brazil,monthly,1,,,,,,,106599.5,105361.4,107744.4,110878.0,111193.0,142840.5,139494.4,,,,,,,,,,,,,105361.4,110878.0,107645.825,
2020-01-12,Brazil,monthly,2,,,,,,,106466.0,105495.8,107517.8,110751.75,111127.75,145803.0,146552.8,,,,,,,,,,,,,105495.8,110751.75,107557.838,
2020-01-19,Brazil,monthly,3,,,,,,,106332.5,105630.2,107291.2,110625.5,111062.5,148765.5,153611.2,,,,,,,,,,,,,105630.2,110625.5,107469.85,
2020-01-26,Brazil,monthly,4,,,,,,,106199.0,105764.6,107064.6,110499.25,110997.25,151728.0,160669.6,,,,,,,,,,,,,105764.6,110499.25,107381.862,
2020-02-02,Brazil,monthly,5,,,,,,106695.0,105522.8,105899.0,106838.0,110373.0,110932.0,148053.25,167728.0,,,,,,,,,,,,,105522.8,110373.0,107065.56,
2020-02-09,Brazil,monthly,6,,,,,,102674.25,104846.6,103694.75,103877.0,107214.0,109262.75,144378.5,159636.25,,,,,,,,,,,,,102674.25,107214.0,104461.32,
2020-02-16,Brazil,monthly,7,,,,,,98653.5,104170.4,101490.5,100916.0,104055.0,107593.5,140703.75,151544.5,,,,,,,,,,,,,98653.5,104170.4,101857.08,
2020-02-23,Brazil,monthly,8,,,,,,94632.75,103494.2,99286.25,97955.0,100896.0,105924.25,137029.0,143452.75,,,,,,,,,,,,,94632.75,103494.2,99252.84,
2020-03-01,Brazil,monthly,9,,,,,,90612.0,102818.0,97082.0,94994.0,97737.0,104255.0,151504.4,135361.0,,,,,5.56,,,,,,,215313504.0,90612.0,102818.0,96648.6,
2020-03-08,Brazil,monthly,10,,,,,,92984.2,105021.25,100024.0,98593.0,100690.0,106981.6,165979.8,132308.75,,7.286,,,11.11,,,,,,,215313504.0,92984.2,105021.25,99462.49,
2020-03-15,Brazil,monthly,11,,,,,,95356.4,107224.5,102966.0,102192.0,103643.0,109708.2,180455.2,129256.5,,78.857,,,26.321,,,,,,,215313504.0,95356.4,107224.5,102276.38,
2020-03-22,Brazil,monthly,12,,,,,,97728.6,109427.75,105908.0,105791.0,106596.0,112434.8,194930.6,126204.25,,609.143,,,62.367,,,,,,,215313504.0,97728.6,109427.75,105090.27,
2020-03-29,Brazil,monthly,13,,,,,,100100.8,111631.0,108850.0,109390.0,109549.0,115161.4,209406.0,123152.0,,2344.714,,,72.951,,,,,,,215313504.0,100100.8,111631.0,107904.16,
2020-04-05,Brazil,monthly,14,,,,,,102473.0,111755.0,108403.25,109081.8,109713.2,117888.0,206218.0,121877.5,201.0,4919.285,,,74.54,,,,,,,215313504.0,102473.0,111755.0,108285.25,117687.0
2020-04-12,Brazil,monthly,15,,,,,,103133.25,111879.0,107956.5,108773.6,109877.4,119315.0,203030.0,120603.0,1602.0,9613.144,,,74.54,,,,,,,215313504.0,103133.25,111879.0,108323.95,117713.0
2020-04-19,Brazil,monthly,16,,,,,,103793.5,112003.0,107509.75,108465.4,110041.6,120742.0,199842.0,119328.5,3003.0,13345.285,,,74.54,,,,,,,215313504.0,103793.5,112003.0,108362.65,117739.0
2020-04-26,Brazil,monthly,17,,,,,,104453.75,112127.0,107063.0,108157.2,110205.8,122169.0,196654.0,118054.0,4404.0,19950.143,,,74.936,,,,,,,215313504.0,104453.75,112127.0,108401.35,117765.0
2020-05-03,Brazil,monthly,18,,,,,,105114.0,112764.6,108605.2,107849.0,110370.0,123596.0,193912.2,121109.58,5805.0,34657.0,9909.0,55.831,77.31,,,,,,,215313504.0,105114.0,112764.6,108940.56,117791.0
2020-05-10,Brazil,monthly,19,,,,,,107346.0,113402.2,110147.4,109653.75,112461.5,131324.75,191170.4,124165.16,10194.0,50490.286,84800.0,61.241,80.49,,,,,,,215313504.0,107346.0,113402.2,110602.17,121130.75
2020-05-17,Brazil,monthly,20,,,,,,109578.0,114039.8,111689.6,111458.5,114553.0,139053.5,188428.6,127220.74,14583.0,69125.572,141724.0,49.363,81.02,,,,,,,215313504.0,109578.0,114553.0,112263.78,124470.5
2020-05-24,Brazil,monthly,21,,,,,,111810.0,114677.4,113231.8,113263.25,116644.5,146782.25,185686.8,130276.32,18972.0,107258.857,224554.0,47.873,81.02,,,,,,,215313504.0,111810.0,116644.5,113925.39,127810.25
2020-05-31,Brazil,monthly,22,,,,,,114042.0,115315.0,114774.0,115068.0,118736.0,154511.0,182945.0,133331.9,23361.0,133702.286,316367.0,43.125,81.02,,,,,,,215313504.0,114042.0,118736.0,115587.0,131150.0
2020-06-07,Brazil,monthly,23,,,,,,113081.6,115790.25,114661.5,115542.75,118779.75,151741.4,180255.5,135093.05,24773.8,172350.857,359245.0,48.429,77.31,,,,,,,215313504.0,113081.6,118779.75,115571.17,126967.6
2020-06-14,Brazil,monthly,24,,,,,,112121.2,116265.5,114549.0,116017.5,118823.5,148971.8,177566.0,136854.2,26186.6,180337.571,362672.0,49.909,77.31,,,,,,,215313504.0,112121.2,118823.5,115555.34,122785.2
2020-06-21,Brazil,monthly,25,,,,,,111160.8,116740.75,114436.5,116492.25,118867.25,146202.2,174876.5,138615.35,27599.4,206532.214,679766.0,33.739,77.31,,,,,,,215313504.0,111160.8,118867.25,115539.51,118602.8
2020-06-28,Brazil,monthly,26,,,,,,110200.4,117216.0,114324.0,116967.0,118911.0,143432.6,172187.0,140376.5,29012.2,252020.857,590355.0,46.366,77.31,,,,,,,215313504.0,110200.4,118911.0,115523.68,114420.4
2020-07-05,Brazil,monthly,27,,,,,,109240.0,117449.75,115981.2,117508.6,120105.8,140663.0,168777.5,139532.725,30425.0,261360.715,597313.0,45.002,78.9,,,,,,,215313504.0,109240.0,120105.8,116057.07,110238.0
2020-07-12,Brazil,monthly,28,,,,,,110173.75,117683.5,117638.4,118050.2,121300.6,141812.75,165368.0,138688.95,31052.75,261948.714,902934.0,29.373,81.02,,,,,,,215313504.0,110173.75,121300.6,116969.29,110760.0
2020-07-19,Brazil,monthly,29,,,,,,111107.5,117917.25,119295.6,118591.8,122495.4,142962.5,161958.5,137845.175,31680.5,247429.858,720805.0,35.358,81.02,,,,,,,215313504.0,111107.5,122495.4,117881.51,111282.0
2020-07-26,Brazil,monthly,30,,,,,,112041.25,118151.0,120952.8,119133.4,123690.2,144112.25,158549.0,137001.4,32308.25,278757.572,696662.0,39.913,81.02,,,,,,,215313504.0,112041.25,123690.2,118793.73,111804.0
2020-08-02,Brazil,monthly,31,,,,,,112975.0,116744.8,122610.0,119675.0,124885.0,145262.0,155558.0,136666.76,32936.0,321292.286,1195011.0,30.961,75.07,,,,,,,215313504.0,112975.0,124885.0,119377.96,112326.0
2020-08-09,Brazil,monthly,32,,,,,,111882.0,115338.6,120632.0,118548.5,123305.75,144475.4,152567.0,136332.12,32126.8,306169.429,1325684.0,29.031,72.69,,,,,,,215313504.0,111882.0,123305.75,117941.37,112348.6
2020-08-16,Brazil,monthly,33,,,,,,110789.0,113932.4,118654.0,117422.0,121726.5,143688.8,149576.0,135997.48,31317.6,306828.285,1446695.0,22.639,71.896,,,,,,,215313504.0,110789.0,121726.5,116504.78,112371.2
2020-08-23,Brazil,monthly,34,,,,,,109696.0,112526.2,116676.0,116295.5,120147.25,142902.2,146585.0,135662.84,30508.4,279225.286,1064868.0,29.748,69.91,,,,,,,215313504.0,109696.0,120147.25,115068.19,112393.8
2020-08-30,Brazil,monthly,35,,,,,,108603.0,111120.0,114698.0,115169.0,118568.0,142115.6,143594.0,135328.2,29699.2,262726.714,454710.0,64.417,73.61,,,,,,,215313504.0,108603.0,118568.0,113631.6,112416.4
2020-09-06,Brazil,monthly,36,,,,,,107510.0,109058.25,112857.5,113601.0,117316.8,141329.0,139191.5,132377.75,28890.0,279636.428,824118.0,35.256,69.91,,,,,,,215313504.0,107510.0,117316.8,112068.71,112439.0
2020-09-13,Brazil,monthly,37,,,,,,106420.5,106996.5,111017.0,112033.0,116065.6,137775.5,134789.0,129427.3,27282.5,203023.002,1426274.0,14.648,69.91,,,,,,,215313504.0,106420.5,116065.6,110506.52,110493.0
2020-09-20,Brazil,monthly,38,,,,,,105331.0,104934.75,109176.5,110465.0,114814.4,134222.0,130386.5,126476.85,25675.0,213848.571,552694.0,40.03,69.91,,,,,,,215313504.0,104934.75,114814.4,108944.33,108547.0
2020-09-27,Brazil,monthly,39,,,,,,104241.5,102873.0,107336.0,108897.0,113563.2,130668.5,125984.0,123526.4,24067.5,200402.427,773759.0,27.757,67.924,,,,,,,215313504.0,102873.0,113563.2,107382.14,106601.0
2020-10-04,Brazil,monthly,40,,,,,,103152.0,103792.8,107802.0,108650.8,112312.0,127115.0,125783.0,122644.06,22460.0,186860.428,571198.0,34.578,67.13,,,,,,,215313504.0,103152.0,112312.0,107141.92,104655.0
2020-10-11,Brazil,monthly,41,,,,,,103553.0,104712.6,108268.0,108404.6,112117.0,127535.5,125582.0,121761.72,20818.5,183002.285,727936.0,27.921,65.016,,,,,,,215313504.0,103553.0,112117.0,107411.04,106717.0
