date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Brazil,monthly,1,,,,,,,106599.5,105361.4,107744.4,110878.0,111193.0,143655.5,,23747.0,42885.55114285714,51725.857142857145,62.76142857142857,,,,213993441.0,82.90930979532205,,,,105361.4,110878.0,107645.825,119908.5
2021-01-17,Brazil,monthly,2,,,,,,,106466.0,105495.8,107517.8,110751.75,111743.5,146121.0,,25690.0,54006.041000000005,66960.71428571429,68.32142857142857,112.0,,,213993441.0,80.65332273721265,5.233805273499014e-05,,,105495.8,110751.75,107557.8375,120431.0
2021-01-24,Brazil,monthly,3,,,,,,,106332.5,105630.2,107291.2,110625.5,112294.0,148586.5,,27633.0,52953.347,73653.71428571429,72.69,280521.4285714286,,,213993441.0,71.89501237450928,0.13108879751666247,,,105630.2,110625.5,107469.85,120953.5
2021-01-31,Brazil,monthly,4,,,,,,,106199.0,105764.6,107064.6,110499.25,112844.5,151052.0,,29576.0,51425.958999999995,215528.57142857142,70.30714285714285,1541800.5714285714,,,213993441.0,23.860390601179823,0.7204896394130936,,,105764.6,110499.25,107381.8625,121476.0
2021-02-07,Brazil,monthly,5,,,,,,106695.0,105522.8,105899.0,106838.0,110373.0,113395.0,147403.75,,29814.75,48078.81628571428,152653.0,69.91,3029224.285714286,15775.666666666666,,213993441.0,31.495493888567065,1.4155687536770278,0.007372032802943089,,105522.8,110373.0,107065.56000000001,117589.0
2021-02-14,Brazil,monthly,6,,,,,,102674.25,104846.6,103694.75,103877.0,107214.0,111649.75,143755.5,,30053.5,45435.30614285714,50490.28571428572,69.91,4547739.142857143,123637.71428571429,,213993441.0,89.98821357432263,2.125176884677107,0.05777640366356569,,102674.25,107214.0,104461.31999999999,113702.0
2021-02-21,Brazil,monthly,7,,,,,,98653.5,104170.4,101490.5,100916.0,104055.0,109904.5,140107.25,,30292.25,45953.67357142857,67812.85714285714,73.61,5600725.857142857,831793.8571428572,,213993441.0,67.76542901683203,2.6172418327264793,0.3887006317837831,,98653.5,104170.4,101857.08,109815.0
2021-02-28,Brazil,monthly,8,,,,,,94632.75,103494.2,99286.25,97955.0,100896.0,108159.25,136459.0,,30531.0,51274.04085714285,73750.42857142857,73.21285714285715,6309492.714285715,1686298.2857142857,,213993441.0,69.52371918419844,2.948451450101087,0.7880140053985513,,94632.75,103494.2,99252.84,105928.0
2021-03-07,Brazil,monthly,9,,,,,,90612.0,102818.0,97082.0,94994.0,97737.0,106414.0,150904.4,,37816.6,58928.75514285714,306041.85714285716,67.13,7624017.714285715,2430671.4285714286,,213993441.0,19.25512924702643,3.562734296274863,1.135862584017904,,90612.0,102818.0,96648.6,113087.79999999999
2021-03-14,Brazil,monthly,10,,,,,,92984.2,105021.25,100024.0,98593.0,100690.0,109168.2,165349.8,,45102.2,68963.837,126835.28571428571,67.13,9216735.42857143,3274124.5714285714,,213993441.0,54.3727533009629,4.30701772236628,1.5300116471460317,,92984.2,105021.25,99462.49,120247.59999999999
2021-03-21,Brazil,monthly,11,,,,,,95356.4,107224.5,102966.0,102192.0,103643.0,111922.4,179795.2,,52387.8,71128.36742857142,101257.42857142857,69.77285714285713,11048458.714285715,3978121.285714286,,213993441.0,70.24508565156418,5.16298941811292,1.8589921574812596,,95356.4,107224.5,102276.38,127407.40000000001
2021-03-28,Brazil,monthly,12,,,,,,97728.6,109427.75,105908.0,105791.0,106596.0,114676.6,194240.6,,59673.4,76167.69371428572,261312.57142857142,70.83,14056705.285714285,4518102.571428572,,213993441.0,29.14811686934312,6.568755201106508,2.1113275950493136,,97728.6,109427.75,105090.26999999999,134567.2
2021-04-04,Brazil,monthly,13,,,,,,100100.8,111631.0,108850.0,109390.0,109549.0,117430.8,208686.0,,66959.0,71515.73471428572,299973.85714285716,70.83,18192676.42857143,5164244.428571428,,213993441.0,23.840655780956148,8.501511234903424,2.4132722967763427,,100100.8,111631.0,107904.16,141727.0
