location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Bulgaria,2020-01-05,1,weekly,2262.0,2422.0,2419.0,2074.0,2302.0,2502.0,2445.0,3169.0,2274.0,2533.0,2111.0,2610.0,,,,,,,,,,,2074.0,3169.0,2440.2,
Bulgaria,2020-01-12,2,weekly,2041.0,2397.0,2355.0,2182.0,2246.0,2511.0,2281.0,3222.0,2166.0,2692.0,2279.0,2476.0,,,,,,,,,,,2041.0,3222.0,2409.3,
Bulgaria,2020-01-19,3,weekly,2276.0,2267.0,2354.0,2230.0,2317.0,2423.0,2276.0,2814.0,2374.0,2756.0,2185.0,2518.0,,,,,,,,,,,2230.0,2814.0,2408.7,
Bulgaria,2020-01-26,4,weekly,2432.0,2261.0,2364.0,2120.0,2411.0,2339.0,2367.0,2627.0,2360.0,2848.0,2393.0,2447.0,,,,,,,,,,,2120.0,2848.0,2412.9,
Bulgaria,2020-02-02,5,weekly,2516.0,2356.0,2602.0,2180.0,2456.0,2338.0,2304.0,2525.0,2564.0,2573.0,2439.0,2374.0,,,,,,,,,,,2180.0,2602.0,2441.4,
Bulgaria,2020-02-09,6,weekly,2458.0,2387.0,2892.0,2111.0,2506.0,2296.0,2225.0,2347.0,2456.0,2245.0,2350.0,2356.0,,,,,,,,,,,2111.0,2892.0,2392.3,
Bulgaria,2020-02-16,7,weekly,2323.0,2318.0,2886.0,2186.0,2442.0,2341.0,2100.0,2352.0,2380.0,2300.0,2310.0,2469.0,,,,,,,,,,,2100.0,2886.0,2362.8,
Bulgaria,2020-02-23,8,weekly,2163.0,2252.0,2587.0,2259.0,2281.0,2538.0,2095.0,2312.0,2234.0,2264.0,2161.0,2569.0,,,,,,,,,,,2095.0,2587.0,2298.5,
Bulgaria,2020-03-01,9,weekly,2089.0,2240.0,2374.0,2181.0,2114.0,2559.0,1959.0,2138.0,2471.0,2275.0,2183.0,2747.0,,,,,,,,,,,1959.0,2559.0,2240.0,
Bulgaria,2020-03-08,10,weekly,2246.0,2298.0,2326.0,2176.0,2098.0,2472.0,2088.0,2230.0,2382.0,2166.0,2049.0,3008.0,0.0,,,21.3,,,6896655.0,,,,2088.0,2472.0,2248.2,2049.0
Bulgaria,2020-03-15,11,weekly,2180.0,2267.0,2334.0,2228.0,2187.0,2441.0,2100.0,2117.0,2239.0,2123.0,2075.0,3379.0,2.0,5.285666666666667,,35.58428571428571,,,6896655.0,,,,2100.0,2441.0,2221.6,2073.0
Bulgaria,2020-03-22,12,weekly,2190.0,2240.0,2251.0,2198.0,2123.0,2363.0,2020.0,2115.0,2164.0,2148.0,2044.0,3669.0,1.0,13.16342857142857,,66.40285714285714,,,6896655.0,,,,2020.0,2363.0,2181.2,2043.0
Bulgaria,2020-03-29,13,weekly,2090.0,2023.0,2172.0,2166.0,2123.0,2377.0,2106.0,2098.0,2057.0,2081.0,2082.0,4030.0,5.0,22.714285714285715,,73.15,,,6896655.0,,,,2023.0,2377.0,2129.3,2077.0
Bulgaria,2020-04-05,14,weekly,2065.0,2167.0,2207.0,2181.0,2083.0,2266.0,2123.0,2079.0,2075.0,2114.0,2041.0,3766.0,12.0,25.734571428571428,,71.82857142857144,,,6896655.0,,,,2065.0,2266.0,2136.0,2029.0
Bulgaria,2020-04-12,15,weekly,2139.0,2103.0,2109.0,2064.0,1982.0,2268.0,1927.0,2025.0,2061.0,2092.0,2030.0,3714.0,9.0,23.510285714285715,,71.3,,,6896655.0,,,,1927.0,2268.0,2077.0,2021.0
Bulgaria,2020-04-19,16,weekly,2114.0,2066.0,2050.0,1962.0,2066.0,2243.0,1945.0,2116.0,1991.0,2036.0,2024.0,3413.0,13.0,25.612428571428573,989.0,72.62142857142858,,,6896655.0,2.589729885887621,,,1945.0,2243.0,2058.9,2011.0
Bulgaria,2020-04-26,17,weekly,2099.0,2069.0,1991.0,1971.0,2035.0,2138.0,1964.0,2036.0,2076.0,2051.0,1981.0,3119.0,14.0,45.775571428571425,1026.2857142857142,73.15,,,6896655.0,4.460314587973274,,,1964.0,2138.0,2043.0,1967.0
Bulgaria,2020-05-03,18,weekly,2117.0,1972.0,2062.0,2057.0,1970.0,2163.0,2036.0,1952.0,1934.0,1980.0,1891.0,2782.0,17.0,54.61228571428571,2081.8571428571427,73.15,,,6896655.0,2.6232484732038706,,,1934.0,2163.0,2024.3,1874.0
Bulgaria,2020-05-10,19,weekly,2095.0,1997.0,1999.0,1888.0,2037.0,2113.0,2044.0,1983.0,1887.0,2120.0,1913.0,2532.0,18.0,45.69385714285714,1129.857142857143,64.42142857142856,,,6896655.0,4.044215450752307,,,1887.0,2120.0,2016.3,1895.0
Bulgaria,2020-05-17,20,weekly,1986.0,2051.0,1855.0,1873.0,1969.0,1987.0,1989.0,1977.0,1920.0,1980.0,2087.0,2333.0,17.0,40.51014285714286,1218.5714285714287,61.77285714285714,,,6896655.0,3.3243962485345833,,,1855.0,2051.0,1958.7,2070.0
Bulgaria,2020-05-24,21,weekly,2155.0,2029.0,1906.0,1880.0,2015.0,1984.0,2006.0,1981.0,1897.0,1998.0,1898.0,2153.0,22.0,33.020428571428575,1189.5714285714287,59.65428571428571,,,6896655.0,2.775825627476882,,,1880.0,2155.0,1985.1,1876.0
Bulgaria,2020-05-31,22,weekly,1987.0,1949.0,1969.0,1747.0,1988.0,1839.0,1991.0,2055.0,1917.0,1967.0,1799.0,2072.0,10.0,20.12257142857143,1124.142857142857,53.96714285714285,,,6896655.0,1.790036853475664,,,1747.0,2055.0,1940.9,1789.0
Bulgaria,2020-06-07,23,weekly,2097.0,1917.0,1948.0,1761.0,1954.0,1972.0,1784.0,1958.0,1951.0,1932.0,1922.0,2033.0,20.0,19.530714285714286,1156.4285714285713,44.44,,,6896655.0,1.6888820259419395,,,1761.0,2097.0,1927.4,1902.0
Bulgaria,2020-06-14,24,weekly,2214.0,1908.0,2178.0,1905.0,2010.0,1986.0,2012.0,1912.0,1774.0,1994.0,1951.0,1991.0,14.0,66.48971428571429,1478.857142857143,40.47571428571428,,,6896655.0,4.496020092735703,,,1774.0,2214.0,1989.3,1937.0
Bulgaria,2020-06-21,25,weekly,1745.0,1931.0,2065.0,2104.0,1836.0,1906.0,2145.0,1957.0,1776.0,2026.0,1930.0,2258.0,25.0,81.97942857142857,2218.714285714286,37.69857142857143,,,6896655.0,3.694906960273002,,,1745.0,2145.0,1949.1,1905.0
Bulgaria,2020-06-28,26,weekly,1914.0,1723.0,1795.0,1801.0,1897.0,1839.0,1958.0,2291.0,1793.0,1908.0,1904.0,2107.0,20.0,102.75514285714287,1908.0,36.11,,,6896655.0,5.38548966756514,,,1723.0,2291.0,1891.9,1884.0
Bulgaria,2020-07-05,27,weekly,1878.0,2019.0,1999.0,1800.0,1803.0,1826.0,1806.0,2008.0,1900.0,1954.0,2138.0,2058.0,27.0,135.22442857142858,2703.5714285714284,36.11,,,6896655.0,5.001696169088508,,,1800.0,2019.0,1899.3,2111.0
Bulgaria,2020-07-12,28,weekly,2225.0,2194.0,2236.0,1775.0,2064.0,2031.0,1970.0,1920.0,1963.0,1820.0,2043.0,2044.0,22.0,188.1222857142857,2956.5714285714284,42.06142857142857,,,6896655.0,6.3628527251642835,,,1775.0,2236.0,2019.8,2021.0
Bulgaria,2020-07-19,29,weekly,2145.0,2027.0,2057.0,1761.0,1797.0,1899.0,1824.0,1795.0,1975.0,1867.0,1846.0,1883.0,32.0,213.65314285714288,3635.1428571428573,36.11,,,6896655.0,5.877434567319028,,,1761.0,2145.0,1914.7,1814.0
Bulgaria,2020-07-26,30,weekly,1840.0,1816.0,2057.0,1857.0,1916.0,2105.0,1906.0,1914.0,1976.0,1963.0,1987.0,2044.0,40.0,236.57142857142858,4769.285714285715,36.11,,,6896655.0,4.96031151714842,,,1816.0,2105.0,1935.0,1947.0
Bulgaria,2020-08-02,31,weekly,2145.0,1746.0,1908.0,1908.0,1904.0,2139.0,1970.0,1943.0,1902.0,1854.0,2161.0,2180.0,48.0,225.8367142857143,5162.285714285715,38.49285714285714,,,6896655.0,4.374742638919637,,,1746.0,2145.0,1941.9,2113.0
Bulgaria,2020-08-09,32,weekly,2184.0,1700.0,2052.0,1812.0,1922.0,2003.0,1799.0,2059.0,1911.0,1896.0,2059.0,2168.0,59.0,218.449,4290.0,39.287142857142854,,,6896655.0,5.092051282051282,,,1700.0,2184.0,1933.8,2000.0
