location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Bulgaria,2021-01-10,1,weekly,2262.0,2422.0,2419.0,2074.0,2302.0,2502.0,2445.0,3169.0,2274.0,2533.0,2111.0,2587.0,448.0,53.699999999999996,2074.0,3169.0,2440.2,2139.0
Bulgaria,2021-01-17,2,weekly,2041.0,2397.0,2355.0,2182.0,2246.0,2511.0,2281.0,3222.0,2166.0,2692.0,2279.0,2462.0,357.0,53.699999999999996,2041.0,3222.0,2409.3,2105.0
Bulgaria,2021-01-24,3,weekly,2276.0,2267.0,2354.0,2230.0,2317.0,2423.0,2276.0,2814.0,2374.0,2756.0,2185.0,2494.0,337.0,53.699999999999996,2230.0,2814.0,2408.7,2157.0
Bulgaria,2021-01-31,4,weekly,2432.0,2261.0,2364.0,2120.0,2411.0,2339.0,2367.0,2627.0,2360.0,2848.0,2393.0,2428.0,225.0,53.699999999999996,2120.0,2848.0,2412.9,2203.0
Bulgaria,2021-02-07,5,weekly,2516.0,2356.0,2602.0,2180.0,2456.0,2338.0,2304.0,2525.0,2564.0,2573.0,2439.0,2346.0,286.0,53.699999999999996,2180.0,2602.0,2441.4,2060.0
Bulgaria,2021-02-14,6,weekly,2458.0,2387.0,2892.0,2111.0,2506.0,2296.0,2225.0,2347.0,2456.0,2245.0,2350.0,2331.0,293.0,53.699999999999996,2111.0,2892.0,2392.3,2038.0
Bulgaria,2021-02-21,7,weekly,2323.0,2318.0,2886.0,2186.0,2442.0,2341.0,2100.0,2352.0,2380.0,2300.0,2310.0,2447.0,230.0,53.699999999999996,2100.0,2886.0,2362.8,2217.0
Bulgaria,2021-02-28,8,weekly,2163.0,2252.0,2587.0,2259.0,2281.0,2538.0,2095.0,2312.0,2234.0,2264.0,2161.0,2542.0,337.0,53.699999999999996,2095.0,2587.0,2298.5,2205.0
Bulgaria,2021-03-07,9,weekly,2089.0,2240.0,2374.0,2181.0,2114.0,2559.0,1959.0,2138.0,2471.0,2275.0,2183.0,2696.0,423.0,53.699999999999996,1959.0,2559.0,2240.0,2273.0
Bulgaria,2021-03-14,10,weekly,2246.0,2298.0,2326.0,2176.0,2098.0,2472.0,2088.0,2230.0,2382.0,2166.0,2049.0,2971.0,671.0,54.09714285714286,2088.0,2472.0,2248.2,2300.0
Bulgaria,2021-03-21,11,weekly,2180.0,2267.0,2334.0,2228.0,2187.0,2441.0,2100.0,2117.0,2239.0,2123.0,2075.0,3323.0,734.0,50.93,2100.0,2441.0,2221.6,2589.0
Bulgaria,2021-03-28,12,weekly,2190.0,2240.0,2251.0,2198.0,2123.0,2363.0,2020.0,2115.0,2164.0,2148.0,2044.0,3611.0,691.0,61.11000000000001,2020.0,2363.0,2181.2,2920.0
Bulgaria,2021-04-04,13,weekly,2090.0,2023.0,2172.0,2166.0,2123.0,2377.0,2106.0,2098.0,2057.0,2081.0,2082.0,3955.0,879.0,56.875714285714274,2023.0,2377.0,2129.3,3076.0
Bulgaria,2021-04-11,14,weekly,2065.0,2167.0,2207.0,2181.0,2083.0,2266.0,2123.0,2079.0,2075.0,2114.0,2041.0,3694.0,829.0,53.699999999999996,2065.0,2266.0,2136.0,2865.0
Bulgaria,2021-04-18,15,weekly,2139.0,2103.0,2109.0,2064.0,1982.0,2268.0,1927.0,2025.0,2061.0,2092.0,2030.0,3632.0,777.0,53.699999999999996,1927.0,2268.0,2077.0,2855.0
Bulgaria,2021-04-25,16,weekly,2114.0,2066.0,2050.0,1962.0,2066.0,2243.0,1945.0,2116.0,1991.0,2036.0,2024.0,,712.0,51.32142857142856,1945.0,2243.0,2058.9,
