location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Canada,2020-01-05,1,weekly,4955.0,5460.0,5000.0,6045.0,5430.0,6255.0,5250.0,6170.0,6605.0,6055.0,6220.0,6760.0,,,,,,,,,,,4955.0,6605.0,5722.5,
Canada,2020-01-12,2,weekly,4895.0,5145.0,4995.0,5925.0,5675.0,6190.0,5470.0,6225.0,6630.0,5940.0,6215.0,6735.0,,,,,,,,,,,4895.0,6630.0,5709.0,
Canada,2020-01-19,3,weekly,4780.0,5210.0,5180.0,5830.0,5320.0,6045.0,5330.0,6285.0,6545.0,5985.0,6130.0,6700.0,,,,,,,,,,,4780.0,6545.0,5651.0,
Canada,2020-01-26,4,weekly,4630.0,5135.0,5105.0,5520.0,5245.0,5685.0,5415.0,6060.0,6415.0,5935.0,6165.0,6620.0,0.0,,,2.78,,,38067913.0,,,,4630.0,6415.0,5514.5,6165.0
Canada,2020-02-02,5,weekly,4695.0,5035.0,4865.0,5475.0,5165.0,5745.0,5230.0,5855.0,6200.0,5850.0,5850.0,6365.0,0.0,0.5236666666666666,,2.78,,,38067913.0,,,,4695.0,6200.0,5411.5,5850.0
Canada,2020-02-09,6,weekly,4695.0,5050.0,4960.0,5180.0,5155.0,5655.0,5240.0,6025.0,6015.0,5795.0,5900.0,5980.0,0.0,0.40857142857142853,8.0,2.78,,,38067913.0,5.107142857142857,,,4695.0,6025.0,5377.0,5900.0
Canada,2020-02-16,7,weekly,4795.0,5080.0,4825.0,5305.0,5190.0,5535.0,5430.0,5870.0,5990.0,5850.0,5730.0,5940.0,0.0,0.20428571428571426,6.428571428571429,2.78,,,38067913.0,3.177777777777777,,,4795.0,5990.0,5387.0,5730.0
Canada,2020-02-23,8,weekly,4705.0,5055.0,4875.0,5050.0,5150.0,5535.0,5495.0,5710.0,6020.0,5785.0,5675.0,5815.0,0.0,0.20428571428571426,9.285714285714286,2.78,,,38067913.0,2.1999999999999997,,,4705.0,6020.0,5338.0,5675.0
Canada,2020-03-01,9,weekly,4745.0,4950.0,4925.0,5060.0,5105.0,5555.0,5585.0,5550.0,5775.0,5725.0,5775.0,5825.0,0.0,1.0407142857142857,32.57142857142857,2.78,,,38067913.0,3.195175438596491,,,4745.0,5775.0,5297.5,5775.0
Canada,2020-03-08,10,weekly,4720.0,5130.0,4865.0,4930.0,5025.0,5415.0,5445.0,5600.0,5905.0,5735.0,5760.0,5645.0,0.0,5.0,134.71428571428572,2.78,,,38067913.0,3.711558854718982,,,4720.0,5905.0,5277.0,5760.0
