date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Canada,weekly,1,4955.0,5460.0,5000.0,6045.0,5430.0,6255.0,5250.0,6170.0,6605.0,6055.0,6215.0,6770.0,,673.0,274723.713,1068111.0,26.824,78.24,31820950.286,29483306.857,8992336.0,83.59,77.449,23.622,38067913.0,4955.0,6605.0,5722.5,
2022-01-16,Canada,weekly,2,4895.0,5145.0,4995.0,5925.0,5675.0,6190.0,5470.0,6225.0,6630.0,5940.0,6220.0,6740.0,,1091.0,259931.143,1100247.0,23.904,78.24,31985847.286,29612457.0,11287395.571,84.023,77.788,29.651,38067913.0,4895.0,6630.0,5709.0,
2022-01-23,Canada,weekly,3,4780.0,5210.0,5180.0,5830.0,5320.0,6045.0,5330.0,6285.0,6545.0,5985.0,6130.0,6695.0,,1062.0,180408.001,887101.0,20.27,76.653,32137704.143,29746225.714,13288105.429,84.422,78.14,34.906,38067913.0,4780.0,6545.0,5651.0,
2022-01-30,Canada,weekly,4,4630.0,5135.0,5105.0,5520.0,5245.0,5685.0,5415.0,6060.0,6415.0,5935.0,6165.0,6625.0,,980.0,122369.0,649041.0,18.912,78.24,32268090.143,29979349.857,14807686.857,84.765,78.752,38.898,38067913.0,4630.0,6415.0,5514.5,
2022-02-06,Canada,weekly,5,4695.0,5035.0,4865.0,5475.0,5165.0,5745.0,5230.0,5855.0,6200.0,5850.0,5845.0,6430.0,,762.0,98765.286,562673.0,17.51,77.447,32374633.571,30257985.857,15898150.714,85.044,79.484,41.763,38067913.0,4695.0,6200.0,5411.5,
2022-02-13,Canada,weekly,6,4695.0,5050.0,4960.0,5180.0,5155.0,5655.0,5240.0,6025.0,6015.0,5795.0,5895.0,5985.0,,624.0,73030.286,463464.0,15.753,76.39,32447806.429,30510389.571,16560431.5,85.237,80.147,43.502,38067913.0,4695.0,6025.0,5377.0,
2022-02-20,Canada,weekly,7,4795.0,5080.0,4825.0,5305.0,5190.0,5535.0,5430.0,5870.0,5990.0,5850.0,5740.0,5930.0,,423.0,54812.856,424284.0,12.911,76.39,32500596.429,30705737.857,16993470.143,85.375,80.66,44.64,38067913.0,4795.0,5990.0,5387.0,
2022-02-27,Canada,weekly,8,4705.0,5055.0,4875.0,5050.0,5150.0,5535.0,5495.0,5710.0,6020.0,5785.0,5680.0,5815.0,,351.0,40151.0,346973.0,11.586,68.98,32549965.714,30838674.714,17314970.0,85.505,81.01,45.484,38067913.0,4705.0,6020.0,5338.0,
2022-03-06,Canada,weekly,9,4745.0,4950.0,4925.0,5060.0,5105.0,5555.0,5585.0,5550.0,5775.0,5725.0,5775.0,5815.0,,394.0,42261.713,295177.0,12.329,68.98,32587216.786,30938966.571,17816006.786,85.603,81.273,46.801,38067913.0,4745.0,5775.0,5297.5,
2022-03-13,Canada,weekly,10,4720.0,5130.0,4865.0,4930.0,5025.0,5415.0,5445.0,5600.0,5905.0,5735.0,5765.0,5645.0,,234.0,23860.714,,,68.98,32607695.0,30989939.333,17923334.667,85.657,81.407,47.083,38067913.0,4720.0,5905.0,5277.0,
2022-03-20,Canada,weekly,11,4700.0,5005.0,4840.0,4905.0,5115.0,5330.0,5360.0,5630.0,5655.0,5650.0,5680.0,5485.0,,,,,,,,,,,,,,4700.0,5655.0,5219.0,
2022-03-27,Canada,weekly,12,4775.0,4770.0,4925.0,5035.0,5065.0,5255.0,5480.0,5560.0,5600.0,5620.0,5870.0,5635.0,,,,,,,,,,,,,,4770.0,5620.0,5208.5,
2022-04-03,Canada,weekly,13,4770.0,4995.0,4745.0,4885.0,5140.0,5260.0,5325.0,5485.0,5685.0,5565.0,5920.0,5595.0,,,,,,,,,,,,,,4745.0,5685.0,5185.5,
2022-04-10,Canada,weekly,14,4510.0,4815.0,4750.0,4915.0,4940.0,5055.0,5280.0,5400.0,5585.0,5535.0,6305.0,5775.0,,,,,,,,,,,,,,4510.0,5585.0,5078.5,
2022-04-17,Canada,weekly,15,4710.0,4655.0,4825.0,4930.0,5060.0,5265.0,5185.0,5260.0,5540.0,5555.0,6600.0,5660.0,,,,,,,,,,,,,,4655.0,5555.0,5098.5,
2022-04-24,Canada,weekly,16,4735.0,4715.0,4775.0,4915.0,5035.0,5120.0,5155.0,5230.0,5365.0,5570.0,6620.0,5685.0,,,,,,,,,,,,,,4715.0,5570.0,5061.5,
2022-05-01,Canada,weekly,17,4670.0,4715.0,4725.0,4760.0,4930.0,5050.0,5080.0,5240.0,5450.0,5425.0,6940.0,5885.0,,,,,,,,,,,,,,4670.0,5450.0,5004.5,
2022-05-08,Canada,weekly,18,4425.0,4680.0,4755.0,4775.0,4995.0,5070.0,5200.0,5285.0,5385.0,5515.0,6895.0,5810.0,,,,,,,,,,,,,,4425.0,5515.0,5008.5,
2022-05-15,Canada,weekly,19,4530.0,4650.0,4590.0,4960.0,4930.0,4955.0,4990.0,5210.0,5270.0,5400.0,6425.0,5715.0,,,,,,,,,,,,,,4530.0,5400.0,4948.5,
2022-05-22,Canada,weekly,20,4425.0,4625.0,4655.0,4505.0,4855.0,4830.0,4900.0,4970.0,5180.0,5360.0,6120.0,5750.0,,,,,,,,,,,,,,4425.0,5360.0,4830.5,
2022-05-29,Canada,weekly,21,4480.0,4355.0,4635.0,4495.0,4725.0,4865.0,4870.0,4980.0,5140.0,5325.0,5920.0,5300.0,,,,,,,,,,,,,,4355.0,5325.0,4787.0,
2022-06-05,Canada,weekly,22,4385.0,4500.0,4430.0,4575.0,4655.0,4625.0,4845.0,4880.0,5060.0,5190.0,5890.0,5585.0,,,,,,,,,,,,,,4385.0,5190.0,4714.5,
2022-06-12,Canada,weekly,23,4415.0,4505.0,4420.0,4570.0,4645.0,4685.0,4680.0,5045.0,5065.0,5170.0,5545.0,5280.0,,,,,,,,,,,,,,4415.0,5170.0,4720.0,
2022-06-19,Canada,weekly,24,4325.0,4525.0,4420.0,4415.0,4670.0,4625.0,4680.0,4900.0,5055.0,5240.0,5200.0,5345.0,,,,,,,,,,,,,,4325.0,5240.0,4685.5,
2022-06-26,Canada,weekly,25,4245.0,4315.0,4420.0,4510.0,4620.0,4660.0,4830.0,4790.0,5070.0,5005.0,5300.0,5285.0,,,,,,,,,,,,,,4245.0,5070.0,4646.5,
2022-07-03,Canada,weekly,26,4220.0,4245.0,4360.0,4365.0,4670.0,4610.0,4805.0,4950.0,5015.0,5020.0,5305.0,6170.0,,,,,,,,,,,,,,4220.0,5020.0,4626.0,
2022-07-10,Canada,weekly,27,4685.0,4390.0,4480.0,4610.0,4650.0,4625.0,4730.0,4905.0,5125.0,5140.0,5155.0,5415.0,,,,,,,,,,,,,,4390.0,5140.0,4734.0,
2022-07-17,Canada,weekly,28,4390.0,4370.0,4450.0,4490.0,4530.0,4575.0,4660.0,4830.0,5065.0,5150.0,5400.0,5360.0,,,,,,,,,,,,,,4370.0,5150.0,4651.0,
2022-07-24,Canada,weekly,29,4350.0,4455.0,4405.0,4740.0,4505.0,4550.0,4720.0,4860.0,4780.0,5055.0,5280.0,5350.0,,,,,,,,,,,,,,4350.0,5055.0,4642.0,
2022-07-31,Canada,weekly,30,4310.0,4305.0,4280.0,4350.0,4510.0,4730.0,4755.0,4915.0,4935.0,5060.0,5280.0,5445.0,,,,,,,,,,,,,,4280.0,5060.0,4615.0,
2022-08-07,Canada,weekly,31,4195.0,4340.0,4490.0,4455.0,4515.0,4520.0,4700.0,4860.0,4940.0,4930.0,5230.0,5490.0,,,,,,,,,,,,,,4195.0,4940.0,4594.5,
2022-08-14,Canada,weekly,32,4300.0,4255.0,4525.0,4390.0,4605.0,4515.0,4895.0,4950.0,4935.0,4950.0,5245.0,5380.0,,,,,,,,,,,,,,4255.0,4950.0,4632.0,
2022-08-21,Canada,weekly,33,4425.0,4365.0,4390.0,4415.0,4480.0,4635.0,4885.0,4750.0,4960.0,5045.0,5420.0,5570.0,,,,,,,,,,,,,,4365.0,5045.0,4635.0,
2022-08-28,Canada,weekly,34,4355.0,4400.0,4415.0,4395.0,4625.0,4600.0,4735.0,4900.0,4865.0,5040.0,5425.0,5450.0,,,,,,,,,,,,,,4355.0,5040.0,4633.0,
2022-09-04,Canada,weekly,35,4310.0,4315.0,4440.0,4470.0,4665.0,4665.0,4820.0,4945.0,4935.0,5100.0,5250.0,5585.0,,,,,,,,,,,,,,4310.0,5100.0,4666.5,
2022-09-11,Canada,weekly,36,4420.0,4290.0,4415.0,4505.0,4735.0,4600.0,4760.0,5040.0,5085.0,5055.0,5455.0,5825.0,,,,,,,,,,,,,,4290.0,5085.0,4690.5,
2022-09-18,Canada,weekly,37,4440.0,4240.0,4455.0,4380.0,4575.0,4735.0,4905.0,5050.0,5030.0,4965.0,5315.0,5715.0,,,,,,,,,,,,,,4240.0,5050.0,4677.5,
2022-09-25,Canada,weekly,38,4620.0,4510.0,4410.0,4470.0,4865.0,4785.0,4845.0,5000.0,5105.0,5015.0,5460.0,5620.0,,,,,,,,,,,,,,4410.0,5105.0,4762.5,
2022-10-02,Canada,weekly,39,4470.0,4475.0,4615.0,4595.0,4880.0,4880.0,4970.0,5065.0,5165.0,5360.0,5750.0,5570.0,,,,,,,,,,,,,,4470.0,5360.0,4847.5,
2022-10-09,Canada,weekly,40,4780.0,4580.0,4585.0,4835.0,4865.0,5025.0,5130.0,5145.0,5250.0,5420.0,5705.0,5230.0,,,,,,,,,,,,,,4580.0,5420.0,4961.5,
2022-10-16,Canada,weekly,41,4755.0,4540.0,4630.0,4680.0,4800.0,5080.0,5195.0,5175.0,5295.0,5285.0,5780.0,5220.0,,,,,,,,,,,,,,4540.0,5295.0,4943.5,
2022-10-23,Canada,weekly,42,4715.0,4670.0,4820.0,4670.0,5080.0,5045.0,5200.0,5180.0,5370.0,5600.0,5730.0,,,,,,,,,,,,,,,4670.0,5600.0,5035.0,
2022-10-30,Canada,weekly,43,4695.0,4550.0,4710.0,4665.0,4930.0,5025.0,5235.0,5175.0,5405.0,5500.0,5745.0,,,,,,,,,,,,,,,4550.0,5500.0,4989.0,
2022-11-06,Canada,weekly,44,4750.0,4675.0,4705.0,4835.0,4855.0,4955.0,5315.0,5440.0,5485.0,5490.0,5900.0,,,,,,,,,,,,,,,4675.0,5490.0,5050.5,
2022-11-13,Canada,weekly,45,4610.0,4575.0,4810.0,4875.0,5055.0,5040.0,5115.0,5420.0,5420.0,5560.0,6255.0,,,,,,,,,,,,,,,4575.0,5560.0,5048.0,
2022-11-20,Canada,weekly,46,4675.0,4665.0,4770.0,4875.0,5045.0,5050.0,5075.0,5415.0,5425.0,5605.0,6135.0,,,,,,,,,,,,,,,4665.0,5605.0,5060.0,
2022-11-27,Canada,weekly,47,4715.0,4705.0,4685.0,4795.0,5155.0,4970.0,5295.0,5445.0,5400.0,5555.0,6130.0,,,,,,,,,,,,,,,4685.0,5555.0,5072.0,
2022-12-04,Canada,weekly,48,4865.0,4705.0,4860.0,4900.0,5310.0,5175.0,5325.0,5455.0,5460.0,5595.0,6300.0,,,,,,,,,,,,,,,4705.0,5595.0,5165.0,
2022-12-11,Canada,weekly,49,4705.0,4660.0,4975.0,4975.0,5280.0,5270.0,5165.0,5435.0,5555.0,5680.0,6500.0,,,,,,,,,,,,,,,4660.0,5680.0,5170.0,
2022-12-18,Canada,weekly,50,4835.0,4780.0,4980.0,4965.0,5285.0,5035.0,5505.0,5655.0,5460.0,5670.0,6575.0,,,,,,,,,,,,,,,4780.0,5670.0,5217.0,
2022-12-25,Canada,weekly,51,5140.0,4820.0,5450.0,5225.0,5560.0,5035.0,5765.0,5890.0,5605.0,5595.0,6450.0,,,,,,,,,,,,,,,4820.0,5890.0,5408.5,
2023-01-01,Canada,weekly,52,5190.0,4940.0,5625.0,5365.0,5865.0,5225.0,5825.0,5995.0,5640.0,5845.0,6650.0,,,,,,,,,,,,,,,4940.0,5995.0,5551.5,
2023-01-08,Canada,weekly,1,5460.0,5000.0,6045.0,5430.0,6255.0,5237.5,6170.0,6605.0,6055.0,6215.0,6780.0,,,,,,,,,,,,,,,5000.0,6605.0,5847.25,
