location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Chile,2020-01-05,1,weekly,,,,,,,1884.0,1878.0,1946.0,2020.0,2107.0,2443.0,,,,,,,,1878.0,2020.0,1932.0,
Chile,2020-01-12,2,weekly,,,,,,,1885.0,1868.0,1804.0,1818.0,2053.0,2436.0,,,,,,,,1804.0,1885.0,1843.75,
Chile,2020-01-19,3,weekly,,,,,,,1916.0,2034.0,1804.0,1819.0,2057.0,2702.0,,,,,,,,1804.0,2034.0,1893.25,
Chile,2020-01-26,4,weekly,,,,,,,1837.0,2082.0,1776.0,1945.0,1963.0,2555.0,,,,,,,,1776.0,2082.0,1910.0,
Chile,2020-02-02,5,weekly,,,,,,,1912.0,1891.0,1895.0,1961.0,1970.0,2630.0,,,,,,,,1891.0,1961.0,1914.75,
Chile,2020-02-09,6,weekly,,,,,,,1718.0,1788.0,1817.0,2023.0,1993.0,2508.0,,,,,,,,1718.0,2023.0,1836.5,
Chile,2020-02-16,7,weekly,,,,,,,1760.0,1813.0,1885.0,1875.0,1909.0,2497.0,,,,,,,,1760.0,1885.0,1833.25,
Chile,2020-02-23,8,weekly,,,,,,,1813.0,1969.0,1809.0,1931.0,1899.0,2604.0,0.0,0.0,,,19116209.0,,,1809.0,1969.0,1880.5,1899.0
Chile,2020-03-01,9,weekly,,,,,,,1756.0,1730.0,1782.0,1862.0,1884.0,2658.0,0.0,0.0,,,19116209.0,,,1730.0,1862.0,1782.5,1884.0
Chile,2020-03-08,10,weekly,,,,,,,1753.0,1739.0,1870.0,1795.0,1885.0,2651.0,0.0,0.0,,,19116209.0,,,1739.0,1870.0,1789.25,1885.0
Chile,2020-03-15,11,weekly,,,,,,,1771.0,1754.0,1789.0,1867.0,1928.0,2546.0,0.0,4.761428571428572,,,19116209.0,,,1754.0,1867.0,1795.25,1928.0
Chile,2020-03-22,12,weekly,,,,,,,1758.0,1770.0,1819.0,1877.0,2008.0,2738.0,1.0,52.117142857142866,,,19116209.0,,,1758.0,1877.0,1806.0,2007.0
Chile,2020-03-29,13,weekly,,,,,,,1757.0,1800.0,1961.0,1848.0,2006.0,2828.0,6.0,67.06428571428572,,,19116209.0,,,1757.0,1961.0,1841.5,2000.0
Chile,2020-04-05,14,weekly,,,,,,,1789.0,1895.0,1903.0,1959.0,2081.0,2842.0,27.0,73.14999999999999,,,19116209.0,,,1789.0,1959.0,1886.5,2054.0
Chile,2020-04-12,15,weekly,,,,,,,1945.0,1949.0,1939.0,1973.0,2010.0,2895.0,46.0,73.14999999999999,,,19116209.0,,,1939.0,1973.0,1951.5,1964.0
Chile,2020-04-19,16,weekly,,,,,,,1889.0,1847.0,1920.0,1980.0,2087.0,2653.0,53.0,73.14999999999999,,,19116209.0,,,1847.0,1980.0,1909.0,2034.0
Chile,2020-04-26,17,weekly,,,,,,,2018.0,1970.0,1917.0,2033.0,2095.0,2780.0,56.0,73.14999999999999,,,19116209.0,,,1917.0,2033.0,1984.5,2039.0
Chile,2020-05-03,18,weekly,,,,,,,1882.0,1964.0,1976.0,2095.0,2083.0,2724.0,71.0,73.14999999999999,,,19116209.0,,,1882.0,2095.0,1979.25,2012.0
Chile,2020-05-10,19,weekly,,,,,,,1965.0,1921.0,1864.0,2072.0,2343.0,2758.0,52.0,74.34142857142858,,,19116209.0,,,1864.0,2072.0,1955.5,2291.0
Chile,2020-05-17,20,weekly,,,,,,,1953.0,2025.0,2024.0,2147.0,2438.0,2922.0,138.0,76.92,,,19116209.0,,,1953.0,2147.0,2037.25,2300.0
