date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Chile,weekly,1,,,,,,,1884.0,1878.0,1946.0,2020.0,2108.0,2445.0,,329.0,20407.571,262389.0,7.77155521712436,79.17,10436.857142857143,,,0.05432365444112048,,,19212362.0,7.7700000000000005,1878.0,2020.0,1932.0,2116.0
2021-01-17,Chile,weekly,2,,,,,,,1885.0,1868.0,1804.0,1818.0,2053.0,2437.0,,381.0,27046.001,365156.0,7.4106752653204,79.17,12331.42857142857,6381.4,,0.06418486478356264,0.03321507267039836,,19212362.0,7.411428571428571,1804.0,1885.0,1843.75,2056.0
2021-01-24,Chile,weekly,3,,,,,,,1916.0,2034.0,1804.0,1819.0,2057.0,2702.0,,456.0,28543.142,386795.0,7.379925128998385,79.17,50025.142857142855,8373.57142857143,,0.26037997231752585,0.043584289264232204,,19212362.0,7.378571428571428,1804.0,2034.0,1893.25,2246.0
2021-01-31,Chile,weekly,4,,,,,,,1837.0,2082.0,1776.0,1945.0,1964.0,2557.0,,519.0,28842.285,380199.0,7.585981963426613,79.17,57030.28571428572,10315.57142857143,,0.29684161538433285,0.05369236447122654,,19212362.0,7.585714285714286,1776.0,2082.0,1910.0,2038.0
2021-02-07,Chile,weekly,5,,,,,,,1912.0,1891.0,1895.0,1961.0,1970.0,2633.0,,522.0,26189.285,372510.0,7.0276584216036975,79.17,371065.28571428574,11912.57142857143,,1.9313881641116575,0.06200472085926462,,19212362.0,7.03,1891.0,1961.0,1914.75,2111.0
2021-02-14,Chile,weekly,6,,,,,,,1718.0,1788.0,1817.0,2023.0,1994.0,2506.0,,567.0,24243.713,341856.0,7.09318549703422,79.17,1495033.857142857,49320.28571428572,,7.781624441299082,0.25671120351722354,,19212362.0,7.094285714285713,1718.0,2023.0,1836.5,1939.0
2021-02-21,Chile,weekly,7,,,,,,,1760.0,1813.0,1885.0,1875.0,1909.0,2502.0,,501.0,23683.142,324389.0,7.302746461474655,79.17,2612660.4285714286,55868.28571428572,,13.598850722110216,0.29079342620280485,,19212362.0,7.304285714285713,1760.0,1885.0,1833.25,2001.0
2021-02-28,Chile,weekly,8,,,,,,,1813.0,1969.0,1809.0,1931.0,1899.0,2607.0,,530.0,24319.144,320701.0,7.581136830582531,79.17,3189463.285714286,56186.142857142855,,16.601099259499097,0.2924478669366258,,19212362.0,7.582857142857143,1809.0,1969.0,1880.5,2077.0
2021-03-07,Chile,weekly,9,,,,,,,1756.0,1730.0,1782.0,1862.0,1884.0,2662.0,,505.0,28308.144,338272.0,8.364026286433408,79.17,3846788.714285714,349540.85714285716,,20.02246633852576,1.8193538990305156,,19212362.0,8.367142857142857,1730.0,1862.0,1782.5,2157.0
2021-03-14,Chile,weekly,10,,,,,,,1753.0,1739.0,1870.0,1795.0,1885.0,2656.0,,597.0,33194.43,378754.0,8.760473368076886,79.17,4585267.142857143,1433763.142857143,,23.866233328609688,7.462711471172274,,19212362.0,8.76,1739.0,1870.0,1789.25,2059.0
