date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Chile,weekly,1,,,,,,,1884.0,1878.0,1946.0,2020.0,2108.0,2448.0,2478.0,110.0,13637.571,371781.0,3.636,35.65,17376190.714,16616346.714,11470018.286,90.443,86.488,59.701,19212362.0,1878.0,2020.0,1932.0,2368.0
2022-01-16,Chile,weekly,2,,,,,,,1885.0,1868.0,1804.0,1818.0,2053.0,2439.0,2487.0,122.0,33281.143,500074.0,6.573,35.65,17463423.286,16744941.429,11910701.429,90.897,87.157,61.995,19212362.0,1804.0,1885.0,1843.75,2365.0
2022-01-23,Chile,weekly,3,,,,,,,1916.0,2034.0,1804.0,1819.0,2057.0,2702.0,2418.0,118.0,69011.429,595795.0,11.545,35.65,17535744.857,16844999.143,12246335.429,91.273,87.678,63.742,19212362.0,1804.0,2034.0,1893.25,2300.0
2022-01-30,Chile,weekly,4,,,,,,,1837.0,2082.0,1776.0,1945.0,1964.0,2560.0,2658.0,172.0,132206.286,682087.0,19.223,35.65,17596225.714,16921448.286,12572541.857,91.588,88.076,65.44,19212362.0,1776.0,2082.0,1910.0,2486.0
2022-02-06,Chile,weekly,5,,,,,,,1912.0,1891.0,1895.0,1961.0,1970.0,2635.0,2909.0,303.0,209550.714,840288.0,24.893,31.679,17647156.143,16996157.429,12814504.0,91.853,88.465,66.699,19212362.0,1891.0,1961.0,1914.75,2606.0
2022-02-13,Chile,weekly,6,,,,,,,1718.0,1788.0,1817.0,2023.0,1994.0,2506.0,3030.0,571.0,245508.286,864708.0,28.402,30.09,17691527.143,17070830.143,13109390.571,92.084,88.853,68.234,19212362.0,1718.0,2023.0,1836.5,2459.0
2022-02-20,Chile,weekly,7,,,,,,,1760.0,1813.0,1885.0,1875.0,1909.0,2502.0,3240.0,789.0,240562.0,777104.0,30.974,30.09,17727935.714,17135364.143,13562003.571,92.274,89.189,70.59,19212362.0,1760.0,1885.0,1833.25,2451.0
2022-02-27,Chile,weekly,8,,,,,,,1813.0,1969.0,1809.0,1931.0,1899.0,2607.0,3264.0,853.0,206916.858,692453.0,29.861,30.09,17772139.714,17201162.571,14043200.571,92.504,89.532,73.095,19212362.0,1809.0,1969.0,1880.5,2411.0
2022-03-06,Chile,weekly,9,,,,,,,1756.0,1730.0,1782.0,1862.0,1884.0,2662.0,3099.0,877.0,165264.571,618744.0,26.68,30.09,17815766.286,17262558.429,14546241.714,92.731,89.851,75.713,19212362.0,1730.0,1862.0,1782.5,2222.0
2022-03-13,Chile,weekly,10,,,,,,,1753.0,1739.0,1870.0,1795.0,1885.0,2656.0,2872.0,802.0,129669.858,576924.0,22.477,30.09,17838644.714,17301166.143,15023464.429,92.85,90.052,78.197,19212362.0,1739.0,1870.0,1789.25,2070.0
