date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Colombia,weekly,1,,,,,,4725.0,4442.0,4601.0,4683.0,5311.0,5019.0,8054.0,6396.0,312.0,100271.142,530588.0,18.551,49.163,38635881.5,28874157.429,3693099.929,74.48,55.662,7.119,51874028.0,4442.0,5311.0,4752.4,6084.0
2022-01-16,Colombia,weekly,2,,,,,,4565.0,4405.0,4614.0,4431.0,4663.0,5050.0,8537.0,7070.0,658.0,195030.0,711963.0,27.388,48.804,39086520.714,29673507.5,4252479.714,75.349,57.203,8.198,51874028.0,4405.0,4663.0,4535.6,6412.0
2022-01-23,Colombia,weekly,3,,,,,,4506.0,4363.0,4512.0,4589.0,4798.0,4937.0,8573.0,7896.0,1244.0,209057.285,628574.0,33.352,48.437,39595305.143,30510149.5,4906276.929,76.33,58.816,9.458,51874028.0,4363.0,4798.0,4553.6,6652.0
2022-01-30,Colombia,weekly,4,,,,,,4264.0,4222.0,4440.0,4608.0,4566.0,4793.0,7753.0,8279.0,1839.0,162563.572,504741.0,32.081,48.086,40094911.214,31282251.571,5419289.214,77.293,60.304,10.447,51874028.0,4222.0,4608.0,4420.0,6440.0
2022-02-06,Colombia,weekly,5,,,,,,4170.0,4152.0,4272.0,4450.0,4507.0,4651.0,7103.0,7741.0,1678.0,111460.143,386839.0,28.753,47.771,40512518.357,31984199.357,6059000.714,78.098,61.657,11.68,51874028.0,4152.0,4507.0,4310.2,6063.0
2022-02-13,Colombia,weekly,6,,,,,,4072.0,4095.0,4291.0,4367.0,4449.0,4760.0,6401.0,6898.0,1358.0,71112.714,307285.0,22.984,47.501,40825088.714,32577028.286,6831247.143,78.7,62.8,13.169,51874028.0,4072.0,4449.0,4254.8,5540.0
2022-02-20,Colombia,weekly,7,,,,,,4052.0,4108.0,4142.0,4296.0,4435.0,4736.0,5969.0,6107.0,991.0,35080.285,232162.0,15.044,47.3,41065518.643,33035999.143,7620510.0,79.164,63.685,14.69,51874028.0,4052.0,4435.0,4206.6,5116.0
2022-02-27,Colombia,weekly,8,,,,,,4091.0,4072.0,4174.0,4225.0,4449.0,4729.0,5620.0,5448.0,587.0,21252.286,217505.0,9.744,45.629,41263790.016,33401336.921,8261420.603,79.546,64.389,15.926,51874028.0,4072.0,4449.0,4202.2,4861.0
2022-03-06,Colombia,weekly,9,,,,,,4112.0,4175.0,4142.0,4337.0,4431.0,4565.0,5624.0,5189.0,398.0,11725.143,197464.0,5.906,40.373,41394325.984,33676279.394,8675177.883,79.798,64.919,16.724,51874028.0,4112.0,4431.0,4239.4,4791.0
2022-03-13,Colombia,weekly,10,,,,,,4094.0,4206.0,4223.0,4471.0,4406.0,4567.0,5368.0,5063.0,206.0,6669.0,173187.0,3.839,39.507,41540268.771,34011086.3,9208645.729,80.079,65.565,17.752,51874028.0,4094.0,4471.0,4280.0,4857.0
