date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Costa Rica,monthly,1,,,,,,,2052.0,2236.6,2058.6,2221.0,2098.0,,,,,,,,,,,,,,,2052.0,2236.6,2142.05,
2020-01-12,Costa Rica,monthly,2,,,,,,,2027.0,2214.2,2037.2,2188.25,2113.5,,,,,,,,,,,,,,,2027.0,2214.2,2116.6625,
2020-01-19,Costa Rica,monthly,3,,,,,,,2002.0,2191.8,2015.8,2155.5,2129.0,,,,,,,,,,,,,,,2002.0,2191.8,2091.275,
2020-01-26,Costa Rica,monthly,4,,,,,,,1977.0,2169.4,1994.4,2122.75,2144.5,,,,,,,,,,,,,,,1977.0,2169.4,2065.8875,
2020-02-02,Costa Rica,monthly,5,,,,,,1926.0,1925.2,2147.0,1973.0,2090.0,2160.0,,,,,,,,,,,,,,,1925.2,2147.0,2012.2400000000002,
2020-02-09,Costa Rica,monthly,6,,,,,,1830.5,1873.4,2020.0,1923.25,2006.0,2098.5,,,,,,,,,,,,,,,1830.5,2020.0,1930.6299999999999,
2020-02-16,Costa Rica,monthly,7,,,,,,1735.0,1821.6,1893.0,1873.5,1922.0,2037.0,,,,,,,,,,,,,,,1735.0,1922.0,1849.02,
2020-02-23,Costa Rica,monthly,8,,,,,,1639.5,1769.8,1766.0,1823.75,1838.0,1975.5,,,,,,,,,,,,,,,1639.5,1838.0,1767.4099999999999,
2020-03-01,Costa Rica,monthly,9,,,,,,1544.0,1718.0,1639.0,1774.0,1754.0,1914.0,,,,,,,,,,,,,,,1544.0,1774.0,1685.8,
2020-03-08,Costa Rica,monthly,10,,,,,,1588.0,1743.0,1700.25,1819.5,1802.25,1931.8,,,,,,11.11,,,,5139053.0,,,,,1588.0,1819.5,1730.6,
2020-03-15,Costa Rica,monthly,11,,,,,,1632.0,1768.0,1761.5,1865.0,1850.5,1949.6,,,,2.9714,41.333333333333336,31.21857142857143,,,,5139053.0,7.188870967741935,,,,1632.0,1865.0,1775.4,
2020-03-22,Costa Rica,monthly,12,,,,,,1676.0,1793.0,1822.75,1910.5,1898.75,1967.4,,,,8.285714285714286,112.71428571428571,61.64,,,,5139053.0,7.351077313054501,,,,1676.0,1910.5,1820.2,
2020-03-29,Costa Rica,monthly,13,,,,,,1720.0,1818.0,1884.0,1956.0,1947.0,1985.2,,,,22.530571428571427,210.0,71.3,,,,5139053.0,10.728843537414965,,,,1720.0,1956.0,1865.0,
2020-04-05,Costa Rica,monthly,14,,,,,,1764.0,1816.75,1869.75,1938.8,1955.8,2003.0,,,2.0,22.734571428571428,257.85714285714283,73.94285714285715,,,,5139053.0,8.816731301939058,,,,1764.0,1955.8,1869.02,2001.0
2020-04-12,Costa Rica,monthly,15,,,,,,1740.25,1815.5,1855.5,1921.6,1964.6,1972.5,,,2.5,19.755285714285716,259.85714285714283,76.98571428571428,,,,5139053.0,7.6023639362286985,,,,1740.25,1964.6,1859.4900000000002,1970.0
2020-04-19,Costa Rica,monthly,16,,,,,,1716.5,1814.25,1841.25,1904.4,1973.4,1942.0,,,3.0,15.122428571428571,170.0,75.92999999999999,,,,5139053.0,8.895546218487395,,,,1716.5,1973.4,1849.9599999999998,1939.0
2020-04-26,Costa Rica,monthly,17,,,,,,1692.75,1813.0,1827.0,1887.2,1982.2,1911.5,,,3.5,6.347142857142857,174.14285714285714,75.92999999999999,,,,5139053.0,3.6447908121410992,,,,1692.75,1982.2,1840.4299999999998,1908.0
2020-05-03,Costa Rica,monthly,18,,,,,,1669.0,1820.6,1835.2,1870.0,1991.0,1881.0,,,4.0,5.265285714285715,119.85714285714286,77.51142857142858,,,,5139053.0,4.392967818831943,,,,1669.0,1991.0,1837.1599999999999,1877.0
2020-05-10,Costa Rica,monthly,19,,,,,,1679.5,1828.2,1843.4,1917.75,2003.75,1876.25,,,4.0,6.877428571428572,181.0,72.22,,,,5139053.0,3.799684293606946,,,,1679.5,2003.75,1854.52,1872.25
2020-05-17,Costa Rica,monthly,20,,,,,,1690.0,1835.8,1851.6,1965.5,2016.5,1871.5,,,4.0,9.000142857142858,331.14285714285717,72.22,,,,5139053.0,2.7179033649698017,,,,1690.0,2016.5,1871.8799999999999,1867.5
2020-05-24,Costa Rica,monthly,21,,,,,,1700.5,1843.4,1859.8,2013.25,2029.25,1866.75,,,4.0,10.163285714285715,346.42857142857144,72.22,,,,5139053.0,2.9337319587628867,,,,1700.5,2029.25,1889.2400000000002,1862.75
2020-05-31,Costa Rica,monthly,22,,,,,,1711.0,1851.0,1868.0,2061.0,2042.0,1862.0,,,4.0,14.46942857142857,342.14285714285717,72.22,,,,5139053.0,4.2290605427974945,,,,1711.0,2061.0,1906.6,1858.0
2020-06-07,Costa Rica,monthly,23,,,,,,1704.8,1831.5,1855.25,2049.0,2100.25,1861.0,,,4.4,27.20414285714286,396.14285714285717,72.22,,,,5139053.0,6.867255679769204,,,,1704.8,2100.25,1908.1599999999999,1856.6
2020-06-14,Costa Rica,monthly,24,,,,,,1698.6,1812.0,1842.5,2037.0,2158.5,1860.0,,,4.8,48.08157142857143,330.7142857142857,72.22,,,,5139053.0,14.538704103671707,,,,1698.6,2158.5,1909.72,1855.2
2020-06-21,Costa Rica,monthly,25,,,,,,1692.4,1792.5,1829.75,2025.0,2216.75,1859.0,,,5.2,62.10214285714286,390.2857142857143,72.22,,,,5139053.0,15.911969253294291,,,,1692.4,2216.75,1911.28,1853.8
2020-06-28,Costa Rica,monthly,26,,,,,,1686.2,1773.0,1817.0,2013.0,2275.0,1858.0,,,5.6,102.87757142857143,500.7142857142857,72.81571428571428,,,,5139053.0,20.546162624821683,,,,1686.2,2275.0,1912.8400000000001,1852.4
2020-07-05,Costa Rica,monthly,27,,,,,,1680.0,1800.25,1845.8,1998.0,2227.2,1857.0,,,6.0,196.7957142857143,798.8571428571429,73.61,,,,5139053.0,24.634656652360515,,,,1680.0,2227.2,1910.25,1851.0
2020-07-12,Costa Rica,monthly,28,,,,,,1683.5,1827.5,1874.6,1983.0,2179.4,1907.5,,,38.0,332.408,1179.4285714285713,73.61,,,,5139053.0,28.183817829457368,,,,1683.5,2179.4,1909.6,1869.5
2020-07-19,Costa Rica,monthly,29,,,,,,1687.0,1854.75,1903.4,1968.0,2131.6,1958.0,,,70.0,448.245,1556.0,73.61,,,,5139053.0,28.807519280205657,,,,1687.0,2131.6,1908.95,1888.0
2020-07-26,Costa Rica,monthly,30,,,,,,1690.5,1882.0,1932.2,1953.0,2083.8,2008.5,,,102.0,523.4488571428572,1376.7142857142858,73.61,,,,5139053.0,38.02160423368268,,,,1690.5,2083.8,1908.3,1906.5
2020-08-02,Costa Rica,monthly,31,,,,,,1694.0,1878.8,1961.0,1938.0,2036.0,2059.0,,,134.0,590.2858571428571,1649.142857142857,70.56714285714285,,,,5139053.0,35.793494455994455,,,,1694.0,2036.0,1901.56,1925.0
2020-08-09,Costa Rica,monthly,32,,,,,,1707.2,1875.6,1962.0,1957.5,2028.5,2101.8,,,164.4,564.0407142857142,1728.0,66.13714285714285,,,,5139053.0,32.64124503968254,,,,1707.2,2028.5,1906.1599999999999,1937.4
2020-08-16,Costa Rica,monthly,33,,,,,,1720.4,1872.4,1963.0,1977.0,2021.0,2144.6,,,194.8,689.8774285714286,1674.4285714285713,72.22,,,,5139053.0,41.20076785257231,,,,1720.4,2021.0,1910.7599999999998,1949.8
2020-08-23,Costa Rica,monthly,34,,,,,,1733.6,1869.2,1964.0,1996.5,2013.5,2187.4,,,225.2,745.9181428571428,1737.4285714285713,72.22,,,,5139053.0,42.93230554185167,,,,1733.6,2013.5,1915.36,1962.2
2020-08-30,Costa Rica,monthly,35,,,,,,1746.8,1866.0,1965.0,2016.0,2006.0,2230.2,,,255.6,857.1632857142857,1805.2857142857142,67.45857142857143,,,,5139053.0,47.480754926010924,,,,1746.8,2016.0,1919.9599999999998,1974.6
2020-09-06,Costa Rica,monthly,36,,,,,,1760.0,1825.0,1968.75,2018.75,2004.0,2273.0,,,286.0,1010.2854285714285,2072.714285714286,61.11,,,,5139053.0,48.74214625404921,,,,1760.0,2018.75,1915.3,1987.0
2020-09-13,Costa Rica,monthly,37,,,,,,1735.0,1784.0,1972.5,2021.5,2002.0,2338.75,,,331.5,1154.5511428571428,2353.1428571428573,61.11,,,,5139053.0,49.06421806702282,,,,1735.0,2021.5,1903.0,2007.25
2020-09-20,Costa Rica,monthly,38,,,,,,1710.0,1743.0,1976.25,2024.25,2000.0,2404.5,,,377.0,1189.857,2458.0,62.96,,,,5139053.0,48.407526444263624,,,,1710.0,2024.25,1890.7,2027.5
2020-09-27,Costa Rica,monthly,39,,,,,,1685.0,1702.0,1980.0,2027.0,1998.0,2470.25,,,422.5,1205.9797142857144,2588.0,62.96,,,,5139053.0,46.59890704349747,,,,1685.0,2027.0,1878.4,2047.75
2020-10-04,Costa Rica,monthly,40,,,,,,1660.0,1745.8,1992.2,2015.8,1996.0,2536.0,,,468.0,1068.8978571428572,2454.714285714286,62.96,,,,5139053.0,43.54469533841588,,,,1660.0,2015.8,1881.9599999999998,2068.0
2020-10-11,Costa Rica,monthly,41,,,,,,1685.5,1789.6,2004.4,2004.6,2015.5,2518.75,,,471.25,1131.1835714285714,2458.285714285714,59.12428571428571,,,,5139053.0,46.015138307763834,,,,1685.5,2015.5,1899.92,2047.5
