date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Costa Rica,monthly,1,,,,,,,2052.0,2236.6,2058.6,2221.0,2098.0,,,449.0,7479.286,19124.0,39.086901926699774,63.89,8588.040816326531,,,0.16711329531582048,,,5139053.0,29.542857142857144,2052.0,2236.6,2142.05,
2021-01-17,Costa Rica,monthly,2,,,,,,,2027.0,2214.2,2037.2,2188.25,2113.5,,,439.0,6971.286,18365.0,38.02941812313236,63.89,22368.102040816328,80.66666666666667,,0.43525727484842686,0.0015696796017995276,,5139053.0,29.157142857142855,2027.0,2214.2,2116.6625,
2021-01-24,Costa Rica,monthly,3,,,,,,,2002.0,2191.8,2015.8,2155.5,2129.0,,,429.0,5413.284,14561.0,37.22961422643804,63.89,36307.0,1113.0,,0.7064920326760592,0.02165768673722571,,5139053.0,27.2,2002.0,2191.8,2091.275,
2021-01-31,Costa Rica,monthly,4,,,,,,,1977.0,2169.4,1994.4,2122.75,2144.5,,,419.0,4230.714,13974.0,30.813665574063425,63.89,45773.857142857145,6456.857142857143,,0.8907060725557246,0.12564293738276572,,5139053.0,23.271428571428572,1977.0,2169.4,2065.8875,
2021-02-07,Costa Rica,monthly,5,,,,,,1926.0,1925.2,2147.0,1973.0,2090.0,2160.0,,,363.25,3400.0,18282.0,18.596490323005703,63.89,46243.142857142855,18920.14285714286,,0.8998378272639503,0.3681639955288038,,5139053.0,14.214285714285714,1925.2,2147.0,2012.2400000000002,
2021-02-14,Costa Rica,monthly,6,,,,,,1830.5,1873.4,2020.0,1923.25,2006.0,2098.5,,,307.5,2788.714,17508.0,15.927986976638541,56.48,50026.42857142857,34444.42857142857,,0.9734561712328823,0.6702485569117222,,5139053.0,12.014285714285714,1830.5,2020.0,1930.6299999999999,
2021-02-21,Costa Rica,monthly,7,,,,,,1735.0,1821.6,1893.0,1873.5,1922.0,2037.0,,,251.75,2528.428,18784.0,13.49377789424912,56.48,55580.857142857145,43182.142857142855,,1.0815388972026,0.8402743240270699,,5139053.0,10.485714285714286,1735.0,1922.0,1849.02,
2021-02-28,Costa Rica,monthly,8,,,,,,1639.5,1769.8,1766.0,1823.75,1838.0,1975.5,,,196.0,2651.857,20755.0,12.813407486505046,56.48,77104.71428571429,44919.28571428572,,1.500368147316525,0.8740771055345355,,5139053.0,9.62857142857143,1639.5,1838.0,1767.4099999999999,
2021-03-07,Costa Rica,monthly,9,,,,,,1544.0,1718.0,1639.0,1774.0,1754.0,1914.0,,,188.2,2357.001,22031.0,10.71733467778996,56.48,129750.0,49617.357142857145,,2.5247842355391157,0.965496116557995,,5139053.0,8.314285714285715,1544.0,1774.0,1685.8,
2021-03-14,Costa Rica,monthly,10,,,,,,1588.0,1743.0,1700.25,1819.5,1802.25,1931.8,,,180.4,2101.716,19177.0,10.96236626572343,56.48,175297.35714285713,54071.357142857145,,3.411082881279044,1.0521657811829754,,5139053.0,9.900000000000002,1588.0,1819.5,1730.6,
2021-03-21,Costa Rica,monthly,11,,,,,,1632.0,1768.0,1761.5,1865.0,1850.5,1949.6,,,172.6,2675.429,21893.0,12.262727697651053,56.48,196992.2857142857,78665.28571428571,,3.8332409826146123,1.530735053993133,,5139053.0,9.700000000000001,1632.0,1865.0,1775.4,
