date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Costa Rica,monthly,1,,,,,,,2052.0,2236.6,2058.6,2221.0,2098.0,2841.75,,87.6,9668.429,48731.0,18.687,53.836,3958654.0,3565276.143,414502.714,77.031,69.376,8.066,5139053.0,2052.0,2236.6,2142.05,
2022-01-16,Costa Rica,monthly,2,,,,,,,2027.0,2214.2,2037.2,2188.25,2113.5,2786.5,,121.2,23133.43,80228.0,28.822,54.63,3979282.429,3606955.571,485398.857,77.432,70.187,9.445,5139053.0,2027.0,2214.2,2116.662,
2022-01-23,Costa Rica,monthly,3,,,,,,,2002.0,2191.8,2015.8,2155.5,2129.0,2731.25,,154.8,31979.429,86649.0,36.92,57.41,4009183.0,3638412.75,531006.25,78.014,70.799,10.333,5139053.0,2002.0,2191.8,2091.275,
2022-01-30,Costa Rica,monthly,4,,,,,,,1977.0,2169.4,1994.4,2122.75,2144.5,2676.0,,188.4,35763.143,91363.0,39.03,54.234,4039191.5,3661785.536,560682.821,78.598,71.254,10.91,5139053.0,1977.0,2169.4,2065.887,
2022-02-06,Costa Rica,monthly,5,,,,,,1926.0,1925.2,2147.0,1973.0,2090.0,2160.0,2526.0,,222.0,41507.285,88363.0,46.92,50.0,4072416.571,3692590.857,594451.714,79.244,71.854,11.567,5139053.0,1925.2,2147.0,2012.24,
2022-02-13,Costa Rica,monthly,6,,,,,,1830.5,1873.4,2020.0,1923.25,2006.0,2098.5,2376.0,,282.0,36546.716,80567.0,45.344,50.0,4102438.429,3728084.571,650887.143,79.829,72.544,12.666,5139053.0,1830.5,2020.0,1930.63,
2022-02-20,Costa Rica,monthly,7,,,,,,1735.0,1821.6,1893.0,1873.5,1922.0,2037.0,2226.0,,342.0,28587.715,72512.0,39.358,50.0,4133815.429,3764602.0,840765.714,80.439,73.255,16.36,5139053.0,1735.0,1922.0,1849.02,
2022-02-27,Costa Rica,monthly,8,,,,,,1639.5,1769.8,1766.0,1823.75,1838.0,1975.5,2076.0,,402.0,20864.572,67048.0,31.108,46.029,4171222.857,3804802.286,1156981.286,81.167,74.037,22.514,5139053.0,1639.5,1838.0,1767.41,
2022-03-06,Costa Rica,monthly,9,,,,,,1544.0,1718.0,1639.0,1774.0,1754.0,1914.0,2115.6,,462.0,13587.001,59904.0,22.686,44.44,4212811.714,3841266.0,1395215.0,81.976,74.747,27.149,5139053.0,1544.0,1774.0,1685.8,
2022-03-13,Costa Rica,monthly,10,,,,,,1588.0,1743.0,1700.25,1819.5,1802.25,1931.8,2155.2,,412.25,9133.857,59525.0,15.347,44.44,4251683.857,3873882.857,1545883.0,82.733,75.381,30.081,5139053.0,1588.0,1819.5,1730.6,
2022-03-20,Costa Rica,monthly,11,,,,,,1632.0,1768.0,1761.5,1865.0,1850.5,1949.6,2194.8,,362.5,6828.57,58830.0,11.606,44.44,4288502.25,3909440.875,1677849.75,83.449,76.073,32.649,5139053.0,1632.0,1865.0,1775.4,
