date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Croatia,weekly,1,972.0,1159.0,1076.0,1020.0,974.0,1177.0,1115.0,1465.0,1128.0,1154.0,1033.0,1342.0,1414.0,269.0,34774.0,86248.0,40.177,34.797,2265822.071,2156810.857,594785.0,56.219,53.514,14.758,4030361.0,972.0,1465.0,1124.0,1145.0
2022-01-16,Croatia,weekly,2,1041.0,1077.0,1023.0,983.0,991.0,1254.0,1032.0,1621.0,1165.0,1220.0,1056.0,1358.0,1404.0,240.0,49730.429,108754.0,45.738,33.236,2276530.571,2177454.0,,56.485,54.026,,4030361.0,983.0,1621.0,1140.7,1164.0
2022-01-23,Croatia,weekly,3,1025.0,1117.0,1063.0,1027.0,1009.0,1276.0,1074.0,1475.0,1203.0,1238.0,1016.0,1307.0,1452.0,289.0,54718.572,117926.0,46.409,32.097,2285888.714,2192473.286,,56.717,54.399,,4030361.0,1009.0,1475.0,1150.7,1163.0
2022-01-30,Croatia,weekly,4,1092.0,1083.0,988.0,1093.0,1008.0,1231.0,1114.0,1369.0,1137.0,1319.0,1134.0,1244.0,1557.0,370.0,60495.0,120707.0,50.141,27.927,2292219.286,2202040.857,,56.874,54.636,,4030361.0,988.0,1369.0,1143.4,1187.0
2022-02-06,Croatia,weekly,5,1124.0,1080.0,1084.0,1010.0,1053.0,1215.0,1024.0,1304.0,1146.0,1286.0,1094.0,1204.0,1610.0,360.0,53423.572,106616.0,50.143,31.869,2296866.714,2209774.0,,56.989,54.828,,4030361.0,1010.0,1304.0,1132.6,1250.0
2022-02-13,Croatia,weekly,6,1076.0,1179.0,1182.0,985.0,1045.0,1287.0,1063.0,1164.0,1154.0,1133.0,1059.0,1161.0,1413.0,336.0,41156.715,90651.0,45.277,31.85,2300666.571,2216764.0,,57.083,55.002,,4030361.0,985.0,1287.0,1126.8,1077.0
2022-02-20,Croatia,weekly,7,1120.0,1092.0,1211.0,1056.0,1043.0,1306.0,989.0,1118.0,1157.0,1126.0,1091.0,1121.0,1419.0,342.0,27680.713,68032.0,40.606,31.833,2303615.429,2222937.857,,57.157,55.155,,4030361.0,989.0,1306.0,1121.8,1077.0
2022-02-27,Croatia,weekly,8,1039.0,1055.0,1155.0,1060.0,986.0,1301.0,980.0,1072.0,1134.0,1093.0,1045.0,1096.0,1233.0,215.0,17963.428,53938.0,33.017,31.819,2305969.857,2228055.5,,57.215,55.282,,4030361.0,980.0,1301.0,1087.5,1018.0
2022-03-06,Croatia,weekly,9,993.0,1097.0,1097.0,1010.0,1001.0,1239.0,987.0,1104.0,1225.0,1031.0,1021.0,1034.0,1217.0,184.0,10854.857,38103.0,28.362,28.116,2307339.714,2231269.143,,57.249,55.362,,4030361.0,987.0,1239.0,1078.4,1033.0
2022-03-13,Croatia,weekly,10,1019.0,1062.0,1093.0,1152.0,1023.0,1215.0,1047.0,983.0,1266.0,1130.0,1056.0,1080.0,1137.0,122.0,9297.857,34820.0,26.707,27.491,2308234.429,2233628.0,,57.271,55.42,,4030361.0,983.0,1266.0,1099.0,1015.0
