date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Cuba,monthly,1,,,,,,,8856.75,8250.6,10028.2,9337.0,9484.0,,,,,,,,,,,,8250.6,10028.2,9118.1375,
2020-01-12,Cuba,monthly,2,,,,,,,8919.5,8440.2,10207.4,9315.0,9592.75,,,,,,,,,,,,8440.2,10207.4,9220.525,
2020-01-19,Cuba,monthly,3,,,,,,,8982.25,8629.8,10386.6,9293.0,9701.5,,,,,,,,,,,,8629.8,10386.6,9322.9125,
2020-01-26,Cuba,monthly,4,,,,,,,9045.0,8819.4,10565.8,9271.0,9810.25,,,,,,,,,,,,8819.4,10565.8,9425.3,
2020-02-02,Cuba,monthly,5,,,,,,8543.0,8950.8,9009.0,10745.0,9249.0,9919.0,,,,,,,,,,,,8543.0,10745.0,9299.36,
2020-02-09,Cuba,monthly,6,,,,,,8580.25,8856.6,8713.0,10249.25,9062.25,9722.5,,,,,,,,,,,,8580.25,10249.25,9092.27,
2020-02-16,Cuba,monthly,7,,,,,,8617.5,8762.4,8417.0,9753.5,8875.5,9526.0,,,,,,,,,,,,8417.0,9753.5,8885.18,
2020-02-23,Cuba,monthly,8,,,,,,8654.75,8668.2,8121.0,9257.75,8688.75,9329.5,,,,,,,,,,,,8121.0,9257.75,8678.09,
2020-03-01,Cuba,monthly,9,,,,,,8692.0,8574.0,7825.0,8762.0,8502.0,9133.0,,,,,,,,,,,,7825.0,8762.0,8471.0,
2020-03-08,Cuba,monthly,10,,,,,,8550.8,8579.5,7959.25,8918.25,8578.0,9310.8,,,,,,,,,,,,7959.25,8918.25,8517.16,
2020-03-15,Cuba,monthly,11,,,,,,8409.6,8585.0,8093.5,9074.5,8654.0,9488.6,,,,,13.89,,,11317498.0,,,,8093.5,9074.5,8563.32,
2020-03-22,Cuba,monthly,12,,,,,,8268.4,8590.5,8227.75,9230.75,8730.0,9666.4,,,1.9048333333333334,,21.034285714285716,,,11317498.0,,,,8227.75,9230.75,8609.48,
2020-03-29,Cuba,monthly,13,,,,,,8127.2,8596.0,8362.0,9387.0,8806.0,9844.2,,,9.204142857142857,213.0,63.098571428571425,,,11317498.0,4.321193829644534,,,8127.2,9387.0,8655.64,
2020-04-05,Cuba,monthly,14,,,,,,7986.0,8359.0,8312.5,9181.0,8756.8,10022.0,,6.0,23.020285714285713,469.7142857142857,66.67,,,11317498.0,4.900912408759123,,,7986.0,9181.0,8519.060000000001,10016.0
2020-04-12,Cuba,monthly,15,,,,,,7994.25,8122.0,8263.0,8975.0,8707.6,9849.0,,18.25,38.63271428571428,1109.857142857143,70.63571428571429,,,11317498.0,3.4808726991890837,,,7994.25,8975.0,8412.369999999999,9830.75
2020-04-19,Cuba,monthly,16,,,,,,8002.5,7885.0,8213.5,8769.0,8658.4,9676.0,,30.5,51.857142857142854,1620.857142857143,77.51285714285714,,,11317498.0,3.199365415124272,,,7885.0,8769.0,8305.68,9645.5
2020-04-26,Cuba,monthly,17,,,,,,8010.75,7648.0,8164.0,8563.0,8609.2,9503.0,,42.75,51.571285714285715,1783.142857142857,83.33,,,11317498.0,2.892156705656145,,,7648.0,8609.2,8198.99,9460.25
2020-05-03,Cuba,monthly,18,,,,,,8019.0,7710.8,8195.4,8357.0,8560.0,9330.0,,55.0,39.83671428571428,1911.4285714285713,83.33,,,11317498.0,2.0841330343796707,,,7710.8,8560.0,8168.44,9275.0
2020-05-10,Cuba,monthly,19,,,,,,8002.5,7773.6,8226.8,8393.5,8692.75,9133.0,,46.75,29.693857142857144,2007.2857142857142,84.92428571428572,,,11317498.0,1.4793039641306671,,,7773.6,8692.75,8217.83,9086.25
2020-05-17,Cuba,monthly,20,,,,,,7986.0,7836.4,8258.2,8430.0,8825.5,8936.0,,38.5,15.408428571428571,1997.142857142857,100.0,,,11317498.0,0.7715236051502146,,,7836.4,8825.5,8267.22,8897.5
2020-05-24,Cuba,monthly,21,,,,,,7969.5,7899.2,8289.6,8466.5,8958.25,8739.0,,30.25,11.489714285714285,1889.142857142857,100.0,,,11317498.0,0.6081972171808833,,,7899.2,8958.25,8316.61,8708.75
2020-05-31,Cuba,monthly,22,,,,,,7953.0,7962.0,8321.0,8503.0,9091.0,8542.0,,22.0,11.795857142857143,1565.142857142857,100.0,,,11317498.0,0.7536600949251552,,,7953.0,9091.0,8366.0,8520.0
2020-06-07,Cuba,monthly,23,,,,,,7926.6,7919.0,8421.5,8595.75,9194.75,8577.6,,18.2,19.510428571428573,1826.0,100.0,,,11317498.0,1.0684791112501957,,,7919.0,9194.75,8411.52,8559.4
2020-06-14,Cuba,monthly,24,,,,,,7900.2,7876.0,8522.0,8688.5,9298.5,8613.2,,14.4,13.387857142857143,2127.0,100.0,,,11317498.0,0.6294244072805427,,,7876.0,9298.5,8457.039999999999,8598.800000000001
2020-06-21,Cuba,monthly,25,,,,,,7873.8,7833.0,8622.5,8781.25,9402.25,8648.8,,10.600000000000001,9.836714285714285,2404.714285714286,92.06285714285715,,,11317498.0,0.40905958533832343,,,7833.0,9402.25,8502.560000000001,8638.199999999999
2020-06-28,Cuba,monthly,26,,,,,,7847.4,7790.0,8723.0,8874.0,9506.0,8684.4,,6.800000000000001,4.571285714285714,2237.714285714286,86.11,,,11317498.0,0.2042837078651685,,,7790.0,9506.0,8548.08,8677.6
2020-07-05,Cuba,monthly,27,,,,,,7821.0,7960.75,9038.8,8954.8,9505.8,8720.0,,3.0,4.571285714285714,2342.5714285714284,78.57142857142857,,,11317498.0,0.1951396511769728,,,7821.0,9505.8,8656.23,8717.0
2020-07-12,Cuba,monthly,28,,,,,,8023.5,8131.5,9354.6,9035.6,9505.6,8862.5,,2.5,7.183714285714286,2935.5714285714284,68.52,,,11317498.0,0.24471263808457838,,,8023.5,9505.6,8810.16,8860.0
2020-07-19,Cuba,monthly,29,,,,,,8226.0,8302.25,9670.4,9116.4,9505.4,9005.0,,2.0,4.836714285714286,3113.1428571428573,68.52,,,11317498.0,0.15536435389133627,,,8226.0,9670.4,8964.09,9003.0
2020-07-26,Cuba,monthly,30,,,,,,8428.5,8473.0,9986.2,9197.2,9505.2,9147.5,,1.5,3.9182857142857146,2923.4285714285716,68.52,,,11317498.0,0.13403049257232214,,,8428.5,9986.2,9118.02,9146.0
2020-08-02,Cuba,monthly,31,,,,,,8631.0,8456.4,10302.0,9278.0,9505.0,9290.0,,1.0,18.244857142857143,3289.714285714286,68.52,,,11317498.0,0.5546030918881362,,,8456.4,10302.0,9234.48,9289.0
2020-08-09,Cuba,monthly,32,,,,,,8567.2,8439.8,10163.5,9072.0,9483.5,9312.8,,2.2,28.22442857142857,3629.8571428571427,69.71,,,11317498.0,0.7775630682041796,,,8439.8,10163.5,9145.2,9310.599999999999
2020-08-16,Cuba,monthly,33,,,,,,8503.4,8423.2,10025.0,8866.0,9462.0,9335.6,,3.4,55.83671428571428,4223.285714285715,81.61571428571428,,,11317498.0,1.3221154821905758,,,8423.2,10025.0,9055.92,9332.2
2020-08-23,Cuba,monthly,34,,,,,,8439.6,8406.6,9886.5,8660.0,9440.5,9358.4,,4.6,49.428714285714285,4595.0,82.41,,,11317498.0,1.075706513290844,,,8406.6,9886.5,8966.64,9353.8
2020-08-30,Cuba,monthly,35,,,,,,8375.8,8390.0,9748.0,8454.0,9419.0,9381.2,,5.8,42.653000000000006,4563.285714285715,82.41,,,11317498.0,0.934699308142629,,,8375.8,9748.0,8877.36,9375.400000000001
2020-09-06,Cuba,monthly,36,,,,,,8312.0,8288.75,9503.75,8302.75,9337.0,9404.0,,7.0,51.428714285714285,5349.0,85.58142857142856,,,11317498.0,0.9614640920866384,,,8288.75,9503.75,8748.85,9397.0
2020-09-13,Cuba,monthly,37,,,,,,8220.5,8187.5,9259.5,8151.5,9255.0,9140.0,,12.25,48.14257142857143,7027.428571428572,86.11,,,11317498.0,0.685066677508538,,,8151.5,9259.5,8614.8,9127.75
2020-09-20,Cuba,monthly,38,,,,,,8129.0,8086.25,9015.25,8000.25,9173.0,8876.0,,17.5,57.53057142857143,7698.571428571428,86.11,,,11317498.0,0.7472889218778994,,,8000.25,9173.0,8480.75,8858.5
2020-09-27,Cuba,monthly,39,,,,,,8037.5,7985.0,8771.0,7849.0,9091.0,8612.0,,22.75,54.571571428571424,7609.142857142857,84.78857142857143,,,11317498.0,0.7171842144788224,,,7849.0,9091.0,8346.7,8589.25
2020-10-04,Cuba,monthly,40,,,,,,7946.0,8032.0,8800.6,7935.4,9009.0,8348.0,,28.0,49.51014285714286,7402.285714285715,79.49714285714286,,,11317498.0,0.6688493901497606,,,7935.4,9009.0,8344.6,8320.0
2020-10-11,Cuba,monthly,41,,,,,,8138.75,8079.0,8830.2,8021.8,9021.5,8531.25,,22.5,37.22457142857143,7025.857142857143,73.15,,,11317498.0,0.5298224924259368,,,8021.8,9021.5,8418.25,8508.75
2020-10-18,Cuba,monthly,42,,,,,,8331.5,8126.0,8859.8,8108.2,9034.0,8714.5,,17.0,24.693714285714286,7182.857142857143,64.81,,,11317498.0,0.3437867939538584,,,8108.2,9034.0,8491.9,8697.5
2020-10-25,Cuba,monthly,43,,,,,,8524.25,8173.0,8889.4,8194.6,9046.5,8897.75,,11.5,47.122428571428564,7074.0,64.81,,,11317498.0,0.6661355466698977,,,8173.0,9046.5,8565.55,8886.25
2020-11-01,Cuba,monthly,44,,,,,,8717.0,8220.0,8919.0,8281.0,9059.0,9081.0,,6.0,50.163428571428575,7876.285714285715,64.81,,,11317498.0,0.6368919360104472,,,8220.0,9059.0,8639.2,9075.0
2020-11-08,Cuba,monthly,45,,,,,,8629.0,8326.0,8928.25,8303.0,9019.0,9156.8,,6.2,55.836571428571425,8494.142857142857,60.05285714285714,,,11317498.0,0.6573538068248709,,,8303.0,9019.0,8641.05,9150.599999999999
2020-11-15,Cuba,monthly,46,,,,,,8541.0,8432.0,8937.5,8325.0,8979.0,9232.6,,6.4,45.53057142857143,8576.42857142857,59.26,,,11317498.0,0.5308803198134422,,,8325.0,8979.0,8642.9,9226.2
2020-11-22,Cuba,monthly,47,,,,,,8453.0,8538.0,8946.75,8347.0,8939.0,9308.4,,6.6,36.449,8681.857142857143,59.26,,,11317498.0,0.41982952956082464,,,8347.0,8946.75,8644.75,9301.8
2020-11-29,Cuba,monthly,48,,,,,,8365.0,8644.0,8956.0,8369.0,8899.0,9384.2,,6.8,47.020428571428575,9964.285714285714,59.26,,,11317498.0,0.4718896057347671,,,8365.0,8956.0,8646.6,9377.400000000001
