date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Cuba,monthly,1,,,,,,,8856.75,8250.6,10028.2,9337.0,9484.0,11386.0,,29.8,5698.858,,,32.807,10471622.143,9704458.714,2478910.429,93.028,86.213,22.022,11256372.0,8250.6,10028.2,9118.138,
2022-01-16,Cuba,monthly,2,,,,,,,8919.5,8440.2,10207.4,9315.0,9593.0,11580.0,,41.6,17671.286,,,34.396,10514936.429,9758575.0,3558347.857,93.413,86.694,31.612,11256372.0,8440.2,10207.4,9220.525,
2022-01-23,Cuba,monthly,3,,,,,,,8982.25,8629.8,10386.6,9293.0,9702.0,11774.0,,53.4,22973.0,,,29.63,10542785.0,9792095.0,4524604.286,93.661,86.992,40.196,11256372.0,8629.8,10386.6,9322.912,
2022-01-30,Cuba,monthly,4,,,,,,,9045.0,8819.4,10565.8,9271.0,9811.0,11968.0,,65.2,21936.857,,,29.63,10563815.571,9817695.571,5118057.0,93.847,87.219,45.468,11256372.0,8819.4,10565.8,9425.3,
2022-02-06,Cuba,monthly,5,,,,,,8543.0,8950.8,9009.0,10745.0,9249.0,9920.0,11648.25,,77.0,15289.144,,,29.63,10577639.143,9838938.714,5492453.286,93.97,87.408,48.794,11256372.0,8543.0,10745.0,9299.36,
2022-02-13,Cuba,monthly,6,,,,,,8580.25,8856.6,8713.0,10249.25,9062.25,9723.5,11328.5,,81.5,8559.284,,,29.63,10588465.429,9853603.571,5695251.714,94.066,87.538,50.596,11256372.0,8580.25,10249.25,9092.27,
2022-02-20,Cuba,monthly,7,,,,,,8617.5,8762.4,8417.0,9753.5,8875.5,9527.0,11008.75,,86.0,5598.0,,,29.63,10596934.571,9865881.857,5815426.857,94.142,87.647,51.663,11256372.0,8417.0,9753.5,8885.18,
2022-02-27,Cuba,monthly,8,,,,,,8654.75,8668.2,8121.0,9257.75,8688.75,9330.5,10689.0,,90.5,4132.143,,,29.63,10605393.857,9877327.0,5918396.714,94.217,87.749,52.578,11256372.0,8121.0,9257.75,8678.09,
2022-03-06,Cuba,monthly,9,,,,,,8692.0,8574.0,7825.0,8762.0,8502.0,9134.0,10673.2,,95.0,3781.144,,,29.63,10612062.429,9886135.429,5999913.571,94.276,87.827,53.302,11256372.0,7825.0,8762.0,8471.0,
2022-03-13,Cuba,monthly,10,,,,,,8550.8,8579.5,7959.25,8918.25,8578.0,9311.6,10657.4,,75.25,3716.286,,,29.63,10617757.857,9893554.286,6071492.571,94.327,87.893,53.938,11256372.0,7959.25,8918.25,8517.16,
2022-03-20,Cuba,monthly,11,,,,,,8409.6,8585.0,8093.5,9074.5,8654.0,9489.2,10641.6,,55.5,4204.857,,,29.63,10623054.0,9900633.143,6143464.429,94.374,87.956,54.578,11256372.0,8093.5,9074.5,8563.32,
2022-03-27,Cuba,monthly,12,,,,,,8268.4,8590.5,8227.75,9230.75,8730.0,9666.8,10625.8,,35.75,5324.285,,,29.63,10628689.429,9907774.786,6213620.286,94.424,88.019,55.201,11256372.0,8227.75,9230.75,8609.48,
2022-04-03,Cuba,monthly,13,,,,,,8127.2,8596.0,8362.0,9387.0,8806.0,9844.4,10610.0,,16.0,5652.286,,,29.63,10635190.571,9915077.571,6298200.571,94.482,88.084,55.952,11256372.0,8127.2,9387.0,8655.64,
2022-04-10,Cuba,monthly,14,,,,,,7986.0,8359.0,8312.5,9181.0,8756.8,10022.0,10540.5,,16.0,4720.285,,,21.694,10640690.857,9920920.857,6386841.714,94.53,88.136,56.74,11256372.0,7986.0,9181.0,8519.06,
2022-04-17,Cuba,monthly,15,,,,,,7994.25,8122.0,8263.0,8975.0,8707.6,9849.0,10471.0,,16.0,3573.001,,,18.52,10645753.429,9929909.0,6454356.0,94.575,88.216,57.34,11256372.0,7994.25,8975.0,8412.37,
2022-04-24,Cuba,monthly,16,,,,,,8002.5,7885.0,8213.5,8769.0,8658.4,9676.0,10401.5,,16.0,2351.715,,,18.52,10650836.143,9938985.286,6504475.857,94.621,88.297,57.785,11256372.0,7885.0,8769.0,8305.68,
2022-05-01,Cuba,monthly,17,,,,,,8010.75,7648.0,8164.0,8563.0,8609.2,9503.0,10332.0,,16.0,1642.713,,,18.52,10656286.143,9945958.286,6555985.857,94.669,88.358,58.242,11256372.0,7648.0,8609.2,8198.99,
2022-05-08,Cuba,monthly,18,,,,,,8019.0,7710.8,8195.4,8357.0,8560.0,9330.0,10374.0,,13.4,1073.714,,,18.52,10659560.857,9950921.071,6886393.5,94.698,88.403,61.178,11256372.0,7710.8,8560.0,8168.44,
2022-05-15,Cuba,monthly,19,,,,,,8002.5,7773.6,8226.8,8393.5,8692.75,9133.5,10416.0,,10.8,683.286,,,18.52,10663068.571,9955829.714,7125598.0,94.729,88.446,63.303,11256372.0,7773.6,8692.75,8217.83,
2022-05-22,Cuba,monthly,20,,,,,,7986.0,7836.4,8258.2,8430.0,8825.5,8937.0,10458.0,,8.2,515.001,,,18.52,10666044.143,9959522.714,7200893.429,94.756,88.479,63.972,11256372.0,7836.4,8825.5,8267.22,
2022-05-29,Cuba,monthly,21,,,,,,7969.5,7899.2,8289.6,8466.5,8958.25,8740.5,10500.0,,5.6,311.999,,,18.52,10668787.857,9962862.357,7242386.0,94.78,88.509,64.34,11256372.0,7899.2,8958.25,8316.61,
2022-06-05,Cuba,monthly,22,,,,,,7953.0,7962.0,8321.0,8503.0,9091.0,8544.0,10542.0,,3.0,246.429,,,18.52,10671535.286,9965744.714,7279818.143,94.804,88.534,64.673,11256372.0,7953.0,9091.0,8366.0,
2022-06-12,Cuba,monthly,23,,,,,,7926.6,7919.0,8421.5,8595.75,9194.75,8579.6,10566.75,,2.25,161.429,,,18.52,10673826.0,9967848.429,7309535.071,94.825,88.553,64.937,11256372.0,7919.0,9194.75,8411.52,
2022-06-19,Cuba,monthly,24,,,,,,7900.2,7876.0,8522.0,8688.5,9298.5,8615.2,10591.5,,1.5,142.428,,,18.52,10676112.857,9970011.429,7353762.571,94.845,88.572,65.33,11256372.0,7876.0,9298.5,8457.04,
2022-06-26,Cuba,monthly,25,,,,,,7873.8,7833.0,8622.5,8781.25,9402.25,8650.8,10616.25,,0.75,160.428,,,10.584,10678027.714,9972355.571,7382428.429,94.862,88.593,65.584,11256372.0,7833.0,9402.25,8502.56,
2022-07-03,Cuba,monthly,26,,,,,,7847.4,7790.0,8723.0,8874.0,9506.0,8686.4,10641.0,,0.0,180.714,,,7.41,10679740.0,9974363.143,7401202.429,94.877,88.611,65.751,11256372.0,7790.0,9506.0,8548.08,
2022-07-10,Cuba,monthly,27,,,,,,7821.0,7960.75,9038.8,8954.8,9505.8,8722.0,12593.25,,0.0,258.714,,,7.41,10680885.571,9975394.214,7415334.857,94.887,88.62,65.877,11256372.0,7821.0,9505.8,8656.23,
2022-07-17,Cuba,monthly,28,,,,,,8023.5,8131.5,9354.6,9035.6,9505.6,8864.0,14545.5,,0.0,327.285,,,7.41,10682028.286,9976190.071,7427824.143,94.898,88.627,65.988,11256372.0,8023.5,9505.6,8810.16,
2022-07-24,Cuba,monthly,29,,,,,,8226.0,8302.25,9670.4,9116.4,9505.4,9006.0,16497.75,,0.0,417.428,,,,10682896.75,9976840.0,7434440.0,94.905,88.633,66.047,11256372.0,8226.0,9670.4,8964.09,
2022-07-31,Cuba,monthly,30,,,,,,8428.5,8473.0,9986.2,9197.2,9505.2,9148.0,18450.0,,,,,,,,,,,,,,8428.5,9986.2,9118.02,
2022-08-07,Cuba,monthly,31,,,,,,8631.0,8456.4,10302.0,9278.0,9505.0,9290.0,20491.0,,,,,,,,,,,,,,8456.4,10302.0,9234.48,
2022-08-14,Cuba,monthly,32,,,,,,8567.2,8439.8,10163.5,9072.0,9483.5,9313.0,22532.0,,,,,,,,,,,,,,8439.8,10163.5,9145.2,
2022-08-21,Cuba,monthly,33,,,,,,8503.4,8423.2,10025.0,8866.0,9462.0,9336.0,24573.0,,,,,,,,,,,,,,8423.2,10025.0,9055.92,
2022-08-28,Cuba,monthly,34,,,,,,8439.6,8406.6,9886.5,8660.0,9440.5,9359.0,26614.0,,,,,,,,,,,,,,8406.6,9886.5,8966.64,
2022-09-04,Cuba,monthly,35,,,,,,8375.8,8390.0,9748.0,8454.0,9419.0,9382.0,28655.0,,,,,,,,,,,,,,8375.8,9748.0,8877.36,
2022-09-11,Cuba,monthly,36,,,,,,8312.0,8288.75,9503.75,8302.75,9337.0,9405.0,27221.5,,,,,,,,,,,,,,8288.75,9503.75,8748.85,
2022-09-18,Cuba,monthly,37,,,,,,8220.5,8187.5,9259.5,8151.5,9255.0,9141.0,25788.0,,,,,,,,,,,,,,8151.5,9259.5,8614.8,
2022-09-25,Cuba,monthly,38,,,,,,8129.0,8086.25,9015.25,8000.25,9173.0,8877.0,24354.5,,,,,,,,,,,,,,8000.25,9173.0,8480.75,
2022-10-02,Cuba,monthly,39,,,,,,8037.5,7985.0,8771.0,7849.0,9091.0,8613.0,22921.0,,,,,,,,,,,,,,7849.0,9091.0,8346.7,
2022-10-09,Cuba,monthly,40,,,,,,7946.0,8032.0,8800.6,7935.4,9009.0,8349.0,20336.5,,,,,,,,,,,,,,7935.4,9009.0,8344.6,
2022-10-16,Cuba,monthly,41,,,,,,8138.75,8079.0,8830.2,8021.8,9021.5,8532.0,17752.0,,,,,,,,,,,,,,8021.8,9021.5,8418.25,
2022-10-23,Cuba,monthly,42,,,,,,8331.5,8126.0,8859.8,8108.2,9034.0,8715.0,15167.5,,,,,,,,,,,,,,8108.2,9034.0,8491.9,
