location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Cyprus,2020-01-05,1,weekly,,,,,,126.0,113.0,155.0,127.0,132.0,146.0,114.0,,113.0,155.0,130.6,
Cyprus,2020-01-12,2,weekly,,,,,,137.0,122.0,176.0,120.0,158.0,153.0,,,120.0,176.0,142.6,
Cyprus,2020-01-19,3,weekly,,,,,,155.0,122.0,151.0,103.0,156.0,162.0,,,103.0,156.0,137.4,
Cyprus,2020-01-26,4,weekly,,,,,,154.0,125.0,161.0,131.0,156.0,157.0,,,125.0,161.0,145.4,
Cyprus,2020-02-02,5,weekly,,,,,,145.0,136.0,160.0,139.0,152.0,166.0,,,136.0,160.0,146.4,
Cyprus,2020-02-09,6,weekly,,,,,,157.0,132.0,175.0,164.0,160.0,154.0,,,132.0,175.0,157.6,
Cyprus,2020-02-16,7,weekly,,,,,,134.0,136.0,169.0,110.0,142.0,109.0,,,110.0,169.0,138.2,
Cyprus,2020-02-23,8,weekly,,,,,,129.0,92.0,143.0,151.0,135.0,145.0,,,92.0,151.0,130.0,
Cyprus,2020-03-01,9,weekly,,,,,,143.0,116.0,139.0,141.0,141.0,138.0,,,116.0,143.0,136.0,
Cyprus,2020-03-08,10,weekly,,,,,,141.0,89.0,136.0,129.0,130.0,116.0,,,89.0,141.0,125.0,
Cyprus,2020-03-15,11,weekly,,,,,,151.0,108.0,117.0,106.0,136.0,125.0,,0.0,106.0,151.0,123.6,125.0
Cyprus,2020-03-22,12,weekly,,,,,,119.0,107.0,149.0,124.0,114.0,139.0,,1.0,107.0,149.0,122.6,138.0
Cyprus,2020-03-29,13,weekly,,,,,,108.0,118.0,105.0,109.0,124.0,134.0,,4.0,105.0,124.0,112.8,130.0
Cyprus,2020-04-05,14,weekly,,,,,,112.0,123.0,125.0,124.0,115.0,141.0,,4.0,112.0,125.0,119.8,137.0
Cyprus,2020-04-12,15,weekly,,,,,,122.0,109.0,97.0,123.0,112.0,107.0,,2.0,97.0,123.0,112.6,105.0
Cyprus,2020-04-19,16,weekly,,,,,,113.0,90.0,123.0,120.0,125.0,123.0,,1.0,90.0,125.0,114.2,122.0
Cyprus,2020-04-26,17,weekly,,,,,,128.0,95.0,120.0,120.0,126.0,115.0,,2.0,95.0,128.0,117.8,113.0
Cyprus,2020-05-03,18,weekly,,,,,,118.0,102.0,104.0,117.0,134.0,117.0,,1.0,102.0,134.0,115.0,116.0
Cyprus,2020-05-10,19,weekly,,,,,,106.0,99.0,110.0,99.0,101.0,106.0,,1.0,99.0,110.0,103.0,105.0
Cyprus,2020-05-17,20,weekly,,,,,,92.0,95.0,97.0,90.0,110.0,139.0,,1.0,90.0,110.0,96.8,138.0
Cyprus,2020-05-24,21,weekly,,,,,,95.0,91.0,112.0,111.0,128.0,183.0,,0.0,91.0,128.0,107.4,183.0
Cyprus,2020-05-31,22,weekly,,,,,,86.0,80.0,109.0,95.0,139.0,106.0,,0.0,80.0,139.0,101.8,106.0
Cyprus,2020-06-07,23,weekly,,,,,,93.0,86.0,110.0,90.0,91.0,123.0,,1.0,86.0,110.0,94.0,122.0
Cyprus,2020-06-14,24,weekly,,,,,,103.0,79.0,85.0,85.0,102.0,92.0,,0.0,79.0,103.0,90.8,92.0
Cyprus,2020-06-21,25,weekly,,,,,,98.0,125.0,89.0,109.0,116.0,98.0,,1.0,89.0,125.0,107.4,97.0
Cyprus,2020-06-28,26,weekly,,,,,,117.0,91.0,109.0,93.0,99.0,102.0,,0.0,91.0,117.0,101.8,102.0
Cyprus,2020-07-05,27,weekly,,,,,,81.0,90.0,112.0,96.0,120.0,115.0,,0.0,81.0,120.0,99.8,115.0
Cyprus,2020-07-12,28,weekly,,,,,,101.0,104.0,132.0,99.0,133.0,108.0,,0.0,99.0,133.0,113.8,108.0
Cyprus,2020-07-19,29,weekly,,,,,,112.0,88.0,94.0,106.0,92.0,101.0,,0.0,88.0,112.0,98.4,101.0
Cyprus,2020-07-26,30,weekly,,,,,,116.0,96.0,101.0,109.0,75.0,106.0,,0.0,75.0,116.0,99.4,106.0
Cyprus,2020-08-02,31,weekly,,,,,,111.0,100.0,93.0,106.0,103.0,109.0,,0.0,93.0,111.0,102.6,109.0
Cyprus,2020-08-09,32,weekly,,,,,,109.0,102.0,105.0,95.0,124.0,88.0,,0.0,95.0,124.0,107.0,88.0
Cyprus,2020-08-16,33,weekly,,,,,,93.0,94.0,84.0,99.0,89.0,99.0,,1.0,84.0,99.0,91.8,98.0
Cyprus,2020-08-23,34,weekly,,,,,,105.0,85.0,90.0,109.0,115.0,102.0,,0.0,85.0,115.0,100.8,102.0
Cyprus,2020-08-30,35,weekly,,,,,,92.0,109.0,96.0,121.0,117.0,106.0,,0.0,92.0,121.0,107.0,106.0
Cyprus,2020-09-06,36,weekly,,,,,,121.0,90.0,81.0,85.0,108.0,93.0,,1.0,81.0,121.0,97.0,92.0
Cyprus,2020-09-13,37,weekly,,,,,,100.0,101.0,106.0,107.0,111.0,121.0,,1.0,100.0,111.0,105.0,120.0
Cyprus,2020-09-20,38,weekly,,,,,,102.0,108.0,74.0,108.0,88.0,98.0,,0.0,74.0,108.0,96.0,98.0
Cyprus,2020-09-27,39,weekly,,,,,,97.0,81.0,113.0,98.0,100.0,102.0,,0.0,81.0,113.0,97.8,102.0
Cyprus,2020-10-04,40,weekly,,,,,,84.0,91.0,96.0,105.0,113.0,111.0,,0.0,84.0,113.0,97.8,111.0
Cyprus,2020-10-11,41,weekly,,,,,,73.0,96.0,111.0,101.0,116.0,106.0,,3.0,73.0,116.0,99.4,103.0
Cyprus,2020-10-18,42,weekly,,,,,,95.0,88.0,104.0,105.0,105.0,108.0,,0.0,88.0,105.0,99.4,108.0
Cyprus,2020-10-25,43,weekly,,,,,,99.0,98.0,98.0,92.0,98.0,115.0,,0.0,92.0,99.0,97.0,115.0
Cyprus,2020-11-01,44,weekly,,,,,,103.0,110.0,100.0,113.0,106.0,107.0,,1.0,100.0,113.0,106.4,106.0
Cyprus,2020-11-08,45,weekly,,,,,,88.0,110.0,94.0,114.0,95.0,109.0,,2.0,88.0,114.0,100.2,107.0
Cyprus,2020-11-15,46,weekly,,,,,,111.0,108.0,119.0,118.0,119.0,124.0,,11.0,108.0,119.0,115.0,113.0
Cyprus,2020-11-22,47,weekly,,,,,,106.0,112.0,101.0,98.0,101.0,106.0,,5.0,98.0,112.0,103.6,101.0
Cyprus,2020-11-29,48,weekly,,,,,,123.0,107.0,101.0,120.0,133.0,130.0,,4.0,101.0,133.0,116.8,126.0
Cyprus,2020-12-06,49,weekly,,,,,,109.0,111.0,135.0,106.0,119.0,137.0,,13.0,106.0,135.0,116.0,124.0
Cyprus,2020-12-13,50,weekly,,,,,,113.0,107.0,111.0,117.0,119.0,148.0,,17.0,107.0,119.0,113.4,131.0
Cyprus,2020-12-20,51,weekly,,,,,,124.0,130.0,119.0,126.0,155.0,137.0,,13.0,119.0,155.0,130.8,124.0
Cyprus,2020-12-27,52,weekly,,,,,,118.0,151.0,113.0,115.0,116.0,115.0,,21.0,113.0,151.0,122.6,94.0
Cyprus,2021-01-03,53,weekly,,,,,,,,,,,126.0,,19.0,,,,107.0
