date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Cyprus,weekly,1,,,,,,126.0,113.0,155.0,127.0,133.0,180.0,165.0,177.0,18.0,4097.572,83463.0,4.917,75.526,4968.0,,,0.554,,,896005.0,113.0,155.0,130.8,147.0
2021-01-17,Cyprus,weekly,2,,,,,,137.0,122.0,176.0,120.0,159.0,154.0,125.0,166.0,20.0,2471.287,80670.0,3.052,84.26,8833.214,,,0.986,,,896005.0,120.0,176.0,142.8,105.0
2021-01-24,Cyprus,weekly,3,,,,,,155.0,122.0,151.0,103.0,155.0,159.0,140.0,190.0,16.0,1335.856,65830.0,2.024,84.26,13849.673,2306.571,,1.546,0.257,,896005.0,103.0,155.0,137.2,124.0
2021-01-31,Cyprus,weekly,4,,,,,,154.0,125.0,161.0,131.0,158.0,155.0,159.0,168.0,14.0,944.571,84093.0,1.176,84.26,18368.102,4572.694,,2.05,0.51,,896005.0,125.0,161.0,145.8,145.0
2021-02-07,Cyprus,weekly,5,,,,,,145.0,136.0,160.0,139.0,154.0,164.0,152.0,183.0,14.0,916.428,178763.0,0.526,80.56,21973.286,8752.939,,2.452,0.977,,896005.0,136.0,160.0,146.8,138.0
2021-02-14,Cyprus,weekly,6,,,,,,157.0,132.0,175.0,164.0,160.0,147.0,120.0,,9.0,816.142,219729.0,0.371,80.56,27679.612,13453.102,,3.089,1.501,,896005.0,132.0,175.0,157.6,111.0
2021-02-21,Cyprus,weekly,7,,,,,,134.0,136.0,169.0,110.0,141.0,112.0,137.0,,9.0,757.285,213470.0,0.355,80.56,35445.327,17931.435,,3.956,2.001,,896005.0,110.0,169.0,138.0,128.0
2021-02-28,Cyprus,weekly,8,,,,,,129.0,92.0,143.0,151.0,137.0,143.0,125.0,,2.0,947.714,226195.0,0.416,80.56,50085.857,21842.619,,5.59,2.438,,896005.0,92.0,151.0,130.4,123.0
2021-03-07,Cyprus,weekly,9,,,,,,143.0,116.0,139.0,141.0,140.0,141.0,123.0,,1.0,2027.856,273881.0,0.738,75.0,64895.0,26680.333,,7.243,2.978,,896005.0,116.0,143.0,135.8,122.0
2021-03-14,Cyprus,weekly,10,,,,,,141.0,89.0,136.0,129.0,130.0,118.0,121.0,,6.0,2426.572,299408.0,0.81,75.0,77592.769,30963.154,,8.66,3.456,,896005.0,89.0,141.0,125.0,115.0
2021-03-21,Cyprus,weekly,11,,,,,,151.0,108.0,117.0,106.0,135.0,129.0,135.0,,4.0,2654.714,297501.0,0.894,71.829,89909.69,34883.816,,10.035,3.893,,896005.0,106.0,151.0,123.4,131.0
2021-03-28,Cyprus,weekly,12,,,,,,119.0,107.0,149.0,124.0,115.0,137.0,127.0,,8.0,2564.714,304049.0,0.846,71.3,101041.071,39856.929,,11.277,4.448,,896005.0,107.0,149.0,122.8,119.0
2021-04-04,Cyprus,weekly,13,,,,,,108.0,118.0,105.0,109.0,125.0,138.0,137.0,,11.0,2773.429,324970.0,0.851,70.503,111756.862,45325.566,,12.473,5.059,,896005.0,105.0,125.0,113.0,126.0
