date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Czechia,weekly,1,2155.0,2249.0,2262.0,2313.0,2099.0,2378.0,2222.0,2763.0,2143.0,2321.0,2305.0,3838.0,,1155.0,79105.857,391691.0,20.269603851919126,73.15,35752.57142857143,4.285714285714286,,0.3333712037095759,3.996170549685648e-05,,10724553.0,2099.0,2763.0,2290.5,2683.0
2021-01-17,Czechia,weekly,2,2095.0,2117.0,2188.0,2233.0,1978.0,2432.0,2054.0,2811.0,2126.0,2290.0,2325.0,3747.0,,1223.0,72643.85800000001,399352.0,18.101279286488197,73.15,97353.28571428571,105.42857142857143,,0.9077607776686423,0.0009830579552226693,,10724553.0,1978.0,2811.0,2232.4,2524.0
2021-01-24,Czechia,weekly,3,2200.0,2139.0,2103.0,2339.0,1997.0,2396.0,2175.0,2833.0,2230.0,2311.0,2244.0,3591.0,,1031.0,51946.429000000004,339052.0,15.312354234423319,76.32142857142857,172053.42857142858,8544.42857142857,,1.6042946365357005,0.07967165224908275,,10724553.0,1997.0,2833.0,2272.3,2560.0
2021-01-31,Czechia,weekly,4,2105.0,2087.0,2115.0,2358.0,2117.0,2499.0,2116.0,2761.0,2190.0,2365.0,2337.0,3443.0,,939.0,47460.713,347635.0,13.665235931053996,79.49428571428572,229476.57142857142,29428.85714285714,,2.1397308720332813,0.27440637519211425,,10724553.0,2087.0,2761.0,2271.3,2504.0
2021-02-07,Czechia,weekly,5,2167.0,2274.0,2201.0,2459.0,2118.0,2580.0,2137.0,2598.0,2216.0,2497.0,2364.0,3270.0,,927.0,48503.0,386159.0,12.56234006930657,81.48,257518.7142857143,77886.85714285714,,2.4012069713834627,0.7262480510176708,,10724553.0,2118.0,2598.0,2324.7,2343.0
2021-02-14,Czechia,weekly,6,2253.0,2275.0,2281.0,2490.0,2093.0,2598.0,2245.0,2640.0,2404.0,2445.0,2355.0,3436.0,,908.0,51758.858,404439.0,12.797084053821886,80.28857142857143,285500.28571428574,145763.42857142858,,2.6621182786292885,1.3591562144494842,,10724553.0,2093.0,2640.0,2372.4,2528.0
2021-02-21,Czechia,weekly,7,2193.0,2252.0,2321.0,2385.0,2066.0,2732.0,2160.0,2492.0,2602.0,2509.0,2391.0,3476.0,,1071.0,58971.0,461097.0,12.777264746006113,75.0,330104.28571428574,201315.85714285713,,3.078023724758372,1.877149165497687,,10724553.0,2066.0,2732.0,2371.2,2405.0
2021-02-28,Czechia,weekly,8,2161.0,2298.0,2274.0,2365.0,2109.0,2684.0,2214.0,2357.0,2754.0,2496.0,2350.0,3626.0,,1125.0,74788.714,556932.0,13.414658532649243,75.0,398142.85714285716,236445.0,,3.7124424406579664,2.20470727311432,,10724553.0,2109.0,2754.0,2371.2,2501.0
2021-03-07,Czechia,weekly,9,2136.0,2255.0,2243.0,2303.0,2011.0,2609.0,2235.0,2353.0,2819.0,2313.0,2360.0,3919.0,,1378.0,84870.001,681639.0,12.50034992473161,75.0,526630.0,260569.7142857143,,4.910507692022222,2.4296557095266746,,10724553.0,2011.0,2819.0,2327.7,2541.0
2021-03-14,Czechia,weekly,10,2190.0,2212.0,2233.0,2318.0,2032.0,2357.0,2096.0,2225.0,2994.0,2383.0,2294.0,4028.0,,1509.0,81153.285,1051150.0,7.893862351470326,81.48,727995.7142857143,293082.28571428574,,6.788121745360522,2.732815863880627,,10724553.0,2032.0,2994.0,2304.0,2519.0
