date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Dominican Republic,monthly,1,,,,,,,3785.75,3942.8,3730.2,3580.0,3847.0,4284.25,,125.25,7404.43,25752.0,28.907,70.37,,,,,,,11117874.0,3580.0,3942.8,3759.688,4159.0
2021-01-17,Dominican Republic,monthly,2,,,,,,,3799.5,3993.6,3708.4,3638.75,3929.5,4425.5,,167.5,9855.285,40634.0,24.264,70.37,,,,,,,11117874.0,3638.75,3993.6,3785.062,4258.0
2021-01-24,Dominican Republic,monthly,3,,,,,,,3813.25,4044.4,3686.6,3697.5,4012.0,4566.75,,209.75,11654.858,48188.0,24.203,70.37,,,,,,,11117874.0,3686.6,4044.4,3810.438,4357.0
2021-01-31,Dominican Republic,monthly,4,,,,,,,3827.0,4095.2,3664.8,3756.25,4094.5,4708.0,,252.0,9658.142,46552.0,20.769,70.37,,,,,,,11117874.0,3664.8,4095.2,3835.812,4456.0
2021-02-07,Dominican Republic,monthly,5,,,,,,3637.0,3783.2,4146.0,3643.0,3815.0,4177.0,4440.5,,297.5,9806.57,50352.0,19.478,70.37,,,,,,,11117874.0,3637.0,4146.0,3804.84,4143.0
2021-02-14,Dominican Republic,monthly,6,,,,,,3530.75,3739.4,3983.5,3631.0,3727.75,4057.0,4173.0,,343.0,7723.858,42617.0,18.07,70.37,,,,,,,11117874.0,3530.75,3983.5,3722.48,3830.0
2021-02-21,Dominican Republic,monthly,7,,,,,,3424.5,3695.6,3821.0,3619.0,3640.5,3937.0,3905.5,,388.5,6066.714,37869.0,16.017,70.37,6377.571,,,0.057,,,11117874.0,3424.5,3821.0,3640.12,3517.0
2021-02-28,Dominican Republic,monthly,8,,,,,,3318.25,3651.8,3658.5,3607.0,3553.25,3817.0,3638.0,,434.0,4813.999,31864.0,15.097,70.37,34266.286,,,0.308,,,11117874.0,3318.25,3658.5,3557.76,3204.0
2021-03-07,Dominican Republic,monthly,9,,,,,,3212.0,3608.0,3496.0,3595.0,3466.0,3697.0,3692.0,,392.2,3846.141,25199.0,15.393,70.37,231564.857,,,2.083,,,11117874.0,3212.0,3608.0,3475.4,3299.8
2021-03-14,Dominican Republic,monthly,10,,,,,,3299.6,3648.0,3552.25,3727.75,3537.0,3663.6,3746.0,,350.4,3307.143,21762.0,15.313,70.37,564983.429,,,5.082,,,11117874.0,3299.6,3727.75,3552.92,3395.6
2021-03-21,Dominican Republic,monthly,11,,,,,,3387.2,3688.0,3608.5,3860.5,3608.0,3630.2,3800.0,,308.6,3125.999,26600.0,11.756,70.37,721875.0,,,6.493,,,11117874.0,3387.2,3860.5,3630.44,3491.4
2021-03-28,Dominican Republic,monthly,12,,,,,,3474.8,3728.0,3664.75,3993.25,3679.0,3596.8,3854.0,,266.8,3001.001,23516.0,12.733,70.37,815055.816,,,7.331,,,11117874.0,3474.8,3993.25,3707.96,3587.2
2021-04-04,Dominican Republic,monthly,13,,,,,,3562.4,3768.0,3721.0,4126.0,3750.0,3563.4,3908.0,,225.0,2329.143,21163.0,11.106,70.37,862953.469,145329.167,,7.762,1.307,,11117874.0,3562.4,4126.0,3785.48,3683.0
2021-04-11,Dominican Republic,monthly,14,,,,,,3650.0,3701.0,3646.75,4010.6,3689.0,3530.0,3852.75,,207.5,2678.857,23104.0,11.537,65.604,888528.4,381758.0,,7.992,3.434,,11117874.0,3646.75,4010.6,3739.47,3645.25
2021-04-18,Dominican Republic,monthly,15,,,,,,3595.0,3634.0,3572.5,3895.2,3628.0,3411.75,3797.5,,190.0,3715.857,24915.0,14.908,69.179,919268.483,604420.896,,8.268,5.436,,11117874.0,3572.5,3895.2,3664.94,3607.5
