date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Egypt,monthly,1,,,,,,,54286.25,55654.0,49625.4,53942.0,55694.0,68996.0,61580.8,,,,,,,,,,,,,49625.4,55654.0,53376.912,
2020-01-12,Egypt,monthly,2,,,,,,,55737.5,56465.0,50789.8,55786.75,56011.5,69148.0,63435.6,,,,,,,,,,,,,50789.8,56465.0,54694.762,
2020-01-19,Egypt,monthly,3,,,,,,,57188.75,57276.0,51954.2,57631.5,56329.0,69300.0,65290.4,,,,,,,,,,,,,51954.2,57631.5,56012.612,
2020-01-26,Egypt,monthly,4,,,,,,,58640.0,58087.0,53118.6,59476.25,56646.5,69452.0,67145.2,,,,,,,,,,,,,53118.6,59476.25,57330.462,
2020-02-02,Egypt,monthly,5,,,,,,59713.0,56732.6,58898.0,54283.0,61321.0,56964.0,65635.0,69000.0,,,,,,,,,,,,,54283.0,61321.0,58189.52,
2020-02-09,Egypt,monthly,6,,,,,,56704.25,54825.2,56169.0,52423.5,58346.5,55181.75,61818.0,68775.0,,,,,,,,,,,,,52423.5,58346.5,55693.69,
2020-02-16,Egypt,monthly,7,,,,,,53695.5,52917.8,53440.0,50564.0,55372.0,53399.5,58001.0,68550.0,,,,,0.0,,,,,,,110990096.0,50564.0,55372.0,53197.86,
2020-02-23,Egypt,monthly,8,,,,,,50686.75,51010.4,50711.0,48704.5,52397.5,51617.25,54184.0,68325.0,,0.286,,,0.0,,,,,,,110990096.0,48704.5,52397.5,50702.03,
2020-03-01,Egypt,monthly,9,,,,,,47678.0,49103.0,47982.0,46845.0,49423.0,49835.0,55465.6,68100.0,,0.143,,,0.0,,,,,,,110990096.0,46845.0,49423.0,48206.2,
2020-03-08,Egypt,monthly,10,,,,,,47447.2,47894.75,47408.0,46889.25,49006.5,49694.2,56747.2,64425.0,,11.429,,,0.0,,,,,,,110990096.0,46889.25,49006.5,47729.14,
2020-03-15,Egypt,monthly,11,,,,,,47216.4,46686.5,46834.0,46933.5,48590.0,49553.4,58028.8,60750.0,,64.572,,,12.697,,,,,,,110990096.0,46686.5,48590.0,47252.08,
2020-03-22,Egypt,monthly,12,,,,,,46985.6,45478.25,46260.0,46977.75,48173.5,49412.6,59310.4,57075.0,,166.286,,,35.979,,,,,,,110990096.0,45478.25,48173.5,46775.02,
2020-03-29,Egypt,monthly,13,,,,,,46754.8,44270.0,45686.0,47022.0,47757.0,49271.8,60592.0,53400.0,,248.001,,,73.413,,,,,,,110990096.0,44270.0,47757.0,46297.96,
2020-04-05,Egypt,monthly,14,,,,,,46524.0,43686.25,44678.25,46297.4,46866.2,49131.0,62234.75,51250.0,46.0,399.714,,,84.26,,,,,,,110990096.0,43686.25,46866.2,45610.42,49085.0
2020-04-12,Egypt,monthly,15,,,,,,45305.0,43102.5,43670.5,45572.8,45975.4,47367.75,63877.5,49100.0,121.0,798.714,,,84.26,,,,,,,110990096.0,43102.5,45975.4,44725.24,47246.75
2020-04-19,Egypt,monthly,16,,,,,,44086.0,42518.75,42662.75,44848.2,45084.6,45604.5,65520.25,46950.0,196.0,987.0,,,84.26,,,,,,,110990096.0,42518.75,45084.6,43840.06,45408.5
2020-04-26,Egypt,monthly,17,,,,,,42867.0,41935.0,41655.0,44123.6,44193.8,43841.25,67163.0,44800.0,271.0,1225.714,,,84.26,,,,,,,110990096.0,41655.0,44193.8,42954.88,43570.25
2020-05-03,Egypt,monthly,18,,,,,,41648.0,42176.8,41874.8,43399.0,43303.0,42078.0,68419.8,44740.0,346.0,1694.856,,,84.26,,,,,,,110990096.0,41648.0,43399.0,42480.32,41732.0
2020-05-10,Egypt,monthly,19,,,,,,41928.75,42418.6,42094.6,43667.5,43690.0,45745.25,69676.6,44680.0,401.25,2463.001,,,84.26,,,,,,,110990096.0,41928.75,43690.0,42759.89,45344.0
2020-05-17,Egypt,monthly,20,,,,,,42209.5,42660.4,42314.4,43936.0,44077.0,49412.5,70933.4,44620.0,456.5,2836.0,,,84.26,,,,,,,110990096.0,42209.5,44077.0,43039.46,48956.0
2020-05-24,Egypt,monthly,21,,,,,,42490.25,42902.2,42534.2,44204.5,44464.0,53079.75,72190.2,44560.0,511.75,4109.858,,,84.789,,,,,,,110990096.0,42490.25,44464.0,43319.03,52568.0
2020-05-31,Egypt,monthly,22,,,,,,42771.0,43144.0,42754.0,44473.0,44851.0,56747.0,73447.0,44500.0,567.0,6093.429,,,86.374,,,,,,,110990096.0,42754.0,44851.0,43598.6,56180.0
2020-06-07,Egypt,monthly,23,,,,,,42376.4,43580.75,42193.75,44482.25,45005.25,61213.2,68730.25,44025.0,852.4,8915.716,,,83.731,,,,,,,110990096.0,42193.75,45005.25,43527.68,60360.8
