location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Egypt,2021-01-31,1,monthly,,,,,,59713.0,58640.0,58898.0,54283.0,61321.0,56964.0,71135.0,1685.0,977.3133870967742,,60.72258064516134,328.75,,102334403.0,,0.0003212507137018232,,54283.0,61321.0,58571.0,69450.0
Egypt,2021-02-28,2,monthly,,,,,,47678.0,49103.0,47982.0,46845.0,49423.0,49835.0,54459.0,1372.0,584.0205,,54.63000000000004,1315.0,,102334403.0,,0.0012850028548072928,,46845.0,49423.0,48206.2,53087.0
Egypt,2021-03-31,3,monthly,,,,,,46524.0,44270.0,45686.0,47022.0,47757.0,49131.0,61424.0,1307.0,626.9216129032258,,53.436451612903255,27640.645161290322,,102334403.0,,0.027010120107204147,,44270.0,47757.0,46251.8,60117.0
Egypt,2021-04-30,4,monthly,,,,,,41648.0,41935.0,41655.0,43399.0,43303.0,42078.0,68072.0,1344.0,815.8429333333333,,50.93,379235.93333333335,,102334403.0,,0.37058498629569697,,41648.0,43399.0,42388.0,66728.0
Egypt,2021-05-31,5,monthly,,,,,,42771.0,43144.0,42754.0,44473.0,44851.0,56747.0,74563.0,1757.0,1127.124451612903,,63.27166666666667,1253920.7096774194,272708.347826087,102334403.0,,1.2253168757699395,0.26648745664357565,42754.0,44851.0,43598.6,72806.0
Egypt,2021-06-30,6,monthly,,,,,,40798.0,44891.0,40513.0,44510.0,45468.0,79078.0,,1073.0,694.9570666666666,,41.481999999999985,3009808.5,589366.3333333334,102334403.0,,2.9411502014625523,0.5759219930499163,40513.0,45468.0,43236.0,
Egypt,2021-07-31,7,monthly,,,,,,46374.0,45934.0,49581.0,46202.0,47420.0,61079.0,,355.0,122.977,,43.52,3617243.2580645164,1287980.4193548388,102334403.0,,3.534728451061093,1.2585996317922905,45934.0,49581.0,47102.2,
Egypt,2021-08-31,8,monthly,,,,,,65363.0,44924.0,45737.0,46458.0,45607.0,56515.0,,33.0,46.0574,,,3795011.2,1791296.4,102334403.0,,3.708441236521407,1.7504342112593356,44924.0,65363.0,49617.8,
Egypt,2021-09-30,9,monthly,,,,,,44519.0,41001.0,40863.0,43907.0,42635.0,49351.0,,,,,,,,,,,,40863.0,44519.0,42585.0,
Egypt,2021-10-31,10,monthly,,,,,,42403.0,42853.0,42394.0,44052.0,42838.0,45897.0,,,,,,,,,,,,42394.0,44052.0,42908.0,
Egypt,2021-11-30,11,monthly,,,,,,43253.0,44610.0,42684.0,44667.0,44263.0,50681.0,,,,,,,,,,,,42684.0,44667.0,43895.4,
Egypt,2021-12-31,12,monthly,,,,,,52835.0,54843.0,48461.0,53942.0,55694.0,68844.0,,,,,,,,,,,,48461.0,55694.0,53155.0,
