date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,El Salvador,monthly,1,,,,,,,3461.0,2867.0,3030.0,2303.0,2505.0,,,,,,,,,,,,,,,2303.0,3461.0,2915.25,
2020-01-12,El Salvador,monthly,2,,,,,,,3842.0,3169.0,3391.0,2846.75,3015.0,,,,,,,,,,,,,,,2846.75,3842.0,3312.188,
2020-01-19,El Salvador,monthly,3,,,,,,,4223.0,3471.0,3752.0,3390.5,3525.0,,,,,,,,,,,,,,,3390.5,4223.0,3709.125,
2020-01-26,El Salvador,monthly,4,,,,,,,4604.0,3773.0,4113.0,3934.25,4035.0,,,,,,,,,,,,,,,3773.0,4604.0,4106.062,
2020-02-02,El Salvador,monthly,5,,,,,,4361.0,4424.4,4075.0,4474.0,4478.0,4545.0,,,,,,,,,,,,,,,4075.0,4478.0,4362.48,
2020-02-09,El Salvador,monthly,6,,,,,,4010.0,4244.8,3793.0,4155.75,4167.5,4184.25,,,,,,,,,,,,,,,3793.0,4244.8,4074.21,
2020-02-16,El Salvador,monthly,7,,,,,,3659.0,4065.2,3511.0,3837.5,3857.0,3823.5,,,,,,,,,,,,,,,3511.0,4065.2,3785.94,
2020-02-23,El Salvador,monthly,8,,,,,,3308.0,3885.6,3229.0,3519.25,3546.5,3462.75,,,,,,,,,,,,,,,3229.0,3885.6,3497.67,
2020-03-01,El Salvador,monthly,9,,,,,,2957.0,3706.0,2947.0,3201.0,3236.0,3102.0,,,,,,,,,,,,,,,2947.0,3706.0,3209.4,
2020-03-08,El Salvador,monthly,10,,,,,,2981.2,3647.0,3076.75,3081.5,3318.0,3003.6,,,,,,,,,,,,,,,2981.2,3647.0,3220.89,
2020-03-15,El Salvador,monthly,11,,,,,,3005.4,3588.0,3206.5,2962.0,3400.0,2905.2,,,,,,,,,,,,,,,2962.0,3588.0,3232.38,
