location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Estonia,2020-01-05,1,weekly,403.0,356.0,328.0,335.0,302.0,354.0,322.0,364.0,328.0,351.0,297.0,378.0,,,302.0,403.0,344.3,
Estonia,2020-01-12,2,weekly,314.0,341.0,313.0,320.0,308.0,340.0,334.0,393.0,319.0,338.0,331.0,393.0,,,308.0,393.0,332.0,
Estonia,2020-01-19,3,weekly,324.0,304.0,308.0,335.0,315.0,294.0,301.0,386.0,290.0,383.0,317.0,404.0,,,290.0,386.0,324.0,
Estonia,2020-01-26,4,weekly,357.0,295.0,283.0,343.0,311.0,321.0,335.0,360.0,338.0,324.0,300.0,352.0,,,283.0,360.0,326.7,
Estonia,2020-02-02,5,weekly,319.0,313.0,332.0,337.0,331.0,329.0,319.0,392.0,333.0,325.0,309.0,350.0,,,313.0,392.0,333.0,
Estonia,2020-02-09,6,weekly,337.0,358.0,358.0,316.0,339.0,332.0,353.0,351.0,343.0,325.0,276.0,375.0,,,316.0,358.0,341.2,
Estonia,2020-02-16,7,weekly,309.0,368.0,312.0,335.0,289.0,324.0,276.0,344.0,347.0,317.0,322.0,345.0,0.0,0.0,276.0,368.0,322.1,322.0
Estonia,2020-02-23,8,weekly,319.0,322.0,339.0,350.0,297.0,332.0,313.0,337.0,389.0,322.0,334.0,402.0,0.0,,297.0,389.0,332.0,334.0
Estonia,2020-03-01,9,weekly,285.0,312.0,313.0,344.0,331.0,324.0,317.0,304.0,391.0,331.0,314.0,418.0,0.0,0.0,285.0,391.0,325.2,314.0
Estonia,2020-03-08,10,weekly,335.0,316.0,328.0,362.0,335.0,355.0,293.0,328.0,391.0,305.0,293.0,419.0,0.0,0.0,293.0,391.0,334.8,293.0
Estonia,2020-03-15,11,weekly,305.0,321.0,359.0,359.0,358.0,341.0,303.0,296.0,384.0,294.0,341.0,421.0,0.0,16.665714285714284,294.0,384.0,332.0,341.0
Estonia,2020-03-22,12,weekly,287.0,312.0,313.0,336.0,335.0,331.0,263.0,304.0,361.0,300.0,312.0,397.0,0.0,49.205714285714286,263.0,361.0,314.2,312.0
Estonia,2020-03-29,13,weekly,273.0,293.0,326.0,291.0,289.0,317.0,323.0,322.0,326.0,296.0,328.0,410.0,3.0,63.49142857142858,273.0,326.0,305.6,325.0
Estonia,2020-04-05,14,weekly,296.0,311.0,311.0,271.0,342.0,304.0,312.0,286.0,337.0,257.0,312.0,393.0,12.0,77.77999999999999,257.0,342.0,302.7,300.0
Estonia,2020-04-12,15,weekly,277.0,318.0,318.0,323.0,316.0,311.0,307.0,293.0,319.0,290.0,317.0,380.0,10.0,77.77999999999999,277.0,323.0,307.2,307.0
Estonia,2020-04-19,16,weekly,317.0,289.0,288.0,340.0,299.0,297.0,298.0,285.0,318.0,299.0,313.0,350.0,15.0,77.77999999999999,285.0,340.0,303.0,298.0
Estonia,2020-04-26,17,weekly,316.0,323.0,296.0,272.0,268.0,302.0,295.0,267.0,276.0,286.0,326.0,,9.0,77.77999999999999,267.0,323.0,290.1,317.0
Estonia,2020-05-03,18,weekly,276.0,287.0,294.0,280.0,284.0,265.0,304.0,308.0,269.0,301.0,308.0,,6.0,75.0,265.0,308.0,286.8,302.0
Estonia,2020-05-10,19,weekly,339.0,267.0,277.0,303.0,284.0,278.0,299.0,319.0,268.0,274.0,316.0,,5.0,71.43,267.0,339.0,290.8,311.0
Estonia,2020-05-17,20,weekly,317.0,276.0,266.0,322.0,292.0,333.0,288.0,292.0,300.0,313.0,292.0,,3.0,59.78857142857142,266.0,333.0,299.9,289.0
Estonia,2020-05-24,21,weekly,255.0,258.0,261.0,265.0,315.0,283.0,276.0,290.0,281.0,303.0,278.0,,1.0,50.0,255.0,315.0,278.7,277.0
Estonia,2020-05-31,22,weekly,264.0,278.0,259.0,247.0,275.0,285.0,277.0,268.0,266.0,276.0,303.0,,4.0,50.0,247.0,285.0,269.5,299.0
Estonia,2020-06-07,23,weekly,293.0,293.0,272.0,258.0,284.0,289.0,258.0,293.0,262.0,296.0,273.0,,1.0,37.96,258.0,296.0,279.8,272.0
Estonia,2020-06-14,24,weekly,268.0,249.0,267.0,267.0,260.0,267.0,276.0,262.0,282.0,257.0,278.0,,0.0,37.96,249.0,282.0,265.5,278.0
Estonia,2020-06-21,25,weekly,293.0,268.0,284.0,265.0,272.0,285.0,270.0,247.0,277.0,281.0,277.0,,0.0,37.96,247.0,293.0,274.2,277.0
Estonia,2020-06-28,26,weekly,316.0,283.0,246.0,286.0,261.0,239.0,263.0,272.0,261.0,279.0,293.0,,0.0,37.96,239.0,316.0,270.6,293.0
Estonia,2020-07-05,27,weekly,326.0,273.0,237.0,268.0,290.0,277.0,251.0,290.0,230.0,263.0,271.0,,0.0,35.98142857142857,230.0,326.0,270.5,271.0
Estonia,2020-07-12,28,weekly,361.0,277.0,279.0,268.0,292.0,250.0,270.0,249.0,280.0,278.0,276.0,,0.0,35.19,249.0,361.0,280.4,276.0
Estonia,2020-07-19,29,weekly,285.0,290.0,282.0,242.0,312.0,236.0,276.0,242.0,310.0,286.0,283.0,,0.0,35.19,236.0,312.0,276.1,283.0
Estonia,2020-07-26,30,weekly,250.0,293.0,280.0,259.0,301.0,238.0,264.0,296.0,291.0,314.0,297.0,,0.0,35.19,238.0,314.0,278.6,297.0
Estonia,2020-08-02,31,weekly,262.0,259.0,258.0,260.0,319.0,259.0,232.0,272.0,321.0,256.0,307.0,,-6.0,32.80714285714286,232.0,321.0,269.8,313.0
Estonia,2020-08-09,32,weekly,287.0,272.0,266.0,263.0,275.0,276.0,280.0,304.0,302.0,269.0,295.0,,0.0,32.41,263.0,304.0,279.4,295.0
Estonia,2020-08-16,33,weekly,287.0,264.0,269.0,261.0,294.0,289.0,285.0,260.0,234.0,323.0,297.0,,0.0,32.41,234.0,323.0,276.6,297.0
Estonia,2020-08-23,34,weekly,304.0,262.0,303.0,257.0,273.0,261.0,278.0,270.0,261.0,251.0,264.0,,0.0,32.41,251.0,304.0,272.0,264.0
Estonia,2020-08-30,35,weekly,284.0,270.0,258.0,248.0,253.0,259.0,271.0,305.0,255.0,271.0,300.0,,1.0,32.41,248.0,305.0,267.4,299.0
Estonia,2020-09-06,36,weekly,272.0,241.0,300.0,278.0,283.0,248.0,283.0,259.0,278.0,261.0,284.0,,0.0,32.41,241.0,300.0,270.3,284.0
Estonia,2020-09-13,37,weekly,281.0,245.0,268.0,272.0,275.0,301.0,278.0,265.0,265.0,254.0,257.0,,0.0,32.41,245.0,301.0,270.4,257.0
Estonia,2020-09-20,38,weekly,318.0,285.0,281.0,248.0,262.0,285.0,295.0,267.0,284.0,277.0,315.0,,0.0,35.19,248.0,318.0,280.2,315.0
