date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Estonia,weekly,1,403.0,356.0,328.0,335.0,302.0,354.0,322.0,364.0,328.0,351.0,294.0,383.0,379.0,39.0,3909.716,31986.0,12.23431709581396,55.56,7772.142857142857,13.142857142857142,,0.5864936037107835,0.000991773027137066,,1325188.0,302.0,403.0,344.3,344.0
2021-01-17,Estonia,weekly,2,314.0,341.0,313.0,320.0,308.0,340.0,334.0,393.0,319.0,338.0,326.0,395.0,371.0,42.0,3912.857,34179.0,11.433201194652316,50.0,15748.285714285714,42.0,,1.18838124962539,0.0031693616301988847,,1325188.0,308.0,393.0,332.0,353.0
2021-01-24,Estonia,weekly,3,324.0,304.0,308.0,335.0,315.0,294.0,301.0,386.0,290.0,383.0,308.0,407.0,,51.0,3602.999,32957.0,10.94134805719246,44.44,21456.428571428572,1802.0,,1.619123367509257,0.1359807061337712,,1325188.0,290.0,386.0,324.0,356.0
2021-01-31,Estonia,weekly,4,357.0,295.0,283.0,343.0,311.0,321.0,335.0,360.0,338.0,324.0,299.0,353.0,,43.0,3511.857,34716.0,10.118684700435484,43.64714285714285,26200.0,7525.142857142857,,1.9770779693145426,0.5678547388855663,,1325188.0,283.0,360.0,326.7,310.0
2021-02-07,Estonia,weekly,5,319.0,313.0,332.0,337.0,331.0,329.0,319.0,392.0,333.0,325.0,307.0,353.0,,42.0,3670.0009999999997,33668.0,10.90249198035113,41.932857142857145,32999.857142857145,15478.857142857143,,2.490201929300382,1.1680499025690803,,1325188.0,313.0,392.0,333.0,311.0
2021-02-14,Estonia,weekly,6,337.0,358.0,358.0,316.0,339.0,332.0,353.0,351.0,343.0,325.0,271.0,379.0,,34.0,4029.1440000000002,35084.0,11.478943488481184,41.67,42780.142857142855,21048.14285714286,,3.2282319834727495,1.588313722818412,,1325188.0,316.0,358.0,341.2,345.0
2021-02-21,Estonia,weekly,7,309.0,368.0,312.0,335.0,289.0,324.0,276.0,344.0,347.0,317.0,322.0,348.0,,40.0,4948.858,39606.0,12.501266247025127,41.67,55677.857142857145,25111.714285714286,,4.2015062876253895,1.894954850610954,,1325188.0,276.0,368.0,322.1,308.0
2021-02-28,Estonia,weekly,8,319.0,322.0,339.0,350.0,297.0,332.0,313.0,337.0,389.0,322.0,331.0,406.0,,54.0,6574.57,42931.0,15.315409775799125,41.67,72508.28571428571,31715.714285714286,,5.471547109865598,2.393299236464131,,1325188.0,297.0,389.0,332.0,352.0
2021-03-07,Estonia,weekly,9,285.0,312.0,313.0,344.0,331.0,324.0,317.0,304.0,391.0,331.0,315.0,422.0,,64.0,8888.287,47503.0,18.707154962143736,41.67,92142.85714285714,42036.71428571428,,6.953191331558778,3.172132126589909,,1325188.0,285.0,391.0,325.2,358.0
2021-03-14,Estonia,weekly,10,335.0,316.0,328.0,362.0,335.0,355.0,293.0,328.0,391.0,305.0,293.0,422.0,,66.0,9934.286,50706.0,19.59485058600445,56.48142857142857,121347.85714285714,51045.857142857145,,9.15702957941493,3.851970976409169,,1325188.0,293.0,391.0,334.8,356.0
2021-03-21,Estonia,weekly,11,305.0,321.0,359.0,359.0,358.0,341.0,303.0,296.0,384.0,294.0,340.0,425.0,,68.0,10237.714,51987.0,19.70084361798809,61.63857142857143,155854.57142857142,57549.28571428572,,11.760940442304898,4.342726142576428,,1325188.0,294.0,384.0,332.0,357.0
2021-03-28,Estonia,weekly,12,287.0,312.0,313.0,336.0,335.0,331.0,263.0,304.0,361.0,300.0,311.0,406.0,,81.0,9292.143,46309.0,20.048768695394138,61.11,183177.85714285713,62301.142857142855,,13.822782665014861,4.701305992594475,,1325188.0,263.0,361.0,314.2,325.0
2021-04-04,Estonia,weekly,13,273.0,293.0,326.0,291.0,289.0,317.0,323.0,322.0,326.0,296.0,325.0,414.0,,73.0,6973.0,38230.0,18.21865080677777,61.11,210194.0,69403.42857142857,,15.861447583286296,5.237251512346065,,1325188.0,273.0,326.0,305.6,341.0
2021-04-11,Estonia,weekly,14,296.0,311.0,311.0,271.0,342.0,304.0,312.0,286.0,337.0,257.0,312.0,398.0,,87.0,5070.428,34694.0,14.651459778378362,61.11,245553.57142857142,77425.85714285714,,18.529715891524177,5.84263192413885,,1325188.0,257.0,342.0,302.7,311.0
2021-04-18,Estonia,weekly,15,277.0,318.0,318.0,323.0,316.0,311.0,307.0,293.0,319.0,290.0,310.0,388.0,,64.0,3863.0,35651.0,10.872428531605644,61.11,275474.85714285716,86021.85714285714,,20.7876057693593,6.4912946044528885,,1325188.0,277.0,323.0,307.2,324.0
2021-04-25,Estonia,weekly,16,317.0,289.0,288.0,340.0,299.0,297.0,298.0,285.0,318.0,299.0,309.0,362.0,,51.0,3048.0009999999997,35875.0,8.497231501318199,61.11,301301.4285714286,99826.14285714286,,22.736504448533232,7.532979687194787,,1325188.0,285.0,340.0,303.0,311.0
2021-05-02,Estonia,weekly,17,316.0,323.0,296.0,272.0,268.0,302.0,295.0,267.0,276.0,286.0,319.0,315.0,,25.0,2475.143,30178.0,8.203677131427565,58.72714285714285,328006.0,122726.42857142857,,24.75165787797656,9.261057945848332,,1325188.0,267.0,323.0,290.1,290.0
2021-05-09,Estonia,weekly,18,276.0,287.0,294.0,280.0,284.0,265.0,304.0,308.0,269.0,301.0,304.0,351.0,,33.0,2502.0,30525.0,8.19752075006924,44.175714285714285,359564.71428571426,155382.42857142858,,27.13310973882304,11.72531207431916,,1325188.0,265.0,308.0,286.8,318.0
2021-05-16,Estonia,weekly,19,339.0,267.0,277.0,303.0,284.0,278.0,299.0,319.0,268.0,274.0,307.0,350.0,,21.0,2186.714,30699.0,7.1258689853026445,42.589999999999996,389463.0,184194.57142857142,,29.38926401386067,13.899504932777193,,1325188.0,267.0,339.0,290.8,329.0
2021-05-23,Estonia,weekly,20,317.0,276.0,266.0,322.0,292.0,333.0,288.0,292.0,300.0,313.0,285.0,319.0,,18.0,1694.142,31261.0,5.417328936336373,41.27285714285715,422895.14285714284,210249.0,,31.91208665164059,15.865597937802033,,1325188.0,266.0,333.0,299.9,301.0
2021-05-30,Estonia,weekly,21,255.0,258.0,261.0,265.0,315.0,283.0,276.0,290.0,281.0,303.0,278.0,319.0,,11.0,1134.285,28164.0,4.007958164555888,41.67,456751.4285714286,244599.85714285713,,34.46691552982887,18.457747666207148,,1325188.0,255.0,315.0,278.7,308.0
2021-06-06,Estonia,weekly,22,264.0,278.0,259.0,247.0,275.0,285.0,277.0,268.0,266.0,276.0,301.0,293.0,,12.0,749.429,28411.0,2.6427002147861427,41.67,488238.5714285714,279865.71428571426,,36.84296653973409,21.118944201555877,,1325188.0,247.0,285.0,269.5,281.0
2021-06-13,Estonia,weekly,23,293.0,293.0,272.0,258.0,284.0,289.0,258.0,293.0,262.0,296.0,269.0,303.0,,3.0,478.572,25201.0,1.8899844461949782,40.478571428571435,514546.5714285714,323790.4285714286,,38.82819429609772,24.433546679522344,,1325188.0,258.0,296.0,279.8,300.0
