date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Faeroe Islands,monthly,1,,,,,,,33.5,32.6,39.8,34.0,40.0,34.5,,0.25,32.141,0.0,,35.19,,,,,,,49053.0,,32.6,39.8,34.974999999999994,34.25
2021-01-17,Faeroe Islands,monthly,2,,,,,,,37.0,34.2,40.6,35.0,37.75,36.0,,0.5,9.286,0.0,,35.19,,,,,,,49053.0,,34.2,40.6,36.7,35.5
2021-01-24,Faeroe Islands,monthly,3,,,,,,,40.5,35.8,41.4,36.0,35.5,37.5,,0.75,3.8569999999999998,0.0,,27.78,,,,,,,49053.0,,35.8,41.4,38.425,36.75
2021-01-31,Faeroe Islands,monthly,4,,,,,,,44.0,37.4,42.2,37.0,33.25,39.0,,1.0,2.4299999999999997,0.0,,27.78,4000.25,76.625,,8.15495484475975,0.15620859070800971,,49053.0,,37.0,44.0,40.150000000000006,38.0
2021-02-07,Faeroe Islands,monthly,5,,,,,,41.0,40.4,39.0,43.0,38.0,31.0,38.25,,0.75,1.001,0.0,,27.78,4038.8214285714284,449.5892857142857,,8.23358699482484,0.9165377973096155,,49053.0,,38.0,43.0,40.28,37.5
2021-02-14,Faeroe Islands,monthly,6,,,,,,38.0,36.8,40.0,40.5,36.25,29.25,37.5,,0.5,2.145,0.0,,27.78,4130.571428571428,1144.3246753246754,,8.420629581414854,2.3328332116785426,,49053.0,,36.25,40.5,38.31,37.0
2021-02-21,Faeroe Islands,monthly,7,,,,,,35.0,33.2,41.0,38.0,34.5,27.5,36.75,,0.25,1.001,0.0,,54.762857142857136,4158.0,1434.8181818181818,,8.476545777016696,2.925036556007139,,49053.0,,33.2,41.0,36.339999999999996,36.5
2021-02-28,Faeroe Islands,monthly,8,,,,,,32.0,29.6,42.0,35.5,32.75,25.75,36.0,,0.0,0.143,0.0,,59.26,4188.785714285715,2420.224489795918,,8.539305881976054,4.93389698855507,,49053.0,,29.6,42.0,34.37,36.0
2021-03-07,Faeroe Islands,monthly,9,,,,,,29.0,26.0,43.0,33.0,31.0,24.0,33.8,,0.0,0.0,0.0,,59.26,4231.357142857143,3177.3469387755104,,8.626092477233081,6.477375367002039,,49053.0,,26.0,43.0,32.4,33.8
2021-03-14,Faeroe Islands,monthly,10,,,,,,29.6,31.0,43.0,33.5,33.5,25.2,31.6,,0.0,2.145,0.0,,49.73714285714285,4681.392857142857,3892.214285714286,,9.543540368872153,7.934712017031141,,49053.0,,29.6,43.0,34.12,31.6
2021-03-21,Faeroe Islands,monthly,11,,,,,,30.2,36.0,43.0,34.0,36.0,26.4,29.4,,0.0,0.8579999999999999,0.0,,48.15,5211.678571428572,4012.0,,10.624586817174427,8.178908527511059,,49053.0,,30.2,43.0,35.839999999999996,29.4
