location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Finland,2021-01-10,1,weekly,1029.0,1033.0,1066.0,1126.0,1065.0,1084.0,1184.0,1273.0,1072.0,1213.0,1047.0,1104.0,25.0,249.1222857142857,10128.0,52.31,,,5548361.0,2.4597382080794405,,,1029.0,1273.0,1114.5,1079.0
Finland,2021-01-17,2,weekly,976.0,1096.0,1034.0,1106.0,1005.0,1159.0,1192.0,1335.0,1091.0,1125.0,1069.0,1125.0,32.0,256.5307142857143,10651.285714285714,52.31,,,5548361.0,2.4084483429230543,,,976.0,1335.0,1111.9,1093.0
Finland,2021-01-24,3,weekly,1002.0,1027.0,1031.0,1087.0,1042.0,1151.0,1249.0,1208.0,1083.0,1171.0,1061.0,1206.0,26.0,279.7755714285714,11965.142857142857,52.31,,,5548361.0,2.3382551697788814,,,1002.0,1249.0,1105.1,1180.0
Finland,2021-01-31,4,weekly,1066.0,982.0,1044.0,1004.0,1000.0,1040.0,1186.0,1145.0,1131.0,1134.0,1040.0,1159.0,27.0,352.4694285714286,14588.857142857143,52.31,126941.78571428571,11626.285714285714,5548361.0,2.41601809600282,2.287915038590418,0.20954450718483736,982.0,1186.0,1073.2,1132.0
Finland,2021-02-07,5,weekly,1031.0,1006.0,1085.0,1063.0,1081.0,1062.0,1183.0,1116.0,1186.0,1141.0,1074.0,1105.0,17.0,357.59157142857146,16225.42857142857,52.31,157866.7142857143,33602.57142857143,5548361.0,2.2038960009861066,2.8452855588472756,0.6056305894402225,1006.0,1186.0,1095.4,1088.0
Finland,2021-02-14,6,weekly,1004.0,940.0,1054.0,1062.0,1110.0,1062.0,1167.0,1106.0,1110.0,1170.0,1115.0,1056.0,22.0,380.9387142857143,16766.571428571428,52.31,188988.7142857143,59625.57142857143,5548361.0,2.272013189509739,3.406207964581149,1.0746519815233981,940.0,1170.0,1078.5,1034.0
Finland,2021-02-21,7,weekly,977.0,1005.0,1189.0,1051.0,998.0,1093.0,1047.0,1122.0,1143.0,1089.0,1098.0,1159.0,16.0,427.48985714285715,17315.85714285714,52.31,245915.5,70139.57142857143,5548361.0,2.4687767611850413,4.432218812005924,1.2641493844501366,977.0,1189.0,1071.4,1143.0
Finland,2021-02-28,8,weekly,1008.0,1020.0,1157.0,1059.0,948.0,1075.0,1046.0,1124.0,1173.0,1058.0,1091.0,1133.0,16.0,518.5918571428572,19570.428571428572,52.31,326676.9285714286,77527.85714285714,5548361.0,2.649874811121736,5.8878095454032024,1.397310974229275,948.0,1173.0,1066.8,1117.0
Finland,2021-03-07,9,weekly,1028.0,1076.0,1169.0,1129.0,1021.0,1126.0,1075.0,1083.0,1247.0,1070.0,1050.0,1091.0,25.0,617.6734285714285,20290.85714285714,52.31,431336.0,83621.42857142857,5548361.0,3.0440972711143655,7.7741156352299345,1.5071374874747439,1021.0,1247.0,1102.4,1066.0
Finland,2021-03-14,10,weekly,1060.0,1092.0,1140.0,1067.0,995.0,1134.0,1023.0,1048.0,1223.0,1085.0,1106.0,1049.0,19.0,641.8367142857143,21406.85714285714,52.31,539585.2857142857,85559.42857142857,5548361.0,2.9982762532699803,9.72512937990671,1.5420667215314317,995.0,1223.0,1086.7,1030.0
Finland,2021-03-21,11,weekly,1002.0,1022.0,1141.0,1081.0,984.0,1047.0,1041.0,1021.0,1251.0,1154.0,1105.0,1090.0,19.0,695.6737142857143,21543.428571428572,52.31,667741.1428571428,87024.0,5548361.0,3.229168987560011,12.03492604135064,1.56846319120187,984.0,1251.0,1074.4,1071.0
Finland,2021-03-28,12,weekly,992.0,1042.0,1082.0,1090.0,974.0,1015.0,1095.0,1065.0,1216.0,1047.0,1122.0,1021.0,12.0,661.9998571428571,20318.14285714286,52.31,785843.8571428572,87986.0,5548361.0,3.2581710926898544,14.163531485115282,1.5858016448461087,974.0,1216.0,1061.8,1009.0
Finland,2021-04-04,13,weekly,978.0,1041.0,1006.0,1066.0,1039.0,1012.0,1097.0,985.0,1154.0,1072.0,1108.0,1051.0,29.0,553.9591428571429,18946.85714285714,52.31,920109.7142857143,89241.42857142857,5548361.0,2.9237521488675093,16.58345075754289,1.608428661571022,978.0,1154.0,1045.0,1022.0
Finland,2021-04-11,14,weekly,964.0,979.0,959.0,1076.0,1057.0,1070.0,980.0,1059.0,1243.0,1033.0,1110.0,1054.0,22.0,410.0817142857143,16750.285714285714,52.31,1036400.2857142857,92091.57142857143,5548361.0,2.448207280046396,18.679395333401803,1.659797757005563,959.0,1243.0,1042.0,1032.0
Finland,2021-04-18,15,weekly,1005.0,1001.0,1031.0,1080.0,1059.0,1075.0,1010.0,998.0,1096.0,1058.0,1181.0,1033.0,19.0,334.12242857142854,17530.85714285714,52.31,1235042.2142857143,110275.78571428571,5548361.0,1.905910394732553,22.259586466809107,1.9875380443753699,998.0,1096.0,1041.3,1014.0
Finland,2021-04-25,16,weekly,963.0,1005.0,958.0,1026.0,1070.0,1040.0,1060.0,1055.0,1110.0,1024.0,1094.0,1054.0,16.0,264.51014285714285,16701.428571428572,52.31,1440001.0,140562.35714285713,5548361.0,1.5837575913095543,25.95362846793855,2.533403236430671,958.0,1110.0,1031.1,1038.0
Finland,2021-05-02,17,weekly,1017.0,986.0,952.0,964.0,1030.0,1075.0,968.0,1006.0,1027.0,1001.0,1142.0,1007.0,11.0,221.04085714285716,17075.571428571428,52.31,1624187.5,162076.64285714287,5548361.0,1.2944858569886808,29.273284488878787,2.921162535335081,952.0,1075.0,1002.6,996.0
Finland,2021-05-09,18,weekly,969.0,967.0,975.0,1037.0,1053.0,1021.0,976.0,1079.0,1023.0,1090.0,1131.0,1067.0,8.0,206.48985714285715,18376.0,52.31,1838925.2857142857,192563.2142857143,5548361.0,1.1236931712171156,33.14357673760387,3.4706323955076877,967.0,1090.0,1019.0,1059.0
Finland,2021-05-16,19,weekly,962.0,991.0,933.0,1027.0,1006.0,1009.0,947.0,1049.0,980.0,972.0,1074.0,1115.0,9.0,203.28585714285714,17761.14285714286,52.31,2047333.0714285714,255162.92857142858,5548361.0,1.1445539218840486,36.899781240416246,4.598888366698356,933.0,1049.0,987.6,1106.0
Finland,2021-05-23,20,weekly,942.0,968.0,947.0,985.0,1001.0,926.0,963.0,999.0,973.0,993.0,1104.0,1008.0,1.0,204.9184285714286,16745.571428571428,52.31,2212522.285714286,335820.14285714284,5548361.0,1.2237171448314694,39.877042710708366,6.052600810530224,926.0,1001.0,969.7,1007.0
Finland,2021-05-30,21,weekly,895.0,920.0,960.0,923.0,1034.0,939.0,1023.0,995.0,909.0,927.0,957.0,995.0,16.0,162.0614285714286,17586.571428571428,52.31,2398661.6428571427,449811.0,5548361.0,0.9215066690494372,43.23189574105115,8.107096852566011,895.0,1034.0,952.5,979.0
Finland,2021-06-06,22,weekly,920.0,969.0,931.0,947.0,965.0,947.0,980.0,980.0,926.0,919.0,990.0,1011.0,11.0,120.93885714285715,16825.714285714286,50.33142857142857,2557766.0714285714,557236.9285714285,5548361.0,0.718773985396502,46.09948904601866,10.043270951032719,919.0,980.0,948.4,1000.0
Finland,2021-06-13,23,weekly,901.0,993.0,907.0,900.0,926.0,907.0,913.0,1014.0,944.0,1053.0,984.0,981.0,5.0,98.5307142857143,14624.57142857143,48.74714285714286,2725476.714285714,663647.8571428572,5548361.0,0.6737340288360099,49.12219508221823,11.961151358804107,900.0,1053.0,945.8,976.0
Finland,2021-06-20,24,weekly,884.0,911.0,972.0,930.0,910.0,927.0,947.0,1021.0,921.0,934.0,1003.0,1009.0,3.0,72.93871428571428,13933.0,47.69,2959084.5714285714,786242.8571428572,5548361.0,0.5234961191826188,53.332589055192535,14.170722798009308,884.0,1021.0,935.7,1006.0
Finland,2021-06-27,25,weekly,959.0,967.0,978.0,912.0,952.0,987.0,939.0,993.0,954.0,962.0,1068.0,1079.0,2.0,88.53057142857142,11441.285714285714,47.69,3166678.5714285714,927317.9285714285,5548361.0,0.7737816678944673,57.074126420911895,16.71336685863498,912.0,993.0,960.3,1077.0
Finland,2021-07-04,26,weekly,950.0,946.0,909.0,931.0,991.0,924.0,995.0,993.0,946.0,895.0,1021.0,1008.0,4.0,169.408,12280.714285714286,45.57,3312515.1428571427,1072856.5,5548361.0,1.3794637352410863,59.70258861774032,19.33645809996862,895.0,995.0,948.0,1004.0
Finland,2021-07-11,27,weekly,950.0,958.0,934.0,872.0,972.0,1016.0,874.0,929.0,961.0,949.0,996.0,1089.0,3.0,207.32642857142858,14125.0,43.98,3419821.0,1238291.142857143,5548361.0,1.4677977243994944,61.63659862795517,22.31814301299326,872.0,1016.0,941.5,1086.0
Finland,2021-07-18,28,weekly,1131.0,879.0,953.0,889.0,955.0,885.0,940.0,921.0,986.0,983.0,944.0,1148.0,3.0,267.5307142857143,14020.42857142857,43.98,3530460.1428571427,1456530.357142857,5548361.0,1.9081493331159636,63.63068558187081,26.25154270140059,879.0,1131.0,952.2,1145.0
Finland,2021-07-25,29,weekly,944.0,917.0,918.0,899.0,984.0,902.0,949.0,925.0,1060.0,962.0,1021.0,1013.0,1.0,347.4081428571429,16025.857142857143,43.98,3604440.214285714,1654736.357142857,5548361.0,2.167797577129817,64.9640536058435,29.82387694569364,899.0,1060.0,946.0,1012.0
Finland,2021-08-01,30,weekly,914.0,909.0,909.0,891.0,986.0,902.0,952.0,944.0,1047.0,1022.0,964.0,1026.0,5.0,518.5508571428571,17636.714285714286,42.394285714285715,3665394.8571428573,1852543.5714285714,5548361.0,2.940178361696785,66.06265989438786,33.389023739237075,891.0,1047.0,947.6,1021.0
Finland,2021-08-08,31,weekly,955.0,892.0,876.0,912.0,1054.0,883.0,902.0,923.0,1063.0,922.0,982.0,1060.0,6.0,654.5307142857143,19139.14285714286,38.43,3727673.5714285714,2059180.7142857143,5548361.0,3.419853852239987,67.18513037325025,37.113315342778066,876.0,1063.0,938.2,1054.0
Finland,2021-08-15,32,weekly,959.0,880.0,909.0,948.0,1005.0,874.0,919.0,954.0,919.0,958.0,954.0,1097.0,12.0,763.0407142857142,21064.14285714286,38.43,3808072.6428571427,2269973.5,5548361.0,3.622462682012085,68.63419022044785,40.912505512889304,874.0,1005.0,932.5,1085.0
Finland,2021-08-22,33,weekly,842.0,917.0,942.0,889.0,950.0,956.0,946.0,943.0,984.0,923.0,977.0,1076.0,11.0,697.0815714285715,21845.14285714286,38.43,3896654.714285714,2465528.285714286,5548361.0,3.1910140207695727,70.23073506366501,44.43705601914306,842.0,984.0,929.2,1065.0
Finland,2021-08-29,34,weekly,891.0,927.0,870.0,884.0,957.0,946.0,1006.0,906.0,943.0,992.0,1016.0,1065.0,10.0,596.4488571428572,25309.285714285714,38.43,3983022.1428571427,2675987.8571428573,5548361.0,2.3566404199475066,71.78736464439035,48.23024055469457,870.0,1006.0,932.2,1055.0
Finland,2021-09-05,35,weekly,998.0,889.0,847.0,955.0,879.0,957.0,991.0,954.0,947.0,966.0,989.0,1079.0,15.0,586.3468571428572,25648.14285714286,36.83571428571429,4036000.5,2873289.214285714,5548361.0,2.286118181767547,72.74221161889069,51.786270112664155,847.0,998.0,938.3,1064.0
Finland,2021-09-12,36,weekly,945.0,881.0,929.0,928.0,971.0,917.0,991.0,1001.0,941.0,986.0,979.0,1141.0,8.0,527.2041428571429,22375.285714285714,36.57,4067377.214285714,3060744.1428571427,5548361.0,2.35618954586374,73.30772482694825,55.16483413492998,881.0,1001.0,949.0,1133.0
Finland,2021-09-19,37,weekly,920.0,930.0,952.0,898.0,986.0,966.0,922.0,1040.0,907.0,990.0,1124.0,1059.0,10.0,452.87771428571426,16005.714285714286,36.57,4091767.0714285714,3213875.714285714,5548361.0,2.8294751874330593,73.74731152909068,57.924776601337115,898.0,1040.0,951.1,1049.0
Finland,2021-09-26,38,weekly,971.0,993.0,968.0,919.0,1012.0,977.0,1012.0,940.0,997.0,1007.0,1046.0,1112.0,12.0,388.204,13184.142857142857,36.57,4116046.8571428573,3339556.0,5548361.0,2.9444765898427767,74.18491437638714,60.189955195777635,919.0,1012.0,979.6,1100.0
Finland,2021-10-03,39,weekly,932.0,944.0,927.0,961.0,996.0,938.0,983.0,974.0,1012.0,1047.0,1089.0,1117.0,9.0,468.38771428571425,11328.857142857143,30.62142857142857,4134626.285714286,3454270.714285714,5548361.0,4.134465713348969,74.51977774543303,62.25749756163512,927.0,1047.0,971.4,1108.0
Finland,2021-10-10,40,weekly,959.0,1004.0,960.0,941.0,980.0,957.0,986.0,1030.0,1059.0,1050.0,977.0,1119.0,18.0,529.0409999999999,11812.285714285714,29.63,4152767.5,3567719.5714285714,5548361.0,4.478735215151295,74.84674302915762,64.30222495307302,941.0,1059.0,992.6,1101.0
Finland,2021-10-17,41,weekly,977.0,944.0,944.0,938.0,976.0,982.0,1074.0,964.0,1004.0,1090.0,984.0,1168.0,20.0,577.1835714285714,11801.42857142857,29.63,4172663.8571428573,3666472.5714285714,5548361.0,4.890794092724851,75.20534185037451,66.08208390601426,938.0,1090.0,989.3,1148.0
Finland,2021-10-24,42,weekly,987.0,960.0,969.0,994.0,989.0,1025.0,994.0,1024.0,982.0,1052.0,1074.0,1158.0,23.0,500.3057142857143,11404.857142857143,29.63,4197495.142857143,3759464.9285714286,5548361.0,4.386777563444147,75.65288457000442,67.75811683074386,960.0,1052.0,997.6,1135.0
Finland,2021-10-31,43,weekly,915.0,910.0,906.0,1008.0,971.0,1045.0,1025.0,1024.0,999.0,1081.0,1070.0,1050.0,19.0,591.9388571428572,11348.142857142857,29.63,4219400.857142857,3835810.285714286,5548361.0,5.216173823281343,76.04769871936699,69.13411520472957,906.0,1081.0,988.4,1031.0
Finland,2021-11-07,44,weekly,927.0,971.0,982.0,982.0,1070.0,967.0,1040.0,1034.0,1021.0,1101.0,1132.0,,30.0,664.898142857143,11994.714285714286,25.93,4237967.428571428,3904881.285714286,5548361.0,5.543259530983886,76.38233035974818,70.37900536238155,927.0,1101.0,1009.5,
Finland,2021-11-14,45,weekly,956.0,897.0,1018.0,969.0,1049.0,967.0,1071.0,977.0,1031.0,997.0,1043.0,,28.0,728.0205714285713,13845.142857142857,25.93,4251540.142857143,3949617.5,5548361.0,5.258310289322711,76.62695601200323,71.18530138900479,897.0,1071.0,993.2,
Finland,2021-11-21,46,weekly,942.0,974.0,959.0,884.0,931.0,1005.0,1006.0,966.0,983.0,1014.0,1025.0,,33.0,968.4691428571429,14694.0,32.87,4262674.571428572,3977829.5714285714,5548361.0,6.590915631258628,76.82763561038244,71.69377716101334,884.0,1014.0,966.4,
Finland,2021-11-28,47,weekly,984.0,945.0,894.0,933.0,846.0,1054.0,1099.0,998.0,995.0,970.0,1119.0,,14.0,1032.7855,,32.87,4270984.5,3995446.5,5548361.0,,76.97740828327501,72.0112930647447,846.0,1099.0,971.8,
Finland,2021-12-05,48,weekly,1049.0,1016.0,992.0,975.0,891.0,1069.0,1044.0,988.0,1038.0,1024.0,1108.0,,,,,,,,,,,,891.0,1069.0,1008.6,
Finland,2021-12-12,49,weekly,1041.0,929.0,1006.0,993.0,1054.0,1082.0,1034.0,1014.0,1063.0,1097.0,1119.0,,,,,,,,,,,,929.0,1097.0,1031.3,
Finland,2021-12-19,50,weekly,1018.0,949.0,1087.0,1050.0,1063.0,1060.0,1069.0,1056.0,1065.0,1053.0,1106.0,,,,,,,,,,,,949.0,1087.0,1047.0,
Finland,2021-12-26,51,weekly,1057.0,978.0,1020.0,1036.0,1092.0,1019.0,1168.0,1112.0,1037.0,1105.0,1148.0,,,,,,,,,,,,978.0,1168.0,1062.4,
Finland,2022-01-02,52,weekly,1118.0,1054.0,1097.0,1064.0,1096.0,1106.0,1321.0,1103.0,1193.0,1089.0,1129.0,,,,,,,,,,,,1054.0,1321.0,1124.1,
