date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,France,weekly,1,11761.0,12437.0,11771.0,12273.0,11437.0,12804.0,11944.0,15509.0,14154.0,12814.0,12737.0,14675.0,14527.0,2713.0,110657.858,1877577.0,5.898,63.89,57796.714,10.429,,0.086,0.0,,67422000.0,11437.0,15509.0,12690.4,11962.0
2021-01-17,France,weekly,2,11841.0,11834.0,11532.0,12055.0,11584.0,13142.0,12032.0,15696.0,13590.0,13355.0,13200.0,14638.0,14496.0,2533.0,126222.143,1956613.0,6.451,63.89,333248.143,88.571,,0.494,0.0,,67422000.0,11532.0,15696.0,12666.1,12105.0
2021-01-24,France,weekly,3,11516.0,11285.0,11799.0,12511.0,11422.0,12803.0,12141.0,14700.0,13157.0,13249.0,12598.0,15147.0,14426.0,2766.0,136281.999,1991704.0,6.841,63.89,910225.714,797.571,,1.35,0.001,,67422000.0,11285.0,14700.0,12458.3,12381.0
2021-01-31,France,weekly,4,11394.0,11288.0,11409.0,12778.0,11026.0,12617.0,11824.0,14783.0,12464.0,13666.0,12331.0,14785.0,15013.0,3008.0,142635.143,2131330.0,6.696,63.89,1501355.857,26314.286,1.0,2.227,0.039,0.0,67422000.0,11026.0,14783.0,12324.9,11777.0
2021-02-07,France,weekly,5,11343.0,11534.0,11629.0,12529.0,11193.0,13281.0,11734.0,14282.0,12132.0,13927.0,12541.0,14436.0,15023.0,2908.0,139456.857,2230966.0,6.251,63.89,1927586.286,178372.143,1.0,2.859,0.265,0.0,67422000.0,11193.0,14282.0,12358.4,11528.0
2021-02-14,France,weekly,6,11431.0,11541.0,12696.0,12430.0,11357.0,13963.0,11827.0,13405.0,12697.0,14056.0,12407.0,14156.0,14191.0,2849.0,136614.143,2201625.0,6.204,60.19,2298582.571,511859.571,1.0,3.409,0.759,0.0,67422000.0,11357.0,14056.0,12540.3,11307.0
2021-02-21,France,weekly,7,11758.0,11225.0,13357.0,12802.0,11672.0,14666.0,11615.0,12610.0,12645.0,13584.0,12261.0,14131.0,13548.0,2466.0,132054.0,2149305.0,6.144,60.19,2621997.0,1001901.0,2.143,3.889,1.486,0.0,67422000.0,11225.0,14666.0,12593.4,11665.0
2021-02-28,France,weekly,8,11523.0,11034.0,13459.0,12729.0,11366.0,14326.0,11522.0,11980.0,13136.0,13501.0,11835.0,13320.0,12532.0,2148.0,147765.143,2092205.0,7.066,64.553,2974925.286,1467196.0,7.286,4.412,2.176,0.0,67422000.0,11034.0,14326.0,12457.6,11172.0
2021-03-07,France,weekly,9,10793.0,10734.0,13380.0,13171.0,11512.0,13592.0,12033.0,11712.0,14212.0,13062.0,12042.0,12964.0,12431.0,2146.0,149253.0,2056101.0,7.259,66.007,3642193.0,1830522.143,15.714,5.402,2.715,0.0,67422000.0,10734.0,14212.0,12420.1,10818.0
2021-03-14,France,weekly,10,11182.0,10785.0,12576.0,12875.0,11127.0,12930.0,11920.0,11482.0,14327.0,12459.0,12139.0,12799.0,11550.0,1856.0,156115.857,2210144.0,7.064,65.61,4850052.143,2145652.714,30.857,7.194,3.182,0.0,67422000.0,10785.0,14327.0,12166.3,10943.0
