location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
French Polynesia,2020-01-31,1,monthly,,,,,,155.0,111.0,132.0,153.0,124.0,125.0,161.0,,,,,,,,,,,111.0,155.0,135.0,
French Polynesia,2020-02-29,2,monthly,,,,,,95.0,111.0,139.0,132.0,124.0,133.0,144.0,,,,,,,,,,,95.0,139.0,120.2,
French Polynesia,2020-03-31,3,monthly,,,,,,105.0,120.0,141.0,128.0,163.0,148.0,123.0,0.0,2.0612142857142857,,,,,282534.0,,,,105.0,163.0,131.4,148.0
French Polynesia,2020-04-30,4,monthly,,,,,,131.0,126.0,179.0,143.0,117.0,141.0,119.0,0.0,0.8809333333333333,,,,,282534.0,,,,117.0,179.0,139.2,141.0
French Polynesia,2020-05-31,5,monthly,,,,,,120.0,112.0,134.0,133.0,123.0,124.0,118.0,0.0,0.08303225806451613,,,,,282534.0,,,,112.0,134.0,124.4,124.0
French Polynesia,2020-06-30,6,monthly,,,,,,94.0,110.0,106.0,151.0,118.0,126.0,115.0,0.0,0.028599999999999997,,,,,282534.0,,,,94.0,151.0,115.8,126.0
French Polynesia,2020-07-31,7,monthly,,,,,,118.0,124.0,136.0,120.0,143.0,114.0,135.0,0.0,0.03690322580645161,,,,,282534.0,,,,118.0,143.0,128.2,114.0
French Polynesia,2020-08-31,8,monthly,,,,,,124.0,113.0,131.0,150.0,147.0,115.0,575.0,0.0,12.843354838709677,,,,,282534.0,,,,113.0,150.0,133.0,115.0
French Polynesia,2020-09-30,9,monthly,,,,,,125.0,122.0,98.0,110.0,111.0,133.0,320.0,7.0,38.780833333333334,,,,,282534.0,,,,98.0,125.0,113.2,126.0
French Polynesia,2020-10-31,10,monthly,,,,,,111.0,114.0,126.0,123.0,138.0,141.0,,22.0,167.76035483870967,,,,,282534.0,,,,111.0,138.0,122.4,119.0
French Polynesia,2020-11-30,11,monthly,,,,,,104.0,110.0,156.0,152.0,115.0,157.0,,46.0,238.44766666666666,,,,,282534.0,,,,104.0,156.0,127.4,111.0
French Polynesia,2020-12-31,12,monthly,,,,,,127.0,121.0,130.0,121.0,140.0,179.0,,39.0,87.90325806451614,,,,,282534.0,,,,121.0,140.0,127.8,140.0
