location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Germany,2020-01-05,1,weekly,17560.0,18087.0,17762.0,18243.0,16785.0,18713.0,18467.0,20918.0,19342.0,18686.0,18883.0,24811.0,,,,,,,,,,,16785.0,20918.0,18456.3,
Germany,2020-01-12,2,weekly,17776.0,17495.0,17145.0,17933.0,17210.0,19283.0,18439.0,22070.0,18770.0,19170.0,19408.0,24468.0,0.0,,,0.0,,,83900471.0,,,,17145.0,22070.0,18529.1,19408.0
Germany,2020-01-19,3,weekly,17309.0,16652.0,17454.0,18251.0,16814.0,19500.0,18627.0,21236.0,19187.0,19163.0,18953.0,24054.0,0.0,,,0.0,,,83900471.0,,,,16652.0,21236.0,18419.3,18953.0
Germany,2020-01-26,4,weekly,17455.0,16909.0,16919.0,18861.0,16825.0,19346.0,18707.0,22083.0,19171.0,19505.0,18827.0,22617.0,0.0,,,5.56,,,83900471.0,,,,16825.0,22083.0,18578.1,18827.0
Germany,2020-02-02,5,weekly,17590.0,17681.0,17631.0,19980.0,17366.0,20716.0,18493.0,23640.0,19558.0,19812.0,19774.0,21706.0,0.0,1.286,,5.56,,,83900471.0,,,,17366.0,23640.0,19246.7,19774.0
Germany,2020-02-09,6,weekly,17701.0,17346.0,18370.0,20026.0,17534.0,20905.0,18541.0,22744.0,20086.0,19981.0,19038.0,20897.0,0.0,1.0611428571428572,,5.56,,,83900471.0,,,,17346.0,22744.0,19323.4,19038.0
Germany,2020-02-16,7,weekly,18077.0,17294.0,18914.0,20373.0,17422.0,22395.0,18483.0,22683.0,21254.0,20150.0,19648.0,20438.0,0.0,0.44899999999999995,,9.524285714285714,,,83900471.0,,,,17294.0,22683.0,19704.5,19648.0
Germany,2020-02-23,8,weekly,17898.0,17237.0,18629.0,20776.0,17211.0,23264.0,18475.0,22266.0,22888.0,20349.0,18953.0,18915.0,0.0,0.040857142857142856,,11.11,,,83900471.0,,,,17211.0,23264.0,19899.3,18953.0
Germany,2020-03-01,9,weekly,17215.0,17266.0,18149.0,21250.0,17345.0,23598.0,18926.0,20930.0,25535.0,20790.0,19505.0,18413.0,0.0,5.122428571428571,,17.857142857142858,,,83900471.0,,,,17215.0,25535.0,20100.4,19505.0
Germany,2020-03-08,10,weekly,17387.0,17722.0,17956.0,21172.0,17449.0,22002.0,18888.0,19102.0,26777.0,20453.0,19667.0,18576.0,0.0,66.22442857142858,,25.0,,,83900471.0,,,,17387.0,26777.0,19890.8,19667.0
Germany,2020-03-15,11,weekly,17683.0,17345.0,17957.0,20197.0,17491.0,20770.0,18971.0,18665.0,24385.0,19795.0,19849.0,18297.0,11.0,348.2858571428571,,32.27428571428571,,,83900471.0,,,,17345.0,24385.0,19325.9,19838.0
Germany,2020-03-22,12,weekly,16831.0,17057.0,17341.0,19789.0,17579.0,20009.0,18826.0,17640.0,22777.0,19016.0,19722.0,18351.0,83.0,1845.6328571428571,53505.0,56.348571428571425,,,83900471.0,3.4494586620743055,,,16831.0,22777.0,18686.5,19639.0
Germany,2020-03-29,13,weekly,16452.0,17410.0,17111.0,19320.0,17418.0,19106.0,18617.0,17731.0,20906.0,18562.0,19678.0,18461.0,439.0,4139.877571428571,53755.142857142855,76.85,,,83900471.0,7.7013609329074155,,,16452.0,20906.0,18263.3,19239.0
Germany,2020-04-05,14,weekly,16025.0,15935.0,17527.0,19293.0,17541.0,18668.0,18244.0,17028.0,20038.0,18671.0,20662.0,18770.0,1051.0,5607.530571428571,57211.857142857145,76.85,,,83900471.0,9.80134337787122,,,15935.0,20038.0,17897.0,19611.0
Germany,2020-04-12,15,weekly,16200.0,16158.0,16912.0,19390.0,16746.0,18089.0,17712.0,16901.0,19165.0,17852.0,20502.0,19017.0,1438.0,4667.632428571428,57100.0,76.85,,,83900471.0,8.174487615711783,,,16158.0,19390.0,17512.5,19064.0
Germany,2020-04-19,16,weekly,16367.0,16907.0,17109.0,18064.0,16540.0,18116.0,16775.0,16637.0,17992.0,18089.0,19261.0,19186.0,1564.0,2986.898,51401.0,76.85,,,83900471.0,5.810972549172195,,,16367.0,18116.0,17259.6,17697.0
Germany,2020-04-26,17,weekly,16356.0,16048.0,16974.0,17101.0,16550.0,17668.0,17053.0,17634.0,17093.0,17894.0,18557.0,19439.0,1390.0,2134.897857142857,50501.71428571428,76.85,,,83900471.0,4.227377005589626,,,16048.0,17894.0,17037.1,17167.0
Germany,2020-05-03,18,weekly,15795.0,16171.0,16563.0,16408.0,15803.0,17114.0,16901.0,17129.0,16789.0,17090.0,17920.0,19256.0,890.0,1418.5918571428572,49023.857142857145,76.65142857142857,,,83900471.0,2.89367654815294,,,15795.0,17129.0,16576.3,17030.0
Germany,2020-05-10,19,weekly,15778.0,16306.0,15936.0,16370.0,16074.0,17072.0,17629.0,17343.0,17226.0,17118.0,17651.0,18538.0,703.0,951.347,51550.0,66.73142857142857,,,83900471.0,1.8454839961202716,,,15778.0,17629.0,16685.2,16948.0
Germany,2020-05-17,20,weekly,15788.0,15978.0,15807.0,16083.0,15763.0,16732.0,16601.0,17079.0,16488.0,17315.0,17001.0,17725.0,393.0,757.857,58849.857142857145,63.55571428571428,,,83900471.0,1.2877805262301887,,,15763.0,17315.0,16363.4,16608.0
Germany,2020-05-24,21,weekly,16029.0,15270.0,16533.0,15601.0,16453.0,16330.0,16286.0,16451.0,16513.0,17080.0,17163.0,17080.0,321.0,615.7141428571429,55530.71428571428,59.98428571428571,,,83900471.0,1.1087812407547948,,,15270.0,17080.0,16254.6,16842.0
Germany,2020-05-31,22,weekly,15497.0,15698.0,15507.0,16351.0,15211.0,16200.0,16346.0,16902.0,17039.0,16921.0,16776.0,18077.0,257.0,473.3468571428571,55138.42857142857,59.71999999999999,,,83900471.0,0.8584699807497492,,,15211.0,17039.0,16167.2,16519.0
Germany,2020-06-07,23,weekly,15919.0,15239.0,15560.0,16198.0,16215.0,16777.0,15799.0,15846.0,16714.0,17491.0,17262.0,17313.0,145.0,349.97957142857143,52929.57142857143,59.71999999999999,,,83900471.0,0.6612174668764693,,,15239.0,17491.0,16175.8,17117.0
Germany,2020-06-14,24,weekly,15106.0,15209.0,15398.0,15888.0,16176.0,16272.0,15717.0,16087.0,15582.0,16484.0,16601.0,18937.0,116.0,319.3672857142857,47732.71428571428,59.71999999999999,,,83900471.0,0.6690742198372485,,,15106.0,16484.0,15791.9,16485.0
Germany,2020-06-21,25,weekly,15514.0,14879.0,15550.0,17153.0,15268.0,15619.0,16910.0,16819.0,15843.0,16639.0,16401.0,17065.0,94.0,382.796,51495.42857142857,61.839999999999996,,,83900471.0,0.7433591886103621,,,14879.0,17153.0,16019.4,16307.0
Germany,2020-06-28,26,weekly,17346.0,15322.0,15693.0,14870.0,15583.0,16152.0,15699.0,16076.0,16569.0,17918.0,17293.0,16841.0,73.0,552.6732857142857,62159.0,63.43,,,83900471.0,0.8891283413733905,,,14870.0,17918.0,16122.8,17220.0
