date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Germany,weekly,1,17560.0,18087.0,17762.0,18243.0,16785.0,18713.0,18467.0,20918.0,19342.0,18686.0,18883.0,24844.0,,6145.0,135302.429,1068277.0,12.695649896773173,84.52714285714285,519714.85714285716,1432.2857142857142,2.0,0.6194421210613432,0.001707124760104999,2.3837768443516845e-06,83900471.0,13.914285714285715,16785.0,20918.0,18456.3,18699.0
2021-01-17,Germany,weekly,2,17776.0,17495.0,17145.0,17933.0,17210.0,19283.0,18439.0,22070.0,18770.0,19170.0,19408.0,24501.0,,5965.0,132727.286,1210321.0,10.955673132141529,83.33,1002655.5714285715,5419.571428571428,2.0,1.1950535670158173,0.006459524438869275,2.3837768443516845e-06,83900471.0,11.428571428571429,17145.0,22070.0,18529.1,18536.0
2021-01-24,Germany,weekly,3,17309.0,16652.0,17454.0,18251.0,16814.0,19500.0,18627.0,21236.0,19187.0,19163.0,18953.0,24076.0,,5395.0,102865.714,1149462.0,8.943496154227931,83.33,1478472.142857143,160738.85714285713,2.5714285714285716,1.7621738295809364,0.1915827828223481,3.0648559427378798e-06,83900471.0,10.114285714285714,16652.0,21236.0,18419.3,18681.0
2021-01-31,Germany,weekly,4,17455.0,16909.0,16919.0,18861.0,16825.0,19346.0,18707.0,22083.0,19171.0,19505.0,18827.0,22644.0,,4867.0,85667.429,1139658.0,7.5212207430009554,83.33,1824982.2857142857,462327.14285714284,5.571428571428571,2.175175257018862,0.5510423688290651,6.640521209265406e-06,83900471.0,9.1,16825.0,22083.0,18578.1,17777.0
2021-02-07,Germany,weekly,5,17590.0,17681.0,17631.0,19980.0,17366.0,20716.0,18493.0,23640.0,19558.0,19812.0,19774.0,21732.0,,4545.0,70361.14199999999,1127130.0,6.237797507026801,83.33,2185238.5714285714,886274.0,7.0,2.6045605529777913,1.0563397194754722,8.343218955230894e-06,83900471.0,7.928571428571429,17366.0,23640.0,19246.7,17187.0
2021-02-14,Germany,weekly,6,17701.0,17346.0,18370.0,20026.0,17534.0,20905.0,18541.0,22744.0,20086.0,19981.0,19038.0,20930.0,,3399.0,56648.142,1081698.0,5.232759169679729,83.33,2597546.0,1320770.0,7.857142857142857,3.09598500346917,1.574210471357187,9.364837602810189e-06,83900471.0,6.871428571428572,17346.0,22744.0,19323.4,17531.0
2021-02-21,Germany,weekly,7,18077.0,17294.0,18914.0,20373.0,17422.0,22395.0,18483.0,22683.0,21254.0,20150.0,19648.0,20468.0,,2839.0,51206.001000000004,1088479.0,4.704370990295314,83.33,3117261.8571428573,1694925.4285714286,8.571428571428571,3.7154283164189357,2.020161994765713,1.0216186475792934e-05,83900471.0,6.228571428571428,17294.0,22683.0,19704.5,17629.0
2021-02-28,Germany,weekly,8,17898.0,17237.0,18629.0,20776.0,17211.0,23264.0,18475.0,22266.0,22888.0,20349.0,18953.0,18950.0,,2206.0,54347.998999999996,1145829.0,4.742620551137242,81.48,3814527.714285714,2054823.4285714286,12.571428571428571,4.5464914187260215,2.449120254129954,1.4983740164496302e-05,83900471.0,6.1,17211.0,23264.0,19899.3,16744.0
2021-03-07,Germany,weekly,9,17215.0,17266.0,18149.0,21250.0,17345.0,23598.0,18926.0,20930.0,25535.0,20790.0,19505.0,18435.0,,1832.0,57242.286,1164618.0,4.915476904349055,77.78,4823483.285714285,2423028.714285714,26.0,5.7490538828015465,2.8879798711567592,3.09890989765719e-05,83900471.0,6.1571428571428575,17215.0,25535.0,20100.4,16603.0
2021-03-14,Germany,weekly,10,17387.0,17722.0,17956.0,21172.0,17449.0,22002.0,18888.0,19102.0,26777.0,20453.0,19667.0,18602.0,,1479.0,64452.715,1229278.0,5.2389637701116785,77.78,6131019.428571428,2811989.8571428573,30.142857142857142,7.307491073049433,3.351578154004472,3.592692243987181e-05,83900471.0,6.485714285714286,17387.0,26777.0,19890.8,17123.0
2021-03-21,Germany,weekly,11,17683.0,17345.0,17957.0,20197.0,17491.0,20770.0,18971.0,18665.0,24385.0,19795.0,19849.0,18332.0,,1293.0,81214.285,1335199.0,6.073946686098071,76.98571428571428,7294394.142857143,3248726.4285714286,33.714285714285715,8.694103925658705,3.8721194170309587,4.018366680478554e-05,83900471.0,7.385714285714286,17345.0,24385.0,19325.9,17039.0
2021-03-28,Germany,weekly,12,16831.0,17057.0,17341.0,19789.0,17579.0,20009.0,18826.0,17640.0,22777.0,19016.0,19722.0,18389.0,,1203.0,111250.286,1401496.0,7.933068151847978,75.0,8626359.714285715,3756857.4285714286,39.0,10.281658268981248,4.477754872879592,4.648364846485785e-05,83900471.0,8.7,16831.0,22777.0,18686.5,17186.0
2021-04-04,Germany,weekly,13,16452.0,17410.0,17111.0,19320.0,17418.0,19106.0,18617.0,17731.0,20906.0,18562.0,19678.0,18490.0,,1101.0,115756.713,1287114.0,9.002981047596803,75.0,10142074.285714285,4319239.142857143,42.857142857142854,12.088220917990181,5.148051126980136,5.108093237896467e-05,83900471.0,10.214285714285714,16452.0,20906.0,18263.3,17389.0
2021-04-11,Germany,weekly,14,16025.0,15935.0,17527.0,19293.0,17541.0,18668.0,18244.0,17028.0,20038.0,18671.0,20662.0,18816.0,,1440.0,106193.286,1181033.0,8.992833683311916,75.0,12207300.57142857,4864292.428571428,54.714285714285715,14.549740217106256,5.797693827691895,6.521332367047821e-05,83900471.0,11.528571428571428,15935.0,20038.0,17897.0,17376.0
2021-04-18,Germany,weekly,15,16200.0,16158.0,16912.0,19390.0,16746.0,18089.0,17712.0,16901.0,19165.0,17852.0,20502.0,19060.0,,1552.0,140906.428,1259200.0,11.189972082293036,75.0,15356161.714285715,5377029.857142857,63.57142857142857,18.30283135631708,6.408819632422394,7.577004969546426e-05,83900471.0,12.228571428571428,16158.0,19390.0,17512.5,17508.0
2021-04-25,Germany,weekly,16,16367.0,16907.0,17109.0,18064.0,16540.0,18116.0,16775.0,16637.0,17992.0,18089.0,19261.0,19235.0,,1619.0,142866.571,1386356.0,10.30913064046212,75.0,18501835.714285713,5818227.571428572,76.0,22.052123776856643,6.9346780799699825,9.0583520085364e-05,83900471.0,12.4,16367.0,18116.0,17259.6,17616.0
2021-05-02,Germany,weekly,17,16356.0,16048.0,16974.0,17101.0,16550.0,17668.0,17053.0,17634.0,17093.0,17894.0,18557.0,19501.0,,1621.0,136142.857,1397793.0,9.73546853031146,75.0,22232912.85714286,6412597.428571428,85.71428571428571,26.499151425672995,7.6431006311888625,0.00010216186475792933,83900471.0,11.657142857142857,16048.0,17894.0,17037.1,17880.0
2021-05-09,Germany,weekly,18,15795.0,16171.0,16563.0,16408.0,15803.0,17114.0,16901.0,17129.0,16789.0,17090.0,17920.0,19306.0,,1552.0,113774.571,1308808.0,8.682334312770326,75.0,26124766.285714287,7423098.714285715,99.71428571428571,31.137806467992636,8.847505414225523,0.00011884830266839111,83900471.0,10.585714285714285,15795.0,17129.0,16576.3,17754.0
2021-05-16,Germany,weekly,19,15778.0,16306.0,15936.0,16370.0,16074.0,17072.0,17629.0,17343.0,17226.0,17118.0,17651.0,18586.0,,1322.0,79799.714,1173822.0,6.772798962534301,75.0,29873236.0,8904879.142857144,113.42857142857143,35.605564121326566,10.613622351246566,0.00013519420102965982,83900471.0,9.057142857142859,15778.0,17629.0,16685.2,17264.0
2021-05-23,Germany,weekly,20,15788.0,15978.0,15807.0,16083.0,15763.0,16732.0,16601.0,17079.0,16488.0,17315.0,17001.0,17784.0,,1263.0,60247.713,1174534.0,5.143181595701977,75.0,32783778.57142857,10939589.285714285,128.0,39.074606114462185,13.038769813001748,0.0001525617180385078,83900471.0,6.828571428571429,15763.0,17315.0,16363.4,16521.0
2021-05-30,Germany,weekly,21,16029.0,15270.0,16533.0,15601.0,16453.0,16330.0,16286.0,16451.0,16513.0,17080.0,17163.0,17152.0,,1002.0,38336.716,1071225.0,3.549599501818943,75.0,35075856.428571425,13656782.57142857,149.0,41.80650717511637,16.27736103105854,0.00017759137490420049,83900471.0,4.828571428571429,15270.0,17080.0,16254.6,16150.0
2021-06-06,Germany,weekly,22,15497.0,15698.0,15507.0,16351.0,15211.0,16200.0,16346.0,16902.0,17039.0,16921.0,16776.0,18154.0,,818.0,26701.001,916940.0,2.9052080443110984,69.17571428571429,37412836.14285714,16829464.285714287,286.85714285714283,44.59192623943331,20.05884363356469,0.00034190170738987013,83900471.0,3.5285714285714285,15211.0,17039.0,16167.2,17336.0
2021-06-13,Germany,weekly,23,15919.0,15239.0,15560.0,16198.0,16215.0,16777.0,15799.0,15846.0,16714.0,17491.0,17262.0,17398.0,,600.0,17254.715,860399.0,2.002162008627778,67.59,39693003.28571428,20626791.14285714,461.2857142857143,47.30963105763051,24.584833549810636,0.0005498011021722564,83900471.0,2.642857142857143,15239.0,17491.0,16175.8,16798.0
2021-06-20,Germany,weekly,24,15106.0,15209.0,15398.0,15888.0,16176.0,16272.0,15717.0,16087.0,15582.0,16484.0,16601.0,19038.0,,551.0,9775.714,779807.0,1.2432078316363602,67.59,42091433.428571425,24679381.285714287,580.5714285714286,50.168292176299495,29.415068820906008,0.0006919763639603746,83900471.0,1.7857142857142858,15106.0,16484.0,15791.9,18487.0
2021-06-27,Germany,weekly,25,15514.0,14879.0,15550.0,17153.0,15268.0,15619.0,16910.0,16819.0,15843.0,16639.0,16401.0,17171.0,,368.0,5332.572,725602.0,0.7343357555646987,67.59,44445811.28571428,28428356.85714286,661.4285714285714,52.97444788565524,33.88342939951178,0.0007883490563820213,83900471.0,1.1714285714285713,14879.0,17153.0,16019.4,16803.0
2021-07-04,Germany,weekly,26,17346.0,15322.0,15693.0,14870.0,15583.0,16152.0,15699.0,16076.0,16569.0,17918.0,17293.0,16976.0,,271.0,3995.571,725665.0,0.5506626802438255,67.59,46796234.0,31537990.0,740.8571428571429,55.7758895060315,37.58976513969749,0.0008830190510577025,83900471.0,0.8857142857142858,14870.0,17918.0,16122.8,16705.0
2021-07-11,Germany,weekly,27,16982.0,15503.0,15832.0,15614.0,16029.0,19252.0,16229.0,16424.0,16622.0,16552.0,16457.0,16944.0,,202.0,4596.143,665435.0,0.6955282393701493,67.59,48652880.28571428,34505595.85714286,859.0,57.98880471805013,41.12682020240727,0.0010238321546490483,83900471.0,0.9714285714285714,15503.0,19252.0,16503.9,16742.0
