date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Germany,weekly,1,17560.0,18087.0,17762.0,18243.0,16785.0,18713.0,18467.0,20918.0,19342.0,18686.0,18883.0,24919.0,20740.0,1822.0,254819.0,1268988.0,19.995,47.376,62944310.571,59504064.429,36474978.571,75.5,71.374,43.751,83369840.0,16785.0,20918.0,18456.3,18918.0
2022-01-16,Germany,weekly,2,17776.0,17495.0,17145.0,17933.0,17210.0,19283.0,18439.0,22070.0,18770.0,19170.0,19408.0,24532.0,19852.0,1642.0,389923.143,1816467.0,21.413,47.187,63279160.857,60177792.857,39904291.429,75.902,72.182,47.864,83369840.0,17145.0,22070.0,18529.1,18210.0
2022-01-23,Germany,weekly,3,17309.0,16652.0,17454.0,18251.0,16814.0,19500.0,18627.0,21236.0,19187.0,19163.0,18953.0,24129.0,19784.0,1099.0,583267.572,2323279.0,24.97,47.019,63616441.571,60782475.143,42884535.429,76.306,72.907,51.439,83369840.0,16652.0,21236.0,18419.3,18685.0
2022-01-30,Germany,weekly,4,17455.0,16909.0,16919.0,18861.0,16825.0,19346.0,18707.0,22083.0,19171.0,19505.0,18827.0,22674.0,20165.0,1007.0,908002.143,2547921.0,35.619,43.387,63880049.429,61300247.0,45035070.429,76.622,73.528,54.018,83369840.0,16825.0,22083.0,18578.1,19158.0
2022-02-06,Germany,weekly,5,17590.0,17681.0,17631.0,19980.0,17366.0,20716.0,18493.0,23640.0,19558.0,19812.0,19774.0,21773.0,20658.0,992.0,1187256.572,2596111.0,45.716,43.356,64062777.571,61713256.143,46460809.714,76.842,74.023,55.729,83369840.0,17366.0,23640.0,19246.7,19666.0
2022-02-13,Germany,weekly,6,17701.0,17346.0,18370.0,20026.0,17534.0,20905.0,18541.0,22744.0,20086.0,19981.0,19038.0,20946.0,20446.0,1218.0,1326240.143,2545921.0,52.108,43.329,64186143.143,62066702.286,47514675.143,76.99,74.447,56.993,83369840.0,17346.0,22744.0,19323.4,19228.0
2022-02-20,Germany,weekly,7,18077.0,17294.0,18914.0,20373.0,17422.0,22395.0,18483.0,22683.0,21254.0,20150.0,19648.0,20493.0,21153.0,1340.0,1261651.001,2311255.0,54.619,43.307,64270850.714,62344393.714,48378227.571,77.091,74.781,58.028,83369840.0,17294.0,22683.0,19704.5,19813.0
2022-02-27,Germany,weekly,8,17898.0,17237.0,18629.0,20776.0,17211.0,23264.0,18475.0,22266.0,22888.0,20349.0,18953.0,18979.0,20374.0,1403.0,1159255.001,2072434.0,55.936,43.289,64338607.857,62568382.0,49157187.0,77.173,75.049,58.963,83369840.0,17211.0,23264.0,19899.3,18971.0
2022-03-06,Germany,weekly,9,17215.0,17266.0,18149.0,21250.0,17345.0,23598.0,18926.0,20930.0,25535.0,20790.0,19505.0,18455.0,20738.0,1424.0,1094358.001,1925175.0,56.862,43.276,64398375.714,62725571.286,49850427.0,77.244,75.238,59.794,83369840.0,17215.0,25535.0,20100.4,19314.0
2022-03-13,Germany,weekly,10,17387.0,17722.0,17956.0,21172.0,17449.0,22002.0,18888.0,19102.0,26777.0,20453.0,19667.0,18606.0,21180.0,1469.0,1237007.571,2116073.0,58.439,43.267,64454819.857,62844218.714,50557557.857,77.312,75.38,60.643,83369840.0,17387.0,26777.0,19890.8,19711.0
2022-03-20,Germany,weekly,11,17683.0,17345.0,17957.0,20197.0,17491.0,20770.0,18971.0,18665.0,24385.0,19795.0,19849.0,18374.0,21317.0,1345.0,1475949.573,2406037.0,61.315,43.26,64495723.571,62931658.143,51301101.714,77.361,75.485,61.534,83369840.0,17345.0,24385.0,19325.9,19972.0
2022-03-27,Germany,weekly,12,16831.0,17057.0,17341.0,19789.0,17579.0,20009.0,18826.0,17640.0,22777.0,19016.0,19722.0,18437.0,21152.0,1521.0,1581121.43,2398326.0,65.96,43.254,64529972.857,63005341.0,52039650.286,77.402,75.573,62.42,83369840.0,16831.0,22777.0,18686.5,19631.0
2022-04-03,Germany,weekly,13,16452.0,17410.0,17111.0,19320.0,17418.0,19106.0,18617.0,17731.0,20906.0,18562.0,19678.0,18520.0,20835.0,2072.0,1547954.43,2124868.0,72.901,41.833,64558692.857,63070459.714,52768053.0,77.437,75.651,63.294,83369840.0,16452.0,20906.0,18263.3,18763.0
2022-04-10,Germany,weekly,14,16025.0,15935.0,17527.0,19293.0,17541.0,18668.0,18244.0,17028.0,20038.0,18671.0,20662.0,18873.0,20873.0,1676.0,1212985.571,1734636.0,69.796,33.33,64582246.857,63121031.429,53467437.571,77.465,75.712,64.133,83369840.0,15935.0,20038.0,17897.0,19197.0
2022-04-17,Germany,weekly,15,16200.0,16158.0,16912.0,19390.0,16746.0,18089.0,17712.0,16901.0,19165.0,17852.0,20502.0,19098.0,20211.0,1225.0,929493.285,1320685.0,69.858,33.33,64598897.857,63155307.429,54005886.571,77.485,75.753,64.779,83369840.0,16158.0,19390.0,17512.5,18986.0
2022-04-24,Germany,weekly,16,16367.0,16907.0,17109.0,18064.0,16540.0,18116.0,16775.0,16637.0,17992.0,18089.0,19261.0,19282.0,19534.0,1232.0,691874.0,1101781.0,62.924,30.956,64610579.429,63176459.857,54317786.0,77.499,75.779,65.153,83369840.0,16367.0,18116.0,17259.6,18302.0
2022-05-01,Germany,weekly,17,16356.0,16048.0,16974.0,17101.0,16550.0,17668.0,17053.0,17634.0,17093.0,17894.0,18557.0,19555.0,19312.0,1276.0,703616.429,1083885.0,64.957,26.85,64628397.143,63211850.286,54775826.857,77.52,75.821,65.702,83369840.0,16048.0,17894.0,17037.1,18036.0
2022-05-08,Germany,weekly,18,15795.0,16171.0,16563.0,16408.0,15803.0,17114.0,16901.0,17129.0,16789.0,17090.0,17920.0,19329.0,19159.0,1077.0,538997.571,980527.0,54.835,22.886,64644924.571,63243420.857,55234557.714,77.54,75.859,66.252,83369840.0,15795.0,17129.0,16576.3,18082.0
2022-05-15,Germany,weekly,19,15778.0,16306.0,15936.0,16370.0,16074.0,17072.0,17629.0,17343.0,17226.0,17118.0,17651.0,18579.0,19186.0,961.0,451679.001,843809.0,53.518,21.3,64655576.571,63264868.143,55606576.714,77.553,75.885,66.699,83369840.0,15778.0,17629.0,16685.2,18225.0
2022-05-22,Germany,weekly,20,15788.0,15978.0,15807.0,16083.0,15763.0,16732.0,16601.0,17079.0,16488.0,17315.0,17001.0,17811.0,18484.0,827.0,347895.858,733640.0,47.309,20.77,64664431.429,63283195.857,55907867.0,77.563,75.907,67.06,83369840.0,15763.0,17315.0,16363.4,17657.0
2022-05-29,Germany,weekly,21,16029.0,15270.0,16533.0,15601.0,16453.0,16330.0,16286.0,16451.0,16513.0,17080.0,17163.0,17193.0,17143.0,538.0,230035.858,580741.0,39.42,17.59,64672297.714,63298833.714,56128712.714,77.573,75.925,67.325,83369840.0,15270.0,17080.0,16254.6,16605.0
2022-06-05,Germany,weekly,22,15497.0,15698.0,15507.0,16351.0,15211.0,16200.0,16346.0,16902.0,17039.0,16921.0,16776.0,18191.0,18021.0,522.0,230712.858,557872.0,41.26,17.59,64679215.0,63312163.571,56311491.571,77.581,75.941,67.544,83369840.0,15211.0,17039.0,16167.2,17499.0
2022-06-12,Germany,weekly,23,15919.0,15239.0,15560.0,16198.0,16215.0,16777.0,15799.0,15846.0,16714.0,17491.0,17262.0,17442.0,17890.0,421.0,269415.0,609630.0,44.124,16.796,64685345.143,63323879.857,56480708.143,77.588,75.955,67.747,83369840.0,15239.0,17491.0,16175.8,17469.0
2022-06-19,Germany,weekly,24,15106.0,15209.0,15398.0,15888.0,16176.0,16272.0,15717.0,16087.0,15582.0,16484.0,16601.0,19076.0,18369.0,369.0,409720.0,,,14.81,64692618.571,63336346.286,56661018.857,77.597,75.97,67.963,83369840.0,15106.0,16484.0,15791.9,18000.0
2022-06-26,Germany,weekly,25,15514.0,14879.0,15550.0,17153.0,15268.0,15619.0,16910.0,16819.0,15843.0,16639.0,16401.0,17191.0,18936.0,558.0,513304.856,,,14.81,64699978.286,63348291.286,56872907.286,77.606,75.985,68.218,83369840.0,14879.0,17153.0,16019.4,18378.0
2022-07-03,Germany,weekly,26,17346.0,15322.0,15693.0,14870.0,15583.0,16152.0,15699.0,16076.0,16569.0,17918.0,17293.0,17013.0,18449.0,561.0,608399.0,,,14.81,64708473.571,63361057.286,57106365.0,77.616,76.0,68.498,83369840.0,14870.0,17918.0,16122.8,17888.0
2022-07-10,Germany,weekly,27,16982.0,15503.0,15832.0,15614.0,16029.0,19252.0,16229.0,16424.0,16622.0,16552.0,16457.0,16994.0,18042.0,575.0,629063.0,,,14.81,64715314.714,63372002.0,57324487.857,77.624,76.013,68.759,83369840.0,15503.0,19252.0,16503.9,17467.0
2022-07-17,Germany,weekly,28,18026.0,15228.0,14882.0,15238.0,15845.0,17361.0,16172.0,15603.0,16070.0,16319.0,16142.0,17662.0,18836.0,663.0,653828.857,,,14.81,64722341.571,63383098.143,57572340.429,77.633,76.026,69.057,83369840.0,14882.0,18026.0,16074.4,18173.0
2022-07-24,Germany,weekly,29,15543.0,14783.0,15026.0,15856.0,16631.0,16447.0,16985.0,16589.0,16702.0,16856.0,16537.0,17613.0,20810.0,644.0,659204.715,,,14.81,64728852.714,63392358.714,57824819.857,77.641,76.038,69.359,83369840.0,14783.0,16985.0,16141.8,20166.0
2022-07-31,Germany,weekly,30,14864.0,14976.0,16293.0,16853.0,16370.0,16272.0,16157.0,16058.0,18340.0,19630.0,16887.0,17211.0,20111.0,802.0,559061.43,,,14.81,64735272.0,63401141.571,58055220.143,77.648,76.048,69.636,83369840.0,14864.0,19630.0,16581.3,19309.0
2022-08-07,Germany,weekly,31,15097.0,15920.0,15437.0,16077.0,15793.0,15432.0,15439.0,16494.0,20371.0,17034.0,17433.0,17021.0,19714.0,879.0,408381.428,,,14.81,64740534.143,63408517.286,58244909.143,77.655,76.057,69.863,83369840.0,15097.0,20371.0,16309.4,18835.0
2022-08-14,Germany,weekly,32,15406.0,15104.0,14639.0,15263.0,15435.0,16651.0,15487.0,15784.0,18478.0,16540.0,17470.0,17560.0,19578.0,840.0,318597.358,,,14.81,64745073.714,63415292.714,58411450.143,77.66,76.065,70.063,83369840.0,14639.0,18478.0,15878.7,18738.0
2022-08-21,Germany,weekly,33,15362.0,15348.0,15597.0,15226.0,15011.0,16881.0,16258.0,16148.0,16890.0,15934.0,19720.0,17501.0,19648.0,806.0,280753.715,,,14.81,64751365.714,63423367.857,58559373.714,77.668,76.075,70.24,83369840.0,15011.0,16890.0,15865.5,18842.0
2022-08-28,Germany,weekly,34,15215.0,15887.0,16455.0,15182.0,15526.0,15233.0,17147.0,15880.0,16612.0,16263.0,17559.0,17151.0,18736.0,600.0,236682.0,,,14.81,64757147.143,63431064.714,58713061.429,77.675,76.084,70.425,83369840.0,15182.0,17147.0,15940.0,18136.0
2022-09-04,Germany,weekly,35,14979.0,15125.0,14688.0,15176.0,15938.0,16117.0,16101.0,16064.0,16000.0,17637.0,16656.0,17341.0,18047.0,658.0,213466.285,,,14.81,64761528.714,63437435.857,58860737.286,77.68,76.092,70.602,83369840.0,14688.0,17637.0,15782.5,17389.0
