date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Gibraltar,monthly,1,,,,,,,26.5,25.2,35.8,28.0,30.0,35.0,,19.0,818.714,,,,420.0,,,1.286,,,32670.0,25.2,35.8,28.875,16.0
2021-01-17,Gibraltar,monthly,2,,,,,,,28.0,25.4,36.6,30.0,31.0,53.0,,36.0,603.001,,,,4058.714,,,12.423,,,32670.0,25.4,36.6,30.0,17.0
2021-01-24,Gibraltar,monthly,3,,,,,,,29.5,25.6,37.4,32.0,32.0,71.0,,53.0,378.715,,,,8205.857,,,25.117,,,32670.0,25.6,37.4,31.125,18.0
2021-01-31,Gibraltar,monthly,4,,,,,,,31.0,25.8,38.2,34.0,33.0,89.0,,70.0,205.143,,,,11947.857,400.0,,36.571,1.224,,32670.0,25.8,38.2,32.25,19.0
2021-02-07,Gibraltar,monthly,5,,,,,,25.0,30.8,26.0,39.0,36.0,34.0,,,56.5,92.285,,,,13264.714,3803.0,,40.602,11.641,,32670.0,25.0,39.0,31.36,
2021-02-14,Gibraltar,monthly,6,,,,,,25.25,30.6,25.0,36.5,33.5,32.25,,,43.0,43.429,,,,15165.286,7919.0,,46.42,24.239,,32670.0,25.0,36.5,30.17,
2021-02-21,Gibraltar,monthly,7,,,,,,25.5,30.4,24.0,34.0,31.0,30.5,,,29.5,23.001,,,,16693.286,11732.0,,51.097,35.911,,32670.0,24.0,34.0,28.98,
2021-02-28,Gibraltar,monthly,8,,,,,,25.75,30.2,23.0,31.5,28.5,28.75,,,16.0,9.144,,,,21506.143,13038.571,,65.828,39.91,,32670.0,23.0,31.5,27.79,
2021-03-07,Gibraltar,monthly,9,,,,,,26.0,30.0,22.0,29.0,26.0,27.0,,,13.0,8.573,,,,26398.571,14932.857,,80.804,45.708,,32670.0,22.0,30.0,26.6,
2021-03-14,Gibraltar,monthly,10,,,,,,25.2,28.25,20.75,28.0,26.25,26.4,,,10.0,14.286,,,,29159.571,16411.571,,89.255,50.234,,32670.0,20.75,28.25,25.69,
2021-03-21,Gibraltar,monthly,11,,,,,,24.4,26.5,19.5,27.0,26.5,25.8,,,7.0,10.714,,,,29919.857,21143.143,,91.582,64.717,,32670.0,19.5,27.0,24.78,
2021-03-28,Gibraltar,monthly,12,,,,,,23.6,24.75,18.25,26.0,26.75,25.2,,,4.0,2.859,,,,30715.286,25879.857,,94.017,79.216,,32670.0,18.25,26.75,23.87,
2021-04-04,Gibraltar,monthly,13,,,,,,22.8,23.0,17.0,25.0,27.0,24.6,,,1.0,2.574,,,,31973.857,28608.286,,97.869,87.567,,32670.0,17.0,27.0,22.96,
2021-04-11,Gibraltar,monthly,14,,,,,,22.0,22.25,16.0,25.6,26.0,24.0,,,0.75,1.573,,,,33360.714,29495.286,,102.114,90.282,,32670.0,16.0,26.0,22.37,
2021-04-18,Gibraltar,monthly,15,,,,,,21.75,21.5,15.0,26.2,25.0,23.25,,,0.5,10.715,,,,35742.643,30435.714,,109.405,93.161,,32670.0,15.0,26.2,21.89,
2021-04-25,Gibraltar,monthly,16,,,,,,21.5,20.75,14.0,26.8,24.0,22.5,,,0.25,4.358,,,,36106.214,31679.786,,110.518,96.969,,32670.0,14.0,26.8,21.41,
2021-05-02,Gibraltar,monthly,17,,,,,,21.25,20.0,13.0,27.4,23.0,21.75,,,0.0,0.0,,,,37397.071,32957.25,,114.469,100.879,,32670.0,13.0,27.4,20.93,
2021-05-09,Gibraltar,monthly,18,,,,,,21.0,19.4,16.0,28.0,22.0,21.0,,,0.0,2.574,,,,38273.214,34957.321,,117.151,107.001,,32670.0,16.0,28.0,21.28,
2021-05-16,Gibraltar,monthly,19,,,,,,20.5,18.8,19.0,27.75,20.25,18.75,,,0.0,0.429,,,,38882.657,35672.486,,119.016,109.19,,32670.0,18.8,27.75,21.26,
2021-05-23,Gibraltar,monthly,20,,,,,,20.0,18.2,22.0,27.5,18.5,16.5,,,0.0,0.429,,,,38961.0,36869.2,,119.256,112.853,,32670.0,18.2,27.5,21.24,
2021-05-30,Gibraltar,monthly,21,,,,,,19.5,17.6,25.0,27.25,16.75,14.25,,,0.0,5.928,,,,39043.557,37890.171,,119.509,115.978,,32670.0,16.75,27.25,21.22,
2021-06-06,Gibraltar,monthly,22,,,,,,19.0,17.0,28.0,27.0,15.0,12.0,,,0.0,7.143,,,,39100.833,38603.524,,119.684,118.162,,32670.0,15.0,28.0,21.2,
2021-06-13,Gibraltar,monthly,23,,,,,,19.0,18.25,26.75,25.5,15.5,12.8,,,0.0,7.714,,,,39125.675,38667.659,,119.76,118.358,,32670.0,15.5,26.75,21.0,
2021-06-20,Gibraltar,monthly,24,,,,,,19.0,19.5,25.5,24.0,16.0,13.6,,,0.0,10.286,,,,39155.778,38751.889,,119.852,118.616,,32670.0,16.0,25.5,20.8,
2021-06-27,Gibraltar,monthly,25,,,,,,19.0,20.75,24.25,22.5,16.5,14.4,,,0.0,17.0,,,,39204.543,38827.371,,120.002,118.847,,32670.0,16.5,24.25,20.6,
2021-07-04,Gibraltar,monthly,26,,,,,,19.0,22.0,23.0,21.0,17.0,15.2,,,0.0,20.999,,,,39249.392,38863.187,,120.139,118.957,,32670.0,17.0,23.0,20.4,
2021-07-11,Gibraltar,monthly,27,,,,,,19.0,20.5,21.8,21.0,17.6,16.0,,,0.0,42.0,,,,39278.091,38905.818,,120.227,119.087,,32670.0,17.6,21.8,19.98,
2021-07-18,Gibraltar,monthly,28,,,,,,18.0,19.0,20.6,21.0,18.2,17.75,,,0.0,123.285,,,,39305.688,38999.338,,120.311,119.374,,32670.0,18.0,21.0,19.36,
2021-07-25,Gibraltar,monthly,29,,,,,,17.0,17.5,19.4,21.0,18.8,19.5,,,0.0,203.715,,,,39323.071,39064.929,,120.364,119.574,,32670.0,17.0,21.0,18.74,
2021-08-01,Gibraltar,monthly,30,,,,,,16.0,16.0,18.2,21.0,19.4,21.25,,,0.0,188.856,,,,39335.571,39105.0,,120.403,119.697,,32670.0,16.0,21.0,18.12,
2021-08-08,Gibraltar,monthly,31,,,,,,15.0,16.4,17.0,21.0,20.0,23.0,,,0.6,162.143,,,,39350.143,39142.357,,120.447,119.811,,32670.0,15.0,21.0,17.88,
2021-08-15,Gibraltar,monthly,32,,,,,,16.4,16.8,18.75,21.5,20.25,22.8,,,1.2,105.857,,,,39365.714,39165.143,,120.495,119.881,,32670.0,16.4,21.5,18.74,
2021-08-22,Gibraltar,monthly,33,,,,,,17.8,17.2,20.5,22.0,20.5,22.6,,,1.8,76.714,,,,39443.429,39182.071,,120.733,119.933,,32670.0,17.2,22.0,19.6,
