date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Greece,weekly,1,,,,,,2645.0,2637.0,3425.0,2533.0,2706.0,2751.0,2652.0,3264.0,306.0,4374.0,146561.0,3.002,84.26,27766.143,,,0.268,,,10370747.0,2533.0,3425.0,2789.2,2346.0
2021-01-17,Greece,weekly,2,,,,,,3013.0,2638.0,3680.0,2453.0,3105.0,2923.0,2498.0,3374.0,206.0,4351.285,202421.0,2.163,80.56,68735.0,107.25,,0.663,0.001,,10370747.0,2453.0,3680.0,2977.8,2292.0
2021-01-24,Greece,weekly,3,,,,,,3053.0,2601.0,3364.0,2345.0,3039.0,2863.0,2652.0,3263.0,177.0,3357.0,178736.0,1.877,80.56,124769.0,2390.286,,1.203,0.023,,10370747.0,2345.0,3364.0,2880.4,2475.0
2021-01-31,Greece,weekly,4,,,,,,3065.0,2652.0,3082.0,2548.0,2860.0,2774.0,2621.0,3675.0,150.0,4302.714,193964.0,2.211,80.56,208284.857,25319.857,,2.008,0.244,,10370747.0,2548.0,3082.0,2841.4,2471.0
2021-02-07,Greece,weekly,5,,,,,,2778.0,2649.0,3002.0,2605.0,2893.0,2990.0,2493.0,3552.0,176.0,6093.287,223083.0,2.725,81.48,289449.786,66692.214,,2.791,0.643,,10370747.0,2605.0,3002.0,2785.4,2317.0
2021-02-14,Greece,weekly,6,,,,,,2665.0,2594.0,2790.0,2557.0,2772.0,2850.0,2463.0,3236.0,154.0,7803.286,279148.0,2.795,81.48,358468.643,123010.214,,3.457,1.186,,10370747.0,2557.0,2790.0,2675.6,2309.0
2021-02-21,Greece,weekly,7,,,,,,2551.0,2436.0,2675.0,2469.0,2563.0,2782.0,2529.0,3058.0,171.0,7537.142,243660.0,3.106,79.629,429936.286,201955.571,,4.146,1.947,,10370747.0,2436.0,2675.0,2538.8,2358.0
2021-02-28,Greece,weekly,8,,,,,,2690.0,2215.0,2523.0,2493.0,2660.0,2469.0,2667.0,2792.0,207.0,10011.572,277852.0,3.599,81.75,538026.357,284885.5,,5.188,2.747,,10370747.0,2215.0,2690.0,2516.2,2460.0
2021-03-07,Greece,weekly,9,,,,,,2790.0,2139.0,2399.0,2610.0,2769.0,2545.0,2724.0,2836.0,254.0,12951.428,305273.0,4.248,88.89,669562.286,352495.214,,6.456,3.399,,10370747.0,2139.0,2790.0,2541.4,2470.0
2021-03-14,Greece,weekly,10,,,,,,2629.0,2248.0,2405.0,2532.0,2519.0,2645.0,2655.0,,333.0,15111.285,312721.0,4.842,88.89,826184.143,390895.643,,7.966,3.769,,10370747.0,2248.0,2629.0,2466.6,2322.0
2021-03-21,Greece,weekly,11,,,,,,2547.0,2255.0,2444.0,2415.0,2470.0,2594.0,2783.0,,371.0,15609.713,262410.0,5.955,88.226,935109.429,439152.357,,9.017,4.235,,10370747.0,2255.0,2547.0,2426.2,2412.0
2021-03-28,Greece,weekly,12,,,,,,2457.0,2185.0,2458.0,2330.0,2391.0,2548.0,2759.0,,418.0,17314.857,289097.0,6.001,87.96,1035882.071,513182.286,,9.989,4.948,,10370747.0,2185.0,2458.0,2364.2,2341.0
2021-04-04,Greece,weekly,13,,,,,,2376.0,2259.0,2253.0,2365.0,2332.0,2439.0,2929.0,,500.0,19306.143,302328.0,6.388,87.96,1122654.714,621583.571,,10.825,5.994,,10370747.0,2253.0,2376.0,2317.0,2429.0
2021-04-11,Greece,weekly,14,,,,,,2390.0,2275.0,2363.0,2341.0,2413.0,2454.0,2898.0,,505.0,20928.999,346297.0,6.049,87.96,1349568.429,704178.929,,13.013,6.79,,10370747.0,2275.0,2413.0,2356.4,2393.0
2021-04-18,Greece,weekly,15,,,,,,2408.0,2227.0,2363.0,2349.0,2312.0,2362.0,2969.0,,577.0,19690.0,364856.0,5.406,87.96,1619409.429,763379.071,,15.615,7.361,,10370747.0,2227.0,2408.0,2331.8,2392.0
2021-04-25,Greece,weekly,16,,,,,,2426.0,2100.0,2367.0,2319.0,2220.0,2268.0,2665.0,,545.0,18772.286,389850.0,4.826,78.44,1913650.143,793166.143,,18.452,7.648,,10370747.0,2100.0,2426.0,2286.4,2120.0
2021-05-02,Greece,weekly,17,,,,,,2240.0,2081.0,2325.0,2175.0,2403.0,2203.0,2804.0,,446.0,15986.0,365765.0,4.364,71.3,2118957.429,917109.429,,20.432,8.843,,10370747.0,2081.0,2403.0,2244.8,2358.0
2021-05-09,Greece,weekly,18,,,,,,2287.0,2246.0,2265.0,2226.0,2360.0,2307.0,2937.0,,576.0,13319.428,271347.0,4.917,71.3,2333313.0,1099407.0,,22.499,10.601,,10370747.0,2226.0,2360.0,2276.8,2361.0
2021-05-16,Greece,weekly,19,,,,,,2327.0,2209.0,2159.0,1980.0,2323.0,2128.0,2436.0,,386.0,16050.857,374265.0,4.311,71.3,2663800.286,1447354.643,,25.686,13.956,,10370747.0,1980.0,2327.0,2199.6,2050.0
2021-05-23,Greece,weekly,20,,,,,,2015.0,2121.0,2030.0,2112.0,2268.0,2474.0,2500.0,,357.0,13697.572,352715.0,3.885,58.597,3046359.929,1730392.286,,29.375,16.685,,10370747.0,2015.0,2268.0,2109.2,2143.0
2021-05-30,Greece,weekly,21,,,,,,2075.0,2027.0,2013.0,2021.0,2210.0,2329.0,2585.0,,282.0,11787.142,319660.0,3.687,61.246,3467284.214,1924178.286,,33.433,18.554,,10370747.0,2013.0,2210.0,2069.2,2303.0
2021-06-06,Greece,weekly,22,,,,,,1941.0,2199.0,2212.0,2223.0,2281.0,1961.0,2318.0,,223.0,9622.001,298652.0,3.217,62.04,3804796.286,2198894.143,,36.688,21.203,,10370747.0,1941.0,2281.0,2171.2,2095.0
2021-06-13,Greece,weekly,23,,,,,,2090.0,1999.0,2121.0,2302.0,2285.0,2101.0,2393.0,,145.0,6576.714,278490.0,2.355,47.751,4129912.0,2578216.714,,39.823,24.86,,10370747.0,1999.0,2302.0,2159.4,2248.0
2021-06-20,Greece,weekly,24,,,,,,2107.0,2175.0,2136.0,2188.0,2546.0,2211.0,2314.0,,126.0,4131.429,256174.0,1.608,45.37,4387942.714,3032143.0,,42.311,29.237,,10370747.0,2107.0,2546.0,2230.4,2188.0
2021-06-27,Greece,weekly,25,,,,,,2235.0,2914.0,2170.0,2080.0,2376.0,2354.0,2959.0,,116.0,2713.142,223737.0,1.212,45.37,4637395.286,3388851.571,,44.716,32.677,,10370747.0,2080.0,2914.0,2355.0,2843.0
2021-07-04,Greece,weekly,26,,,,,,1922.0,2318.0,2732.0,2045.0,2419.0,2181.0,3154.0,,73.0,3641.0,244450.0,1.48,41.67,4881158.571,3825657.714,,47.067,36.889,,10370747.0,1922.0,2732.0,2287.2,3081.0
2021-07-11,Greece,weekly,27,,,,,,1917.0,2155.0,2542.0,2361.0,2377.0,2671.0,2702.0,,55.0,9578.286,336558.0,2.803,52.384,5156340.714,4149952.571,,49.72,40.016,,10370747.0,1917.0,2542.0,2270.4,2647.0
2021-07-18,Greece,weekly,28,,,,,,2271.0,2186.0,2418.0,2160.0,2258.0,2304.0,2699.0,,58.0,16984.429,468386.0,3.62,57.341,5361271.286,4479498.857,,51.696,43.194,,10370747.0,2160.0,2418.0,2258.6,2641.0
2021-07-25,Greece,weekly,29,,,,,,2197.0,1993.0,2090.0,2356.0,2097.0,2137.0,2449.0,,48.0,18589.999,523133.0,3.554,65.01,5545312.0,4778773.286,,53.471,46.079,,10370747.0,1993.0,2356.0,2146.6,2401.0
2021-08-01,Greece,weekly,30,,,,,,2443.0,2285.0,2143.0,2195.0,2337.0,2235.0,2825.0,,77.0,18760.858,583086.0,3.227,66.2,5668931.857,5071213.0,,54.663,48.899,,10370747.0,2143.0,2443.0,2280.6,2748.0
2021-08-08,Greece,weekly,31,,,,,,2479.0,2324.0,2307.0,2231.0,2386.0,2714.0,3886.0,,100.0,19024.427,613581.0,3.117,70.966,5764966.857,5290390.0,,55.589,51.013,,10370747.0,2231.0,2479.0,2345.4,3786.0
2021-08-15,Greece,weekly,32,,,,,,2372.0,2212.0,2726.0,2288.0,2391.0,2528.0,2952.0,,148.0,21582.856,642558.0,3.365,76.517,5821890.571,5459069.714,,56.138,52.639,,10370747.0,2212.0,2726.0,2397.8,2804.0
2021-08-22,Greece,weekly,33,,,,,,2242.0,2122.0,2288.0,2285.0,2361.0,2367.0,2669.0,,161.0,22193.285,613920.0,3.615,77.31,5881790.143,5576885.143,,56.715,53.775,,10370747.0,2122.0,2361.0,2259.6,2508.0
2021-08-29,Greece,weekly,34,,,,,,2081.0,2049.0,2052.0,2260.0,2264.0,2361.0,2778.0,,252.0,22687.999,638143.0,3.555,78.904,5968825.143,5679843.571,,57.554,54.768,,10370747.0,2049.0,2264.0,2141.2,2526.0
2021-09-05,Greece,weekly,35,,,,,,2055.0,2013.0,2076.0,2178.0,2356.0,2298.0,2565.0,,250.0,20156.571,630517.0,3.197,79.17,6096424.0,5755469.429,,58.785,55.497,,10370747.0,2013.0,2356.0,2135.6,2315.0
2021-09-12,Greece,weekly,36,,,,,,2276.0,2041.0,1976.0,2196.0,2122.0,2315.0,2519.0,,283.0,16181.286,616145.0,2.628,79.17,6216837.857,5820086.429,,59.946,56.12,,10370747.0,1976.0,2276.0,2122.2,2236.0
2021-09-19,Greece,weekly,37,,,,,,2040.0,1971.0,2100.0,2063.0,2084.0,2274.0,2719.0,,297.0,15452.572,1030679.0,1.545,77.581,6329799.857,5902294.0,7365.833,61.035,56.913,0.071,10370747.0,1971.0,2100.0,2051.6,2422.0
2021-09-26,Greece,weekly,38,,,,,,1982.0,1882.0,1980.0,2100.0,2110.0,2276.0,2440.0,,213.0,15825.714,1384170.0,1.146,73.61,6399262.286,6011856.714,19043.0,61.705,57.969,0.184,10370747.0,1882.0,2110.0,2010.8,2227.0
2021-10-03,Greece,weekly,39,,,,,,1919.0,1972.0,1926.0,2022.0,2087.0,2156.0,2439.0,,241.0,15039.0,1371773.0,1.096,73.61,6444199.143,6121663.0,32961.429,62.138,59.028,0.318,10370747.0,1919.0,2087.0,1985.2,2198.0
2021-10-10,Greece,weekly,40,,,,,,1849.0,2081.0,2076.0,2176.0,2158.0,2223.0,2456.0,,215.0,15254.713,1332109.0,1.145,73.61,6481978.143,6214605.571,89228.286,62.503,59.924,0.86,10370747.0,1849.0,2176.0,2068.0,2241.0
2021-10-17,Greece,weekly,41,,,,,,2101.0,2047.0,2185.0,2244.0,2070.0,2214.0,2488.0,,240.0,16302.572,1269391.0,1.287,73.61,6526433.571,6281437.286,172775.857,62.931,60.569,1.666,10370747.0,2047.0,2244.0,2129.4,2248.0
2021-10-24,Greece,weekly,42,,,,,,2056.0,2142.0,2230.0,2164.0,2123.0,2144.0,2514.0,,253.0,20292.144,1353016.0,1.498,73.61,6574090.286,6327687.143,254877.286,63.391,61.015,2.458,10370747.0,2056.0,2230.0,2143.0,2261.0
