date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Greenland,monthly,1,,,,,,,48.75,54.8,43.2,34.0,46.0,55.5,52.6,,2.145,,,37.04,,,,,,,56494.0,34.0,54.8,45.188,
2021-01-17,Greenland,monthly,2,,,,,,,44.5,53.6,44.4,37.0,44.0,53.0,51.2,,1.859,,,37.04,,,,,,,56494.0,37.0,53.6,44.875,
2021-01-24,Greenland,monthly,3,,,,,,,40.25,52.4,45.6,40.0,42.0,50.5,49.8,,0.429,,,37.04,,,,,,,56494.0,40.0,52.4,44.562,
2021-01-31,Greenland,monthly,4,,,,,,,36.0,51.2,46.8,43.0,40.0,48.0,48.4,,0.0,,,37.04,2665.394,,,4.718,,,56494.0,36.0,51.2,44.25,
2021-02-07,Greenland,monthly,5,,,,,,44.0,37.6,50.0,48.0,46.0,38.0,49.25,47.0,,0.0,,,37.04,2909.576,,,5.15,,,56494.0,37.6,50.0,45.12,
2021-02-14,Greenland,monthly,6,,,,,,41.25,39.2,49.75,42.25,47.0,41.0,50.5,48.25,,0.0,,,41.004,3194.455,,,5.655,,,56494.0,39.2,49.75,43.89,
2021-02-21,Greenland,monthly,7,,,,,,38.5,40.8,49.5,36.5,48.0,44.0,51.75,49.5,,0.0,,,42.59,3479.333,,,6.159,,,56494.0,36.5,49.5,42.66,
2021-02-28,Greenland,monthly,8,,,,,,35.75,42.4,49.25,30.75,49.0,47.0,53.0,50.75,,0.0,,,42.59,3764.212,,,6.663,,,56494.0,30.75,49.25,41.43,
2021-03-07,Greenland,monthly,9,,,,,,33.0,44.0,49.0,25.0,50.0,50.0,50.2,52.0,,0.572,,,42.59,4032.308,1438.077,,7.138,2.546,,56494.0,25.0,50.0,40.2,
2021-03-14,Greenland,monthly,10,,,,,,35.4,41.75,50.75,31.0,51.25,47.8,47.4,45.0,,0.429,,,42.59,4278.026,1986.59,,7.573,3.516,,56494.0,31.0,51.25,42.03,
2021-03-21,Greenland,monthly,11,,,,,,37.8,39.5,52.5,37.0,52.5,45.6,44.6,38.0,,0.0,,,37.833,4523.744,2535.103,,8.007,4.487,,56494.0,37.0,52.5,43.86,
2021-03-28,Greenland,monthly,12,,,,,,40.2,37.25,54.25,43.0,53.75,43.4,41.8,31.0,,0.0,,,37.04,4769.462,3083.615,,8.442,5.458,,56494.0,37.25,54.25,45.69,
2021-04-04,Greenland,monthly,13,,,,,,42.6,35.0,56.0,49.0,55.0,41.2,39.0,24.0,,0.0,,,37.04,5015.179,3632.128,,8.877,6.429,,56494.0,35.0,56.0,47.52,
2021-04-11,Greenland,monthly,14,,,,,,45.0,36.75,48.75,51.6,53.4,39.0,41.0,30.0,,0.0,,,37.04,5279.425,4149.63,,9.345,7.345,,56494.0,36.75,53.4,47.1,
2021-04-18,Greenland,monthly,15,,,,,,43.5,38.5,41.5,54.2,51.8,36.5,43.0,36.0,,0.0,,,37.04,6032.571,4294.0,,10.678,7.601,,56494.0,38.5,54.2,45.9,
2021-04-25,Greenland,monthly,16,,,,,,42.0,40.25,34.25,56.8,50.2,34.0,45.0,42.0,,0.0,,,37.04,7984.286,4297.857,,14.133,7.608,,56494.0,34.25,56.8,44.7,
2021-05-02,Greenland,monthly,17,,,,,,40.5,42.0,27.0,59.4,48.6,31.5,47.0,48.0,,0.0,,,50.269,8860.071,4965.714,,15.683,8.79,,56494.0,27.0,59.4,43.5,
2021-05-09,Greenland,monthly,18,,,,,,39.0,42.8,30.0,62.0,47.0,29.0,43.0,47.0,,0.0,,,52.78,9001.143,5303.857,,15.933,9.388,,56494.0,30.0,62.0,44.16,
2021-05-16,Greenland,monthly,19,,,,,,39.5,43.6,33.0,59.5,43.25,31.75,39.0,46.0,,0.0,,,52.78,9972.357,5833.5,,17.652,10.326,,56494.0,33.0,59.5,43.77,
2021-05-23,Greenland,monthly,20,,,,,,40.0,44.4,36.0,57.0,39.5,34.5,35.0,45.0,,2.145,,,48.811,11515.0,7660.75,,20.383,13.56,,56494.0,36.0,57.0,43.38,
2021-05-30,Greenland,monthly,21,,,,,,40.5,45.2,39.0,54.5,35.75,37.25,31.0,44.0,,2.716,,,48.15,12649.214,8307.893,,22.39,14.706,,56494.0,35.75,54.5,42.99,
2021-06-06,Greenland,monthly,22,,,,,,41.0,46.0,42.0,52.0,32.0,40.0,27.0,43.0,,4.999,,,47.356,16285.286,8430.429,,28.827,14.923,,56494.0,32.0,52.0,42.6,
2021-06-13,Greenland,monthly,23,,,,,,41.0,43.5,41.5,50.25,36.25,41.8,31.0,40.5,,2.431,,,45.37,19499.286,8675.286,,34.516,15.356,,56494.0,36.25,50.25,42.5,
2021-06-20,Greenland,monthly,24,,,,,,41.0,41.0,41.0,48.5,40.5,43.6,35.0,38.0,,4.999,,,45.37,21563.75,9914.25,,38.17,17.549,,56494.0,40.5,48.5,42.4,
2021-06-27,Greenland,monthly,25,,,,,,41.0,38.5,40.5,46.75,44.75,45.4,39.0,35.5,,1.572,,,45.37,23811.179,10421.536,,42.148,18.447,,56494.0,38.5,46.75,42.3,
2021-07-04,Greenland,monthly,26,,,,,,41.0,36.0,40.0,45.0,49.0,47.2,43.0,33.0,,0.143,,,44.841,28474.0,12031.143,,50.402,21.296,,56494.0,36.0,49.0,42.2,
2021-07-11,Greenland,monthly,27,,,,,,41.0,37.5,41.0,42.2,47.2,49.0,46.5,35.5,,1.715,,,41.67,31103.143,15521.857,,55.056,27.475,,56494.0,37.5,47.2,41.78,
2021-07-18,Greenland,monthly,28,,,,,,40.5,39.0,42.0,39.4,45.4,46.0,50.0,38.0,,15.142,,,41.67,32360.857,18681.786,,57.282,33.069,,56494.0,39.0,45.4,41.26,
2021-07-25,Greenland,monthly,29,,,,,,40.0,40.5,43.0,36.6,43.6,43.0,53.5,40.5,,18.428,,,45.727,33723.571,20081.286,,59.694,35.546,,56494.0,36.6,43.6,40.74,
2021-08-01,Greenland,monthly,30,,,,,,39.5,42.0,44.0,33.8,41.8,40.0,57.0,43.0,,24.428,,,43.574,35877.143,24067.143,,63.506,42.601,,56494.0,33.8,44.0,40.22,
2021-08-08,Greenland,monthly,31,,,,,,39.0,40.8,45.0,31.0,40.0,37.0,55.2,44.8,,39.0,,,38.579,36916.571,27030.0,,65.346,47.846,,56494.0,31.0,45.0,39.16,
2021-08-15,Greenland,monthly,32,,,,,,39.0,39.6,42.25,35.5,40.0,38.6,53.4,46.6,,67.857,,,40.646,37818.286,29111.143,,66.942,51.53,,56494.0,35.5,42.25,39.27,
2021-08-22,Greenland,monthly,33,,,,,,39.0,38.4,39.5,40.0,40.0,40.2,51.6,48.4,,62.856,,,40.717,39053.786,30594.643,,69.129,54.156,,56494.0,38.4,40.0,39.38,
2021-08-29,Greenland,monthly,34,,,,,,39.0,37.2,36.75,44.5,40.0,41.8,49.8,50.2,,40.142,,,39.364,39579.5,31789.643,,70.06,56.271,,56494.0,36.75,44.5,39.49,
2021-09-05,Greenland,monthly,35,,,,,,39.0,36.0,34.0,49.0,40.0,43.4,48.0,52.0,,24.143,,,38.86,39880.062,33036.312,,70.592,58.478,,56494.0,34.0,49.0,39.6,
2021-09-12,Greenland,monthly,36,,,,,,39.0,37.75,35.75,45.25,43.8,45.0,47.75,48.75,,32.571,,,38.86,39884.875,33795.375,,70.6,59.821,,56494.0,35.75,45.25,40.31,
2021-09-19,Greenland,monthly,37,,,,,,37.75,39.5,37.5,41.5,47.6,47.5,47.5,45.5,,60.857,,,40.531,39889.688,34554.438,,70.609,61.165,,56494.0,37.5,47.6,40.77,
2021-09-26,Greenland,monthly,38,,,,,,36.5,41.25,39.25,37.75,51.4,50.0,47.25,42.25,,93.285,,,42.76,39894.5,35313.5,,70.617,62.508,,56494.0,36.5,51.4,41.23,
2021-10-03,Greenland,monthly,39,,,,,,35.25,43.0,41.0,34.0,55.2,52.5,47.0,39.0,,47.286,,,40.917,39899.125,36030.161,,70.625,63.777,,56494.0,34.0,55.2,41.69,
