date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Guatemala,weekly,1,,,,,,1690.0,1562.0,1597.0,1716.0,1462.0,1757.0,1985.5,,,,,,,,,,,,,,1462.0,1716.0,1605.4,
2020-01-12,Guatemala,weekly,2,,,,,,1616.0,1619.0,1606.0,1668.0,1659.0,1670.0,2174.0,,,,,,,,,,,,,,1606.0,1668.0,1633.6,
2020-01-19,Guatemala,weekly,3,,,,,,1604.0,1581.0,1501.0,1746.0,1643.0,1663.0,2013.0,,,,,,,,,,,,,,1501.0,1746.0,1615.0,
2020-01-26,Guatemala,weekly,4,,,,,,1480.0,1640.0,1477.0,1593.0,1598.0,1607.0,2055.0,,,,,,,,,,,,,,1477.0,1640.0,1557.6,
2020-02-02,Guatemala,weekly,5,,,,,,1441.0,1593.0,1556.0,1351.0,1570.0,1599.0,1955.0,,,,,,,,,,,,,,1351.0,1593.0,1502.2,
2020-02-09,Guatemala,weekly,6,,,,,,1512.0,1684.0,1525.0,1520.0,1566.0,1610.0,1875.0,,,,,,,,,,,,,,1512.0,1684.0,1561.4,
2020-02-16,Guatemala,weekly,7,,,,,,1549.0,1718.0,1550.0,1498.0,1606.0,1586.0,1787.0,,,,,,,,,,,,,,1498.0,1718.0,1584.2,
2020-02-23,Guatemala,weekly,8,,,,,,1623.0,1573.0,1563.0,1487.0,1635.0,1517.0,1842.0,,0.0,,,11.11,,,,18249868.0,,,,,1487.0,1635.0,1576.2,1517.0
2020-03-01,Guatemala,weekly,9,,,,,,1511.0,1603.0,1547.0,1448.0,1574.0,1565.0,1891.0,,0.0,,0.0,11.11,,,,18249868.0,,,,,1448.0,1603.0,1536.6,1565.0
2020-03-08,Guatemala,weekly,10,,,,,,1537.0,1586.0,1665.0,1498.0,1612.0,1581.0,1838.0,,0.0,,0.8571428571428571,17.062857142857144,,,,18249868.0,,,,,1498.0,1665.0,1579.6,1581.0
2020-03-15,Guatemala,weekly,11,,,,,,1543.0,1677.0,1546.0,1526.0,1594.0,1478.0,1929.0,,0.0,,5.0,33.33428571428571,,,,18249868.0,,,,,1526.0,1677.0,1577.2,1478.0
2020-03-22,Guatemala,weekly,12,,,,,,1458.0,1758.0,1662.0,1506.0,1559.0,1394.0,2069.0,,1.0,1.96425,29.571428571428573,80.42142857142858,,,,18249868.0,6.642391304347826,,,,1458.0,1758.0,1588.6,1393.0
2020-03-29,Guatemala,weekly,13,,,,,,1502.0,1805.0,1648.0,1400.0,1732.0,1329.0,1847.0,,0.0,2.347,55.285714285714285,93.52,,,,18249868.0,4.245219638242894,,,,1400.0,1805.0,1617.4,1329.0
2020-04-05,Guatemala,weekly,14,,,,,,1523.0,1664.0,1699.0,1524.0,1609.0,1305.0,1847.0,,1.0,2.979714285714286,50.42857142857143,93.52,,,,18249868.0,5.908781869688386,,,,1523.0,1699.0,1603.8,1304.0
2020-04-12,Guatemala,weekly,15,,,,,,1493.0,1629.0,1587.0,1520.0,1682.0,1259.0,2235.0,,3.0,8.469285714285714,75.57142857142857,93.52,,,,18249868.0,11.206994328922496,,,,1493.0,1682.0,1582.2,1256.0
2020-04-19,Guatemala,weekly,16,,,,,,1579.0,1519.0,1626.0,1687.0,1633.0,1314.0,2201.0,,2.0,13.428571428571429,136.14285714285714,94.3142857142857,,,,18249868.0,9.863588667366212,,,,1519.0,1687.0,1608.8,1312.0
2020-04-26,Guatemala,weekly,17,,,,,,1636.0,1627.0,1707.0,1689.0,1683.0,1405.0,1968.0,,8.0,26.142857142857142,213.0,96.3,,,,18249868.0,12.273641851106639,,,,1627.0,1707.0,1668.4,1397.0
2020-05-03,Guatemala,weekly,18,,,,,,1550.0,1600.0,1543.0,1637.0,1720.0,1351.0,2354.0,,2.0,31.938714285714287,238.42857142857142,96.3,,,,18249868.0,13.395506291192333,,,,1543.0,1720.0,1610.0,1349.0
2020-05-10,Guatemala,weekly,19,,,,,,1610.0,1622.0,1518.0,1449.0,1679.0,1375.0,2188.0,,9.0,36.551,272.2857142857143,96.3,,,,18249868.0,13.42376705141658,,,,1449.0,1679.0,1575.6,1366.0
