date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Guatemala,weekly,1,,,,,,1690.0,1562.0,1597.0,1716.0,1462.0,1757.0,1985.5,,16.0,6152.144,47223.0,12.624,59.72,6591504.143,4780701.0,164562.143,36.118,26.196,0.902,18249868.0,1462.0,1716.0,1605.4,
2022-01-16,Guatemala,weekly,2,,,,,,1616.0,1619.0,1606.0,1668.0,1659.0,1670.0,2174.0,,51.0,12830.571,74786.0,17.106,46.229,6689160.0,4941911.857,525255.286,36.653,27.079,2.878,18249868.0,1606.0,1668.0,1633.6,
2022-01-23,Guatemala,weekly,3,,,,,,1604.0,1581.0,1501.0,1746.0,1643.0,1663.0,2013.0,,92.0,16211.857,82139.0,19.735,43.98,6797221.143,5103128.714,876459.429,37.245,27.963,4.803,18249868.0,1501.0,1746.0,1615.0,
2022-01-30,Guatemala,weekly,4,,,,,,1480.0,1640.0,1477.0,1593.0,1598.0,1607.0,2055.0,,111.0,18384.858,84598.0,21.81,43.98,6882396.571,5228019.714,1118985.714,37.712,28.647,6.131,18249868.0,1477.0,1640.0,1557.6,
2022-02-06,Guatemala,weekly,5,,,,,,1441.0,1593.0,1556.0,1351.0,1570.0,1599.0,1955.0,,122.0,20864.43,78998.0,26.417,50.594,6966388.286,5335749.571,1313904.571,38.172,29.237,7.2,18249868.0,1351.0,1593.0,1502.2,
2022-02-13,Guatemala,weekly,6,,,,,,1512.0,1684.0,1525.0,1520.0,1566.0,1610.0,1875.0,,136.0,23082.857,62331.0,26.048,53.24,7048433.714,5437356.286,1468480.714,38.622,29.794,8.047,18249868.0,1512.0,1684.0,1561.4,
2022-02-20,Guatemala,weekly,7,,,,,,1549.0,1718.0,1550.0,1498.0,1606.0,1586.0,1787.0,,72.0,13619.572,,,,7090502.0,5492432.5,1555682.5,38.852,30.096,8.524,18249868.0,1498.0,1718.0,1584.2,
2022-02-27,Guatemala,weekly,8,,,,,,1623.0,1573.0,1563.0,1487.0,1635.0,1517.0,1842.0,,,,,,,,,,,,,,1487.0,1635.0,1576.2,
2022-03-06,Guatemala,weekly,9,,,,,,1511.0,1603.0,1547.0,1448.0,1574.0,1565.0,1891.0,,,,,,,,,,,,,,1448.0,1603.0,1536.6,
2022-03-13,Guatemala,weekly,10,,,,,,1537.0,1586.0,1665.0,1498.0,1612.0,1581.0,1838.0,,,,,,,,,,,,,,1498.0,1665.0,1579.6,
2022-03-20,Guatemala,weekly,11,,,,,,1543.0,1677.0,1546.0,1526.0,1594.0,1478.0,1929.0,,,,,,,,,,,,,,1526.0,1677.0,1577.2,
2022-03-27,Guatemala,weekly,12,,,,,,1458.0,1758.0,1662.0,1506.0,1559.0,1394.0,2069.0,,,,,,,,,,,,,,1458.0,1758.0,1588.6,
2022-04-03,Guatemala,weekly,13,,,,,,1502.0,1805.0,1648.0,1400.0,1732.0,1329.0,1847.0,,,,,,,,,,,,,,1400.0,1805.0,1617.4,
2022-04-10,Guatemala,weekly,14,,,,,,1523.0,1664.0,1699.0,1524.0,1609.0,1305.0,1847.0,,,,,,,,,,,,,,1523.0,1699.0,1603.8,
2022-04-17,Guatemala,weekly,15,,,,,,1493.0,1629.0,1587.0,1520.0,1682.0,1259.0,2235.0,,,,,,,,,,,,,,1493.0,1682.0,1582.2,
2022-04-24,Guatemala,weekly,16,,,,,,1579.0,1519.0,1626.0,1687.0,1633.0,1314.0,2201.0,,,,,,,,,,,,,,1519.0,1687.0,1608.8,
