location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,stringency_index,people_vaccinated,people_fully_vaccinated,population,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Hong Kong,2021-01-31,1,monthly,,,,,,4848.0,3795.0,3548.0,4872.0,4728.0,4228.0,4724.0,33.0,71.3,,,7496988.0,,,3548.0,4872.0,4358.2,4691.0
Hong Kong,2021-02-28,2,monthly,,,,,,4081.0,4396.0,4214.0,4228.0,3930.0,4508.0,4561.0,18.0,71.29999999999997,6116.428571428572,,7496988.0,0.08158514554683256,,3930.0,4396.0,4169.8,4543.0
Hong Kong,2021-03-31,3,monthly,,,,,,4332.0,4623.0,4302.0,4482.0,4292.0,3727.0,5084.0,6.0,71.3,248547.70967741936,4857.931034482759,7496988.0,3.315300887201892,0.06479843684534055,4292.0,4623.0,4406.2,5078.0
Hong Kong,2021-04-30,4,monthly,,,,,,4010.0,4494.0,3648.0,3904.0,4016.0,3599.0,,4.0,71.29999999999998,672127.8,299158.23333333334,7496988.0,8.965304466273656,3.990378980643071,3648.0,4494.0,4014.4,
Hong Kong,2021-05-31,5,monthly,,,,,,3753.0,4073.0,3786.0,4077.0,4207.0,5077.0,,1.0,71.29999999999997,1139234.25,752104.5357142857,7496988.0,15.195892670496471,10.03208936327877,3753.0,4207.0,3979.2,
Hong Kong,2021-06-30,6,monthly,,,,,,3868.0,3628.0,3836.0,3772.0,3652.0,4780.0,,,,,,,,,3628.0,3868.0,3751.2,
Hong Kong,2021-07-31,7,monthly,,,,,,3946.0,3493.0,3978.0,3713.0,4198.0,4164.0,,,,,,,,,3493.0,4198.0,3865.6,
Hong Kong,2021-08-31,8,monthly,,,,,,3357.0,3758.0,4003.0,3568.0,4071.0,3929.0,,,,,,,,,3357.0,4071.0,3751.4,
Hong Kong,2021-09-30,9,monthly,,,,,,3339.0,3357.0,3454.0,3353.0,3665.0,4227.0,,,,,,,,,3339.0,3665.0,3433.6,
Hong Kong,2021-10-31,10,monthly,,,,,,3704.0,3498.0,3576.0,4003.0,4019.0,3981.0,,,,,,,,,3498.0,4019.0,3760.0,
Hong Kong,2021-11-30,11,monthly,,,,,,3484.0,3680.0,3851.0,3740.0,3675.0,4194.0,,,,,,,,,3484.0,3851.0,3686.0,
Hong Kong,2021-12-31,12,monthly,,,,,,4035.0,3867.0,3687.0,3766.0,4253.0,4239.0,,,,,,,,,3687.0,4253.0,3921.6,
