date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Hong Kong,monthly,1,,,,,,,4053.5,4045.4,4337.4,4291.0,4636.0,4909.75,4750.4,0.0,193.856,852082.0,0.023,58.337,4963172.0,4686594.0,473558.714,66.274,62.581,6.324,7488863.0,4045.4,4337.4,4181.825,4750.4
2022-01-16,Hong Kong,monthly,2,,,,,,,4141.0,4084.8,4404.8,4412.5,4664.25,5032.5,4746.8,0.0,176.715,972020.0,0.018,65.211,5085822.571,4713510.857,603794.571,67.912,62.94,8.063,7488863.0,4084.8,4412.5,4260.775,4746.8
2022-01-23,Hong Kong,monthly,3,,,,,,,4228.5,4124.2,4472.2,4534.0,4692.5,5155.25,4743.2,0.0,113.0,972020.0,0.012,65.74,5199038.143,4737788.571,736859.857,69.424,63.264,9.839,7488863.0,4124.2,4534.0,4339.725,4743.2
2022-01-30,Hong Kong,monthly,4,,,,,,,4316.0,4163.6,4539.6,4655.5,4720.75,5278.0,4739.6,0.0,645.714,972020.0,0.066,65.74,5314295.286,4781281.571,885067.143,70.963,63.845,11.818,7488863.0,4163.6,4655.5,4418.675,4739.6
2022-02-06,Hong Kong,monthly,5,,,,,,4838.0,4392.6,4203.0,4607.0,4777.0,4749.0,4989.5,4736.0,0.0,910.571,1279775.0,0.071,65.74,5377450.071,4826265.571,981091.214,71.806,64.446,13.101,7488863.0,4203.0,4838.0,4563.52,4736.0
2022-02-13,Hong Kong,monthly,6,,,,,,4710.75,4469.2,4131.5,4620.25,4578.25,4759.0,4701.0,5075.0,132.75,4466.428,1690115.0,0.264,65.74,5529882.857,4938791.286,1149501.714,73.841,65.948,15.349,7488863.0,4131.5,4710.75,4501.99,4942.25
2022-02-20,Hong Kong,monthly,7,,,,,,4583.5,4545.8,4060.0,4633.5,4379.5,4769.0,4412.5,5414.0,265.5,18005.286,1690115.0,1.065,69.711,5777583.857,5059860.571,1366595.857,77.149,67.565,18.248,7488863.0,4060.0,4633.5,4440.46,5148.5
2022-02-27,Hong Kong,monthly,8,,,,,,4456.25,4622.4,3988.5,4646.75,4180.75,4779.0,4124.0,5753.0,398.25,72628.999,1690115.0,4.297,71.3,6036341.429,5157224.571,1594757.714,80.604,68.865,21.295,7488863.0,3988.5,4646.75,4378.93,5354.75
2022-03-06,Hong Kong,monthly,9,,,,,,4329.0,4699.0,3917.0,4660.0,3982.0,4789.0,4162.8,6092.0,531.0,368342.143,1335538.0,29.634,71.3,6240019.0,5239472.429,1867770.857,83.324,69.964,24.941,7488863.0,3917.0,4699.0,4317.4,5561.0
2022-03-13,Hong Kong,monthly,10,,,,,,4302.6,4671.5,3983.5,4561.0,4040.5,4665.4,4201.6,7623.0,2168.5,321116.144,862771.0,37.219,75.0,6373319.286,5352449.571,2153897.0,85.104,71.472,28.761,7488863.0,3983.5,4671.5,4311.82,5454.5
