date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Hungary,weekly,1,2721.0,2879.0,2653.0,2568.0,2517.0,2800.0,2823.0,3155.0,2595.0,3054.0,2612.0,3218.0,3133.0,764.0,12765.286,100389.0,12.865,72.22,,,,,,,9634162.0,2517.0,3155.0,2776.5,2454.0
2021-01-17,Hungary,weekly,2,2586.0,2610.0,2505.0,2472.0,2437.0,3005.0,2640.0,3311.0,2546.0,3090.0,2585.0,3203.0,2911.0,693.0,12471.857,123638.0,10.029,72.22,,,,,,,9634162.0,2437.0,3311.0,2720.2,2510.0
2021-01-24,Hungary,weekly,3,2433.0,2692.0,2568.0,2567.0,2544.0,2900.0,2562.0,3449.0,2675.0,3037.0,2584.0,3041.0,2879.0,627.0,8262.714,103357.0,7.988,72.22,138382.857,5558.429,,1.436,0.058,,9634162.0,2433.0,3449.0,2742.7,2414.0
2021-01-31,Hungary,weekly,4,2628.0,2624.0,2551.0,2598.0,2491.0,3005.0,2615.0,3574.0,2655.0,3234.0,2723.0,2860.0,2953.0,556.0,7806.142,100288.0,7.787,72.22,185291.143,37446.857,,1.923,0.389,,9634162.0,2491.0,3574.0,2797.5,2304.0
2021-02-07,Hungary,weekly,5,2699.0,2779.0,2619.0,2560.0,2584.0,3067.0,2483.0,3616.0,2731.0,3384.0,2802.0,2887.0,3080.0,566.0,8586.57,109346.0,7.855,72.22,265636.286,90753.286,,2.757,0.942,,9634162.0,2483.0,3616.0,2852.2,2321.0
2021-02-14,Hungary,weekly,6,2697.0,2888.0,2679.0,2609.0,2669.0,3350.0,2640.0,3256.0,2833.0,3263.0,2637.0,2881.0,3108.0,616.0,9960.429,108204.0,9.198,72.22,313046.429,120562.714,,3.249,1.251,,9634162.0,2609.0,3350.0,2888.4,2265.0
2021-02-21,Hungary,weekly,7,2593.0,2819.0,2899.0,2649.0,2623.0,3280.0,2575.0,2991.0,3037.0,3034.0,2751.0,2927.0,3137.0,593.0,12662.143,117893.0,10.702,72.22,396289.714,160617.286,,4.113,1.667,,9634162.0,2575.0,3280.0,2850.0,2334.0
2021-02-28,Hungary,weekly,8,2597.0,2805.0,2816.0,2731.0,2532.0,3349.0,2491.0,2890.0,3161.0,2888.0,2585.0,3167.0,2970.0,675.0,20801.429,143249.0,14.447,72.22,554850.857,230265.429,,5.759,2.39,,9634162.0,2491.0,3349.0,2826.0,2492.0
2021-03-07,Hungary,weekly,9,2464.0,2697.0,2871.0,2766.0,2554.0,3120.0,2535.0,2668.0,3237.0,2909.0,2781.0,3274.0,2808.0,899.0,31942.573,173608.0,18.346,72.22,865959.857,281925.286,,8.988,2.926,,9634162.0,2464.0,3237.0,2782.1,2375.0
2021-03-14,Hungary,weekly,10,2620.0,2770.0,2907.0,2839.0,2586.0,2962.0,2496.0,2671.0,3218.0,2713.0,2606.0,3808.0,,1079.0,43311.43,208221.0,20.742,79.63,1211642.143,354360.143,,12.577,3.678,,9634162.0,2496.0,3218.0,2778.2,2729.0
2021-03-21,Hungary,weekly,11,2655.0,2718.0,2988.0,2722.0,2601.0,2777.0,2438.0,2582.0,3016.0,2733.0,2578.0,4305.0,,1310.0,53018.572,215063.0,24.683,79.63,1476695.429,441791.429,,15.328,4.586,,9634162.0,2438.0,3016.0,2723.0,2995.0
2021-03-28,Hungary,weekly,12,2603.0,2506.0,2851.0,2603.0,2619.0,2764.0,2481.0,2584.0,2878.0,2469.0,2801.0,4569.0,,1710.0,61384.572,230246.0,26.666,79.63,1796870.571,591181.714,,18.651,6.136,,9634162.0,2469.0,2878.0,2635.8,2859.0
2021-04-04,Hungary,weekly,13,2455.0,2563.0,2862.0,2617.0,2543.0,2690.0,2537.0,2546.0,2774.0,2411.0,2592.0,4535.0,,1743.0,57157.858,242259.0,23.59,79.63,2158630.857,833429.929,,22.406,8.651,,9634162.0,2411.0,2862.0,2599.8,2792.0
2021-04-11,Hungary,weekly,14,2512.0,2445.0,2704.0,2606.0,2617.0,2639.0,2456.0,2422.0,2622.0,2414.0,2528.0,4141.0,,1702.0,39489.999,186948.0,21.041,73.016,2680495.0,1102760.857,,27.823,11.446,,9634162.0,2414.0,2704.0,2543.7,2439.0
2021-04-18,Hungary,weekly,15,2536.0,2428.0,2602.0,2606.0,2396.0,2612.0,2318.0,2492.0,2576.0,2393.0,2575.0,3532.0,,1767.0,35410.714,199917.0,17.709,70.37,3137177.286,1336520.286,,32.563,13.873,,9634162.0,2318.0,2612.0,2495.9,1765.0
2021-04-25,Hungary,weekly,16,2448.0,2550.0,2605.0,2564.0,2524.0,2612.0,2349.0,2527.0,2336.0,2327.0,2509.0,3251.0,,1441.0,23709.429,169708.0,13.919,66.67,3482836.143,1513747.571,,36.151,15.712,,9634162.0,2327.0,2612.0,2484.2,1810.0
2021-05-02,Hungary,weekly,17,2480.0,2558.0,2482.0,2422.0,2393.0,2598.0,2364.0,2480.0,2300.0,2442.0,2359.0,2969.0,,1177.0,15947.429,144154.0,11.031,66.67,3914030.429,1890201.857,,40.627,19.62,,9634162.0,2300.0,2598.0,2451.9,1792.0
2021-05-09,Hungary,weekly,18,2346.0,2418.0,2423.0,2354.0,2310.0,2467.0,2279.0,2479.0,2294.0,2316.0,2249.0,2723.0,,800.0,10705.856,123502.0,8.635,66.67,4205191.571,2367545.714,,43.649,24.574,,9634162.0,2279.0,2479.0,2368.6,1923.0
2021-05-16,Hungary,weekly,19,2268.0,2481.0,2203.0,2201.0,2359.0,2420.0,2370.0,2340.0,2160.0,2283.0,2292.0,2551.0,,573.0,7455.999,110034.0,6.787,66.67,4489696.0,2626431.571,,46.602,27.262,,9634162.0,2160.0,2481.0,2308.5,1978.0
2021-05-23,Hungary,weekly,20,2460.0,2454.0,2291.0,2187.0,2304.0,2293.0,2381.0,2323.0,2154.0,2208.0,2346.0,2389.0,,344.0,5150.572,101953.0,5.027,51.584,4890371.0,2886510.143,,50.761,29.961,,9634162.0,2154.0,2460.0,2305.5,2045.0
2021-05-30,Hungary,weekly,21,2516.0,2374.0,2357.0,2209.0,2502.0,2274.0,2261.0,2209.0,2352.0,2283.0,2110.0,2334.0,,209.0,2915.714,87329.0,3.319,49.07,5087392.0,3396750.429,,52.806,35.257,,9634162.0,2209.0,2516.0,2333.7,2125.0
2021-06-06,Hungary,weekly,22,2257.0,2362.0,2301.0,2192.0,2201.0,2177.0,2285.0,2382.0,2393.0,2196.0,2191.0,2415.0,,126.0,2044.286,93871.0,2.194,49.07,5231665.929,3826096.357,,54.303,39.714,,9634162.0,2177.0,2393.0,2274.6,2289.0
