date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Iceland,weekly,1,39.0,53.0,57.0,37.0,53.0,49.0,44.0,35.0,62.0,39.0,57.0,61.0,,,,,,,,,,,35.0,62.0,46.8,
2020-01-12,Iceland,weekly,2,39.0,44.0,42.0,54.0,40.0,42.0,56.0,53.0,47.0,41.0,55.0,57.0,,,,,,,,,,,39.0,56.0,45.8,
2020-01-19,Iceland,weekly,3,42.0,43.0,43.0,32.0,46.0,44.0,51.0,46.0,41.0,40.0,52.0,48.0,,,,,,,,,,,32.0,51.0,42.8,
2020-01-26,Iceland,weekly,4,42.0,40.0,46.0,37.0,32.0,48.0,35.0,53.0,50.0,37.0,55.0,42.0,,,,,,,,,,,32.0,53.0,42.0,
2020-02-02,Iceland,weekly,5,29.0,44.0,37.0,48.0,47.0,44.0,46.0,48.0,47.0,43.0,39.0,42.0,,,,,,,,,,,29.0,48.0,43.3,
2020-02-09,Iceland,weekly,6,39.0,46.0,47.0,51.0,40.0,57.0,45.0,55.0,46.0,36.0,47.0,46.0,,,,,,,,,,,36.0,57.0,46.2,
2020-02-16,Iceland,weekly,7,41.0,43.0,40.0,45.0,36.0,50.0,39.0,56.0,44.0,47.0,49.0,55.0,,,,,,,,,,,36.0,56.0,44.1,
2020-02-23,Iceland,weekly,8,30.0,48.0,47.0,41.0,43.0,47.0,40.0,46.0,57.0,41.0,48.0,46.0,,,,,,,,,,,30.0,57.0,44.0,
2020-03-01,Iceland,weekly,9,36.0,37.0,52.0,45.0,50.0,47.0,39.0,35.0,50.0,47.0,43.0,46.0,0.0,,,16.67,,,368792.0,,,,35.0,52.0,43.8,43.0
2020-03-08,Iceland,weekly,10,39.0,32.0,34.0,41.0,41.0,41.0,51.0,40.0,43.0,47.0,49.0,40.0,0.0,5.657,50.25,16.67,,,368792.0,11.25771144278607,,,32.0,51.0,40.9,49.0
2020-03-15,Iceland,weekly,11,31.0,41.0,37.0,38.0,45.0,46.0,44.0,42.0,37.0,57.0,42.0,42.0,0.0,11.347142857142858,150.57142857142858,17.860000000000003,,,368792.0,7.536053130929791,,,31.0,57.0,41.8,42.0
2020-03-22,Iceland,weekly,12,30.0,34.0,37.0,49.0,38.0,45.0,42.0,48.0,36.0,37.0,39.0,37.0,1.0,33.75514285714286,981.1428571428571,52.11714285714286,,,368792.0,3.4403902154921373,,,30.0,49.0,39.6,38.0
2020-03-29,Iceland,weekly,13,50.0,39.0,50.0,37.0,36.0,42.0,43.0,48.0,55.0,48.0,42.0,52.0,1.0,65.67342857142857,762.5714285714286,53.7,,,368792.0,8.612101910828025,,,36.0,55.0,44.8,41.0
2020-04-05,Iceland,weekly,14,55.0,49.0,36.0,42.0,36.0,41.0,48.0,35.0,55.0,38.0,50.0,40.0,2.0,68.95899999999999,1268.2857142857142,53.7,,,368792.0,5.437181797702185,,,35.0,55.0,43.5,48.0
2020-04-12,Iceland,weekly,15,40.0,33.0,21.0,40.0,32.0,39.0,47.0,43.0,51.0,42.0,49.0,54.0,4.0,50.0,1522.4285714285713,53.7,,,368792.0,3.284226330111664,,,21.0,51.0,38.8,45.0
2020-04-19,Iceland,weekly,16,37.0,27.0,40.0,37.0,35.0,47.0,53.0,51.0,45.0,47.0,60.0,45.0,1.0,14.387857142857143,947.0,53.7,,,368792.0,1.5193090963946296,,,27.0,53.0,41.9,59.0
2020-04-26,Iceland,weekly,17,40.0,33.0,35.0,39.0,34.0,41.0,49.0,38.0,41.0,53.0,35.0,47.0,1.0,6.4082857142857135,794.1428571428571,53.7,,,368792.0,0.8069436949091563,,,33.0,53.0,40.3,34.0
2020-05-03,Iceland,weekly,18,46.0,45.0,34.0,56.0,37.0,41.0,37.0,46.0,32.0,45.0,44.0,53.0,0.0,1.6327142857142858,524.4285714285714,53.7,,,368792.0,0.31133206210841735,,,32.0,56.0,41.9,44.0
2020-05-10,Iceland,weekly,19,47.0,40.0,24.0,43.0,43.0,37.0,39.0,45.0,43.0,44.0,37.0,41.0,0.0,0.5102857142857143,543.4285714285714,50.0,,,368792.0,0.09390115667718192,,,24.0,47.0,40.5,37.0
2020-05-17,Iceland,weekly,20,43.0,32.0,44.0,41.0,36.0,53.0,34.0,40.0,38.0,46.0,41.0,40.0,0.0,0.2247142857142857,459.14285714285717,50.0,,,368792.0,0.04894212818917237,,,32.0,53.0,40.7,41.0
2020-05-24,Iceland,weekly,21,37.0,37.0,41.0,30.0,48.0,50.0,40.0,41.0,51.0,36.0,50.0,35.0,0.0,0.18385714285714286,318.57142857142856,50.0,,,368792.0,0.057713004484304935,,,30.0,51.0,41.1,50.0
2020-05-31,Iceland,weekly,22,32.0,37.0,25.0,31.0,29.0,39.0,45.0,41.0,50.0,38.0,50.0,38.0,0.0,0.286,302.0,39.81,,,368792.0,0.09470198675496688,,,25.0,50.0,36.7,50.0
2020-06-07,Iceland,weekly,23,44.0,29.0,27.0,33.0,44.0,37.0,45.0,44.0,54.0,45.0,34.0,45.0,0.0,0.16342857142857142,248.42857142857142,39.81,,,368792.0,0.06578493387004025,,,27.0,54.0,40.2,34.0
2020-06-14,Iceland,weekly,24,50.0,37.0,27.0,34.0,38.0,41.0,40.0,40.0,35.0,42.0,40.0,52.0,0.0,0.20428571428571426,133.14285714285714,39.81,,,368792.0,0.15343347639484978,,,27.0,50.0,38.4,40.0
2020-06-21,Iceland,weekly,25,22.0,37.0,39.0,43.0,34.0,32.0,33.0,47.0,36.0,39.0,31.0,44.0,0.0,0.8365714285714285,67.0,39.81,,,368792.0,1.2486140724946695,,,22.0,47.0,36.2,31.0
2020-06-28,Iceland,weekly,26,38.0,29.0,38.0,33.0,39.0,32.0,48.0,43.0,52.0,60.0,34.0,45.0,0.0,0.6528571428571429,86.42857142857143,39.81,,,368792.0,0.7553719008264463,,,29.0,60.0,41.2,34.0
2020-07-05,Iceland,weekly,27,33.0,33.0,31.0,48.0,37.0,42.0,46.0,47.0,40.0,40.0,35.0,43.0,0.0,1.3267142857142857,307.7142857142857,39.81,,,368792.0,0.43115134633240476,,,31.0,48.0,39.7,35.0
2020-07-12,Iceland,weekly,28,39.0,40.0,28.0,33.0,41.0,35.0,41.0,35.0,38.0,42.0,46.0,47.0,0.0,0.7962857142857143,181.42857142857142,39.81,,,368792.0,0.43889763779527563,,,28.0,42.0,37.2,46.0
2020-07-19,Iceland,weekly,29,38.0,33.0,36.0,40.0,31.0,33.0,54.0,46.0,33.0,30.0,42.0,38.0,0.0,0.4491428571428572,116.28571428571429,39.81,,,368792.0,0.3862407862407863,,,30.0,54.0,37.4,42.0
