date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2022-01-09,Iceland,weekly,1,39.0,53.0,57.0,37.0,53.0,49.0,44.0,35.0,62.0,39.0,57.0,45.0,50.0,2.0,8412.429,40561.0,20.71,37.96,289351.386,284330.6,204728.629,78.459,77.098,55.513,368792.0,35.0,62.0,46.8,48.0
2022-01-16,Iceland,weekly,2,39.0,44.0,42.0,54.0,40.0,42.0,56.0,53.0,47.0,41.0,55.0,57.0,54.0,5.0,8101.429,44508.0,18.214,40.343,297311.271,285060.571,213744.871,80.618,77.296,57.958,368792.0,39.0,56.0,45.8,49.0
2022-01-23,Iceland,weekly,3,42.0,43.0,43.0,32.0,46.0,44.0,51.0,46.0,41.0,40.0,52.0,48.0,64.0,0.0,9720.858,49539.0,19.627,40.74,305493.586,285633.5,224152.414,82.836,77.451,60.78,368792.0,32.0,51.0,42.8,64.0
2022-01-30,Iceland,weekly,4,42.0,40.0,46.0,37.0,32.0,48.0,35.0,53.0,50.0,37.0,55.0,42.0,42.0,2.0,10005.859,46994.0,21.453,37.96,307378.071,286120.891,235538.429,83.347,77.583,63.868,368792.0,32.0,53.0,42.0,40.0
2022-02-06,Iceland,weekly,5,29.0,44.0,37.0,48.0,47.0,44.0,46.0,48.0,47.0,43.0,39.0,42.0,49.0,3.0,9058.43,32140.0,28.272,35.586,308254.257,286249.273,242680.2,83.585,77.618,65.804,368792.0,29.0,48.0,43.3,46.0
2022-02-13,Iceland,weekly,6,39.0,46.0,47.0,51.0,40.0,57.0,45.0,55.0,46.0,36.0,47.0,46.0,49.0,5.0,11611.141,33301.0,34.833,35.19,309016.636,287188.386,245546.586,83.792,77.873,66.581,368792.0,36.0,57.0,46.2,44.0
2022-02-20,Iceland,weekly,7,41.0,43.0,40.0,45.0,36.0,50.0,39.0,56.0,44.0,47.0,49.0,55.0,53.0,4.0,15304.286,32985.0,46.469,35.19,309228.954,288404.934,246949.255,83.849,78.203,66.962,368792.0,36.0,56.0,44.1,49.0
2022-02-27,Iceland,weekly,8,30.0,48.0,47.0,41.0,43.0,47.0,40.0,46.0,57.0,41.0,48.0,46.0,70.0,6.0,19561.0,36586.0,53.502,24.87,309413.878,289143.673,248425.51,83.899,78.403,67.362,368792.0,30.0,57.0,44.0,64.0
2022-03-06,Iceland,weekly,9,36.0,37.0,52.0,45.0,50.0,47.0,39.0,35.0,50.0,47.0,43.0,46.0,78.0,7.0,19176.857,39836.0,48.125,11.11,309533.429,289539.306,249640.653,83.932,78.51,67.691,368792.0,35.0,52.0,43.8,71.0
2022-03-13,Iceland,weekly,10,39.0,32.0,34.0,41.0,41.0,41.0,51.0,40.0,43.0,47.0,50.0,40.0,71.0,11.0,17495.428,37231.0,47.021,11.11,309597.592,289752.49,249904.51,83.949,78.568,67.763,368792.0,32.0,51.0,40.9,60.0
2022-03-20,Iceland,weekly,11,31.0,41.0,37.0,38.0,45.0,46.0,44.0,42.0,37.0,57.0,42.0,42.0,66.0,12.0,13564.858,29561.0,45.803,11.11,309661.755,289929.347,250152.633,83.967,78.616,67.83,368792.0,31.0,57.0,41.8,54.0
2022-03-27,Iceland,weekly,12,30.0,34.0,37.0,49.0,38.0,45.0,42.0,48.0,36.0,37.0,39.0,37.0,,6.0,8597.428,19048.0,46.719,11.11,309721.673,290083.694,250386.51,83.983,78.658,67.894,368792.0,30.0,49.0,39.6,
2022-04-03,Iceland,weekly,13,50.0,39.0,50.0,37.0,36.0,42.0,43.0,48.0,55.0,48.0,43.0,52.0,,4.0,4283.285,11908.0,36.353,11.11,309765.143,290182.071,250526.5,83.995,78.684,67.932,368792.0,36.0,55.0,44.8,
2022-04-10,Iceland,weekly,14,55.0,49.0,36.0,42.0,36.0,41.0,48.0,35.0,55.0,38.0,50.0,40.0,,4.0,1765.858,8829.0,19.804,11.11,,,,,,,368792.0,35.0,55.0,43.5,
2022-04-17,Iceland,weekly,15,40.0,33.0,21.0,40.0,32.0,39.0,47.0,43.0,51.0,42.0,50.0,54.0,,5.0,1055.571,7496.0,13.812,11.11,,,,,,,368792.0,21.0,51.0,38.8,
2022-04-24,Iceland,weekly,16,37.0,27.0,40.0,37.0,35.0,47.0,53.0,51.0,45.0,47.0,60.0,45.0,,4.0,719.358,3710.0,3.47,11.11,,,,,,,368792.0,27.0,53.0,41.9,
2022-05-01,Iceland,weekly,17,40.0,33.0,35.0,39.0,34.0,41.0,49.0,38.0,41.0,53.0,35.0,47.0,,5.0,432.143,,,,,,,,,,368792.0,33.0,53.0,40.3,
2022-05-08,Iceland,weekly,18,46.0,45.0,34.0,56.0,37.0,41.0,37.0,46.0,32.0,45.0,44.0,53.0,,,,,,,,,,,,,,32.0,56.0,41.9,
2022-05-15,Iceland,weekly,19,47.0,40.0,24.0,43.0,43.0,37.0,39.0,45.0,43.0,44.0,37.0,41.0,,,,,,,,,,,,,,24.0,47.0,40.5,
2022-05-22,Iceland,weekly,20,43.0,32.0,44.0,41.0,36.0,53.0,34.0,40.0,38.0,46.0,42.0,41.0,,,,,,,,,,,,,,32.0,53.0,40.7,
2022-05-29,Iceland,weekly,21,37.0,37.0,41.0,30.0,48.0,50.0,40.0,41.0,51.0,36.0,50.0,35.0,,,,,,,,,,,,,,30.0,51.0,41.1,
2022-06-05,Iceland,weekly,22,32.0,37.0,25.0,31.0,29.0,39.0,45.0,41.0,50.0,38.0,50.0,38.0,,,,,,,,,,,,,,25.0,50.0,36.7,
2022-06-12,Iceland,weekly,23,44.0,29.0,27.0,33.0,44.0,37.0,45.0,44.0,54.0,45.0,34.0,45.0,,,,,,,,,,,,,,27.0,54.0,40.2,
2022-06-19,Iceland,weekly,24,50.0,37.0,27.0,34.0,38.0,41.0,40.0,40.0,35.0,42.0,40.0,52.0,,,,,,,,,,,,,,27.0,50.0,38.4,
2022-06-26,Iceland,weekly,25,22.0,37.0,39.0,43.0,34.0,32.0,33.0,47.0,36.0,39.0,31.0,44.0,,,,,,,,,,,,,,22.0,47.0,36.2,
2022-07-03,Iceland,weekly,26,38.0,29.0,38.0,33.0,39.0,32.0,48.0,43.0,52.0,60.0,35.0,45.0,,,,,,,,,,,,,,29.0,60.0,41.2,
2022-07-10,Iceland,weekly,27,33.0,33.0,31.0,48.0,37.0,42.0,46.0,47.0,40.0,40.0,35.0,43.0,,,,,,,,,,,,,,31.0,48.0,39.7,
2022-07-17,Iceland,weekly,28,39.0,40.0,28.0,33.0,41.0,35.0,41.0,35.0,38.0,42.0,46.0,47.0,,,,,,,,,,,,,,28.0,42.0,37.2,
2022-07-24,Iceland,weekly,29,38.0,33.0,36.0,40.0,31.0,33.0,54.0,46.0,33.0,30.0,42.0,38.0,,,,,,,,,,,,,,30.0,54.0,37.4,
2022-07-31,Iceland,weekly,30,36.0,29.0,41.0,39.0,36.0,56.0,43.0,40.0,30.0,56.0,35.0,56.0,,,,,,,,,,,,,,29.0,56.0,40.6,
2022-08-07,Iceland,weekly,31,40.0,40.0,35.0,41.0,55.0,42.0,33.0,31.0,41.0,33.0,36.0,46.0,,,,,,,,,,,,,,31.0,55.0,39.1,
2022-08-14,Iceland,weekly,32,48.0,37.0,38.0,41.0,33.0,32.0,43.0,38.0,45.0,36.0,37.0,47.0,,,,,,,,,,,,,,32.0,48.0,39.1,
2022-08-21,Iceland,weekly,33,30.0,41.0,36.0,36.0,34.0,49.0,44.0,40.0,25.0,37.0,43.0,44.0,,,,,,,,,,,,,,25.0,49.0,37.2,
2022-08-28,Iceland,weekly,34,37.0,34.0,42.0,35.0,34.0,46.0,37.0,44.0,38.0,53.0,34.0,45.0,,,,,,,,,,,,,,34.0,53.0,40.0,
2022-09-04,Iceland,weekly,35,38.0,43.0,40.0,43.0,44.0,25.0,42.0,40.0,36.0,36.0,28.0,36.0,,,,,,,,,,,,,,25.0,44.0,38.7,
2022-09-11,Iceland,weekly,36,35.0,34.0,26.0,57.0,31.0,48.0,37.0,36.0,41.0,34.0,55.0,43.0,,,,,,,,,,,,,,26.0,57.0,37.9,
2022-09-18,Iceland,weekly,37,38.0,29.0,37.0,39.0,32.0,38.0,51.0,45.0,45.0,33.0,40.0,43.0,,,,,,,,,,,,,,29.0,51.0,38.7,
2022-09-25,Iceland,weekly,38,36.0,40.0,39.0,37.0,45.0,38.0,57.0,35.0,33.0,45.0,45.0,32.0,,,,,,,,,,,,,,33.0,57.0,40.5,
2022-10-02,Iceland,weekly,39,44.0,41.0,33.0,46.0,45.0,45.0,55.0,47.0,50.0,53.0,37.0,35.0,,,,,,,,,,,,,,33.0,55.0,45.9,
2022-10-09,Iceland,weekly,40,38.0,34.0,36.0,39.0,45.0,32.0,47.0,35.0,42.0,56.0,38.0,42.0,,,,,,,,,,,,,,32.0,56.0,40.4,
2022-10-16,Iceland,weekly,41,41.0,41.0,47.0,43.0,34.0,27.0,41.0,45.0,51.0,48.0,53.0,43.0,,,,,,,,,,,,,,27.0,51.0,41.8,
2022-10-23,Iceland,weekly,42,47.0,40.0,44.0,27.0,36.0,39.0,50.0,47.0,37.0,38.0,47.0,31.0,,,,,,,,,,,,,,27.0,50.0,40.5,
2022-10-30,Iceland,weekly,43,42.0,39.0,38.0,41.0,41.0,52.0,48.0,38.0,54.0,38.0,50.0,39.0,,,,,,,,,,,,,,38.0,54.0,43.1,
2022-11-06,Iceland,weekly,44,29.0,36.0,32.0,50.0,35.0,38.0,40.0,39.0,40.0,50.0,56.0,50.0,,,,,,,,,,,,,,29.0,50.0,38.9,
2022-11-13,Iceland,weekly,45,38.0,38.0,37.0,40.0,43.0,30.0,48.0,37.0,39.0,38.0,50.0,58.0,,,,,,,,,,,,,,30.0,48.0,38.8,
2022-11-20,Iceland,weekly,46,25.0,25.0,41.0,38.0,39.0,45.0,49.0,51.0,45.0,45.0,53.0,41.0,,,,,,,,,,,,,,25.0,51.0,40.3,
2022-11-27,Iceland,weekly,47,41.0,44.0,31.0,47.0,37.0,43.0,38.0,47.0,42.0,51.0,45.0,43.0,,,,,,,,,,,,,,31.0,51.0,42.1,
2022-12-04,Iceland,weekly,48,37.0,41.0,22.0,36.0,40.0,53.0,30.0,47.0,32.0,58.0,35.0,43.0,,,,,,,,,,,,,,22.0,58.0,39.6,
2022-12-11,Iceland,weekly,49,43.0,29.0,35.0,49.0,49.0,35.0,43.0,43.0,43.0,45.0,39.0,46.0,,,,,,,,,,,,,,29.0,49.0,41.4,
2022-12-18,Iceland,weekly,50,41.0,38.0,33.0,39.0,28.0,40.0,48.0,36.0,41.0,46.0,46.0,61.0,,,,,,,,,,,,,,28.0,48.0,39.0,
2022-12-25,Iceland,weekly,51,41.0,53.0,42.0,50.0,42.0,45.0,52.0,44.0,42.0,36.0,43.0,48.0,,,,,,,,,,,,,,36.0,53.0,44.7,
2023-01-01,Iceland,weekly,52,49.0,34.0,47.0,55.0,49.0,33.0,45.0,37.0,46.0,49.0,53.0,55.0,,,,,,,,,,,,,,33.0,55.0,44.4,
2023-01-08,Iceland,weekly,1,53.0,57.0,37.0,53.0,49.0,38.5,35.0,62.0,39.0,57.0,46.0,50.0,,,,,,,,,,,,,,35.0,62.0,48.05,
