date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,Iran,weekly,1,,,,,,7917.9,8300.9,7494.6,8203.6,8154.9,7868.7,8929.0,8076.9,,,,,,,,,,,,,7494.6,8300.9,8014.38,
2020-01-12,Iran,weekly,2,,,,,,7478.6,7580.6,7207.3,8065.1,8268.9,7527.1,8628.3,8504.0,,,,,,,,,,,,,7207.3,8268.9,7720.1,
2020-01-19,Iran,weekly,3,,,,,,7367.1,7510.1,7607.0,8326.1,8285.0,7717.3,8651.4,7958.0,,,,,,,,,,,,,7367.1,8326.1,7819.06,
2020-01-26,Iran,weekly,4,,,,,,7374.9,7484.3,7665.3,8301.0,8092.7,7509.4,8933.9,8549.0,,,,,,,,,,,,,7374.9,8301.0,7783.64,
2020-02-02,Iran,weekly,5,,,,,,7915.1,6993.9,7166.6,7971.0,8049.3,7443.1,8426.1,8609.9,,,,,,,,,,,,,6993.9,8049.3,7619.18,
2020-02-09,Iran,weekly,6,,,,,,7543.0,6748.7,6907.1,8136.6,7604.4,8022.6,7880.7,9085.0,,,,,,,,,,,,,6748.7,8136.6,7387.96,
2020-02-16,Iran,weekly,7,,,,,,7082.4,7830.7,7024.4,7346.1,7033.1,7343.6,8528.4,9876.7,,,,,,,,,,,,,7024.4,7830.7,7263.34,
2020-02-23,Iran,weekly,8,,,,,,8118.9,7394.1,6971.9,7520.0,7713.7,8151.0,8304.3,11144.3,8.0,,,,5.556,,,,,,,87923432.0,6971.9,8118.9,7543.72,8143.0
2020-03-01,Iran,weekly,9,,,,,,7586.7,6717.1,6939.0,7852.9,7457.4,7895.3,8672.1,10155.6,46.0,343.284,,,17.724,,,,,,,87923432.0,6717.1,7852.9,7310.62,7849.3
2020-03-08,Iran,weekly,10,,,,,,7386.3,6972.3,7569.0,7284.7,7318.4,8737.0,8497.3,10159.3,140.0,3558.428,,,33.067,,,,,,,87923432.0,6972.3,7569.0,7306.14,8597.0
2020-03-15,Iran,weekly,11,,,,,,7511.9,6101.9,6435.6,6607.3,7086.7,9865.7,8648.3,7775.45,530.0,6414.429,,,46.561,,,,,,,87923432.0,6101.9,7511.9,6748.68,9335.7
