date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,deaths_2022_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,positive_test_percent,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_percent,people_fully_vaccinated_percent,total_boosters_percent,population,positive_rate,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2021-01-10,Iran,weekly,1,,,,,,7917.9,8300.9,7494.6,8203.6,8154.9,7868.7,8929.0,8076.9,631.0,43080.714,374138.0,11.515248214968734,72.69,,,,,,,85028760.0,11.515714285714285,7494.6,8300.9,8014.38,8298.0
2021-01-17,Iran,weekly,2,,,,,,7478.6,7580.6,7207.3,8065.1,8268.9,7527.1,8628.3,,632.0,43605.001000000004,374882.0,11.632083295881854,77.44714285714285,,,,,,,85028760.0,11.632857142857144,7207.3,8268.9,7720.1,7996.299999999999
2021-01-24,Iran,weekly,3,,,,,,7367.1,7510.1,7607.0,8326.1,8285.0,7717.3,8651.4,,580.0,42880.285,374744.0,11.443293383015103,78.24,,,,,,,85028760.0,11.445714285714287,7367.1,8326.1,7819.06,8071.4
2021-01-31,Iran,weekly,4,,,,,,7374.9,7484.3,7665.3,8301.0,8092.7,7509.4,8933.9,,576.0,44177.57,380988.0,11.595462972268475,79.82571428571428,,,,,,,85028760.0,11.594285714285714,7374.9,8301.0,7783.639999999999,8357.9
2021-02-07,Iran,weekly,5,,,,,,7915.1,6993.9,7166.6,7971.0,8049.3,7443.1,8426.1,,510.0,46645.429000000004,380393.0,12.261936573867626,80.09,,,,,,,85028760.0,12.26142857142857,6993.9,8049.3,7619.18,7916.1
2021-02-14,Iran,weekly,6,,,,,,7543.0,6748.7,6907.1,8136.6,7604.4,8022.6,7880.7,,476.0,50809.714,382185.0,13.295149802196777,81.67571428571429,4446.428571428572,,,0.005229323080130265,,,85028760.0,13.295714285714284,6748.7,8136.6,7387.960000000001,7404.7
2021-02-21,Iran,weekly,7,,,,,,7082.4,7830.7,7024.4,7346.1,7033.1,7343.6,8528.4,,538.0,53864.285,388268.0,13.871262532250853,81.93999999999998,15062.761904761906,,,0.017714902469190313,,,85028760.0,13.872857142857143,7024.4,7830.7,7263.339999999999,7990.4
2021-02-28,Iran,weekly,8,,,,,,8118.9,7394.1,6971.9,7520.0,7713.7,8151.0,8304.3,,590.0,56831.572,401988.0,14.138433936876485,81.93999999999998,40451.46666666667,,,0.047573864027496894,,,85028760.0,14.138571428571428,6971.9,8118.9,7543.719999999999,7714.299999999999
2021-03-07,Iran,weekly,9,,,,,,7586.7,6717.1,6939.0,7852.9,7457.4,7895.3,8672.1,,614.0,58021.570999999996,416567.0,13.928677019908852,81.93999999999998,67096.5,,,0.07891035927138065,,,85028760.0,13.928571428571429,6717.1,7852.9,7310.62,8058.1
2021-03-14,Iran,weekly,10,,,,,,7386.3,6972.3,7569.0,7284.7,7318.4,8737.0,8497.3,,543.0,58081.143,435379.0,13.343697404502477,81.93999999999998,93741.53333333334,,,0.1102468545152644,,,85028760.0,13.344285714285714,6972.3,7569.0,7306.139999999999,7954.299999999999
2021-03-21,Iran,weekly,11,,,,,,7511.9,6101.9,6435.6,6607.3,7086.7,9865.7,8648.3,,567.0,55439.143,444361.0,12.477219020484482,81.93999999999998,122674.326007326,,,0.14427392097371056,,,85028760.0,12.475714285714286,6101.9,7511.9,6748.68,8081.299999999999
2021-03-28,Iran,weekly,12,,,,,,6942.6,4347.7,4998.3,6257.7,6837.7,10799.7,5860.7,,600.0,52933.287,449416.0,11.77791714671549,83.13142857142857,179060.23076923075,,,0.2105878420069054,,,85028760.0,11.777142857142858,4347.7,6942.6,5876.8,5260.7
2021-04-04,Iran,weekly,13,,,,,,4848.9,8276.1,8816.1,7961.7,6674.1,8696.7,9754.9,,763.0,66409.144,472388.0,14.028184755681336,83.33,243072.0,,,0.2858703337553082,,,85028760.0,14.028571428571428,4848.9,8816.1,7315.38,8991.9
2021-04-11,Iran,weekly,14,,,,,,7176.3,7531.0,6595.3,6297.4,5990.3,8087.9,10664.1,,1330.0,109247.572,534138.0,20.31900615093624,83.33,307083.7692307692,,,0.361152825503711,,,85028760.0,20.318571428571428,5990.3,7531.0,6718.06,9334.1
2021-04-18,Iran,weekly,15,,,,,,8076.9,6424.9,6960.4,7205.4,8573.7,10126.3,10997.9,,2242.0,160246.57,651313.0,24.62222530680216,82.80142857142857,373498.4835164835,114033.4,,0.43926135523613835,0.13411156413429998,,85028760.0,24.624285714285715,6424.9,8573.7,7448.26,8755.9
2021-04-25,Iran,weekly,16,,,,,,7192.3,6632.9,7269.7,6600.4,6930.9,9272.4,12153.1,,2842.0,165304.999,770867.0,21.485510978952714,81.48,528304.4285714285,151242.0,,0.6213243949122962,0.17787158133318656,,85028760.0,21.484285714285715,6600.4,7269.7,6925.24,9311.1
2021-05-02,Iran,weekly,17,,,,,,6961.6,7107.3,7067.9,7047.1,7044.7,8380.7,12372.7,,2910.0,145298.71600000001,850572.0,17.132521863684484,81.48,809103.0714285715,201230.42857142858,,0.9515640019077914,0.23666160552197701,,85028760.0,17.13142857142857,6961.6,7107.3,7045.719999999999,9462.7
